"pgoeffd","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"ja","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"ja","1984","16-34 Jahre alt","Hauptschulabschluss","197","0.14595583991283","0.128502734084808","0.163408945740853"
"ja","1984","16-34 Jahre alt","Realschulabschluss","197","0.289059178355008","0.255209964406103","0.322908392303913"
"ja","1984","16-34 Jahre alt","(Fach-)Abitur","63","0.273037034121605","0.219295129986155","0.326778938257056"
"ja","1984","16-34 Jahre alt","AkademikerInnen","103","0.541511920807565","0.472455966997248","0.610567874617881"
"ja","1984","35-65 Jahre alt","(noch) kein Abschluss","51","0.104262214366668","0.0773678569385181","0.131156571794818"
"ja","1984","35-65 Jahre alt","Hauptschulabschluss","468","0.208396102250748","0.192656397596035","0.224135806905461"
"ja","1984","35-65 Jahre alt","Realschulabschluss","147","0.313147534011539","0.2713525898268","0.354942478196279"
"ja","1984","35-65 Jahre alt","(Fach-)Abitur","54","0.360040703168708","0.291966371813116","0.428115034524301"
"ja","1984","35-65 Jahre alt","AkademikerInnen","204","0.499297209530775","0.451075495800209","0.547518923261341"
"ja","1984","66 und älter","(noch) kein Abschluss","","","",""
"ja","1984","66 und älter","Hauptschulabschluss","","","",""
"ja","1984","66 und älter","Realschulabschluss","","","",""
"ja","1984","66 und älter","(Fach-)Abitur","","","",""
"ja","1984","66 und älter","AkademikerInnen","","","",""
"nein","1984","16-34 Jahre alt","(noch) kein Abschluss","164","0.873691500270674","0.824613472638226","0.922769527903122"
"nein","1984","16-34 Jahre alt","Hauptschulabschluss","1375","0.85404416008717","0.836591054259147","0.871497265915192"
"nein","1984","16-34 Jahre alt","Realschulabschluss","492","0.710940821644992","0.677091607696087","0.744790035593896"
"nein","1984","16-34 Jahre alt","(Fach-)Abitur","201","0.726962965878394","0.673221061742944","0.780704870013845"
"nein","1984","16-34 Jahre alt","AkademikerInnen","97","0.458488079192435","0.389432125382118","0.527544033002751"
"nein","1984","35-65 Jahre alt","(noch) kein Abschluss","445","0.895737785633332","0.868843428205182","0.922632143061482"
"nein","1984","35-65 Jahre alt","Hauptschulabschluss","2090","0.791603897749252","0.775864193094539","0.807343602403965"
"nein","1984","35-65 Jahre alt","Realschulabschluss","326","0.686852465988461","0.645057521803721","0.7286474101732"
"nein","1984","35-65 Jahre alt","(Fach-)Abitur","137","0.639959296831292","0.571884965475699","0.708033628186885"
"nein","1984","35-65 Jahre alt","AkademikerInnen","209","0.500702790469225","0.452481076738659","0.548924504199791"
"nein","1984","66 und älter","(noch) kein Abschluss","","","",""
"nein","1984","66 und älter","Hauptschulabschluss","","","",""
"nein","1984","66 und älter","Realschulabschluss","","","",""
"nein","1984","66 und älter","(Fach-)Abitur","","","",""
"nein","1984","66 und älter","AkademikerInnen","","","",""
"ja","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"ja","1985","16-34 Jahre alt","Hauptschulabschluss","181","0.1663327808921","0.146051354602682","0.186614207181519"
"ja","1985","16-34 Jahre alt","Realschulabschluss","185","0.290551946412621","0.255155330186257","0.325948562638985"
"ja","1985","16-34 Jahre alt","(Fach-)Abitur","48","0.271674427224992","0.212490281449581","0.330858573000403"
"ja","1985","16-34 Jahre alt","AkademikerInnen","77","0.435747201193949","0.362903458105395","0.508590944282502"
"ja","1985","35-65 Jahre alt","(noch) kein Abschluss","39","0.0975632212695311","0.0683014236668361","0.126825018872226"
"ja","1985","35-65 Jahre alt","Hauptschulabschluss","424","0.215172954265472","0.198101664552505","0.232244243978439"
"ja","1985","35-65 Jahre alt","Realschulabschluss","145","0.321663781963347","0.278409145250343","0.364918418676351"
"ja","1985","35-65 Jahre alt","(Fach-)Abitur","49","0.394194640646583","0.317263148643394","0.471126132649773"
"ja","1985","35-65 Jahre alt","AkademikerInnen","206","0.539248245669179","0.489586671954347","0.588909819384011"
"ja","1985","66 und älter","(noch) kein Abschluss","","","",""
"ja","1985","66 und älter","Hauptschulabschluss","","","",""
"ja","1985","66 und älter","Realschulabschluss","","","",""
"ja","1985","66 und älter","(Fach-)Abitur","","","",""
"ja","1985","66 und älter","AkademikerInnen","","","",""
"nein","1985","16-34 Jahre alt","(noch) kein Abschluss","105","0.890716869834129","0.833192049475653","0.948241690192606"
"nein","1985","16-34 Jahre alt","Hauptschulabschluss","1114","0.8336672191079","0.813385792818482","0.853948645397318"
"nein","1985","16-34 Jahre alt","Realschulabschluss","447","0.709448053587379","0.674051437361015","0.744844669813743"
"nein","1985","16-34 Jahre alt","(Fach-)Abitur","169","0.728325572775008","0.669141426999597","0.787509718550419"
"nein","1985","16-34 Jahre alt","AkademikerInnen","101","0.564252798806052","0.491409055717498","0.637096541894605"
"nein","1985","35-65 Jahre alt","(noch) kein Abschluss","356","0.902436778730469","0.873174981127774","0.931698576333164"
"nein","1985","35-65 Jahre alt","Hauptschulabschluss","1802","0.784827045734528","0.767755756021561","0.801898335447494"
"nein","1985","35-65 Jahre alt","Realschulabschluss","303","0.678336218036653","0.635081581323649","0.721590854749657"
"nein","1985","35-65 Jahre alt","(Fach-)Abitur","106","0.605805359353417","0.528873867350227","0.682736851356606"
"nein","1985","35-65 Jahre alt","AkademikerInnen","181","0.460751754330821","0.411090180615989","0.510413328045653"
"nein","1985","66 und älter","(noch) kein Abschluss","","","",""
"nein","1985","66 und älter","Hauptschulabschluss","","","",""
"nein","1985","66 und älter","Realschulabschluss","","","",""
"nein","1985","66 und älter","(Fach-)Abitur","","","",""
"nein","1985","66 und älter","AkademikerInnen","","","",""
"ja","1986","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"ja","1986","16-34 Jahre alt","Hauptschulabschluss","166","0.165292031939869","0.144457512007317","0.186126551872421"
"ja","1986","16-34 Jahre alt","Realschulabschluss","180","0.293441787339157","0.25718855511582","0.329695019562495"
"ja","1986","16-34 Jahre alt","(Fach-)Abitur","51","0.278844415073162","0.220119886004265","0.33756894414206"
"ja","1986","16-34 Jahre alt","AkademikerInnen","69","0.402988740174463","0.329255834784316","0.47672164556461"
"ja","1986","35-65 Jahre alt","(noch) kein Abschluss","35","0.115787404363411","0.0816254940379863","0.149949314688835"
"ja","1986","35-65 Jahre alt","Hauptschulabschluss","394","0.220083052582895","0.202282662065431","0.237883443100359"
"ja","1986","35-65 Jahre alt","Realschulabschluss","140","0.321571073940653","0.277059948672708","0.366082199208599"
"ja","1986","35-65 Jahre alt","(Fach-)Abitur","47","0.418279850368004","0.337712817341684","0.498846883394323"
"ja","1986","35-65 Jahre alt","AkademikerInnen","204","0.548245612309087","0.498075974802942","0.598415249815232"
"ja","1986","66 und älter","(noch) kein Abschluss","","","",""
"ja","1986","66 und älter","Hauptschulabschluss","","","",""
"ja","1986","66 und älter","Realschulabschluss","","","",""
"ja","1986","66 und älter","(Fach-)Abitur","","","",""
"ja","1986","66 und älter","AkademikerInnen","","","",""
"nein","1986","16-34 Jahre alt","(noch) kein Abschluss","90","0.880181789643849","0.815885981859467","0.94447759742823"
"nein","1986","16-34 Jahre alt","Hauptschulabschluss","1055","0.834707968060131","0.813873448127579","0.855542487992684"
"nein","1986","16-34 Jahre alt","Realschulabschluss","426","0.706558212660843","0.670304980437505","0.74281144488418"
"nein","1986","16-34 Jahre alt","(Fach-)Abitur","173","0.721155584926838","0.66243105585794","0.779880113995735"
"nein","1986","16-34 Jahre alt","AkademikerInnen","101","0.597011259825537","0.52327835443539","0.670744165215684"
"nein","1986","35-65 Jahre alt","(noch) kein Abschluss","302","0.884212595636589","0.850050685311165","0.918374505962014"
"nein","1986","35-65 Jahre alt","Hauptschulabschluss","1687","0.779916947417105","0.762116556899641","0.797717337934569"
"nein","1986","35-65 Jahre alt","Realschulabschluss","283","0.678428926059347","0.633917800791402","0.722940051327292"
"nein","1986","35-65 Jahre alt","(Fach-)Abitur","97","0.581720149631996","0.501153116605677","0.662287182658316"
"nein","1986","35-65 Jahre alt","AkademikerInnen","174","0.451754387690913","0.401584750184768","0.501924025197058"
"nein","1986","66 und älter","(noch) kein Abschluss","","","",""
"nein","1986","66 und älter","Hauptschulabschluss","","","",""
"nein","1986","66 und älter","Realschulabschluss","","","",""
"nein","1986","66 und älter","(Fach-)Abitur","","","",""
"nein","1986","66 und älter","AkademikerInnen","","","",""
"ja","1987","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"ja","1987","16-34 Jahre alt","Hauptschulabschluss","154","0.154841324373752","0.134624725187671","0.175057923559833"
"ja","1987","16-34 Jahre alt","Realschulabschluss","195","0.308504200545905","0.272804225005785","0.344204176086024"
"ja","1987","16-34 Jahre alt","(Fach-)Abitur","63","0.317167733392771","0.258894842246381","0.375440624539162"
"ja","1987","16-34 Jahre alt","AkademikerInnen","63","0.364913774302184","0.292118208599671","0.437709340004697"
"ja","1987","35-65 Jahre alt","(noch) kein Abschluss","34","0.111795893655684","0.0778999004882648","0.145691886823103"
"ja","1987","35-65 Jahre alt","Hauptschulabschluss","401","0.217402514142372","0.19970173251621","0.235103295768534"
"ja","1987","35-65 Jahre alt","Realschulabschluss","140","0.32270085010594","0.278148745218254","0.367252954993626"
"ja","1987","35-65 Jahre alt","(Fach-)Abitur","44","0.390235426391055","0.310284313517888","0.470186539264221"
"ja","1987","35-65 Jahre alt","AkademikerInnen","204","0.547944017514988","0.497771441866712","0.598116593163265"
"ja","1987","66 und älter","(noch) kein Abschluss","","","",""
"ja","1987","66 und älter","Hauptschulabschluss","","","",""
"ja","1987","66 und älter","Realschulabschluss","","","",""
"ja","1987","66 und älter","(Fach-)Abitur","","","",""
"ja","1987","66 und älter","AkademikerInnen","","","",""
"nein","1987","16-34 Jahre alt","(noch) kein Abschluss","94","0.899329155775885","0.84064800851301","0.95801030303876"
"nein","1987","16-34 Jahre alt","Hauptschulabschluss","1076","0.845158675626248","0.824942076440166","0.865375274812329"
"nein","1987","16-34 Jahre alt","Realschulabschluss","448","0.691495799454095","0.655795823913976","0.727195774994215"
"nein","1987","16-34 Jahre alt","(Fach-)Abitur","182","0.682832266607229","0.624559375460838","0.741105157753619"
"nein","1987","16-34 Jahre alt","AkademikerInnen","105","0.635086225697816","0.562290659995303","0.707881791400329"
"nein","1987","35-65 Jahre alt","(noch) kein Abschluss","298","0.888204106344316","0.854308113176897","0.922100099511735"
"nein","1987","35-65 Jahre alt","Hauptschulabschluss","1685","0.782597485857628","0.764896704231466","0.80029826748379"
"nein","1987","35-65 Jahre alt","Realschulabschluss","283","0.67729914989406","0.632747045006374","0.721851254781746"
"nein","1987","35-65 Jahre alt","(Fach-)Abitur","99","0.609764573608945","0.529813460735779","0.689715686482112"
"nein","1987","35-65 Jahre alt","AkademikerInnen","174","0.452055982485012","0.401883406836735","0.502228558133288"
"nein","1987","66 und älter","(noch) kein Abschluss","","","",""
