year,sex,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,At least once per week,0.09767,670,5354,0.08972,0.10562
1985,male,At least once per month,0.12642,846,5354,0.11751,0.13532
1985,male,Seldom,0.27232,1752,5354,0.26039,0.28424
1985,male,Never,0.32129,2086,5354,0.30878,0.33380
1985,female,At least once per week,0.05486,364,5550,0.04887,0.06085
1985,female,At least once per month,0.09163,615,5550,0.08404,0.09923
1985,female,Seldom,0.24450,1706,5550,0.23319,0.25581
1985,female,Never,0.44921,2865,5550,0.43612,0.46230
1986,male,At least once per week,0.09640,637,5195,0.08838,0.10443
1986,male,At least once per month,0.13215,862,5195,0.12294,0.14136
1986,male,Seldom,0.27124,1686,5195,0.25914,0.28333
1986,male,Never,0.32311,2010,5195,0.31039,0.33583
1986,female,At least once per week,0.05129,328,5304,0.04535,0.05723
1986,female,At least once per month,0.09886,651,5304,0.09082,0.10689
1986,female,Seldom,0.24174,1629,5304,0.23022,0.25326
1986,female,Never,0.44517,2696,5304,0.43180,0.45855
1988,male,At least once per week,0.08528,553,4893,0.07745,0.09311
1988,male,At least once per month,0.14549,891,4893,0.13561,0.15537
1988,male,Seldom,0.27742,1572,4893,0.26488,0.28997
1988,male,Never,0.30948,1877,4893,0.29653,0.32244
1988,female,At least once per week,0.04958,310,4989,0.04355,0.05560
1988,female,At least once per month,0.10109,630,4989,0.09272,0.10945
1988,female,Seldom,0.24869,1515,4989,0.23669,0.26069
1988,female,Never,0.43471,2534,4989,0.42096,0.44847
1990,male,At least once per week,0.06279,587,6727,0.05700,0.06859
1990,male,At least once per month,0.12514,1063,6727,0.11723,0.13305
1990,male,Seldom,0.29072,2460,6727,0.27987,0.30158
1990,male,Never,0.33003,2617,6727,0.31879,0.34127
1990,female,At least once per week,0.03321,338,7063,0.02903,0.03739
1990,female,At least once per month,0.09786,868,7063,0.09093,0.10479
1990,female,Seldom,0.26777,2509,7063,0.25744,0.27810
1990,female,Never,0.42905,3348,7063,0.41750,0.44059
1992,male,At least once per week,0.08472,701,6408,0.07790,0.09154
1992,male,At least once per month,0.12916,1015,6408,0.12095,0.13738
1992,male,Seldom,0.30144,2446,6408,0.29021,0.31268
1992,male,Never,0.28958,2246,6408,0.27848,0.30069
1992,female,At least once per week,0.03893,365,6749,0.03432,0.04355
1992,female,At least once per month,0.09679,831,6749,0.08973,0.10384
1992,female,Seldom,0.28593,2526,6749,0.27515,0.29671
1992,female,Never,0.39285,3027,6749,0.38120,0.40450
1994,male,At least once per week,0.08227,681,6159,0.07541,0.08913
1994,male,At least once per month,0.12993,997,6159,0.12153,0.13833
1994,male,Seldom,0.31635,2432,6159,0.30473,0.32796
1994,male,Never,0.27335,2049,6159,0.26222,0.28448
1994,female,At least once per week,0.04882,435,6587,0.04362,0.05403
1994,female,At least once per month,0.09758,851,6587,0.09042,0.10475
1994,female,Seldom,0.29521,2481,6587,0.28419,0.30623
1994,female,Never,0.37812,2820,6587,0.36641,0.38983
1995,male,At least once per week,0.06049,535,6382,0.05464,0.06634
1995,male,At least once per month,0.12049,991,6382,0.11250,0.12847
1995,male,Seldom,0.27991,2295,6382,0.26890,0.29093
1995,male,Never,0.34471,2561,6382,0.33305,0.35638
1995,female,At least once per week,0.03948,396,6837,0.03487,0.04410
1995,female,At least once per month,0.10244,926,6837,0.09525,0.10963
1995,female,Seldom,0.27215,2379,6837,0.26160,0.28270
1995,female,Never,0.41109,3136,6837,0.39943,0.42276
1996,male,At least once per week,0.08619,696,6270,0.07924,0.09314
1996,male,At least once per month,0.15841,1227,6270,0.14937,0.16745
1996,male,Seldom,0.32000,2549,6270,0.30846,0.33155
1996,male,Never,0.24174,1798,6270,0.23114,0.25233
1996,female,At least once per week,0.04902,442,6712,0.04385,0.05419
1996,female,At least once per month,0.12009,1104,6712,0.11231,0.12786
1996,female,Seldom,0.30874,2649,6712,0.29769,0.31980
1996,female,Never,0.34638,2517,6712,0.33500,0.35777
1997,male,At least once per week,0.08194,670,6173,0.07510,0.08878
1997,male,At least once per month,0.14312,1143,6173,0.13439,0.15186
1997,male,Seldom,0.31856,2499,6173,0.30694,0.33019
1997,male,Never,0.26202,1861,6173,0.25105,0.27299
1997,female,At least once per week,0.04522,405,6556,0.04019,0.05025
