year,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.07528,1034,10904,0.07033,0.08023
1985,At least once per month,0.10822,1461,10904,0.10239,0.11405
1985,Seldom,0.25777,3458,10904,0.24956,0.26598
1985,Never,0.38820,4951,10904,0.37905,0.39735
1986,At least once per week,0.07285,965,10499,0.06788,0.07782
1986,At least once per month,0.11477,1513,10499,0.10867,0.12086
1986,Seldom,0.25584,3315,10499,0.24749,0.26418
1986,Never,0.38684,4706,10499,0.37753,0.39616
1988,At least once per week,0.06678,863,9882,0.06185,0.07170
1988,At least once per month,0.12248,1521,9882,0.11601,0.12894
1988,Seldom,0.26253,3087,9882,0.25386,0.27121
1988,Never,0.37439,4411,9882,0.36484,0.38393
1990,At least once per week,0.04752,925,13790,0.04397,0.05107
1990,At least once per month,0.11103,1931,13790,0.10579,0.11628
1990,Seldom,0.27880,4969,13790,0.27131,0.28628
1990,Never,0.38100,5965,13790,0.37290,0.38911
1992,At least once per week,0.06116,1066,13157,0.05707,0.06526
1992,At least once per month,0.11251,1846,13157,0.10711,0.11791
1992,Seldom,0.29346,4972,13157,0.28568,0.30124
1992,Never,0.34271,5273,13157,0.33460,0.35082
1994,At least once per week,0.06512,1116,12746,0.06083,0.06940
1994,At least once per month,0.11334,1848,12746,0.10784,0.11885
1994,Seldom,0.30551,4913,12746,0.29751,0.31350
1994,Never,0.32708,4869,12746,0.31894,0.33523
1995,At least once per week,0.04972,931,13219,0.04602,0.05343
1995,At least once per month,0.11124,1917,13219,0.10588,0.11660
1995,Seldom,0.27593,4674,13219,0.26831,0.28355
1995,Never,0.37873,5697,13219,0.37046,0.38700
1996,At least once per week,0.06717,1138,12982,0.06286,0.07147
1996,At least once per month,0.13880,2331,12982,0.13285,0.14474
1996,Seldom,0.31424,5198,12982,0.30625,0.32223
1996,Never,0.29529,4315,12982,0.28745,0.30314
1997,At least once per week,0.06316,1075,12729,0.05894,0.06739
1997,At least once per month,0.13348,2216,12729,0.12757,0.13939
1997,Seldom,0.31014,5040,12729,0.30210,0.31817
1997,Never,0.30577,4398,12729,0.29776,0.31377
1998,At least once per week,0.04128,822,14169,0.03800,0.04455
1998,At least once per month,0.13613,2432,14169,0.13048,0.14177
1998,Seldom,0.30492,5488,14169,0.29734,0.31250
1998,Never,0.33772,5427,14169,0.32993,0.34551
1999,At least once per week,0.05958,1090,13592,0.05560,0.06356
1999,At least once per month,0.14076,2494,13592,0.13491,0.14661
1999,Seldom,0.33714,5796,13592,0.32919,0.34509
1999,Never,0.28415,4212,13592,0.27657,0.29173
2001,At least once per week,0.05954,1673,21761,0.05639,0.06268
2001,At least once per month,0.14220,3948,21761,0.13756,0.14684
2001,Seldom,0.31574,8708,21761,0.30956,0.32191
2001,Never,0.30384,7432,21761,0.29773,0.30995
2003,At least once per week,0.03680,1089,22074,0.03432,0.03929
2003,At least once per month,0.13607,3907,22074,0.13155,0.14059
2003,Seldom,0.31401,8998,22074,0.30788,0.32013
2003,Never,0.34132,8080,22074,0.33506,0.34757
2005,At least once per week,0.05172,1350,20593,0.04870,0.05475
2005,At least once per month,0.14866,3816,20593,0.14380,0.15352
2005,Seldom,0.35227,9094,20593,0.34575,0.35880
2005,Never,0.28300,6333,20593,0.27684,0.28915
2007,At least once per week,0.04785,1199,20401,0.04492,0.05078
2007,At least once per month,0.14204,3659,20401,0.13725,0.14683
2007,Seldom,0.36043,9173,20401,0.35384,0.36702
2007,Never,0.27834,6370,20401,0.27219,0.28449
2008,At least once per week,0.02911,644,19254,0.02674,0.03148
2008,At least once per month,0.13392,3077,19254,0.12911,0.13873
2008,Seldom,0.34442,8265,19254,0.33771,0.35114
2008,Never,0.32904,7268,19254,0.32240,0.33568
2009,At least once per week,0.04697,975,17932,0.04387,0.05006
2009,At least once per month,0.15069,3174,17932,0.14545,0.15593
2009,Seldom,0.38366,8483,17932,0.37654,0.39077
2009,Never,0.25663,5300,17932,0.25024,0.26303
2011,At least once per week,0.04545,1375,28281,0.04302,0.04788
2011,At least once per month,0.15333,4862,28281,0.14913,0.15753
2011,Seldom,0.36802,13541,28281,0.36239,0.37364
2011,Never,0.26635,8503,28281,0.26120,0.27150
2013,At least once per week,0.02087,603,25420,0.01911,0.02263
2013,At least once per month,0.14035,4696,25420,0.13608,0.14462
2013,Seldom,0.33277,12059,25420,0.32698,0.33856
2013,Never,0.26638,8062,25420,0.26095,0.27182
2015,At least once per week,0.03316,1002,26714,0.03101,0.03530
2015,At least once per month,0.16086,4995,26714,0.15645,0.16527
2015,Seldom,0.38926,13055,26714,0.38341,0.39511
2015,Never,0.25797,7662,26714,0.25272,0.26322
2017,At least once per week,0.03646,1199,30467,0.03435,0.03856
2017,At least once per month,0.18301,6115,30467,0.17867,0.18735
2017,Seldom,0.38099,13550,30467,0.37554,0.38644
2017,Never,0.23629,9603,30467,0.23152,0.24106
2018,At least once per week,0.00013,70,3149,-0.00027,0.00054
2018,At least once per month,0.00073,271,3149,-0.00021,0.00167
2018,Seldom,0.00121,640,3149,-0.00000,0.00242
2018,Never,0.00340,2168,3149,0.00137,0.00544
2019,At least once per week,0.01737,593,28776,0.01586,0.01888
2019,At least once per month,0.17492,5731,28776,0.17053,0.17931
2019,Seldom,0.37804,13000,28776,0.37244,0.38365
2019,Never,0.26589,9452,28776,0.26078,0.27099
