year,regtyp,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.07279,788,8561,0.06728,0.07829
1985,Urban regions,At least once per month,0.11557,1192,8561,0.10879,0.12234
1985,Urban regions,Seldom,0.25952,2687,8561,0.25023,0.26881
1985,Urban regions,Never,0.38493,3894,8561,0.37462,0.39524
1985,Rural regions,At least once per week,0.08275,246,2343,0.07160,0.09391
1985,Rural regions,At least once per month,0.08619,269,2343,0.07482,0.09755
1985,Rural regions,Seldom,0.25250,771,2343,0.23490,0.27010
1985,Rural regions,Never,0.39801,1057,2343,0.37819,0.41784
1986,Urban regions,At least once per week,0.06830,721,8263,0.06286,0.07374
1986,Urban regions,At least once per month,0.12024,1232,8263,0.11323,0.12726
1986,Urban regions,Seldom,0.25790,2596,8263,0.24846,0.26733
1986,Urban regions,Never,0.38834,3714,8263,0.37783,0.39885
1986,Rural regions,At least once per week,0.08666,244,2236,0.07500,0.09833
1986,Rural regions,At least once per month,0.09812,281,2236,0.08579,0.11045
1986,Rural regions,Seldom,0.24957,719,2236,0.23163,0.26751
1986,Rural regions,Never,0.38230,992,2236,0.36215,0.40244
1988,Urban regions,At least once per week,0.06404,654,7823,0.05862,0.06947
1988,Urban regions,At least once per month,0.12412,1205,7823,0.11682,0.13143
1988,Urban regions,Seldom,0.26775,2435,7823,0.25794,0.27756
1988,Urban regions,Never,0.37631,3529,7823,0.36557,0.38704
1988,Rural regions,At least once per week,0.07533,209,2059,0.06393,0.08674
1988,Rural regions,At least once per month,0.11733,316,2059,0.10343,0.13123
1988,Rural regions,Seldom,0.24621,652,2059,0.22760,0.26483
1988,Rural regions,Never,0.36838,882,2059,0.34754,0.38922
1990,Urban regions,At least once per week,0.04287,537,8902,0.03866,0.04708
1990,Urban regions,At least once per month,0.11850,1324,8902,0.11178,0.12521
1990,Urban regions,Seldom,0.26850,2898,8902,0.25929,0.27770
1990,Urban regions,Never,0.39631,4143,8902,0.38615,0.40647
1990,Rural regions,At least once per week,0.05729,382,4802,0.05072,0.06386
1990,Rural regions,At least once per month,0.09485,592,4802,0.08656,0.10314
1990,Rural regions,Seldom,0.30077,2031,4802,0.28780,0.31375
1990,Rural regions,Never,0.35009,1797,4802,0.33659,0.36358
1992,Urban regions,At least once per week,0.05879,671,8547,0.05381,0.06378
1992,Urban regions,At least once per month,0.12174,1300,8547,0.11481,0.12868
1992,Urban regions,Seldom,0.28967,3099,8547,0.28005,0.29929
1992,Urban regions,Never,0.34306,3477,8547,0.33299,0.35312
1992,Rural regions,At least once per week,0.06643,390,4493,0.05915,0.07372
1992,Rural regions,At least once per month,0.09291,528,4493,0.08442,0.10140
1992,Rural regions,Seldom,0.30130,1816,4493,0.28788,0.31471
1992,Rural regions,Never,0.34359,1759,4493,0.32970,0.35748
1994,Urban regions,At least once per week,0.06360,729,8380,0.05837,0.06882
1994,Urban regions,At least once per month,0.12019,1281,8380,0.11323,0.12715
1994,Urban regions,Seldom,0.30710,3134,8380,0.29722,0.31698
1994,Urban regions,Never,0.32420,3236,8380,0.31418,0.33422
1994,Rural regions,At least once per week,0.06842,387,4366,0.06093,0.07591
1994,Rural regions,At least once per month,0.09842,567,4366,0.08958,0.10726
1994,Rural regions,Seldom,0.30204,1779,4366,0.28842,0.31566
1994,Rural regions,Never,0.33337,1633,4366,0.31938,0.34735
1995,Urban regions,At least once per week,0.04963,602,8672,0.04505,0.05420
1995,Urban regions,At least once per month,0.11834,1330,8672,0.11154,0.12514
1995,Urban regions,Seldom,0.27665,2960,8672,0.26723,0.28607
1995,Urban regions,Never,0.37568,3780,8672,0.36549,0.38587
1995,Rural regions,At least once per week,0.04993,329,4547,0.04360,0.05626
1995,Rural regions,At least once per month,0.09617,587,4547,0.08760,0.10474
1995,Rural regions,Seldom,0.27441,1714,4547,0.26144,0.28738
1995,Rural regions,Never,0.38520,1917,4547,0.37105,0.39935
1996,Urban regions,At least once per week,0.06740,725,8481,0.06206,0.07273
1996,Urban regions,At least once per month,0.14439,1601,8481,0.13691,0.15188
1996,Urban regions,Seldom,0.30995,3217,8481,0.30011,0.31980
1996,Urban regions,Never,0.29747,2938,8481,0.28774,0.30720
1996,Rural regions,At least once per week,0.06666,413,4501,0.05937,0.07395
1996,Rural regions,At least once per month,0.12656,730,4501,0.11684,0.13627
1996,Rural regions,Seldom,0.32362,1981,4501,0.30995,0.33729
1996,Rural regions,Never,0.29052,1377,4501,0.27726,0.30379
1997,Urban regions,At least once per week,0.06037,666,8301,0.05525,0.06549
1997,Urban regions,At least once per month,0.14129,1510,8301,0.13380,0.14878
1997,Urban regions,Seldom,0.30805,3174,8301,0.29812,0.31799
1997,Urban regions,Never,0.30609,2951,8301,0.29618,0.31601
1997,Rural regions,At least once per week,0.06928,409,4427,0.06180,0.07676
1997,Rural regions,At least once per month,0.11649,706,4427,0.10703,0.12594
1997,Rural regions,Seldom,0.31441,1865,4427,0.30073,0.32809
1997,Rural regions,Never,0.30517,1447,4427,0.29160,0.31874
1998,Urban regions,At least once per week,0.04120,522,9225,0.03714,0.04526
1998,Urban regions,At least once per month,0.14774,1691,9225,0.14050,0.15498
1998,Urban regions,Seldom,0.30437,3468,9225,0.29498,0.31376
1998,Urban regions,Never,0.33175,3544,9225,0.32214,0.34136
1998,Rural regions,At least once per week,0.04145,300,4944,0.03589,0.04700
1998,Rural regions,At least once per month,0.11115,741,4944,0.10239,0.11991
1998,Rural regions,Seldom,0.30611,2020,4944,0.29327,0.31896
1998,Rural regions,Never,0.35057,1883,4944,0.33727,0.36387
1999,Urban regions,At least once per week,0.05629,683,8822,0.05148,0.06110
1999,Urban regions,At least once per month,0.15045,1713,8822,0.14299,0.15791
1999,Urban regions,Seldom,0.33615,3634,8822,0.32629,0.34600
1999,Urban regions,Never,0.28287,2792,8822,0.27348,0.29227
1999,Rural regions,At least once per week,0.06675,407,4770,0.05967,0.07384
1999,Rural regions,At least once per month,0.11962,781,4770,0.11041,0.12883
1999,Rural regions,Seldom,0.33930,2162,4770,0.32586,0.35274
1999,Rural regions,Never,0.28693,1420,4770,0.27410,0.29977
2001,Urban regions,At least once per week,0.05800,1063,14197,0.05415,0.06184
2001,Urban regions,At least once per month,0.14740,2660,14197,0.14157,0.15324
2001,Urban regions,Seldom,0.31888,5658,14197,0.31121,0.32655
2001,Urban regions,Never,0.29659,4816,14197,0.28908,0.30410
2001,Rural regions,At least once per week,0.06283,610,7564,0.05736,0.06830
2001,Rural regions,At least once per month,0.13105,1288,7564,0.12344,0.13865
2001,Rural regions,Seldom,0.30900,3050,7564,0.29858,0.31941
2001,Rural regions,Never,0.31938,2616,7564,0.30887,0.32988
2003,Urban regions,At least once per week,0.03672,710,14669,0.03368,0.03977
2003,Urban regions,At least once per month,0.14105,2748,14669,0.13542,0.14668
2003,Urban regions,Seldom,0.31366,5887,14669,0.30615,0.32117
2003,Urban regions,Never,0.33515,5324,14669,0.32751,0.34279
2003,Rural regions,At least once per week,0.03698,379,7405,0.03268,0.04128
2003,Rural regions,At least once per month,0.12535,1159,7405,0.11780,0.13289
2003,Rural regions,Seldom,0.31474,3111,7405,0.30416,0.32532
2003,Rural regions,Never,0.35460,2756,7405,0.34371,0.36550
2005,Urban regions,At least once per week,0.05425,925,13686,0.05045,0.05804
2005,Urban regions,At least once per month,0.15403,2673,13686,0.14799,0.16008
2005,Urban regions,Seldom,0.35074,5959,13686,0.34274,0.35873
2005,Urban regions,Never,0.27614,4129,13686,0.26865,0.28363
2005,Rural regions,At least once per week,0.04627,425,6907,0.04132,0.05123
2005,Rural regions,At least once per month,0.13704,1143,6907,0.12893,0.14515
2005,Rural regions,Seldom,0.35559,3135,6907,0.34430,0.36688
2005,Rural regions,Never,0.29781,2204,6907,0.28703,0.30860
2007,Urban regions,At least once per week,0.04895,798,13370,0.04529,0.05260
2007,Urban regions,At least once per month,0.15000,2563,13370,0.14394,0.15605
2007,Urban regions,Seldom,0.35537,5902,13370,0.34726,0.36349
2007,Urban regions,Never,0.27172,4107,13370,0.26418,0.27926
2007,Rural regions,At least once per week,0.04555,401,7031,0.04067,0.05042
2007,Rural regions,At least once per month,0.12524,1096,7031,0.11750,0.13298
2007,Rural regions,Seldom,0.37111,3271,7031,0.35982,0.38240
2007,Rural regions,Never,0.29232,2263,7031,0.28168,0.30295
2008,Urban regions,At least once per week,0.02991,459,12618,0.02694,0.03289
2008,Urban regions,At least once per month,0.14170,2159,12618,0.13561,0.14778
2008,Urban regions,Seldom,0.34402,5356,12618,0.33573,0.35231
2008,Urban regions,Never,0.31753,4644,12618,0.30941,0.32566
2008,Rural regions,At least once per week,0.02739,185,6636,0.02347,0.03132
2008,Rural regions,At least once per month,0.11730,918,6636,0.10955,0.12504
2008,Rural regions,Seldom,0.34529,2909,6636,0.33385,0.35673
2008,Rural regions,Never,0.35361,2624,6636,0.34211,0.36512
2009,Urban regions,At least once per week,0.04830,657,11623,0.04441,0.05220
2009,Urban regions,At least once per month,0.15910,2200,11623,0.15245,0.16575
2009,Urban regions,Seldom,0.37895,5400,11623,0.37013,0.38777
2009,Urban regions,Never,0.24879,3366,11623,0.24093,0.25665
2009,Rural regions,At least once per week,0.04416,318,6309,0.03909,0.04923
2009,Rural regions,At least once per month,0.13309,974,6309,0.12471,0.14147
2009,Rural regions,Seldom,0.39351,3083,6309,0.38146,0.40557
2009,Rural regions,Never,0.27304,1934,6309,0.26205,0.28404
2011,Urban regions,At least once per week,0.04698,904,18102,0.04390,0.05006
2011,Urban regions,At least once per month,0.16360,3357,18102,0.15822,0.16899
2011,Urban regions,Seldom,0.36434,8583,18102,0.35733,0.37136
2011,Urban regions,Never,0.25634,5258,18102,0.24998,0.26270
2011,Rural regions,At least once per week,0.04228,471,10179,0.03837,0.04619
2011,Rural regions,At least once per month,0.13204,1505,10179,0.12546,0.13862
2011,Rural regions,Seldom,0.37562,4958,10179,0.36621,0.38503
2011,Rural regions,Never,0.28708,3245,10179,0.27829,0.29587
2013,Urban regions,At least once per week,0.02166,406,16128,0.01942,0.02391
2013,Urban regions,At least once per month,0.14958,3222,16128,0.14408,0.15509
2013,Urban regions,Seldom,0.32504,7636,16128,0.31781,0.33227
2013,Urban regions,Never,0.24707,4864,16128,0.24041,0.25373
2013,Rural regions,At least once per week,0.01923,197,9292,0.01644,0.02202
2013,Rural regions,At least once per month,0.12128,1474,9292,0.11464,0.12791
2013,Rural regions,Seldom,0.34875,4423,9292,0.33906,0.35844
