year,sampreg,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,At least once per week,0.07528,1034,10904,0.07033,0.08023
1985,West,At least once per month,0.10822,1461,10904,0.10239,0.11405
1985,West,Seldom,0.25777,3458,10904,0.24956,0.26598
1985,West,Never,0.38820,4951,10904,0.37905,0.39735
1986,West,At least once per week,0.07285,965,10499,0.06788,0.07782
1986,West,At least once per month,0.11477,1513,10499,0.10867,0.12086
1986,West,Seldom,0.25584,3315,10499,0.24749,0.26418
1986,West,Never,0.38684,4706,10499,0.37753,0.39616
1988,West,At least once per week,0.06678,863,9882,0.06185,0.07170
1988,West,At least once per month,0.12248,1521,9882,0.11601,0.12894
1988,West,Seldom,0.26253,3087,9882,0.25386,0.27121
1988,West,Never,0.37439,4411,9882,0.36484,0.38393
1990,West,At least once per week,0.04328,556,9427,0.03917,0.04739
1990,West,At least once per month,0.11385,1347,9427,0.10744,0.12027
1990,West,Seldom,0.26226,2833,9427,0.25338,0.27114
1990,West,Never,0.41170,4691,9427,0.40177,0.42164
1990,East,At least once per week,0.06371,369,4363,0.05647,0.07096
1990,East,At least once per month,0.10024,584,4363,0.09133,0.10915
1990,East,Seldom,0.34203,2136,4363,0.32795,0.35611
1990,East,Never,0.26363,1274,4363,0.25055,0.27670
1992,West,At least once per week,0.06326,797,9216,0.05829,0.06824
1992,West,At least once per month,0.12089,1435,9216,0.11423,0.12754
1992,West,Seldom,0.28734,3237,9216,0.27810,0.29658
1992,West,Never,0.33933,3747,9216,0.32966,0.34900
1992,East,At least once per week,0.05297,269,3941,0.04597,0.05996
1992,East,At least once per month,0.07982,411,3941,0.07136,0.08828
1992,East,Seldom,0.31735,1735,3941,0.30281,0.33188
1992,East,Never,0.35589,1526,3941,0.34094,0.37084
1994,West,At least once per week,0.06727,828,8997,0.06209,0.07245
1994,West,At least once per month,0.12153,1431,8997,0.11478,0.12828
1994,West,Seldom,0.30360,3327,8997,0.29410,0.31311
1994,West,Never,0.31806,3411,8997,0.30844,0.32769
1994,East,At least once per week,0.05645,288,3749,0.04906,0.06383
1994,East,At least once per month,0.08039,417,3749,0.07169,0.08910
1994,East,Seldom,0.31316,1586,3749,0.29831,0.32801
1994,East,Never,0.36338,1458,3749,0.34798,0.37878
1995,West,At least once per week,0.05135,703,9543,0.04692,0.05578
1995,West,At least once per month,0.11616,1449,9543,0.10973,0.12259
1995,West,Seldom,0.27157,3176,9543,0.26265,0.28050
1995,West,Never,0.37543,4215,9543,0.36572,0.38515
1995,East,At least once per week,0.04292,228,3676,0.03637,0.04947
1995,East,At least once per month,0.09067,468,3676,0.08139,0.09996
1995,East,Seldom,0.29416,1498,3676,0.27943,0.30890
1995,East,Never,0.39251,1482,3676,0.37672,0.40830
1996,West,At least once per week,0.07022,848,9310,0.06503,0.07541
1996,West,At least once per month,0.14154,1726,9310,0.13446,0.14862
1996,West,Seldom,0.30631,3519,9310,0.29695,0.31567
1996,West,Never,0.29514,3217,9310,0.28587,0.30440
1996,East,At least once per week,0.05408,290,3672,0.04677,0.06140
1996,East,At least once per month,0.12704,605,3672,0.11627,0.13782
1996,East,Seldom,0.34819,1679,3672,0.33278,0.36360
1996,East,Never,0.29596,1098,3672,0.28119,0.31073
1997,West,At least once per week,0.06303,777,9118,0.05804,0.06802
1997,West,At least once per month,0.13659,1621,9118,0.12954,0.14364
1997,West,Seldom,0.30360,3447,9118,0.29416,0.31304
