year,age_gr,migback,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,No migration background,At least once per week,0.26273,568,2191,0.24430,0.28117
1985,17-29 y.,No migration background,At least once per month,0.30809,664,2191,0.28875,0.32742
1985,17-29 y.,No migration background,Seldom,0.33306,748,2191,0.31332,0.35280
1985,17-29 y.,No migration background,Never,0.09032,211,2191,0.07832,0.10233
1985,17-29 y.,Direct migration background,At least once per week,0.18020,145,810,0.15372,0.20669
1985,17-29 y.,Direct migration background,At least once per month,0.23384,153,810,0.20468,0.26301
1985,17-29 y.,Direct migration background,Seldom,0.28963,240,810,0.25838,0.32089
1985,17-29 y.,Direct migration background,Never,0.28053,272,810,0.24958,0.31149
1985,17-29 y.,Indirect migration background,At least once per week,0.26084,35,69,0.15647,0.36521
1985,17-29 y.,Indirect migration background,At least once per month,0.29200,34,69,0.18393,0.40008
1985,30-45 y.,No migration background,At least once per week,0.05817,128,2255,0.04851,0.06784
1985,30-45 y.,No migration background,At least once per month,0.13349,291,2255,0.11945,0.14753
1985,30-45 y.,No migration background,Seldom,0.50635,1155,2255,0.48571,0.52699
1985,30-45 y.,No migration background,Never,0.29231,681,2255,0.27353,0.31108
1985,30-45 y.,Direct migration background,At least once per week,0.04811,59,1175,0.03587,0.06036
1985,30-45 y.,Direct migration background,At least once per month,0.12992,129,1175,0.11069,0.14916
1985,30-45 y.,Direct migration background,Seldom,0.31454,305,1175,0.28798,0.34110
1985,30-45 y.,Direct migration background,Never,0.50377,682,1175,0.47517,0.53237
1985,46-65 y.,No migration background,At least once per week,0.02634,63,2398,0.01993,0.03275
1985,46-65 y.,No migration background,At least once per month,0.05247,134,2398,0.04354,0.06140
1985,46-65 y.,No migration background,Seldom,0.28452,714,2398,0.26646,0.30258
1985,46-65 y.,No migration background,Never,0.62329,1487,2398,0.60389,0.64269
1985,46-65 y.,Direct migration background,At least once per month,0.05304,42,832,0.03780,0.06828
1985,46-65 y.,Direct migration background,Seldom,0.24242,176,832,0.21328,0.27156
1985,46-65 y.,Direct migration background,Never,0.66630,614,832,0.63424,0.69836
1985,66 and older,No migration background,Seldom,0.06891,79,1021,0.05336,0.08445
1985,66 and older,No migration background,Never,0.89155,942,1021,0.87247,0.91063
1985,66 and older,Direct migration background,Never,0.90078,32,32,0.79553,1.00602
1986,17-29 y.,No migration background,At least once per week,0.25045,521,2132,0.23205,0.26884
1986,17-29 y.,No migration background,At least once per month,0.34765,724,2132,0.32743,0.36787
1986,17-29 y.,No migration background,Seldom,0.31032,675,2132,0.29068,0.32996
1986,17-29 y.,No migration background,Never,0.09114,212,2132,0.07892,0.10336
1986,17-29 y.,Direct migration background,At least once per week,0.14801,134,795,0.12331,0.17271
1986,17-29 y.,Direct migration background,At least once per month,0.28973,197,795,0.25818,0.32129
1986,17-29 y.,Direct migration background,Seldom,0.30087,231,795,0.26897,0.33278
1986,17-29 y.,Direct migration background,Never,0.25440,233,795,0.22411,0.28469
1986,17-29 y.,Indirect migration background,At least once per week,0.40552,39,77,0.29513,0.51591
1986,17-29 y.,Indirect migration background,At least once per month,0.23955,38,77,0.14359,0.33550
1986,30-45 y.,No migration background,At least once per week,0.06303,126,2135,0.05272,0.07334
1986,30-45 y.,No migration background,At least once per month,0.13089,270,2135,0.11658,0.14520
1986,30-45 y.,No migration background,Seldom,0.49968,1082,2135,0.47847,0.52090
1986,30-45 y.,No migration background,Never,0.29922,657,2135,0.27979,0.31864
1986,30-45 y.,Direct migration background,At least once per week,0.04545,49,1094,0.03310,0.05780
1986,30-45 y.,Direct migration background,At least once per month,0.09915,100,1094,0.08143,0.11687
1986,30-45 y.,Direct migration background,Seldom,0.35583,315,1094,0.32744,0.38421
1986,30-45 y.,Direct migration background,Never,0.49343,630,1094,0.46379,0.52307
1986,46-65 y.,No migration background,At least once per week,0.02839,68,2308,0.02161,0.03517
1986,46-65 y.,No migration background,At least once per month,0.05162,124,2308,0.04259,0.06065
1986,46-65 y.,No migration background,Seldom,0.29729,725,2308,0.27864,0.31594
1986,46-65 y.,No migration background,Never,0.60756,1391,2308,0.58763,0.62749
1986,46-65 y.,Direct migration background,At least once per month,0.05390,43,851,0.03872,0.06908
1986,46-65 y.,Direct migration background,Seldom,0.23383,169,851,0.20538,0.26229
1986,46-65 y.,Direct migration background,Never,0.68191,639,851,0.65060,0.71322
1986,66 and older,No migration background,Seldom,0.07381,72,942,0.05710,0.09052
1986,66 and older,No migration background,Never,0.89317,870,942,0.87344,0.91291
1986,66 and older,Direct migration background,Never,0.90517,42,42,0.81549,0.99485
1988,17-29 y.,No migration background,At least once per week,0.24102,466,1911,0.22184,0.26020
1988,17-29 y.,No migration background,At least once per month,0.36701,687,1911,0.34539,0.38862
1988,17-29 y.,No migration background,Seldom,0.30812,593,1911,0.28741,0.32883
1988,17-29 y.,No migration background,Never,0.08150,165,1911,0.06923,0.09377
1988,17-29 y.,Direct migration background,At least once per week,0.16176,122,765,0.13565,0.18787
1988,17-29 y.,Direct migration background,At least once per month,0.25527,196,765,0.22435,0.28618
1988,17-29 y.,Direct migration background,Seldom,0.29650,187,765,0.26411,0.32888
1988,17-29 y.,Direct migration background,Never,0.28246,260,765,0.25054,0.31439
1988,17-29 y.,Indirect migration background,At least once per week,0.25796,56,159,0.18974,0.32618
1988,17-29 y.,Indirect migration background,At least once per month,0.33444,61,159,0.26088,0.40801
1988,17-29 y.,Indirect migration background,Seldom,0.22650,42,159,0.16123,0.29177
1988,30-45 y.,No migration background,At least once per week,0.05232,98,1983,0.04252,0.06212
1988,30-45 y.,No migration background,At least once per month,0.16128,311,1983,0.14509,0.17747
1988,30-45 y.,No migration background,Seldom,0.50980,1014,1983,0.48779,0.53180
1988,30-45 y.,No migration background,Never,0.26615,560,1983,0.24669,0.28561
1988,30-45 y.,Direct migration background,At least once per week,0.04076,35,926,0.02802,0.05351
