year,age_gr,pgisced97,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Pre-primary Level,At least once per week,0.33653,65,173,0.26592,0.40715
1985,17-29 y.,Pre-primary Level,At least once per month,0.38566,65,173,0.31292,0.45841
1985,17-29 y.,Pre-primary Level,Seldom,0.21348,43,173,0.15224,0.27472
1985,17-29 y.,Primary Level,Seldom,0.38748,55,127,0.30242,0.47255
1985,17-29 y.,Primary Level,Never,0.31017,72,127,0.22940,0.39094
1985,17-29 y.,Lower Secondary Level,At least once per week,0.29178,252,951,0.26287,0.32068
1985,17-29 y.,Lower Secondary Level,At least once per month,0.30473,258,951,0.27546,0.33400
1985,17-29 y.,Lower Secondary Level,Seldom,0.28846,267,951,0.25965,0.31727
1985,17-29 y.,Lower Secondary Level,Never,0.11219,174,951,0.09212,0.13226
1985,17-29 y.,Upper Secondary Level,At least once per week,0.23525,337,1420,0.21318,0.25732
1985,17-29 y.,Upper Secondary Level,At least once per month,0.30492,407,1420,0.28097,0.32888
1985,17-29 y.,Upper Secondary Level,Seldom,0.35679,497,1420,0.33186,0.38171
1985,17-29 y.,Upper Secondary Level,Never,0.09892,179,1420,0.08338,0.11445
1985,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.34430,40,40,0.19518,0.49343
1985,17-29 y.,First Stage of Tertiary Education,At least once per month,0.30679,33,74,0.20100,0.41258
1985,17-29 y.,First Stage of Tertiary Education,Seldom,0.34175,41,74,0.23295,0.45056
1985,17-29 y.,Second Stage of Tertiary Education,Seldom,0.40437,50,50,0.26696,0.54179
1985,30-45 y.,Primary Level,Seldom,0.15440,43,286,0.11245,0.19635
1985,30-45 y.,Primary Level,Never,0.70639,243,286,0.65351,0.75926
1985,30-45 y.,Lower Secondary Level,At least once per month,0.10711,64,651,0.08333,0.13088
1985,30-45 y.,Lower Secondary Level,Seldom,0.37785,222,651,0.34058,0.41513
1985,30-45 y.,Lower Secondary Level,Never,0.47859,365,651,0.44018,0.51699
1985,30-45 y.,Upper Secondary Level,At least once per week,0.05771,102,1749,0.04677,0.06864
1985,30-45 y.,Upper Secondary Level,At least once per month,0.11781,207,1749,0.10270,0.13293
1985,30-45 y.,Upper Secondary Level,Seldom,0.51383,858,1749,0.49040,0.53727
1985,30-45 y.,Upper Secondary Level,Never,0.30253,582,1749,0.28099,0.32406
1985,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.50446,35,35,0.33640,0.67252
1985,30-45 y.,First Stage of Tertiary Education,Seldom,0.53810,125,183,0.46567,0.61054
1985,30-45 y.,First Stage of Tertiary Education,Never,0.25518,58,183,0.19184,0.31852
1985,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.07856,31,358,0.05065,0.10647
1985,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.23707,78,358,0.19295,0.28118
1985,30-45 y.,Second Stage of Tertiary Education,Seldom,0.49014,179,358,0.43828,0.54199
1985,30-45 y.,Second Stage of Tertiary Education,Never,0.18260,70,358,0.14253,0.22268
1985,46-65 y.,Primary Level,Seldom,0.16242,52,320,0.12194,0.20289
1985,46-65 y.,Primary Level,Never,0.78376,268,320,0.73858,0.82893
1985,46-65 y.,Lower Secondary Level,At least once per month,0.03832,38,960,0.02617,0.05047
1985,46-65 y.,Lower Secondary Level,Seldom,0.23079,231,960,0.20412,0.25746
1985,46-65 y.,Lower Secondary Level,Never,0.69424,691,960,0.66508,0.72340
1985,46-65 y.,Upper Secondary Level,At least once per week,0.03013,45,1455,0.02134,0.03892
1985,46-65 y.,Upper Secondary Level,At least once per month,0.05431,84,1455,0.04266,0.06596
1985,46-65 y.,Upper Secondary Level,Seldom,0.29873,442,1455,0.27520,0.32225
1985,46-65 y.,Upper Secondary Level,Never,0.60383,884,1455,0.57869,0.62897
1985,46-65 y.,Post-secondary Non-tertiary Level,Never,0.70302,38,38,0.55579,0.85025
1985,46-65 y.,First Stage of Tertiary Education,Seldom,0.35147,70,176,0.28073,0.42220
1985,46-65 y.,First Stage of Tertiary Education,Never,0.54444,106,176,0.47065,0.61823
1985,46-65 y.,Second Stage of Tertiary Education,Seldom,0.35838,82,184,0.28891,0.42786
1985,46-65 y.,Second Stage of Tertiary Education,Never,0.50699,102,184,0.43455,0.57943
1985,66 and older,Lower Secondary Level,Never,0.93126,392,392,0.90618,0.95634
1985,66 and older,Upper Secondary Level,Seldom,0.08294,49,488,0.05845,0.10744
1985,66 and older,Upper Secondary Level,Never,0.86823,439,488,0.83819,0.89827
1985,66 and older,First Stage of Tertiary Education,Never,0.86206,68,68,0.77949,0.94463
1985,66 and older,Second Stage of Tertiary Education,Never,0.84127,47,47,0.73567,0.94687
1986,17-29 y.,Pre-primary Level,At least once per week,0.32379,62,177,0.25466,0.39292
1986,17-29 y.,Pre-primary Level,At least once per month,0.38572,70,177,0.31381,0.45764
1986,17-29 y.,Pre-primary Level,Seldom,0.23231,45,177,0.16992,0.29471
1986,17-29 y.,Primary Level,Seldom,0.32442,44,111,0.23693,0.41191
1986,17-29 y.,Primary Level,Never,0.32165,67,111,0.23436,0.40894
1986,17-29 y.,Lower Secondary Level,At least once per week,0.29399,252,946,0.26494,0.32304
1986,17-29 y.,Lower Secondary Level,At least once per month,0.32458,276,946,0.29473,0.35443
1986,17-29 y.,Lower Secondary Level,Seldom,0.27697,262,946,0.24844,0.30550
1986,17-29 y.,Lower Secondary Level,Never,0.10344,156,946,0.08402,0.12285
1986,17-29 y.,Upper Secondary Level,At least once per week,0.22490,301,1395,0.20299,0.24682
1986,17-29 y.,Upper Secondary Level,At least once per month,0.34763,467,1395,0.32263,0.37263
1986,17-29 y.,Upper Secondary Level,Seldom,0.32595,450,1395,0.30135,0.35056
1986,17-29 y.,Upper Secondary Level,Never,0.10152,177,1395,0.08566,0.11737
1986,17-29 y.,Post-secondary Non-tertiary Level,At least once per month,0.29831,31,74,0.19335,0.40326
1986,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.42819,43,74,0.31468,0.54170
1986,17-29 y.,First Stage of Tertiary Education,At least once per month,0.49190,40,77,0.37950,0.60430
1986,17-29 y.,First Stage of Tertiary Education,Seldom,0.29497,37,77,0.19244,0.39750
1986,17-29 y.,Second Stage of Tertiary Education,At least once per month,0.38790,35,68,0.27122,0.50457
1986,17-29 y.,Second Stage of Tertiary Education,Seldom,0.31464,33,68,0.20345,0.42584
1986,30-45 y.,Primary Level,Seldom,0.15294,53,253,0.10850,0.19738
1986,30-45 y.,Primary Level,Never,0.74012,200,253,0.68597,0.79427
1986,30-45 y.,Lower Secondary Level,At least once per month,0.07156,41,595,0.05083,0.09229
1986,30-45 y.,Lower Secondary Level,Seldom,0.40337,212,595,0.36391,0.44282
1986,30-45 y.,Lower Secondary Level,Never,0.48403,342,595,0.44384,0.52422
1986,30-45 y.,Upper Secondary Level,At least once per week,0.06127,94,1647,0.04968,0.07286
1986,30-45 y.,Upper Secondary Level,At least once per month,0.12684,200,1647,0.11076,0.14292
1986,30-45 y.,Upper Secondary Level,Seldom,0.49492,779,1647,0.47076,0.51907
1986,30-45 y.,Upper Secondary Level,Never,0.31109,574,1647,0.28873,0.33346
1986,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.51158,38,71,0.39448,0.62868
1986,30-45 y.,Post-secondary Non-tertiary Level,Never,0.23556,33,71,0.13615,0.33497
1986,30-45 y.,First Stage of Tertiary Education,Seldom,0.58204,129,177,0.50917,0.65491
1986,30-45 y.,First Stage of Tertiary Education,Never,0.22057,48,177,0.15932,0.28183
1986,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.08985,34,377,0.06095,0.11876
1986,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.19863,77,377,0.15830,0.23896
