year,migback,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,At least once per week,0.07780,772,7891,0.07189,0.08371
1985,No migration background,At least once per month,0.11052,1102,7891,0.10360,0.11744
1985,No migration background,Seldom,0.26569,2696,7891,0.25595,0.27544
1985,No migration background,Never,0.39043,3321,7891,0.37966,0.40119
1985,Direct migration background,At least once per week,0.06522,225,2875,0.05619,0.07425
1985,Direct migration background,At least once per month,0.11111,324,2875,0.09962,0.12260
1985,Direct migration background,Seldom,0.24866,726,2875,0.23286,0.26447
1985,Direct migration background,Never,0.47905,1600,2875,0.46079,0.49731
1985,Indirect migration background,At least once per week,0.02793,37,108,-0.00329,0.05915
1985,Indirect migration background,At least once per month,0.02878,35,108,-0.00290,0.06046
1985,Indirect migration background,Seldom,0.04082,36,108,0.00333,0.07831
1986,No migration background,At least once per week,0.07595,723,7539,0.06996,0.08193
1986,No migration background,At least once per month,0.11831,1132,7539,0.11102,0.12560
1986,No migration background,Seldom,0.26340,2554,7539,0.25346,0.27335
1986,No migration background,Never,0.38836,3130,7539,0.37736,0.39936
1986,Direct migration background,At least once per week,0.05512,202,2808,0.04667,0.06356
1986,Direct migration background,At least once per month,0.11086,341,2808,0.09924,0.12247
1986,Direct migration background,Seldom,0.25814,721,2808,0.24195,0.27433
1986,Direct migration background,Never,0.48985,1544,2808,0.47136,0.50835
1986,Indirect migration background,At least once per week,0.03713,40,152,0.00697,0.06729
1986,Indirect migration background,At least once per month,0.02657,40,152,0.00092,0.05222
1986,Indirect migration background,Seldom,0.03648,40,152,0.00658,0.06638
1986,Indirect migration background,Never,0.04606,32,152,0.01263,0.07950
1988,No migration background,At least once per week,0.07004,638,7015,0.06407,0.07601
1988,No migration background,At least once per month,0.12699,1137,7015,0.11919,0.13478
1988,No migration background,Seldom,0.27158,2416,7015,0.26117,0.28199
1988,No migration background,Never,0.37417,2824,7015,0.36285,0.38550
1988,Direct migration background,At least once per week,0.05018,169,2648,0.04186,0.05849
1988,Direct migration background,At least once per month,0.11235,322,2648,0.10032,0.12438
1988,Direct migration background,Seldom,0.25444,611,2648,0.23785,0.27103
1988,Direct migration background,Never,0.50834,1546,2648,0.48930,0.52739
1988,Indirect migration background,At least once per week,0.02880,56,219,0.00660,0.05101
1988,Indirect migration background,At least once per month,0.03757,62,219,0.01233,0.06282
1988,Indirect migration background,Seldom,0.06122,60,219,0.02940,0.09304
1988,Indirect migration background,Never,0.04066,41,219,0.01444,0.06688
1990,No migration background,At least once per week,0.04910,755,10844,0.04503,0.05317
1990,No migration background,At least once per month,0.11374,1530,10844,0.10777,0.11972
1990,No migration background,Seldom,0.29109,4337,10844,0.28254,0.29964
1990,No migration background,Never,0.37666,4222,10844,0.36754,0.38578
1990,Direct migration background,At least once per week,0.03733,110,2652,0.03012,0.04455
1990,Direct migration background,At least once per month,0.10452,292,2652,0.09288,0.11617
1990,Direct migration background,Seldom,0.24430,561,2652,0.22794,0.26066
1990,Direct migration background,Never,0.56237,1689,2652,0.54349,0.58126
1990,Indirect migration background,At least once per week,0.03252,60,294,0.01221,0.05283
1990,Indirect migration background,At least once per month,0.05846,109,294,0.03160,0.08533
1990,Indirect migration background,Seldom,0.05257,71,294,0.02701,0.07812
1990,Indirect migration background,Never,0.04576,54,294,0.02183,0.06969
1992,No migration background,At least once per week,0.06168,813,10237,0.05702,0.06634
1992,No migration background,At least once per month,0.11603,1458,10237,0.10983,0.12223
1992,No migration background,Seldom,0.30112,4133,10237,0.29223,0.31001
1992,No migration background,Never,0.34131,3833,10237,0.33212,0.35049
1992,Direct migration background,At least once per week,0.05414,147,2517,0.04530,0.06298
1992,Direct migration background,At least once per month,0.09756,255,2517,0.08597,0.10915
1992,Direct migration background,Seldom,0.31858,727,2517,0.30037,0.33678
1992,Direct migration background,Never,0.49056,1388,2517,0.47103,0.51010
1992,Indirect migration background,At least once per week,0.06611,106,403,0.04182,0.09040
1992,Indirect migration background,At least once per month,0.07189,133,403,0.04664,0.09714
1992,Indirect migration background,Seldom,0.07566,112,403,0.04981,0.10151
1992,Indirect migration background,Never,0.03967,52,403,0.02059,0.05875
1994,No migration background,At least once per week,0.06465,824,9924,0.05981,0.06949
1994,No migration background,At least once per month,0.11572,1468,9924,0.10942,0.12201
1994,No migration background,Seldom,0.31567,4087,9924,0.30653,0.32482
1994,No migration background,Never,0.32340,3545,9924,0.31420,0.33260
1994,Direct migration background,At least once per week,0.05606,136,2336,0.04673,0.06540
1994,Direct migration background,At least once per month,0.09796,227,2336,0.08590,0.11002
1994,Direct migration background,Seldom,0.32145,697,2336,0.30250,0.34039
1994,Direct migration background,Never,0.49987,1276,2336,0.47959,0.52015
1994,Indirect migration background,At least once per week,0.09207,156,486,0.06634,0.11781
1994,Indirect migration background,At least once per month,0.10304,153,486,0.07599,0.13010
1994,Indirect migration background,Seldom,0.09253,129,486,0.06674,0.11832
1994,Indirect migration background,Never,0.03532,48,486,0.01889,0.05174
1995,No migration background,At least once per week,0.04890,661,9951,0.04466,0.05314
