year,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.04060,419,8550,0.03641,0.04478
1985,Urban regions,No,0.95940,8131,8550,0.95522,0.96359
1985,Rural regions,Yes,0.05231,132,2317,0.04325,0.06138
1985,Rural regions,No,0.94769,2185,2317,0.93862,0.95675
1986,Urban regions,Yes,0.03936,393,8190,0.03515,0.04357
1986,Urban regions,No,0.96064,7797,8190,0.95643,0.96485
1986,Rural regions,Yes,0.05120,121,2199,0.04199,0.06042
1986,Rural regions,No,0.94880,2078,2199,0.93958,0.95801
1987,Urban regions,Yes,0.03881,385,8171,0.03462,0.04300
1987,Urban regions,No,0.96119,7786,8171,0.95700,0.96538
1987,Rural regions,Yes,0.04317,115,2183,0.03464,0.05169
1987,Rural regions,No,0.95683,2068,2183,0.94831,0.96536
1988,Urban regions,Yes,0.03797,368,7774,0.03372,0.04222
1988,Urban regions,No,0.96203,7406,7774,0.95778,0.96628
1988,Rural regions,Yes,0.05631,124,2041,0.04630,0.06631
1988,Rural regions,No,0.94369,1917,2041,0.93369,0.95370
1989,Urban regions,Yes,0.03112,275,6977,0.02705,0.03520
1989,Urban regions,No,0.96888,6702,6977,0.96480,0.97295
1989,Rural regions,Yes,0.04373,84,1831,0.03436,0.05310
1989,Rural regions,No,0.95627,1747,1831,0.94690,0.96564
1990,Urban regions,Yes,0.02964,266,7211,0.02573,0.03356
1990,Urban regions,No,0.97036,6945,7211,0.96644,0.97427
1990,Rural regions,Yes,0.04038,76,1901,0.03153,0.04923
1990,Rural regions,No,0.95962,1825,1901,0.95077,0.96847
1991,No answer / don't know,No,0.92532,80,80,0.86736,0.98329
1991,Urban regions,Yes,0.03687,397,8606,0.03289,0.04085
1991,Urban regions,No,0.96313,8209,8606,0.95915,0.96711
1991,Rural regions,Yes,0.05788,352,4662,0.05118,0.06459
1991,Rural regions,No,0.94212,4310,4662,0.93541,0.94882
1992,No answer / don't know,No,0.92573,105,105,0.87533,0.97612
1992,Urban regions,Yes,0.04662,490,8474,0.04213,0.05111
1992,Urban regions,No,0.95338,7984,8474,0.94889,0.95787
1992,Rural regions,Yes,0.07585,429,4436,0.06805,0.08364
1992,Rural regions,No,0.92415,4007,4436,0.91636,0.93195
1993,Urban regions,Yes,0.04935,507,8465,0.04474,0.05397
1993,Urban regions,No,0.95065,7958,8465,0.94603,0.95526
1993,Rural regions,Yes,0.08728,476,4451,0.07899,0.09557
1993,Rural regions,No,0.91272,3975,4451,0.90443,0.92101
1994,Urban regions,Yes,0.05613,588,8407,0.05121,0.06105
1994,Urban regions,No,0.94387,7819,8407,0.93895,0.94879
1994,Rural regions,Yes,0.10057,511,4361,0.09165,0.10950
1994,Rural regions,No,0.89943,3850,4361,0.89050,0.90835
1995,Urban regions,Yes,0.06066,617,8630,0.05562,0.06570
1995,Urban regions,No,0.93934,8013,8630,0.93430,0.94438
1995,Rural regions,Yes,0.08852,448,4493,0.08021,0.09683
1995,Rural regions,No,0.91148,4045,4493,0.90317,0.91979
1996,Urban regions,Yes,0.06327,592,8348,0.05805,0.06849
1996,Urban regions,No,0.93673,7756,8348,0.93151,0.94195
1996,Rural regions,Yes,0.08566,457,4400,0.07739,0.09393
1996,Rural regions,No,0.91434,3943,4400,0.90607,0.92261
1997,Urban regions,Yes,0.06626,644,8388,0.06094,0.07158
1997,Urban regions,No,0.93374,7744,8388,0.92842,0.93906
1997,Rural regions,Yes,0.09058,440,4438,0.08213,0.09902
1997,Rural regions,No,0.90942,3998,4438,0.90098,0.91787
1998,Urban regions,Yes,0.05936,620,9215,0.05453,0.06418
1998,Urban regions,No,0.94064,8595,9215,0.93582,0.94547
1998,Rural regions,Yes,0.09292,530,4898,0.08479,0.10105
1998,Rural regions,No,0.90708,4368,4898,0.89895,0.91521
1999,Urban regions,Yes,0.05452,546,8869,0.04979,0.05924
1999,Urban regions,No,0.94548,8323,8869,0.94076,0.95021
1999,Rural regions,Yes,0.07341,406,4746,0.06599,0.08083
1999,Rural regions,No,0.92659,4340,4746,0.91917,0.93401
2000,Urban regions,Yes,0.04512,827,15748,0.04188,0.04837
2000,Urban regions,No,0.95488,14921,15748,0.95163,0.95812
2000,Rural regions,Yes,0.07021,674,8359,0.06474,0.07569
2000,Rural regions,No,0.92979,7685,8359,0.92431,0.93526
2001,Urban regions,Yes,0.04891,736,14336,0.04538,0.05244
2001,Urban regions,No,0.95109,13600,14336,0.94756,0.95462
2001,Rural regions,Yes,0.07882,666,7585,0.07275,0.08488
2001,Rural regions,No,0.92118,6919,7585,0.91512,0.92725
2002,Urban regions,Yes,0.05600,772,15303,0.05235,0.05964
2002,Urban regions,No,0.94400,14531,15303,0.94036,0.94765
2002,Rural regions,Yes,0.08506,651,7723,0.07884,0.09128
2002,Rural regions,No,0.91494,7072,7723,0.90872,0.92116
2003,Urban regions,Yes,0.06291,867,14762,0.05899,0.06683
2003,Urban regions,No,0.93709,13895,14762,0.93317,0.94101
2003,Rural regions,Yes,0.09329,669,7402,0.08666,0.09992
2003,Rural regions,No,0.90671,6733,7402,0.90008,0.91334
2004,Urban regions,Yes,0.06787,880,14376,0.06375,0.07198
2004,Urban regions,No,0.93213,13496,14376,0.92802,0.93625
2004,Rural regions,Yes,0.09941,659,7236,0.09252,0.10631
2004,Rural regions,No,0.90059,6577,7236,0.89369,0.90748
2005,Urban regions,Yes,0.07220,853,13783,0.06787,0.07652
2005,Urban regions,No,0.92780,12930,13783,0.92348,0.93213
2005,Rural regions,Yes,0.09610,635,6914,0.08915,0.10304
2005,Rural regions,No,0.90390,6279,6914,0.89696,0.91085
2006,Urban regions,Yes,0.07600,939,14488,0.07168,0.08031
2006,Urban regions,No,0.92400,13549,14488,0.91969,0.92832
2006,Rural regions,Yes,0.09784,700,7479,0.09111,0.10457
2006,Rural regions,No,0.90216,6779,7479,0.89543,0.90889
2007,Urban regions,Yes,0.07179,789,13486,0.06743,0.07614
2007,Urban regions,No,0.92821,12697,13486,0.92386,0.93257
2007,Rural regions,Yes,0.08535,578,7023,0.07881,0.09188
2007,Rural regions,No,0.91465,6445,7023,0.90812,0.92119
2008,Urban regions,Yes,0.06084,644,12701,0.05668,0.06500
2008,Urban regions,No,0.93916,12057,12701,0.93500,0.94332
2008,Rural regions,Yes,0.07769,512,6615,0.07124,0.08415
2008,Rural regions,No,0.92231,6103,6615,0.91585,0.92876
2009,Urban regions,Yes,0.06169,596,11718,0.05733,0.06604
2009,Urban regions,No,0.93831,11122,11718,0.93396,0.94267
2009,Rural regions,Yes,0.08093,475,6299,0.07419,0.08766
2009,Rural regions,No,0.91907,5824,6299,0.91234,0.92581
