,Unnamed: 0,year,bula_h,pgisced97,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,Lower Secondary Level,No,1.0,77,10115,0.88099,1.10639
1,1,1985,Schleswig-Holstein,Upper Secondary Level,No,1.0,184,10115,0.94509,1.04987
2,2,1985,Hamburg,Lower Secondary Level,No,1.0,55,10115,0.85374,1.14651
3,3,1985,Hamburg,Upper Secondary Level,No,1.0,139,10115,0.92571,1.07845
4,4,1985,Lower Saxony,Primary Level,No,1.0,44,10115,0.75723,1.25911
5,5,1985,Lower Saxony,Lower Secondary Level,No,1.0,287,10115,0.95113,1.05287
6,6,1985,Lower Saxony,Upper Secondary Level,Yes,0.07452,40,10115,0.06457,0.08468
7,7,1985,Lower Saxony,Upper Secondary Level,No,0.92548,499,10115,0.89982,0.94973
8,8,1985,Lower Saxony,First Stage of Tertiary Education,No,1.0,70,10115,0.93565,1.07901
9,9,1985,Lower Saxony,Second Stage of Tertiary Education,No,1.0,74,10115,0.9216,1.08999
10,10,1985,Bremen,Lower Secondary Level,No,1.0,34,10115,0.84344,1.1786
11,11,1985,Bremen,Upper Secondary Level,No,1.0,53,10115,0.88327,1.10965
12,12,1985,North Rhine-Westphalia,Pre-primary Level,No,1.0,61,10115,0.91998,1.08079
13,13,1985,North Rhine-Westphalia,Primary Level,Yes,0.17573,31,10115,0.12407,0.23906
14,14,1985,North Rhine-Westphalia,Primary Level,No,0.82427,209,10115,0.70126,0.9445
15,15,1985,North Rhine-Westphalia,Lower Secondary Level,Yes,0.04902,41,10115,0.03973,0.05874
16,16,1985,North Rhine-Westphalia,Lower Secondary Level,No,0.95098,696,10115,0.9042,0.99758
17,17,1985,North Rhine-Westphalia,Upper Secondary Level,Yes,0.05046,74,10115,0.04541,0.05536
18,18,1985,North Rhine-Westphalia,Upper Secondary Level,No,0.94954,1312,10115,0.92891,0.97082
19,19,1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,1.0,82,10115,0.87723,1.11954
20,20,1985,North Rhine-Westphalia,First Stage of Tertiary Education,No,1.0,145,10115,0.94699,1.04449
21,21,1985,North Rhine-Westphalia,Second Stage of Tertiary Education,No,1.0,216,10115,0.94084,1.05339
22,22,1985,Hesse,Primary Level,No,1.0,77,10115,0.71796,1.30381
23,23,1985,Hesse,Lower Secondary Level,No,1.0,302,10115,0.91762,1.09079
24,24,1985,Hesse,Upper Secondary Level,No,1.0,484,10115,0.95758,1.04407
25,25,1985,Hesse,First Stage of Tertiary Education,No,1.0,52,10115,0.87328,1.10244
26,26,1985,Hesse,Second Stage of Tertiary Education,No,1.0,86,10115,0.89932,1.09735
27,27,1985,"Rhineland-Palatinate, Saarland",Primary Level,No,1.0,52,10115,0.73247,1.28831
28,28,1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,1.0,248,10115,0.9478,1.0564
29,29,1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,1.0,336,10115,0.96118,1.03857
30,30,1985,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,No,1.0,33,10115,0.86803,1.14232
31,31,1985,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,1.0,33,10115,0.91425,1.08431
32,32,1985,Baden-Wuerttemberg,Pre-primary Level,No,1.0,41,10115,0.87053,1.1182
33,33,1985,Baden-Wuerttemberg,Primary Level,No,1.0,221,10115,0.8563,1.19955
34,34,1985,Baden-Wuerttemberg,Lower Secondary Level,No,1.0,576,10115,0.94103,1.05074
35,35,1985,Baden-Wuerttemberg,Upper Secondary Level,No,1.0,830,10115,0.96481,1.03411
36,36,1985,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,1.0,42,10115,0.77559,1.22212
37,37,1985,Baden-Wuerttemberg,First Stage of Tertiary Education,No,1.0,107,10115,0.9332,1.06425
38,38,1985,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,1.0,109,10115,0.93464,1.07619
39,39,1985,Bavaria,Primary Level,No,1.0,74,10115,0.77241,1.21924
40,40,1985,Bavaria,Lower Secondary Level,No,1.0,507,10115,0.94824,1.04345
41,41,1985,Bavaria,Upper Secondary Level,Yes,0.04394,41,10115,0.03937,0.04881
42,42,1985,Bavaria,Upper Secondary Level,No,0.95606,883,10115,0.93103,0.98602
43,43,1985,Bavaria,Post-secondary Non-tertiary Level,No,1.0,40,10115,0.82285,1.15183
44,44,1985,Bavaria,First Stage of Tertiary Education,No,1.0,114,10115,0.94759,1.0501
45,45,1985,Bavaria,Second Stage of Tertiary Education,No,1.0,145,10115,0.9299,1.07634
46,46,1985,Berlin,Lower Secondary Level,No,1.0,74,10115,0.88455,1.12094
47,47,1985,Berlin,Upper Secondary Level,No,1.0,150,10115,0.92191,1.08595
48,48,1985,Berlin,Second Stage of Tertiary Education,No,1.0,35,10115,0.88569,1.10774
49,49,1986,Schleswig-Holstein,Lower Secondary Level,No,1.0,72,9589,0.89433,1.1114
50,50,1986,Schleswig-Holstein,Upper Secondary Level,No,1.0,166,9589,0.93313,1.06708
51,51,1986,Hamburg,Lower Secondary Level,No,1.0,51,9589,0.8218,1.1726
52,52,1986,Hamburg,Upper Secondary Level,No,1.0,127,9589,0.91081,1.0844
53,53,1986,Lower Saxony,Primary Level,No,1.0,46,9589,0.72131,1.3533
54,54,1986,Lower Saxony,Lower Secondary Level,No,1.0,294,9589,0.93905,1.04794
55,55,1986,Lower Saxony,Upper Secondary Level,No,1.0,499,9589,0.96343,1.03302
56,56,1986,Lower Saxony,First Stage of Tertiary Education,No,1.0,69,9589,0.9224,1.0722
57,57,1986,Lower Saxony,Second Stage of Tertiary Education,No,1.0,78,9589,0.90099,1.11938
58,58,1986,Bremen,Lower Secondary Level,No,1.0,31,9589,0.82894,1.20544
59,59,1986,Bremen,Upper Secondary Level,No,1.0,55,9589,0.8566,1.11052
60,60,1986,North Rhine-Westphalia,Pre-primary Level,No,1.0,69,9589,0.88975,1.12258
61,61,1986,North Rhine-Westphalia,Primary Level,No,1.0,220,9589,0.84721,1.17491
