year,pgisced97,quintil_oecd,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,1st Quintile,No,0.98626,34,34,0.94654,1.02598
1985,Primary Level,1st Quintile,Yes,0.23645,40,297,0.18804,0.28486
1985,Primary Level,1st Quintile,No,0.76355,257,297,0.71514,0.81196
1985,Primary Level,2nd Quintile,No,0.93281,161,161,0.89402,0.97160
1985,Primary Level,3rd Quintile,No,0.92611,139,139,0.88247,0.96976
1985,Primary Level,4th Quintile,No,0.93626,110,110,0.89040,0.98212
1985,Primary Level,5th Quintile,No,0.96040,56,56,0.90885,1.01194
1985,Lower Secondary Level,1st Quintile,Yes,0.07429,78,825,0.05639,0.09220
1985,Lower Secondary Level,1st Quintile,No,0.92571,747,825,0.90780,0.94361
1985,Lower Secondary Level,2nd Quintile,Yes,0.03599,33,707,0.02225,0.04973
1985,Lower Secondary Level,2nd Quintile,No,0.96401,674,707,0.95027,0.97775
1985,Lower Secondary Level,3rd Quintile,No,0.96879,636,636,0.95526,0.98231
1985,Lower Secondary Level,4th Quintile,No,0.98359,470,470,0.97209,0.99509
1985,Lower Secondary Level,5th Quintile,No,0.98027,329,329,0.96522,0.99532
1985,Upper Secondary Level,1st Quintile,Yes,0.10738,97,832,0.08633,0.12843
1985,Upper Secondary Level,1st Quintile,No,0.89262,735,832,0.87157,0.91367
1985,Upper Secondary Level,2nd Quintile,Yes,0.05831,64,1005,0.04381,0.07280
1985,Upper Secondary Level,2nd Quintile,No,0.94169,941,1005,0.92720,0.95619
1985,Upper Secondary Level,3rd Quintile,Yes,0.04098,45,1053,0.02900,0.05296
1985,Upper Secondary Level,3rd Quintile,No,0.95902,1008,1053,0.94704,0.97100
1985,Upper Secondary Level,4th Quintile,No,0.97853,1126,1126,0.97006,0.98700
1985,Upper Secondary Level,5th Quintile,No,0.97986,1055,1055,0.97138,0.98834
1985,Post-secondary Non-tertiary Level,1st Quintile,No,0.84975,45,45,0.74417,0.95533
1985,Post-secondary Non-tertiary Level,2nd Quintile,No,0.83693,45,45,0.72777,0.94609
1985,Post-secondary Non-tertiary Level,3rd Quintile,No,0.95186,48,48,0.89066,1.01306
1985,Post-secondary Non-tertiary Level,4th Quintile,No,0.94140,51,51,0.87629,1.00650
1985,Post-secondary Non-tertiary Level,5th Quintile,No,0.97723,59,59,0.93884,1.01562
1985,First Stage of Tertiary Education,1st Quintile,No,0.88310,54,54,0.79660,0.96961
1985,First Stage of Tertiary Education,2nd Quintile,No,0.93164,67,67,0.87075,0.99252
1985,First Stage of Tertiary Education,3rd Quintile,No,0.98417,109,109,0.96063,1.00771
1985,First Stage of Tertiary Education,4th Quintile,No,0.98709,151,151,0.96902,1.00515
1985,First Stage of Tertiary Education,5th Quintile,No,0.99258,212,212,0.98101,1.00416
1985,Second Stage of Tertiary Education,1st Quintile,No,0.93468,48,48,0.86404,1.00532
1985,Second Stage of Tertiary Education,2nd Quintile,No,0.95704,56,56,0.90345,1.01063
1985,Second Stage of Tertiary Education,3rd Quintile,No,0.99641,98,98,0.98450,1.00831
1985,Second Stage of Tertiary Education,4th Quintile,No,0.96401,171,171,0.93600,0.99201
1985,Second Stage of Tertiary Education,5th Quintile,No,0.97808,357,357,0.96288,0.99329
1986,No answer / don't know,1st Quintile,No,0.93468,34,34,0.85037,1.01898
1986,Pre-primary Level,1st Quintile,No,0.95652,41,41,0.89332,1.01972
1986,Primary Level,1st Quintile,No,0.87385,227,227,0.83056,0.91714
1986,Primary Level,2nd Quintile,No,0.85162,173,173,0.79850,0.90475
1986,Primary Level,3rd Quintile,No,0.95372,127,127,0.91704,0.99040
1986,Primary Level,4th Quintile,No,0.96832,115,115,0.93617,1.00047
1986,Primary Level,5th Quintile,No,0.98301,46,46,0.94526,1.02077
1986,Lower Secondary Level,1st Quintile,Yes,0.09011,79,751,0.06962,0.11060
1986,Lower Secondary Level,1st Quintile,No,0.90989,672,751,0.88940,0.93038
1986,Lower Secondary Level,2nd Quintile,Yes,0.03391,34,688,0.02037,0.04744
1986,Lower Secondary Level,2nd Quintile,No,0.96609,654,688,0.95256,0.97963
1986,Lower Secondary Level,3rd Quintile,No,0.98197,578,578,0.97112,0.99283
1986,Lower Secondary Level,4th Quintile,No,0.97127,486,486,0.95640,0.98614
1986,Lower Secondary Level,5th Quintile,No,0.97342,309,309,0.95546,0.99139
1986,Upper Secondary Level,1st Quintile,Yes,0.10030,94,785,0.07927,0.12132
1986,Upper Secondary Level,1st Quintile,No,0.89970,691,785,0.87868,0.92073
1986,Upper Secondary Level,2nd Quintile,Yes,0.03618,40,932,0.02418,0.04817
1986,Upper Secondary Level,2nd Quintile,No,0.96382,892,932,0.95183,0.97582
1986,Upper Secondary Level,3rd Quintile,Yes,0.03379,40,983,0.02249,0.04509
1986,Upper Secondary Level,3rd Quintile,No,0.96621,943,983,0.95491,0.97751
1986,Upper Secondary Level,4th Quintile,Yes,0.03063,40,1171,0.02076,0.04050
1986,Upper Secondary Level,4th Quintile,No,0.96937,1131,1171,0.95950,0.97924
1986,Upper Secondary Level,5th Quintile,No,0.98246,1020,1020,0.97440,0.99052
1986,Post-secondary Non-tertiary Level,1st Quintile,No,0.85526,53,53,0.75963,0.95089
1986,Post-secondary Non-tertiary Level,3rd Quintile,No,0.95333,63,63,0.90082,1.00583
1986,Post-secondary Non-tertiary Level,4th Quintile,No,0.93162,39,39,0.85136,1.01187
1986,First Stage of Tertiary Education,1st Quintile,No,0.90532,52,52,0.82497,0.98567
1986,First Stage of Tertiary Education,2nd Quintile,No,0.92392,73,73,0.86268,0.98516
1986,First Stage of Tertiary Education,3rd Quintile,No,0.98169,108,108,0.95628,1.00709
1986,First Stage of Tertiary Education,4th Quintile,No,0.99151,143,143,0.97642,1.00660
1986,Second Stage of Tertiary Education,1st Quintile,No,0.83502,42,42,0.72141,0.94864
1986,Second Stage of Tertiary Education,2nd Quintile,No,0.97697,55,55,0.93696,1.01698
1986,Second Stage of Tertiary Education,3rd Quintile,No,0.96122,90,90,0.92111,1.00133
1986,Second Stage of Tertiary Education,4th Quintile,No,0.94986,158,158,0.91572,0.98400
1986,Second Stage of Tertiary Education,5th Quintile,No,0.98091,364,364,0.96684,0.99499
1987,No answer / don't know,1st Quintile,No,0.96321,36,36,0.90085,1.02558
1987,Pre-primary Level,3rd Quintile,No,0.99709,43,43,0.98081,1.01338
1987,Primary Level,1st Quintile,Yes,0.16195,38,239,0.11515,0.20876
1987,Primary Level,1st Quintile,No,0.83805,201,239,0.79124,0.88485
1987,Primary Level,2nd Quintile,No,0.86297,170,170,0.81112,0.91482
1987,Primary Level,3rd Quintile,No,0.87586,140,140,0.82105,0.93068
1987,Primary Level,4th Quintile,No,0.95441,114,114,0.91595,0.99287
1987,Primary Level,5th Quintile,No,0.93076,45,45,0.85575,1.00577
1987,Lower Secondary Level,1st Quintile,Yes,0.07573,70,771,0.05704,0.09442
1987,Lower Secondary Level,1st Quintile,No,0.92427,701,771,0.90558,0.94296
1987,Lower Secondary Level,2nd Quintile,No,0.97706,637,637,0.96542,0.98869
1987,Lower Secondary Level,3rd Quintile,No,0.96029,533,533,0.94369,0.97688
1987,Lower Secondary Level,4th Quintile,No,0.96907,458,458,0.95320,0.98494
1987,Lower Secondary Level,5th Quintile,No,0.97822,329,329,0.96242,0.99402
1987,Upper Secondary Level,1st Quintile,Yes,0.09077,83,774,0.07052,0.11102
1987,Upper Secondary Level,1st Quintile,No,0.90923,691,774,0.88898,0.92948
1987,Upper Secondary Level,2nd Quintile,Yes,0.02865,34,944,0.01800,0.03929
1987,Upper Secondary Level,2nd Quintile,No,0.97135,910,944,0.96071,0.98200
1987,Upper Secondary Level,3rd Quintile,Yes,0.03453,41,1058,0.02352,0.04553
1987,Upper Secondary Level,3rd Quintile,No,0.96547,1017,1058,0.95447,0.97648
1987,Upper Secondary Level,4th Quintile,No,0.97875,1093,1093,0.97019,0.98730
1987,Upper Secondary Level,5th Quintile,No,0.98254,1001,1001,0.97442,0.99066
1987,Post-secondary Non-tertiary Level,1st Quintile,No,0.83884,43,43,0.72764,0.95004
1987,Post-secondary Non-tertiary Level,2nd Quintile,No,0.86091,43,43,0.75626,0.96557
1987,Post-secondary Non-tertiary Level,3rd Quintile,No,0.93652,54,54,0.87087,1.00216
1987,Post-secondary Non-tertiary Level,4th Quintile,No,0.91821,41,41,0.83328,1.00314
1987,First Stage of Tertiary Education,1st Quintile,No,0.92011,39,39,0.83390,1.00631
1987,First Stage of Tertiary Education,2nd Quintile,No,0.98966,85,85,0.96803,1.01129
1987,First Stage of Tertiary Education,3rd Quintile,No,0.96631,111,111,0.93260,1.00003
1987,First Stage of Tertiary Education,4th Quintile,No,0.97521,136,136,0.94898,1.00144
1987,First Stage of Tertiary Education,5th Quintile,No,0.98765,172,172,0.97110,1.00420
1987,Second Stage of Tertiary Education,1st Quintile,No,0.87907,46,46,0.78381,0.97434
1987,Second Stage of Tertiary Education,2nd Quintile,No,0.92359,46,46,0.84597,1.00121
1987,Second Stage of Tertiary Education,3rd Quintile,No,0.95236,78,78,0.90478,0.99994
1987,Second Stage of Tertiary Education,4th Quintile,No,0.97853,180,180,0.95730,0.99976
1987,Second Stage of Tertiary Education,5th Quintile,No,0.97127,364,364,0.95409,0.98846
1988,No answer / don't know,1st Quintile,No,0.87714,38,38,0.77136,0.98292
1988,Pre-primary Level,2nd Quintile,No,0.98767,36,36,0.95112,1.02423
1988,Primary Level,1st Quintile,Yes,0.16964,37,234,0.12145,0.21783
1988,Primary Level,1st Quintile,No,0.83036,197,234,0.78217,0.87855
1988,Primary Level,2nd Quintile,No,0.91496,144,144,0.86924,0.96068
1988,Primary Level,3rd Quintile,No,0.86858,122,122,0.80838,0.92878
1988,Primary Level,4th Quintile,No,0.87349,96,96,0.80664,0.94034
1988,Lower Secondary Level,1st Quintile,Yes,0.07624,69,746,0.05718,0.09529
1988,Lower Secondary Level,1st Quintile,No,0.92376,677,746,0.90471,0.94282
1988,Lower Secondary Level,2nd Quintile,No,0.97740,612,612,0.96562,0.98919
1988,Lower Secondary Level,3rd Quintile,No,0.95139,527,527,0.93301,0.96977
1988,Lower Secondary Level,4th Quintile,No,0.95627,429,429,0.93690,0.97565
1988,Lower Secondary Level,5th Quintile,No,0.98812,283,283,0.97548,1.00077
1988,Upper Secondary Level,1st Quintile,Yes,0.09479,69,718,0.07335,0.11623
1988,Upper Secondary Level,1st Quintile,No,0.90521,649,718,0.88377,0.92665
1988,Upper Secondary Level,2nd Quintile,Yes,0.03897,35,924,0.02648,0.05145
1988,Upper Secondary Level,2nd Quintile,No,0.96103,889,924,0.94855,0.97352
1988,Upper Secondary Level,3rd Quintile,Yes,0.04732,52,984,0.03405,0.06059
1988,Upper Secondary Level,3rd Quintile,No,0.95268,932,984,0.93941,0.96595
1988,Upper Secondary Level,4th Quintile,Yes,0.03875,42,1091,0.02729,0.05020
1988,Upper Secondary Level,4th Quintile,No,0.96125,1049,1091,0.94980,0.97271
1988,Upper Secondary Level,5th Quintile,No,0.97997,937,937,0.97100,0.98895
1988,Post-secondary Non-tertiary Level,1st Quintile,No,0.93083,36,36,0.84677,1.01490
1988,Post-secondary Non-tertiary Level,2nd Quintile,No,0.97628,43,43,0.93027,1.02230
1988,Post-secondary Non-tertiary Level,3rd Quintile,No,0.97075,46,46,0.92152,1.01998
1988,Post-secondary Non-tertiary Level,4th Quintile,No,0.98798,50,50,0.95748,1.01849
1988,Post-secondary Non-tertiary Level,5th Quintile,No,0.98584,75,75,0.95891,1.01276
1988,First Stage of Tertiary Education,1st Quintile,No,0.99908,53,53,0.99082,1.00734
1988,First Stage of Tertiary Education,4th Quintile,No,0.98094,131,131,0.95743,1.00444
1988,First Stage of Tertiary Education,5th Quintile,No,0.99056,160,160,0.97553,1.00559
