year,quintil_oecd,regtyp,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Yes,0.09737,178,1679,0.08319,0.11156
1985,1st Quintile,Urban regions,No,0.90263,1501,1679,0.88844,0.91681
1985,1st Quintile,Rural regions,Yes,0.09932,55,514,0.07343,0.12520
1985,1st Quintile,Rural regions,No,0.90068,459,514,0.87480,0.92657
1985,2nd Quintile,Urban regions,Yes,0.04960,95,1634,0.03907,0.06013
1985,2nd Quintile,Urban regions,No,0.95040,1539,1634,0.93987,0.96093
1985,2nd Quintile,Rural regions,Yes,0.05791,31,489,0.03719,0.07864
1985,2nd Quintile,Rural regions,No,0.94209,458,489,0.92136,0.96281
1985,3rd Quintile,Urban regions,Yes,0.03282,67,1712,0.02438,0.04127
1985,3rd Quintile,Urban regions,No,0.96718,1645,1712,0.95873,0.97562
1985,3rd Quintile,Rural regions,No,0.96082,457,457,0.94301,0.97863
1985,4th Quintile,Urban regions,Yes,0.01954,43,1792,0.01313,0.02594
1985,4th Quintile,Urban regions,No,0.98046,1749,1792,0.97406,0.98687
1985,4th Quintile,Rural regions,No,0.96705,382,382,0.94912,0.98497
1985,5th Quintile,Urban regions,Yes,0.01743,36,1726,0.01126,0.02361
1985,5th Quintile,Urban regions,No,0.98257,1690,1726,0.97639,0.98874
1985,5th Quintile,Rural regions,No,0.97603,428,428,0.96153,0.99054
1986,1st Quintile,Urban regions,Yes,0.09431,170,1598,0.07998,0.10865
1986,1st Quintile,Urban regions,No,0.90569,1428,1598,0.89135,0.92002
1986,1st Quintile,Rural regions,Yes,0.11236,54,438,0.08275,0.14197
1986,1st Quintile,Rural regions,No,0.88764,384,438,0.85803,0.91725
1986,2nd Quintile,Urban regions,Yes,0.03775,73,1559,0.02829,0.04721
1986,2nd Quintile,Urban regions,No,0.96225,1486,1559,0.95279,0.97171
1986,2nd Quintile,Rural regions,No,0.95823,461,461,0.93995,0.97652
1986,3rd Quintile,Urban regions,Yes,0.02533,57,1602,0.01764,0.03303
1986,3rd Quintile,Urban regions,No,0.97467,1545,1602,0.96697,0.98236
1986,3rd Quintile,Rural regions,No,0.96287,428,428,0.94494,0.98081
1986,4th Quintile,Urban regions,Yes,0.02704,54,1758,0.01945,0.03462
1986,4th Quintile,Urban regions,No,0.97296,1704,1758,0.96538,0.98055
1986,4th Quintile,Rural regions,No,0.95474,413,413,0.93466,0.97481
1986,5th Quintile,Urban regions,Yes,0.01760,36,1667,0.01129,0.02392
1986,5th Quintile,Urban regions,No,0.98240,1631,1667,0.97608,0.98871
1986,5th Quintile,Rural regions,No,0.98359,392,392,0.97100,0.99618
1987,1st Quintile,Urban regions,Yes,0.08609,159,1545,0.07210,0.10008
1987,1st Quintile,Urban regions,No,0.91391,1386,1545,0.89992,0.92790
1987,1st Quintile,Rural regions,Yes,0.09309,53,462,0.06657,0.11962
1987,1st Quintile,Rural regions,No,0.90691,409,462,0.88038,0.93343
1987,2nd Quintile,Urban regions,Yes,0.03220,69,1589,0.02352,0.04088
1987,2nd Quintile,Urban regions,No,0.96780,1520,1589,0.95912,0.97648
1987,2nd Quintile,Rural regions,No,0.96375,434,434,0.94615,0.98136
1987,3rd Quintile,Urban regions,Yes,0.03975,70,1615,0.03022,0.04928
1987,3rd Quintile,Urban regions,No,0.96025,1545,1615,0.95072,0.96978
1987,3rd Quintile,Rural regions,No,0.96246,445,445,0.94478,0.98014
1987,4th Quintile,Urban regions,Yes,0.02536,48,1721,0.01793,0.03279
1987,4th Quintile,Urban regions,No,0.97464,1673,1721,0.96721,0.98207
1987,4th Quintile,Rural regions,No,0.97762,410,410,0.96329,0.99196
1987,5th Quintile,Urban regions,Yes,0.01995,39,1698,0.01330,0.02660
1987,5th Quintile,Urban regions,No,0.98005,1659,1698,0.97340,0.98670
1987,5th Quintile,Rural regions,No,0.98330,370,370,0.97022,0.99637
1988,1st Quintile,Urban regions,Yes,0.07453,142,1496,0.06122,0.08785
1988,1st Quintile,Urban regions,No,0.92547,1354,1496,0.91215,0.93878
1988,1st Quintile,Rural regions,Yes,0.11324,52,431,0.08329,0.14319
1988,1st Quintile,Rural regions,No,0.88676,379,431,0.85681,0.91671
1988,2nd Quintile,Urban regions,Yes,0.03354,57,1538,0.02453,0.04254
1988,2nd Quintile,Urban regions,No,0.96646,1481,1538,0.95746,0.97547
1988,2nd Quintile,Rural regions,No,0.97503,397,397,0.95966,0.99040
1988,3rd Quintile,Urban regions,Yes,0.04113,76,1557,0.03126,0.05100
1988,3rd Quintile,Urban regions,No,0.95887,1481,1557,0.94900,0.96874
1988,3rd Quintile,Rural regions,No,0.94540,396,396,0.92299,0.96780
1988,4th Quintile,Urban regions,Yes,0.03261,63,1584,0.02386,0.04136
1988,4th Quintile,Urban regions,No,0.96739,1521,1584,0.95864,0.97614
1988,4th Quintile,Rural regions,No,0.94218,425,425,0.91996,0.96439
1988,5th Quintile,Urban regions,No,0.98373,1567,1567,0.97746,0.98999
1988,5th Quintile,Rural regions,No,0.98280,320,320,0.96853,0.99707
1989,1st Quintile,Urban regions,Yes,0.06663,105,1296,0.05304,0.08021
1989,1st Quintile,Urban regions,No,0.93337,1191,1296,0.91979,0.94696
1989,1st Quintile,Rural regions,No,0.91456,314,314,0.88359,0.94553
1989,2nd Quintile,Urban regions,Yes,0.03761,69,1355,0.02748,0.04775
1989,2nd Quintile,Urban regions,No,0.96239,1286,1355,0.95225,0.97252
1989,2nd Quintile,Rural regions,No,0.96360,377,377,0.94467,0.98253
1989,3rd Quintile,Urban regions,Yes,0.02596,39,1370,0.01754,0.03439
1989,3rd Quintile,Urban regions,No,0.97404,1331,1370,0.96561,0.98246
1989,3rd Quintile,Rural regions,No,0.95876,364,364,0.93831,0.97922
1989,4th Quintile,Urban regions,Yes,0.01647,31,1490,0.01000,0.02293
1989,4th Quintile,Urban regions,No,0.98353,1459,1490,0.97707,0.99000
1989,4th Quintile,Rural regions,No,0.96915,392,392,0.95202,0.98629
1989,5th Quintile,Urban regions,Yes,0.01715,31,1465,0.01050,0.02380
1989,5th Quintile,Urban regions,No,0.98285,1434,1465,0.97620,0.98950
1989,5th Quintile,Rural regions,No,0.97713,300,300,0.96018,0.99407
1990,1st Quintile,Urban regions,Yes,0.06673,112,1403,0.05367,0.07979
1990,1st Quintile,Urban regions,No,0.93327,1291,1403,0.92021,0.94633
1990,1st Quintile,Rural regions,Yes,0.08021,34,407,0.05379,0.10663
1990,1st Quintile,Rural regions,No,0.91979,373,407,0.89337,0.94621
1990,2nd Quintile,Urban regions,Yes,0.02378,48,1429,0.01588,0.03168
1990,2nd Quintile,Urban regions,No,0.97622,1381,1429,0.96832,0.98412
1990,2nd Quintile,Rural regions,No,0.96597,377,377,0.94764,0.98429
1990,3rd Quintile,Urban regions,Yes,0.02620,48,1500,0.01812,0.03429
1990,3rd Quintile,Urban regions,No,0.97380,1452,1500,0.96571,0.98188
1990,3rd Quintile,Rural regions,No,0.97238,330,330,0.95468,0.99009
1990,4th Quintile,Urban regions,Yes,0.02360,38,1422,0.01571,0.03150
1990,4th Quintile,Urban regions,No,0.97640,1384,1422,0.96850,0.98429
1990,4th Quintile,Rural regions,No,0.96837,446,446,0.95211,0.98463
1990,5th Quintile,Urban regions,No,0.98506,1434,1434,0.97878,0.99134
1990,5th Quintile,Rural regions,No,0.97872,299,299,0.96234,0.99511
1991,1st Quintile,Urban regions,Yes,0.06080,107,1371,0.04815,0.07345
1991,1st Quintile,Urban regions,No,0.93920,1264,1371,0.92655,0.95185
1991,1st Quintile,Rural regions,Yes,0.06876,39,410,0.04423,0.09328
1991,1st Quintile,Rural regions,No,0.93124,371,410,0.90672,0.95577
1991,2nd Quintile,Urban regions,Yes,0.03759,63,1458,0.02782,0.04735
1991,2nd Quintile,Urban regions,No,0.96241,1395,1458,0.95265,0.97218
1991,2nd Quintile,Rural regions,No,0.96519,379,379,0.94671,0.98367
1991,3rd Quintile,Urban regions,Yes,0.02217,41,1472,0.01465,0.02969
1991,3rd Quintile,Urban regions,No,0.97783,1431,1472,0.97031,0.98535
1991,3rd Quintile,Rural regions,No,0.98314,369,369,0.96998,0.99629
1991,4th Quintile,Urban regions,Yes,0.01640,32,1447,0.00985,0.02295
1991,4th Quintile,Urban regions,No,0.98360,1415,1447,0.97705,0.99015
1991,4th Quintile,Rural regions,No,0.98719,452,452,0.97682,0.99757
1991,5th Quintile,Urban regions,Yes,0.02269,33,1520,0.01520,0.03018
1991,5th Quintile,Urban regions,No,0.97731,1487,1520,0.96982,0.98480
1991,5th Quintile,Rural regions,No,0.99470,298,298,0.98645,1.00296
1992,1st Quintile,No answer / don't know,No,0.87757,40,40,0.77469,0.98044
1992,1st Quintile,Urban regions,Yes,0.11279,177,1361,0.09598,0.12961
1992,1st Quintile,Urban regions,No,0.88721,1184,1361,0.87039,0.90402
1992,1st Quintile,Rural regions,Yes,0.13188,202,1282,0.11335,0.15041
1992,1st Quintile,Rural regions,No,0.86812,1080,1282,0.84959,0.88665
1992,2nd Quintile,Urban regions,Yes,0.05162,108,1628,0.04087,0.06237
1992,2nd Quintile,Urban regions,No,0.94838,1520,1628,0.93763,0.95913
1992,2nd Quintile,Rural regions,Yes,0.09222,120,1150,0.07549,0.10895
1992,2nd Quintile,Rural regions,No,0.90778,1030,1150,0.89105,0.92451
1992,3rd Quintile,Urban regions,Yes,0.04171,95,1716,0.03225,0.05117
1992,3rd Quintile,Urban regions,No,0.95829,1621,1716,0.94883,0.96775
1992,3rd Quintile,Rural regions,Yes,0.05509,61,881,0.04001,0.07016
1992,3rd Quintile,Rural regions,No,0.94491,820,881,0.92984,0.95999
1992,4th Quintile,Urban regions,Yes,0.03043,60,1843,0.02259,0.03828
1992,4th Quintile,Urban regions,No,0.96957,1783,1843,0.96172,0.97741
1992,4th Quintile,Rural regions,Yes,0.03396,35,703,0.02056,0.04735
1992,4th Quintile,Rural regions,No,0.96604,668,703,0.95265,0.97944
1992,5th Quintile,Urban regions,Yes,0.02368,50,1923,0.01688,0.03048
1992,5th Quintile,Urban regions,No,0.97632,1873,1923,0.96952,0.98312
1992,5th Quintile,Rural regions,No,0.98268,409,409,0.97002,0.99534
1993,1st Quintile,Urban regions,Yes,0.11133,172,1406,0.09488,0.12778
1993,1st Quintile,Urban regions,No,0.88867,1234,1406,0.87222,0.90512
1993,1st Quintile,Rural regions,Yes,0.15831,211,1142,0.13713,0.17949
1993,1st Quintile,Rural regions,No,0.84169,931,1142,0.82051,0.86287
1993,2nd Quintile,Urban regions,Yes,0.05629,122,1624,0.04507,0.06750
1993,2nd Quintile,Urban regions,No,0.94371,1502,1624,0.93250,0.95493
1993,2nd Quintile,Rural regions,Yes,0.08626,120,1152,0.07004,0.10248
1993,2nd Quintile,Rural regions,No,0.91374,1032,1152,0.89752,0.92996
1993,3rd Quintile,Urban regions,Yes,0.04628,90,1685,0.03625,0.05632
1993,3rd Quintile,Urban regions,No,0.95372,1595,1685,0.94368,0.96375
1993,3rd Quintile,Rural regions,Yes,0.06170,75,963,0.04649,0.07690
1993,3rd Quintile,Rural regions,No,0.93830,888,963,0.92310,0.95351
1993,4th Quintile,Urban regions,Yes,0.03448,70,1834,0.02613,0.04284
1993,4th Quintile,Urban regions,No,0.96552,1764,1834,0.95716,0.97387
1993,4th Quintile,Rural regions,Yes,0.05468,46,741,0.03829,0.07106
1993,4th Quintile,Rural regions,No,0.94532,695,741,0.92894,0.96171
