,Unnamed: 0,year,sex,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,male,Yes,0.05216,305,10867,0.04818,0.0565
1,1,1985,male,No,0.94784,5052,10867,0.93625,0.95981
2,2,1985,female,Yes,0.03573,246,10867,0.03286,0.0382
3,3,1985,female,No,0.96427,5264,10867,0.94906,0.97928
4,4,1986,male,Yes,0.04292,250,10389,0.0386,0.04723
5,5,1986,male,No,0.95708,4900,10389,0.94133,0.97543
6,6,1986,female,Yes,0.0416,264,10389,0.03715,0.04526
7,7,1986,female,No,0.9584,4975,10389,0.94512,0.97435
8,8,1987,male,Yes,0.04354,264,10354,0.03977,0.04744
9,9,1987,male,No,0.95646,4872,10354,0.94081,0.97253
10,10,1987,female,Yes,0.0365,236,10354,0.03323,0.04066
11,11,1987,female,No,0.9635,4982,10354,0.94648,0.97997
12,12,1988,male,Yes,0.04632,267,9815,0.04233,0.05077
13,13,1988,male,No,0.95368,4591,9815,0.93337,0.96968
14,14,1988,female,Yes,0.03855,225,9815,0.03543,0.04241
15,15,1988,female,No,0.96145,4732,9815,0.94415,0.97581
16,16,1989,male,Yes,0.03562,189,8808,0.03195,0.03936
17,17,1989,male,No,0.96438,4192,8808,0.94633,0.98066
18,18,1989,female,Yes,0.03249,170,8808,0.02876,0.03598
19,19,1989,female,No,0.96751,4257,8808,0.94876,0.98412
20,20,1990,male,Yes,0.03517,186,9112,0.03117,0.03943
21,21,1990,male,No,0.96483,4309,9112,0.94722,0.98206
22,22,1990,female,Yes,0.02929,156,9112,0.02608,0.03274
23,23,1990,female,No,0.97071,4461,9112,0.94863,0.99023
24,24,1991,male,Yes,0.04769,380,13356,0.04383,0.0514
25,25,1991,male,No,0.95231,6150,13356,0.93627,0.97008
26,26,1991,female,Yes,0.04015,377,13356,0.03717,0.04376
27,27,1991,female,No,0.95985,6449,13356,0.94217,0.97574
28,28,1992,male,Yes,0.05449,402,13027,0.05085,0.05844
29,29,1992,male,No,0.94551,5938,13027,0.92732,0.96241
30,30,1992,female,Yes,0.05725,529,13027,0.054,0.06092
31,31,1992,female,No,0.94275,6158,13027,0.92279,0.96352
32,32,1993,male,Yes,0.06338,447,12916,0.05899,0.06767
33,33,1993,male,No,0.93662,5838,12916,0.92307,0.95293
34,34,1993,female,Yes,0.05932,536,12916,0.05559,0.06305
35,35,1993,female,No,0.94068,6095,12916,0.92442,0.95721
36,36,1994,male,Yes,0.07327,514,12768,0.06855,0.07809
37,37,1994,male,No,0.92673,5647,12768,0.9083,0.94527
38,38,1994,female,Yes,0.06679,585,12768,0.06232,0.07095
39,39,1994,female,No,0.93321,6022,12768,0.91675,0.95072
40,40,1995,male,Yes,0.06969,482,13123,0.06513,0.0747
41,41,1995,male,No,0.93031,5869,13123,0.91418,0.94873
42,42,1995,female,Yes,0.06916,583,13123,0.06467,0.07349
43,43,1995,female,No,0.93084,6189,13123,0.91135,0.94911
44,44,1996,male,Yes,0.07299,499,12748,0.06634,0.07902
45,45,1996,male,No,0.92701,5669,12748,0.90878,0.94383
46,46,1996,female,Yes,0.06766,550,12748,0.06181,0.07297
47,47,1996,female,No,0.93234,6030,12748,0.91592,0.95397
48,48,1997,male,Yes,0.08127,544,12827,0.07534,0.08749
49,49,1997,male,No,0.91873,5664,12827,0.90225,0.93674
50,50,1997,female,Yes,0.0668,540,12827,0.06051,0.07134
51,51,1997,female,No,0.9332,6079,12827,0.91558,0.95558
52,52,1998,male,Yes,0.07562,578,14113,0.07088,0.08056
53,53,1998,male,No,0.92438,6239,14113,0.90858,0.94305
54,54,1998,female,Yes,0.06439,572,14113,0.06075,0.06836
55,55,1998,female,No,0.93561,6724,14113,0.92013,0.95088
56,56,1999,male,Yes,0.06647,486,13615,0.06266,0.07081
57,57,1999,male,No,0.93353,6096,13615,0.91592,0.95141
58,58,1999,female,Yes,0.05459,466,13615,0.05026,0.05831
59,59,1999,female,No,0.94541,6567,13615,0.92535,0.95999
60,60,2000,male,Yes,0.05683,747,24107,0.05433,0.05933
61,61,2000,male,No,0.94317,10836,24107,0.93393,0.95261
62,62,2000,female,Yes,0.04956,754,24107,0.04771,0.05152
63,63,2000,female,No,0.95044,11770,24107,0.94063,0.96181
64,64,2001,male,Yes,0.06333,692,21921,0.06001,0.0673
65,65,2001,male,No,0.93667,9833,21921,0.92587,0.94703
66,66,2001,female,Yes,0.0537,710,21921,0.05155,0.05672
67,67,2001,female,No,0.9463,10686,21921,0.93451,0.95773
68,68,2002,male,Yes,0.07141,713,23026,0.06806,0.0752
69,69,2002,male,No,0.92859,10414,23026,0.91342,0.94236
70,70,2002,female,Yes,0.05945,710,23026,0.05661,0.06247
71,71,2002,female,No,0.94055,11189,23026,0.92889,0.95471
72,72,2003,male,Yes,0.08028,778,22164,0.07609,0.08438
73,73,2003,male,No,0.91972,9898,22164,0.90596,0.93291
74,74,2003,female,Yes,0.06511,758,22164,0.06225,0.06823
75,75,2003,female,No,0.93489,10730,22164,0.92058,0.94759
76,76,2004,male,Yes,0.08764,786,21612,0.08258,0.09276
77,77,2004,male,No,0.91236,9594,21612,0.89665,0.92782
78,78,2004,female,Yes,0.06853,753,21612,0.06501,0.07202
79,79,2004,female,No,0.93147,10479,21612,0.9156,0.94438
80,80,2005,male,Yes,0.09016,762,20697,0.08425,0.09644
81,81,2005,male,No,0.90984,9136,20697,0.8911,0.92306
82,82,2005,female,Yes,0.06984,726,20697,0.06617,0.0746
83,83,2005,female,No,0.93016,10073,20697,0.9124,0.94494
84,84,2006,male,Yes,0.08803,812,21967,0.08362,0.09225
85,85,2006,male,No,0.91197,9659,21967,0.89497,0.92725
86,86,2006,female,Yes,0.07814,827,21967,0.07412,0.08316
87,87,2006,female,No,0.92186,10669,21967,0.90814,0.93602
88,88,2007,male,Yes,0.07468,619,20509,0.07058,0.07958
89,89,2007,male,No,0.92532,9154,20509,0.90922,0.94386
90,90,2007,female,Yes,0.07753,748,20509,0.07351,0.08188
91,91,2007,female,No,0.92247,9988,20509,0.90839,0.93843
92,92,2008,male,Yes,0.06621,528,19316,0.06138,0.07086
93,93,2008,male,No,0.93379,8677,19316,0.9175,0.95195
94,94,2008,female,Yes,0.06617,628,19316,0.06137,0.07076
95,95,2008,female,No,0.93383,9483,19316,0.91871,0.94965
96,96,2009,male,Yes,0.07077,512,18017,0.06562,0.07588
97,97,2009,male,No,0.92923,8085,18017,0.91026,0.94685
98,98,2009,female,Yes,0.06515,559,18017,0.06042,0.07033
99,99,2009,female,No,0.93485,8861,18017,0.91715,0.95089
100,100,2010,male,Yes,0.07445,792,23965,0.0674,0.08126
101,101,2010,male,No,0.92555,10116,23965,0.90615,0.94946
102,102,2010,female,Yes,0.06605,1270,23965,0.06122,0.07225
103,103,2010,female,No,0.93395,11787,23965,0.91565,0.95256
104,104,2011,male,Yes,0.06254,800,28369,0.05717,0.06757
105,105,2011,male,No,0.93746,12049,28369,0.91834,0.95754
106,106,2011,female,Yes,0.05553,1298,28369,0.05195,0.05912
107,107,2011,female,No,0.94447,14222,28369,0.92762,0.9629
