year,plb0021,quintil_oecd,sex,proportion,n,lower_confidence,upper_confidence
1985,Yes,1st Quintile,male,0.45925925925925926,14443,0.4511318735299976,0.4673866449885209
1985,Yes,1st Quintile,female,0.35185185185185186,14443,0.34406352034913995,0.35964018335456377
1985,Yes,2nd Quintile,female,0.06666666666666667,14443,0.06259848700276187,0.07073484633057146
1985,Yes,2nd Quintile,male,0.06481481481481481,14443,0.0607995580991543,0.06883007153047532
1985,Yes,3rd Quintile,male,0.020370370370370372,14443,0.01806650135224884,0.022674239388491904
1985,Yes,3rd Quintile,female,0.014814814814814815,14443,0.012844505477133896,0.016785124152495733
1985,Yes,4th Quintile,male,0.011111111111111112,14443,0.009401568778046033,0.01282065344417619
1985,Yes,5th Quintile,female,0.009259259259259259,14443,0.007697207216670955,0.010821311301847563
1985,Yes,4th Quintile,female,0.001851851851851852,14443,0.0011506743245974728,0.002553029379106231
1985,No,1st Quintile,female,0.30994733180959955,14443,0.30240488186777226,0.31748978175142684
1985,No,1st Quintile,male,0.2681109013216735,14443,0.26088641053925304,0.2753353921040939
1985,No,2nd Quintile,male,0.13395607671668489,14443,0.12840114742937256,0.1395110060039972
1985,No,2nd Quintile,female,0.12203120341846369,14443,0.11669291107761783,0.12736949575930953
1985,No,3rd Quintile,male,0.05902812282619497,14443,0.05518446097067034,0.0628717846817196
1985,No,3rd Quintile,female,0.05515253900427308,14443,0.05142955670723253,0.058875521301313634
1985,No,4th Quintile,female,0.018881049388850244,14443,0.01666131371352488,0.02110078506417561
1985,No,4th Quintile,male,0.01848355361224287,14443,0.016286863010115477,0.020680244214370265
1985,No,5th Quintile,male,0.008049289476299314,14443,0.006591982025784282,0.009506596926814345
1985,No,5th Quintile,female,0.006359932425717977,14443,0.005063445432255054,0.0076564194191808994
1986,Yes,1st Quintile,male,0.3835616438356164,13742,0.375431588310017,0.39169169936121584
1986,Yes,1st Quintile,female,0.3639921722113503,13742,0.35594750002392045,0.3720368443987801
1986,Yes,2nd Quintile,female,0.09784735812133072,13742,0.09287976903838471,0.10281494720427672
1986,Yes,2nd Quintile,male,0.08414872798434442,13742,0.0795071318106646,0.08879032415802424
1986,Yes,3rd Quintile,female,0.03522504892367906,13742,0.03214278437410475,0.03830731347325337
1986,Yes,3rd Quintile,male,0.011741682974559686,13742,0.009940609154949756,0.013542756794169617
1986,Yes,4th Quintile,female,0.011741682974559686,13742,0.009940609154949756,0.013542756794169617
1986,Yes,4th Quintile,male,0.005870841487279843,13742,0.00459351275117824,0.007148170223381446
1986,Yes,5th Quintile,female,0.003913894324853229,13742,0.002869933773401688,0.0049578548763047695
1986,Yes,5th Quintile,male,0.0019569471624266144,13742,0.0012180307939314836,0.002695863530921745
1986,No,1st Quintile,female,0.284942325678063,13742,0.27739522544997497,0.292489425906151
1986,No,1st Quintile,male,0.25480619349475214,13742,0.24752050317263818,0.2620918838168661
