,Unnamed: 0,year,bula_h,regtyp,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,Urban regions,No,1.0,155,10688,0.93961,1.06097
1,1,1985,Schleswig-Holstein,Rural regions,No,1.0,170,10688,0.92952,1.06657
2,2,1985,Hamburg,Urban regions,No,1.0,251,10688,0.94252,1.06375
3,3,1985,Lower Saxony,Urban regions,No,1.0,480,10688,0.95833,1.0423
4,4,1985,Lower Saxony,Rural regions,Yes,0.06438,43,10688,0.05542,0.07408
5,5,1985,Lower Saxony,Rural regions,No,0.93562,551,10688,0.90346,0.9664
6,6,1985,Bremen,Urban regions,No,1.0,99,10688,0.90842,1.07068
7,7,1985,North Rhine-Westphalia,Urban regions,Yes,0.04845,158,10688,0.0435,0.05339
8,8,1985,North Rhine-Westphalia,Urban regions,No,0.95155,2686,10688,0.93487,0.97281
9,9,1985,North Rhine-Westphalia,Rural regions,No,1.0,70,10688,0.938,1.06229
10,10,1985,Hesse,Urban regions,Yes,0.03396,40,10688,0.02749,0.04261
11,11,1985,Hesse,Urban regions,No,0.96604,918,10688,0.92282,1.00182
12,12,1985,Hesse,Rural regions,No,1.0,138,10688,0.92745,1.08203
13,13,1985,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,599,10688,0.96984,1.03316
14,14,1985,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,130,10688,0.95858,1.04302
15,15,1985,Baden-Wuerttemberg,Urban regions,Yes,0.02079,62,10688,0.01597,0.02564
16,16,1985,Baden-Wuerttemberg,Urban regions,No,0.97921,1661,10688,0.94616,1.01715
17,17,1985,Baden-Wuerttemberg,Rural regions,No,1.0,284,10688,0.93334,1.072
18,18,1985,Bavaria,Urban regions,Yes,0.03191,34,10688,0.02551,0.03775
19,19,1985,Bavaria,Urban regions,No,0.96809,929,10688,0.93994,0.99885
20,20,1985,Bavaria,Rural regions,Yes,0.04704,41,10688,0.0423,0.05144
21,21,1985,Bavaria,Rural regions,No,0.95296,862,10688,0.92767,0.98286
22,22,1985,Berlin,Urban regions,No,1.0,327,10688,0.9452,1.06734
23,23,1986,Schleswig-Holstein,Urban regions,No,1.0,143,10238,0.92242,1.0741
24,24,1986,Schleswig-Holstein,Rural regions,No,1.0,152,10238,0.93666,1.06919
25,25,1986,Hamburg,Urban regions,No,1.0,233,10238,0.91705,1.07575
26,26,1986,Lower Saxony,Urban regions,No,1.0,504,10238,0.95283,1.04054
27,27,1986,Lower Saxony,Rural regions,Yes,0.05542,34,10238,0.04543,0.06728
28,28,1986,Lower Saxony,Rural regions,No,0.94458,537,10238,0.91001,0.98117
