year,age_gr,sex,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,male,Yes,0.06276,110,1598,0.05086,0.07465
1985,17-29 y.,male,No,0.93724,1488,1598,0.92535,0.94914
1985,17-29 y.,female,Yes,0.06343,106,1500,0.05109,0.07577
1985,17-29 y.,female,No,0.93657,1394,1500,0.92423,0.94891
1985,30-45 y.,male,Yes,0.05918,92,1693,0.04794,0.07042
1985,30-45 y.,male,No,0.94082,1601,1693,0.92958,0.95206
1985,30-45 y.,female,Yes,0.05247,91,1746,0.04200,0.06293
1985,30-45 y.,female,No,0.94753,1655,1746,0.93707,0.95800
1985,46-65 y.,male,Yes,0.05840,103,1634,0.04703,0.06978
1985,46-65 y.,male,No,0.94160,1531,1634,0.93022,0.95297
1985,46-65 y.,female,Yes,0.02554,49,1612,0.01783,0.03324
1985,46-65 y.,female,No,0.97446,1563,1612,0.96676,0.98217
1986,17-29 y.,male,Yes,0.04211,76,1565,0.03215,0.05206
1986,17-29 y.,male,No,0.95789,1489,1565,0.94794,0.96785
1986,17-29 y.,female,Yes,0.07784,118,1442,0.06401,0.09168
1986,17-29 y.,female,No,0.92216,1324,1442,0.90832,0.93599
1986,30-45 y.,male,Yes,0.05607,80,1549,0.04461,0.06753
1986,30-45 y.,male,No,0.94393,1469,1549,0.93247,0.95539
1986,30-45 y.,female,Yes,0.05386,87,1651,0.04297,0.06475
1986,30-45 y.,female,No,0.94614,1564,1651,0.93525,0.95703
1986,46-65 y.,male,Yes,0.05003,94,1625,0.03942,0.06063
1986,46-65 y.,male,No,0.94997,1531,1625,0.93937,0.96058
1986,46-65 y.,female,Yes,0.03341,59,1544,0.02444,0.04237
1986,46-65 y.,female,No,0.96659,1485,1544,0.95763,0.97556
1987,17-29 y.,male,Yes,0.05199,91,1554,0.04095,0.06304
1987,17-29 y.,male,No,0.94801,1463,1554,0.93696,0.95905
1987,17-29 y.,female,Yes,0.05563,85,1424,0.04372,0.06754
1987,17-29 y.,female,No,0.94437,1339,1424,0.93246,0.95628
1987,30-45 y.,male,Yes,0.04284,63,1539,0.03272,0.05296
1987,30-45 y.,male,No,0.95716,1476,1539,0.94704,0.96728
1987,30-45 y.,female,Yes,0.04175,72,1610,0.03197,0.05152
1987,30-45 y.,female,No,0.95825,1538,1610,0.94848,0.96803
1987,46-65 y.,male,Yes,0.05550,110,1624,0.04436,0.06664
1987,46-65 y.,male,No,0.94450,1514,1624,0.93336,0.95564
1987,46-65 y.,female,Yes,0.04413,79,1553,0.03391,0.05435
1987,46-65 y.,female,No,0.95587,1474,1553,0.94565,0.96609
1988,17-29 y.,male,Yes,0.04848,85,1471,0.03750,0.05946
1988,17-29 y.,male,No,0.95152,1386,1471,0.94054,0.96250
1988,17-29 y.,female,Yes,0.06167,88,1360,0.04888,0.07446
1988,17-29 y.,female,No,0.93833,1272,1360,0.92554,0.95112
1988,30-45 y.,male,Yes,0.05490,74,1423,0.04306,0.06674
1988,30-45 y.,male,No,0.94510,1349,1423,0.93326,0.95694
1988,30-45 y.,female,Yes,0.04339,55,1483,0.03302,0.05376
1988,30-45 y.,female,No,0.95661,1428,1483,0.94624,0.96698
1988,46-65 y.,male,Yes,0.05711,108,1554,0.04557,0.06865
1988,46-65 y.,male,No,0.94289,1446,1554,0.93135,0.95443
1988,46-65 y.,female,Yes,0.04428,81,1503,0.03388,0.05469
1988,46-65 y.,female,No,0.95572,1422,1503,0.94531,0.96612
1988,66 and older,female,No,0.99804,610,610,0.99453,1.00155
1989,17-29 y.,male,Yes,0.03838,61,1322,0.02802,0.04874
1989,17-29 y.,male,No,0.96162,1261,1322,0.95126,0.97198
1989,17-29 y.,female,Yes,0.04860,63,1209,0.03647,0.06072
1989,17-29 y.,female,No,0.95140,1146,1209,0.93928,0.96353
1989,30-45 y.,male,Yes,0.03385,40,1280,0.02394,0.04376
1989,30-45 y.,male,No,0.96615,1240,1280,0.95624,0.97606
1989,30-45 y.,female,Yes,0.02621,42,1325,0.01760,0.03481
1989,30-45 y.,female,No,0.97379,1283,1325,0.96519,0.98240
1989,46-65 y.,male,Yes,0.04923,88,1406,0.03792,0.06055
1989,46-65 y.,male,No,0.95077,1318,1406,0.93945,0.96208
1989,46-65 y.,female,Yes,0.04887,65,1318,0.03722,0.06051
1989,46-65 y.,female,No,0.95113,1253,1318,0.93949,0.96278
1990,17-29 y.,male,Yes,0.03809,55,1336,0.02782,0.04836
1990,17-29 y.,male,No,0.96191,1281,1336,0.95164,0.97218
1990,17-29 y.,female,Yes,0.04510,61,1276,0.03371,0.05649
1990,17-29 y.,female,No,0.95490,1215,1276,0.94351,0.96629
1990,30-45 y.,male,Yes,0.02806,38,1328,0.01917,0.03694
1990,30-45 y.,male,No,0.97194,1290,1328,0.96306,0.98083
1990,30-45 y.,female,Yes,0.02866,40,1369,0.01982,0.03750
