year,regtyp,sex,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Yes,0.03756,223,4219,0.03182,0.04329
1985,Urban regions,male,No,0.78644,3996,4219,0.77407,0.79881
1985,Urban regions,female,Yes,0.03046,196,4331,0.02534,0.03558
1985,Urban regions,female,No,0.81169,4135,4331,0.80004,0.82333
1985,Rural regions,male,Yes,0.05841,82,1138,0.04477,0.07204
1985,Rural regions,male,No,0.74888,1056,1138,0.72367,0.77409
1985,Rural regions,female,Yes,0.02823,50,1179,0.01877,0.03769
1985,Rural regions,female,No,0.79603,1129,1179,0.77302,0.81904
1986,Urban regions,male,Yes,0.03172,189,4069,0.02633,0.03711
1986,Urban regions,male,No,0.78894,3880,4069,0.77640,0.80148
1986,Urban regions,female,Yes,0.03341,204,4121,0.02792,0.03890
1986,Urban regions,female,No,0.80176,3917,4121,0.78959,0.81394
1986,Rural regions,male,Yes,0.04535,61,1081,0.03294,0.05776
1986,Rural regions,male,No,0.76166,1020,1081,0.73625,0.78707
1986,Rural regions,female,Yes,0.03799,60,1118,0.02678,0.04920
1986,Rural regions,female,No,0.77561,1058,1118,0.75115,0.80008
1987,Urban regions,male,Yes,0.03343,199,4070,0.02791,0.03896
1987,Urban regions,male,No,0.78980,3871,4070,0.77728,0.80232
1987,Urban regions,female,Yes,0.03122,186,4101,0.02589,0.03654
1987,Urban regions,female,No,0.80834,3915,4101,0.79629,0.82039
1987,Rural regions,male,Yes,0.04214,65,1066,0.03007,0.05421
1987,Rural regions,male,No,0.75413,1001,1066,0.72826,0.77999
1987,Rural regions,female,Yes,0.02810,50,1117,0.01840,0.03779
1987,Rural regions,female,No,0.78847,1067,1117,0.76451,0.81243
1988,Urban regions,male,Yes,0.03396,198,3857,0.02824,0.03968
1988,Urban regions,male,No,0.78850,3659,3857,0.77561,0.80139
1988,Urban regions,female,Yes,0.02937,170,3917,0.02408,0.03466
1988,Urban regions,female,No,0.81080,3747,3917,0.79853,0.82306
1988,Rural regions,male,Yes,0.04964,69,1001,0.03617,0.06310
1988,Rural regions,male,No,0.74201,932,1001,0.71490,0.76913
1988,Rural regions,female,Yes,0.04126,55,1040,0.02916,0.05335
1988,Rural regions,female,No,0.77653,985,1040,0.75120,0.80186
1989,Urban regions,male,Yes,0.02413,137,3461,0.01901,0.02924
1989,Urban regions,male,No,0.77284,3324,3461,0.75888,0.78680
1989,Urban regions,female,Yes,0.02577,138,3516,0.02054,0.03101
1989,Urban regions,female,No,0.78211,3378,3516,0.76846,0.79575
1989,Rural regions,male,Yes,0.04141,52,920,0.02853,0.05429
1989,Rural regions,male,No,0.73687,868,920,0.70840,0.76534
1989,Rural regions,female,Yes,0.02665,32,911,0.01618,0.03711
1989,Rural regions,female,No,0.74349,879,911,0.71512,0.77187
1990,Urban regions,male,Yes,0.02369,147,3558,0.01870,0.02869
1990,Urban regions,male,No,0.68641,3411,3558,0.67117,0.70166
1990,Urban regions,female,Yes,0.01909,119,3653,0.01465,0.02352
1990,Urban regions,female,No,0.70813,3534,3653,0.69338,0.72287
1990,Rural regions,male,Yes,0.01911,39,937,0.01034,0.02788
1990,Rural regions,male,No,0.44611,898,937,0.41426,0.47795
1990,Rural regions,female,Yes,0.01845,37,964,0.00995,0.02694
1990,Rural regions,female,No,0.44597,927,964,0.41457,0.47736
1991,Urban regions,male,Yes,0.03333,216,4221,0.02792,0.03875
1991,Urban regions,male,No,0.76935,4005,4221,0.75664,0.78206
1991,Urban regions,female,Yes,0.02685,181,4385,0.02207,0.03164
1991,Urban regions,female,No,0.79574,4204,4385,0.78381,0.80768
1991,Rural regions,male,Yes,0.04819,162,2268,0.03938,0.05701
1991,Rural regions,male,No,0.74827,2106,2268,0.73041,0.76614
1991,Rural regions,female,Yes,0.04499,190,2394,0.03669,0.05330
1991,Rural regions,female,No,0.76691,2204,2394,0.74997,0.78385
1992,Urban regions,male,Yes,0.03896,235,4135,0.03306,0.04486
1992,Urban regions,male,No,0.75655,3900,4135,0.74346,0.76963
1992,Urban regions,female,Yes,0.03622,255,4339,0.03066,0.04178
1992,Urban regions,female,No,0.77828,4084,4339,0.76592,0.79064
1992,Rural regions,male,Yes,0.05279,163,2150,0.04333,0.06224
1992,Rural regions,male,No,0.74276,1987,2150,0.72428,0.76124
1992,Rural regions,female,Yes,0.06801,266,2286,0.05769,0.07834
1992,Rural regions,female,No,0.73330,2020,2286,0.71517,0.75143
1993,Urban regions,male,Yes,0.04410,254,4135,0.03784,0.05036
1993,Urban regions,male,No,0.76013,3881,4135,0.74711,0.77315
1993,Urban regions,female,Yes,0.03654,253,4330,0.03095,0.04213
1993,Urban regions,female,No,0.78951,4077,4330,0.77736,0.80165
1993,Rural regions,male,Yes,0.06653,193,2150,0.05599,0.07706
1993,Rural regions,male,No,0.74460,1957,2150,0.72617,0.76304
1993,Rural regions,female,Yes,0.07457,283,2301,0.06383,0.08530
1993,Rural regions,female,No,0.73436,2018,2301,0.71631,0.75241
1994,Urban regions,male,Yes,0.04986,298,4056,0.04316,0.05656
1994,Urban regions,male,No,0.75477,3758,4056,0.74153,0.76801
1994,Urban regions,female,Yes,0.04224,290,4351,0.03627,0.04822
1994,Urban regions,female,No,0.78992,4061,4351,0.77782,0.80203
1994,Rural regions,male,Yes,0.07871,216,2105,0.06721,0.09022
1994,Rural regions,male,No,0.72244,1889,2105,0.70330,0.74157
1994,Rural regions,female,Yes,0.08362,295,2256,0.07219,0.09504
1994,Rural regions,female,No,0.73022,1961,2256,0.71190,0.74854
1995,Urban regions,male,Yes,0.05077,294,4165,0.04410,0.05743
1995,Urban regions,male,No,0.75158,3871,4165,0.73846,0.76471
1995,Urban regions,female,Yes,0.04820,323,4465,0.04192,0.05449
1995,Urban regions,female,No,0.77929,4142,4465,0.76712,0.79146
1995,Rural regions,male,Yes,0.06666,188,2186,0.05620,0.07712
1995,Rural regions,male,No,0.73202,1998,2186,0.71345,0.75059
1995,Rural regions,female,Yes,0.07445,260,2307,0.06373,0.08516
1995,Rural regions,female,No,0.72314,2047,2307,0.70488,0.74140
1996,Urban regions,male,Yes,0.05167,291,4025,0.04483,0.05850
1996,Urban regions,male,No,0.74293,3734,4025,0.72942,0.75643
1996,Urban regions,female,Yes,0.05019,301,4323,0.04368,0.05670
1996,Urban regions,female,No,0.76410,4022,4323,0.75144,0.77675
1996,Rural regions,male,Yes,0.07194,208,2143,0.06100,0.08289
1996,Rural regions,male,No,0.72333,1935,2143,0.70439,0.74228
1996,Rural regions,female,Yes,0.06500,249,2257,0.05483,0.07517
1996,Rural regions,female,No,0.73654,2008,2257,0.71836,0.75472
1997,Urban regions,male,Yes,0.06197,348,4056,0.05455,0.06939
1997,Urban regions,male,No,0.75141,3708,4056,0.73811,0.76472
1997,Urban regions,female,Yes,0.04805,296,4332,0.04168,0.05442
1997,Urban regions,female,No,0.79379,4036,4332,0.78174,0.80584
1997,Rural regions,male,Yes,0.07509,196,2152,0.06395,0.08622
1997,Rural regions,male,No,0.73655,1956,2152,0.71794,0.75517
1997,Rural regions,female,Yes,0.07270,244,2286,0.06206,0.08335
1997,Rural regions,female,No,0.74642,2042,2286,0.72858,0.76426
1998,Urban regions,male,Yes,0.05526,334,4430,0.04853,0.06199
1998,Urban regions,male,No,0.75681,4096,4430,0.74418,0.76945
1998,Urban regions,female,Yes,0.04298,286,4785,0.03724,0.04873
1998,Urban regions,female,No,0.79482,4499,4785,0.78337,0.80626
1998,Rural regions,male,Yes,0.07397,244,2387,0.06347,0.08447
1998,Rural regions,male,No,0.72712,2143,2387,0.70925,0.74500
1998,Rural regions,female,Yes,0.07613,286,2511,0.06576,0.08651
1998,Rural regions,female,No,0.73837,2225,2511,0.72117,0.75556
1999,Urban regions,male,Yes,0.05201,297,4280,0.04536,0.05867
1999,Urban regions,male,No,0.76958,3983,4280,0.75696,0.78220
1999,Urban regions,female,Yes,0.03878,249,4589,0.03319,0.04437
1999,Urban regions,female,No,0.79960,4340,4589,0.78801,0.81118
1999,Rural regions,male,Yes,0.05949,189,2302,0.04982,0.06915
1999,Rural regions,male,No,0.74817,2113,2302,0.73043,0.76590
1999,Rural regions,female,Yes,0.06008,217,2444,0.05066,0.06951
1999,Rural regions,female,No,0.76086,2227,2444,0.74394,0.77777
2000,Urban regions,male,Yes,0.04209,438,7534,0.03756,0.04663
2000,Urban regions,male,No,0.77667,7096,7534,0.76726,0.78607
2000,Urban regions,female,Yes,0.03296,389,8214,0.02910,0.03683
2000,Urban regions,female,No,0.80622,7825,8214,0.79767,0.81477
2000,Rural regions,male,Yes,0.05582,309,4049,0.04875,0.06289
2000,Rural regions,male,No,0.76073,3740,4049,0.74759,0.77388
2000,Rural regions,female,Yes,0.05984,365,4310,0.05276,0.06692
2000,Rural regions,female,No,0.77152,3945,4310,0.75898,0.78406
2001,Urban regions,male,Yes,0.04496,379,6838,0.04004,0.04987
2001,Urban regions,male,No,0.77255,6459,6838,0.76262,0.78249
2001,Urban regions,female,Yes,0.03630,357,7498,0.03207,0.04053
2001,Urban regions,female,No,0.80301,7141,7498,0.79401,0.81202
2001,Rural regions,male,Yes,0.06712,313,3687,0.05904,0.07520
