,Unnamed: 0,year,regtyp,sampreg,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,West,Yes,0.04079,419,10867,0.03834,0.04288
1,1,1985,Urban regions,West,No,0.95921,8105,10867,0.94781,0.97375
2,2,1985,Rural regions,West,Yes,0.05166,132,10867,0.04749,0.05561
3,3,1985,Rural regions,West,No,0.94834,2211,10867,0.92998,0.96602
4,4,1986,Urban regions,West,Yes,0.03918,391,10389,0.03624,0.04184
5,5,1986,Urban regions,West,No,0.96082,7775,10389,0.94895,0.97482
6,6,1986,Rural regions,West,Yes,0.05165,123,10389,0.04605,0.05784
7,7,1986,Rural regions,West,No,0.94835,2100,10389,0.92804,0.96578
8,8,1987,Urban regions,West,Yes,0.03869,384,10354,0.03565,0.04172
9,9,1987,Urban regions,West,No,0.96131,7770,10354,0.94994,0.97428
10,10,1987,Rural regions,West,Yes,0.04346,116,10354,0.03801,0.04829
11,11,1987,Rural regions,West,No,0.95654,2084,10354,0.9345,0.97724
12,12,1988,Urban regions,West,Yes,0.0378,367,9815,0.03452,0.04074
13,13,1988,Urban regions,West,No,0.9622,7390,9815,0.94812,0.97675
14,14,1988,Rural regions,West,Yes,0.05658,125,9815,0.04923,0.06345
15,15,1988,Rural regions,West,No,0.94342,1933,9815,0.92619,0.96795
16,16,1989,Urban regions,West,Yes,0.0312,275,8808,0.02851,0.03376
17,17,1989,Urban regions,West,No,0.9688,6688,8808,0.95405,0.98355
18,18,1989,Rural regions,West,Yes,0.04332,84,8808,0.03657,0.04869
19,19,1989,Rural regions,West,No,0.95668,1761,8808,0.93299,0.98116
20,20,1990,Urban regions,West,Yes,0.0297,266,9112,0.02673,0.03254
21,21,1990,Urban regions,West,No,0.9703,6933,9112,0.95701,0.9839
22,22,1990,Rural regions,West,Yes,0.04008,76,9112,0.03489,0.045
23,23,1990,Rural regions,West,No,0.95992,1837,9112,0.9386,0.98416
24,24,1991,Urban regions,West,Yes,0.03076,278,13268,0.02763,0.0337
25,25,1991,Urban regions,West,No,0.96924,7005,13268,0.9562,0.98576
