year,bula_h,sampreg,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,West,No,0.75893,325,325,0.71236,0.80551
1985,Hamburg,West,No,0.84661,257,257,0.80247,0.89076
1985,Lower Saxony,West,Yes,0.04970,70,1101,0.03685,0.06254
1985,Lower Saxony,West,No,0.79196,1031,1101,0.76798,0.81595
1985,Bremen,West,No,0.82490,99,99,0.74965,0.90015
1985,North Rhine-Westphalia,West,Yes,0.03975,161,2917,0.03266,0.04684
1985,North Rhine-Westphalia,West,No,0.77998,2756,2917,0.76494,0.79502
1985,Hesse,West,Yes,0.03417,56,1112,0.02349,0.04486
1985,Hesse,West,No,0.81700,1056,1112,0.79427,0.83974
1985,"Rhineland-Palatinate, Saarland",West,Yes,0.02882,31,760,0.01692,0.04072
1985,"Rhineland-Palatinate, Saarland",West,No,0.81475,729,760,0.78712,0.84239
1985,Baden-Wuerttemberg,West,Yes,0.01685,73,2018,0.01123,0.02247
1985,Baden-Wuerttemberg,West,No,0.79494,1945,2018,0.77732,0.81256
1985,Bavaria,West,Yes,0.03259,75,1866,0.02453,0.04064
1985,Bavaria,West,No,0.79044,1791,1866,0.77197,0.80891
1985,Berlin,West,No,0.78806,327,327,0.74370,0.83242
1986,Schleswig-Holstein,West,No,0.76188,295,295,0.71320,0.81057
1986,Hamburg,West,No,0.87345,239,239,0.83122,0.91569
1986,Lower Saxony,West,Yes,0.04184,57,1098,0.02999,0.05369
1986,Lower Saxony,West,No,0.79815,1041,1098,0.77440,0.82191
1986,Bremen,West,No,0.88036,98,98,0.81577,0.94494
1986,North Rhine-Westphalia,West,Yes,0.04209,166,2808,0.03466,0.04952
1986,North Rhine-Westphalia,West,No,0.77188,2642,2808,0.75635,0.78740
1986,Hesse,West,Yes,0.02814,49,1031,0.01804,0.03824
1986,Hesse,West,No,0.80696,982,1031,0.78285,0.83106
1986,"Rhineland-Palatinate, Saarland",West,No,0.80340,717,717,0.77428,0.83251
1986,Baden-Wuerttemberg,West,Yes,0.02192,67,1946,0.01542,0.02843
1986,Baden-Wuerttemberg,West,No,0.78803,1879,1946,0.76987,0.80619
1986,Bavaria,West,Yes,0.03365,79,1732,0.02516,0.04215
1986,Bavaria,West,No,0.77868,1653,1732,0.75913,0.79824
1986,Berlin,West,No,0.82724,329,329,0.78633,0.86816
1987,Schleswig-Holstein,West,No,0.73470,288,288,0.68362,0.78578
1987,Hamburg,West,No,0.85873,212,212,0.81173,0.90572
1987,Lower Saxony,West,Yes,0.03794,57,1099,0.02664,0.04924
1987,Lower Saxony,West,No,0.80238,1042,1099,0.77883,0.82593
1987,Bremen,West,No,0.84375,87,87,0.76701,0.92049
1987,North Rhine-Westphalia,West,Yes,0.03679,147,2808,0.02983,0.04376
1987,North Rhine-Westphalia,West,No,0.78386,2661,2808,0.76863,0.79908
1987,Hesse,West,Yes,0.02608,47,1047,0.01642,0.03573
1987,Hesse,West,No,0.81433,1000,1047,0.79077,0.83790
1987,"Rhineland-Palatinate, Saarland",West,Yes,0.03576,35,755,0.02250,0.04901
1987,"Rhineland-Palatinate, Saarland",West,No,0.80669,720,755,0.77850,0.83488
1987,Baden-Wuerttemberg,West,Yes,0.01952,69,1946,0.01337,0.02566
1987,Baden-Wuerttemberg,West,No,0.78485,1877,1946,0.76659,0.80312
1987,Bavaria,West,Yes,0.03137,73,1703,0.02309,0.03965
1987,Bavaria,West,No,0.78683,1630,1703,0.76738,0.80629
1987,Berlin,West,No,0.82944,337,337,0.78922,0.86965
1988,Schleswig-Holstein,West,No,0.71209,286,286,0.65952,0.76466
1988,Hamburg,West,No,0.88023,188,188,0.83369,0.92676
1988,Lower Saxony,West,Yes,0.05785,74,1043,0.04367,0.07203
1988,Lower Saxony,West,No,0.78636,969,1043,0.76148,0.81125
1988,Bremen,West,No,0.81515,88,88,0.73358,0.89672
1988,North Rhine-Westphalia,West,Yes,0.03852,136,2636,0.03117,0.04587
1988,North Rhine-Westphalia,West,No,0.78064,2500,2636,0.76484,0.79644
1988,Hesse,West,Yes,0.02673,50,983,0.01664,0.03682
1988,Hesse,West,No,0.79706,933,983,0.77191,0.82222
1988,"Rhineland-Palatinate, Saarland",West,Yes,0.03814,39,724,0.02418,0.05210
1988,"Rhineland-Palatinate, Saarland",West,No,0.81134,685,724,0.78282,0.83986
1988,Baden-Wuerttemberg,West,Yes,0.01857,57,1866,0.01244,0.02470
1988,Baden-Wuerttemberg,West,No,0.79601,1809,1866,0.77772,0.81430
1988,Bavaria,West,Yes,0.02449,66,1628,0.01698,0.03200
1988,Bavaria,West,No,0.79379,1562,1628,0.77413,0.81345
1988,Berlin,West,No,0.81446,303,303,0.77062,0.85830
1989,Schleswig-Holstein,West,No,0.72428,267,267,0.67057,0.77798
1989,Hamburg,West,No,0.85720,172,172,0.80476,0.90964
1989,Lower Saxony,West,Yes,0.03859,51,941,0.02628,0.05091
1989,Lower Saxony,West,No,0.78916,890,941,0.76308,0.81523
1989,Bremen,West,No,0.67938,80,80,0.57647,0.78230
1989,North Rhine-Westphalia,West,Yes,0.03274,105,2331,0.02552,0.03997
1989,North Rhine-Westphalia,West,No,0.75584,2226,2331,0.73839,0.77328
1989,Hesse,West,Yes,0.02076,36,883,0.01135,0.03017
1989,Hesse,West,No,0.77963,847,883,0.75228,0.80699
1989,"Rhineland-Palatinate, Saarland",West,Yes,0.03643,33,643,0.02194,0.05092
1989,"Rhineland-Palatinate, Saarland",West,No,0.78227,610,643,0.75034,0.81419
1989,Baden-Wuerttemberg,West,Yes,0.01419,41,1701,0.00857,0.01982
1989,Baden-Wuerttemberg,West,No,0.77800,1660,1701,0.75825,0.79776
1989,Bavaria,West,Yes,0.02064,47,1463,0.01336,0.02793
1989,Bavaria,West,No,0.76017,1416,1463,0.73828,0.78205
1989,Berlin,West,No,0.79466,281,281,0.74734,0.84197
1990,Schleswig-Holstein,West,No,0.72256,256,256,0.66761,0.77752
1990,Hamburg,West,No,0.72987,137,137,0.65524,0.80450
1990,Lower Saxony,West,Yes,0.04277,54,936,0.02980,0.05574
1990,Lower Saxony,West,No,0.76667,882,936,0.73956,0.79378
1990,Bremen,West,No,0.79663,94,94,0.71483,0.87844
1990,North Rhine-Westphalia,West,Yes,0.02764,103,2448,0.02114,0.03413
1990,North Rhine-Westphalia,West,No,0.76304,2345,2448,0.74619,0.77989
1990,Hesse,West,No,0.78890,914,914,0.76243,0.81537
1990,"Rhineland-Palatinate, Saarland",West,Yes,0.04055,31,653,0.02541,0.05569
1990,"Rhineland-Palatinate, Saarland",West,No,0.78706,622,653,0.75564,0.81849
1990,Baden-Wuerttemberg,West,Yes,0.00683,36,1755,0.00297,0.01068
1990,Baden-Wuerttemberg,West,No,0.78987,1719,1755,0.77081,0.80894
1990,Bavaria,West,Yes,0.01735,34,1556,0.01086,0.02383
1990,Bavaria,West,No,0.80123,1522,1556,0.78140,0.82107
1990,Berlin,West,No,0.75236,279,279,0.70162,0.80310
1991,Schleswig-Holstein,West,No,0.72027,274,274,0.66702,0.77352
1991,Hamburg,West,No,0.84483,151,151,0.78689,0.90277
1991,Lower Saxony,West,Yes,0.02683,39,951,0.01656,0.03711
1991,Lower Saxony,West,No,0.79781,912,951,0.77227,0.82335
1991,Bremen,West,No,0.82500,90,90,0.74605,0.90394
1991,North Rhine-Westphalia,West,Yes,0.02608,101,2488,0.01982,0.03235
1991,North Rhine-Westphalia,West,No,0.78028,2387,2488,0.76401,0.79656
1991,Hesse,West,No,0.80783,917,917,0.78232,0.83335
1991,"Rhineland-Palatinate, Saarland",West,No,0.77885,624,624,0.74626,0.81144
1991,Baden-Wuerttemberg,West,Yes,0.01911,58,1767,0.01273,0.02550
1991,Baden-Wuerttemberg,West,No,0.78231,1709,1767,0.76306,0.80155
1991,Bavaria,West,Yes,0.02142,51,1577,0.01427,0.02857
1991,Bavaria,West,No,0.79219,1526,1577,0.77216,0.81222
1991,Berlin,West,No,0.82847,308,308,0.78630,0.87064
1991,Berlin,East,No,0.72081,243,243,0.66429,0.77733
1991,Brandenburg,East,Yes,0.07903,65,673,0.05863,0.09943
1991,Brandenburg,East,No,0.72228,608,673,0.68842,0.75615
1991,Mecklenburg-Western Pomerania,East,Yes,0.08974,56,468,0.06382,0.11566
1991,Mecklenburg-Western Pomerania,East,No,0.69340,412,468,0.65159,0.73522
1991,Saxony,East,Yes,0.07226,107,1220,0.05773,0.08680
1991,Saxony,East,No,0.73508,1113,1220,0.71031,0.75985
1991,Saxony-Anhalt,East,Yes,0.06853,78,788,0.05088,0.08618
1991,Saxony-Anhalt,East,No,0.74922,710,788,0.71893,0.77950
1991,Thuringa,East,Yes,0.08940,77,692,0.06813,0.11067
1991,Thuringa,East,No,0.69920,615,692,0.66500,0.73339
1992,Schleswig-Holstein,West,No,0.74592,259,259,0.69280,0.79905
1992,Hamburg,West,No,0.83463,145,145,0.77395,0.89531
1992,Lower Saxony,West,Yes,0.02318,37,941,0.01356,0.03280
1992,Lower Saxony,West,No,0.78510,904,941,0.75884,0.81136
1992,Bremen,West,No,0.82311,86,86,0.74199,0.90423
1992,North Rhine-Westphalia,West,Yes,0.03202,105,2465,0.02507,0.03897
