year,quintil_oecd,sampreg,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,West,Yes,0.09794,233,2193,0.08550,0.11038
1985,1st Quintile,West,No,0.90206,1960,2193,0.88962,0.91450
1985,2nd Quintile,West,Yes,0.05180,126,2123,0.04237,0.06123
1985,2nd Quintile,West,No,0.94820,1997,2123,0.93877,0.95763
1985,3rd Quintile,West,Yes,0.03448,85,2187,0.02683,0.04212
1985,3rd Quintile,West,No,0.96552,2102,2187,0.95788,0.97317
1985,4th Quintile,West,Yes,0.02223,60,2191,0.01606,0.02841
1985,4th Quintile,West,No,0.97777,2131,2191,0.97159,0.98394
1985,5th Quintile,West,Yes,0.01881,47,2165,0.01309,0.02453
1985,5th Quintile,West,No,0.98119,2118,2165,0.97547,0.98691
1986,1st Quintile,West,Yes,0.09904,224,2036,0.08606,0.11202
1986,1st Quintile,West,No,0.90096,1812,2036,0.88798,0.91394
1986,2nd Quintile,West,Yes,0.03886,99,2046,0.03049,0.04724
1986,2nd Quintile,West,No,0.96114,1947,2046,0.95276,0.96951
1986,3rd Quintile,West,Yes,0.02823,74,2047,0.02105,0.03541
1986,3rd Quintile,West,No,0.97177,1973,2047,0.96459,0.97895
1986,4th Quintile,West,Yes,0.03106,72,2189,0.02379,0.03833
1986,4th Quintile,West,No,0.96894,2117,2189,0.96167,0.97621
1986,5th Quintile,West,Yes,0.01736,42,2065,0.01172,0.02299
1986,5th Quintile,West,No,0.98264,2023,2065,0.97701,0.98828
1987,1st Quintile,West,Yes,0.08806,212,2007,0.07566,0.10046
1987,1st Quintile,West,No,0.91194,1795,2007,0.89954,0.92434
1987,2nd Quintile,West,Yes,0.03322,90,2044,0.02545,0.04099
1987,2nd Quintile,West,No,0.96678,1954,2044,0.95901,0.97455
1987,3rd Quintile,West,Yes,0.03916,93,2083,0.03083,0.04749
1987,3rd Quintile,West,No,0.96084,1990,2083,0.95251,0.96917
1987,4th Quintile,West,Yes,0.02475,58,2141,0.01817,0.03133
1987,4th Quintile,West,No,0.97525,2083,2141,0.96867,0.98183
1987,5th Quintile,West,Yes,0.01933,47,2076,0.01340,0.02525
1987,5th Quintile,West,No,0.98067,2029,2076,0.97475,0.98660
1988,1st Quintile,West,Yes,0.08538,194,1927,0.07290,0.09786
1988,1st Quintile,West,No,0.91462,1733,1927,0.90214,0.92710
1988,2nd Quintile,West,Yes,0.03147,73,1951,0.02372,0.03922
1988,2nd Quintile,West,No,0.96853,1878,1951,0.96078,0.97628
1988,3rd Quintile,West,Yes,0.04431,102,1979,0.03524,0.05338
1988,3rd Quintile,West,No,0.95569,1877,1979,0.94662,0.96476
1988,4th Quintile,West,Yes,0.03873,87,2033,0.03034,0.04712
1988,4th Quintile,West,No,0.96127,1946,2033,0.95288,0.96966
1988,5th Quintile,West,Yes,0.01644,36,1923,0.01076,0.02213
1988,5th Quintile,West,No,0.98356,1887,1923,0.97787,0.98924
1989,1st Quintile,West,Yes,0.07137,135,1640,0.05890,0.08383
1989,1st Quintile,West,No,0.92863,1505,1640,0.91617,0.94110
1989,2nd Quintile,West,Yes,0.03730,85,1748,0.02841,0.04618
1989,2nd Quintile,West,No,0.96270,1663,1748,0.95382,0.97159
1989,3rd Quintile,West,Yes,0.02951,58,1753,0.02158,0.03743
1989,3rd Quintile,West,No,0.97049,1695,1753,0.96257,0.97842
1989,4th Quintile,West,Yes,0.01969,44,1895,0.01344,0.02595
1989,4th Quintile,West,No,0.98031,1851,1895,0.97405,0.98656
1989,5th Quintile,West,Yes,0.01819,37,1771,0.01197,0.02442
1989,5th Quintile,West,No,0.98181,1734,1771,0.97558,0.98803
1990,1st Quintile,West,Yes,0.07045,146,1810,0.05865,0.08224
1990,1st Quintile,West,No,0.92955,1664,1810,0.91776,0.94135
1990,2nd Quintile,West,Yes,0.02632,61,1819,0.01897,0.03368
1990,2nd Quintile,West,No,0.97368,1758,1819,0.96632,0.98103
1990,3rd Quintile,West,Yes,0.02649,56,1838,0.01915,0.03384
1990,3rd Quintile,West,No,0.97351,1782,1838,0.96616,0.98085
1990,4th Quintile,West,Yes,0.02561,52,1882,0.01847,0.03275
1990,4th Quintile,West,No,0.97439,1830,1882,0.96725,0.98153
1990,5th Quintile,West,No,0.98391,1733,1733,0.97799,0.98984
1991,1st Quintile,West,Yes,0.06309,146,1781,0.05179,0.07438
1991,1st Quintile,West,No,0.93691,1635,1781,0.92562,0.94821
1991,2nd Quintile,West,Yes,0.03691,76,1850,0.02832,0.04551
1991,2nd Quintile,West,No,0.96309,1774,1850,0.95449,0.97168
1991,3rd Quintile,West,Yes,0.02101,50,1850,0.01448,0.02755
1991,3rd Quintile,West,No,0.97899,1800,1850,0.97245,0.98552
1991,4th Quintile,West,Yes,0.01547,43,1910,0.00993,0.02100
1991,4th Quintile,West,No,0.98453,1867,1910,0.97900,0.99007
1991,5th Quintile,West,Yes,0.01961,35,1820,0.01324,0.02598
1991,5th Quintile,West,No,0.98039,1785,1820,0.97402,0.98676
1992,1st Quintile,West,Yes,0.08416,110,1132,0.06798,0.10034
1992,1st Quintile,West,No,0.91584,1022,1132,0.89966,0.93202
1992,1st Quintile,East,Yes,0.16161,277,1559,0.14333,0.17989
1992,1st Quintile,East,No,0.83839,1282,1559,0.82011,0.85667
1992,2nd Quintile,West,Yes,0.03899,78,1605,0.02952,0.04846
1992,2nd Quintile,West,No,0.96101,1527,1605,0.95154,0.97048
1992,2nd Quintile,East,Yes,0.12944,152,1204,0.11047,0.14841
1992,2nd Quintile,East,No,0.87056,1052,1204,0.85159,0.88953
1992,3rd Quintile,West,Yes,0.02981,73,1907,0.02217,0.03744
1992,3rd Quintile,West,No,0.97019,1834,1907,0.96256,0.97783
1992,3rd Quintile,East,Yes,0.12289,83,704,0.09862,0.14716
1992,3rd Quintile,East,No,0.87711,621,704,0.85284,0.90138
1992,4th Quintile,West,Yes,0.02296,58,2248,0.01676,0.02915
1992,4th Quintile,West,No,0.97704,2190,2248,0.97085,0.98324
1992,4th Quintile,East,Yes,0.14774,39,310,0.10818,0.18731
1992,4th Quintile,East,No,0.85226,271,310,0.81269,0.89182
1992,5th Quintile,West,Yes,0.01807,43,2220,0.01252,0.02361
1992,5th Quintile,West,No,0.98193,2177,2220,0.97639,0.98748
1992,5th Quintile,East,No,0.84103,117,117,0.77449,0.90757
1993,1st Quintile,West,Yes,0.09018,141,1393,0.07513,0.10523
1993,1st Quintile,West,No,0.90982,1252,1393,0.89477,0.92487
1993,1st Quintile,East,Yes,0.20208,242,1155,0.17892,0.22525
1993,1st Quintile,East,No,0.79792,913,1155,0.77475,0.82108
1993,2nd Quintile,West,Yes,0.03717,82,1585,0.02785,0.04648
1993,2nd Quintile,West,No,0.96283,1503,1585,0.95352,0.97215
1993,2nd Quintile,East,Yes,0.13218,160,1191,0.11294,0.15143
1993,2nd Quintile,East,No,0.86782,1031,1191,0.84857,0.88706
1993,3rd Quintile,West,Yes,0.03734,76,1836,0.02866,0.04601
1993,3rd Quintile,West,No,0.96266,1760,1836,0.95399,0.97134
1993,3rd Quintile,East,Yes,0.10809,89,812,0.08672,0.12946
