year,age_gr,bula_h,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Schleswig-Holstein,No,1.0,75,10441,1.0,1.0
1985,17-29 y.,Hamburg,No,1.0,55,10441,1.0,1.0
1985,17-29 y.,Lower Saxony,No,1.0,270,10441,1.0,1.0
1985,17-29 y.,North Rhine-Westphalia,Yes,0.06596089203028274,61,10441,0.0656999454950919,0.06622183856547359
1985,17-29 y.,North Rhine-Westphalia,No,0.9340391079697172,793,10441,0.9337781614345264,0.934300054504908
1985,17-29 y.,Hesse,No,1.0,299,10441,1.0,1.0
1985,17-29 y.,"Rhineland-Palatinate, Saarland",No,1.0,224,10441,1.0,1.0
1985,17-29 y.,Baden-Wuerttemberg,No,1.0,584,10441,1.0,1.0
1985,17-29 y.,Bavaria,No,1.0,487,10441,1.0,1.0
1985,17-29 y.,Berlin,No,1.0,79,10441,1.0,1.0
1985,30-45 y.,Schleswig-Holstein,No,1.0,121,10441,1.0,1.0
1985,30-45 y.,Hamburg,No,1.0,93,10441,1.0,1.0
1985,30-45 y.,Lower Saxony,No,1.0,327,10441,1.0,1.0
1985,30-45 y.,North Rhine-Westphalia,Yes,0.05762345850126545,55,10441,0.057389878287613647,0.05785703871491725
1985,30-45 y.,North Rhine-Westphalia,No,0.9423765414987345,923,10441,0.9421429612850827,0.9426101217123863
1985,30-45 y.,Hesse,No,1.0,319,10441,1.0,1.0
1985,30-45 y.,"Rhineland-Palatinate, Saarland",No,1.0,160,10441,1.0,1.0
1985,30-45 y.,Baden-Wuerttemberg,Yes,0.04386445997920229,31,10441,0.04357212004198587,0.04415679991641871
1985,30-45 y.,Baden-Wuerttemberg,No,0.9561355400207977,608,10441,0.9558432000835813,0.9564278799580141
1985,30-45 y.,Bavaria,No,1.0,574,10441,1.0,1.0
1985,30-45 y.,Berlin,No,1.0,109,10441,1.0,1.0
1985,46-65 y.,Schleswig-Holstein,No,1.0,91,10441,1.0,1.0
1985,46-65 y.,Hamburg,No,1.0,67,10441,1.0,1.0
1985,46-65 y.,Lower Saxony,No,1.0,309,10441,1.0,1.0
1985,46-65 y.,North Rhine-Westphalia,Yes,0.04867961588169379,45,10441,0.04847061076534456,0.04888862099804302
1985,46-65 y.,North Rhine-Westphalia,No,0.9513203841183062,796,10441,0.951111379001957,0.9515293892346555
1985,46-65 y.,Hesse,No,1.0,346,10441,1.0,1.0
1985,46-65 y.,"Rhineland-Palatinate, Saarland",No,1.0,253,10441,1.0,1.0
