year,age_gr,migback,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Direct migration background,Very concerned,0.28490,237,534,0.24658,0.32322
1992,17-29 y.,Direct migration background,Somewhat concerned,0.25668,222,534,0.21960,0.29377
1992,17-29 y.,Direct migration background,Not concerned at all,0.08726,75,534,0.06330,0.11122
1992,17-29 y.,Indirect migration background,Very concerned,0.33814,130,305,0.28496,0.39132
1992,17-29 y.,Indirect migration background,Somewhat concerned,0.24220,118,305,0.19404,0.29036
1992,17-29 y.,Indirect migration background,Not concerned at all,0.11478,57,305,0.07895,0.15061
1992,30-45 y.,Direct migration background,Very concerned,0.23293,231,627,0.19982,0.26605
1992,30-45 y.,Direct migration background,Somewhat concerned,0.22379,279,627,0.19114,0.25644
1992,30-45 y.,Direct migration background,Not concerned at all,0.08740,117,627,0.06527,0.10952
1992,46-65 y.,Direct migration background,Very concerned,0.16992,250,729,0.14263,0.19720
1992,46-65 y.,Direct migration background,Somewhat concerned,0.18151,324,729,0.15351,0.20951
1992,46-65 y.,Direct migration background,Not concerned at all,0.09977,155,729,0.07800,0.12154
1993,17-29 y.,Direct migration background,Very concerned,0.36456,270,499,0.32229,0.40684
1993,17-29 y.,Direct migration background,Somewhat concerned,0.23983,182,499,0.20233,0.27733
1993,17-29 y.,Direct migration background,Not concerned at all,0.05746,47,499,0.03702,0.07790
1993,17-29 y.,Indirect migration background,Very concerned,0.35114,156,332,0.29972,0.40257
1993,17-29 y.,Indirect migration background,Somewhat concerned,0.24003,141,332,0.19402,0.28605
1993,17-29 y.,Indirect migration background,Not concerned at all,0.05032,35,332,0.02677,0.07387
1993,30-45 y.,Direct migration background,Very concerned,0.25821,267,576,0.22244,0.29398
1993,30-45 y.,Direct migration background,Somewhat concerned,0.21609,250,576,0.18245,0.24973
1993,30-45 y.,Direct migration background,Not concerned at all,0.04852,59,576,0.03096,0.06609
1993,46-65 y.,Direct migration background,Very concerned,0.20967,319,721,0.17993,0.23940
1993,46-65 y.,Direct migration background,Somewhat concerned,0.18823,300,721,0.15967,0.21678
1993,46-65 y.,Direct migration background,Not concerned at all,0.06397,102,721,0.04609,0.08184
1994,17-29 y.,Direct migration background,Very concerned,0.32641,209,438,0.28244,0.37037
1994,17-29 y.,Direct migration background,Somewhat concerned,0.27764,188,438,0.23565,0.31963
1994,17-29 y.,Direct migration background,Not concerned at all,0.05044,41,438,0.02992,0.07096
1994,17-29 y.,Indirect migration background,Very concerned,0.33854,177,313,0.28603,0.39105
1994,17-29 y.,Indirect migration background,Somewhat concerned,0.25590,136,313,0.20748,0.30432
1994,30-45 y.,Direct migration background,Very concerned,0.27275,256,551,0.23553,0.30998
1994,30-45 y.,Direct migration background,Somewhat concerned,0.21430,242,551,0.18001,0.24860
1994,30-45 y.,Direct migration background,Not concerned at all,0.04702,53,551,0.02933,0.06471
1994,46-65 y.,Direct migration background,Very concerned,0.21892,295,704,0.18835,0.24948
1994,46-65 y.,Direct migration background,Somewhat concerned,0.20986,304,704,0.17975,0.23996
1994,46-65 y.,Direct migration background,Not concerned at all,0.06423,105,704,0.04611,0.08235
1995,17-29 y.,Direct migration background,Very concerned,0.18155,172,359,0.14162,0.22148
1995,17-29 y.,Direct migration background,Somewhat concerned,0.12163,152,359,0.08777,0.15549
1995,17-29 y.,Direct migration background,Not concerned at all,0.02836,35,359,0.01117,0.04556
1995,17-29 y.,Indirect migration background,Very concerned,0.22513,130,330,0.18000,0.27026
1995,17-29 y.,Indirect migration background,Somewhat concerned,0.25402,163,330,0.20698,0.30106
1995,17-29 y.,Indirect migration background,Not concerned at all,0.05286,37,330,0.02868,0.07704
1995,30-45 y.,Direct migration background,Very concerned,0.12640,194,499,0.09721,0.15558
1995,30-45 y.,Direct migration background,Somewhat concerned,0.13179,238,499,0.10208,0.16150
1995,30-45 y.,Direct migration background,Not concerned at all,0.03775,67,499,0.02101,0.05449
1995,46-65 y.,Direct migration background,Very concerned,0.15238,269,683,0.12541,0.17935
1995,46-65 y.,Direct migration background,Somewhat concerned,0.15138,303,683,0.12448,0.17828
1995,46-65 y.,Direct migration background,Not concerned at all,0.05672,111,683,0.03936,0.07408
1996,17-29 y.,No migration background,Very concerned,0.28297,603,2136,0.26386,0.30208
1996,17-29 y.,No migration background,Somewhat concerned,0.53697,1170,2136,0.51582,0.55812
1996,17-29 y.,No migration background,Not concerned at all,0.16406,363,2136,0.14835,0.17977
1996,17-29 y.,Direct migration background,Very concerned,0.36327,196,529,0.32224,0.40429
1996,17-29 y.,Direct migration background,Somewhat concerned,0.47714,262,529,0.43454,0.51975
1996,17-29 y.,Direct migration background,Not concerned at all,0.14805,71,529,0.11776,0.17835
1996,17-29 y.,Indirect migration background,Very concerned,0.42174,180,462,0.37666,0.46682
1996,17-29 y.,Indirect migration background,Somewhat concerned,0.49410,227,462,0.44846,0.53974
1996,17-29 y.,Indirect migration background,Not concerned at all,0.08007,55,462,0.05529,0.10484
1996,30-45 y.,No migration background,Very concerned,0.25541,886,3484,0.24092,0.26989
1996,30-45 y.,No migration background,Somewhat concerned,0.56207,1962,3484,0.54560,0.57855
1996,30-45 y.,No migration background,Not concerned at all,0.17055,636,3484,0.15806,0.18304
1996,30-45 y.,Direct migration background,Very concerned,0.35494,320,846,0.32268,0.38720
1996,30-45 y.,Direct migration background,Somewhat concerned,0.50802,434,846,0.47431,0.54173
1996,30-45 y.,Direct migration background,Not concerned at all,0.11928,92,846,0.09742,0.14113
1996,30-45 y.,Indirect migration background,Somewhat concerned,0.45329,37,37,0.29067,0.61591
1996,46-65 y.,No migration background,Very concerned,0.28906,822,2851,0.27241,0.30570
1996,46-65 y.,No migration background,Somewhat concerned,0.51901,1523,2851,0.50067,0.53735
1996,46-65 y.,No migration background,Not concerned at all,0.16473,506,2851,0.15112,0.17835
1996,46-65 y.,Direct migration background,Very concerned,0.32868,346,968,0.29907,0.35828
1996,46-65 y.,Direct migration background,Somewhat concerned,0.49314,491,968,0.46163,0.52465
1996,46-65 y.,Direct migration background,Not concerned at all,0.15441,131,968,0.13163,0.17718
1996,66 and older,No migration background,Very concerned,0.30701,398,1292,0.28185,0.33217
1996,66 and older,No migration background,Somewhat concerned,0.46275,620,1292,0.43555,0.48995
1996,66 and older,No migration background,Not concerned at all,0.20739,274,1292,0.18527,0.22950
1996,66 and older,Direct migration background,Very concerned,0.30192,69,218,0.24084,0.36301
1996,66 and older,Direct migration background,Somewhat concerned,0.45430,108,218,0.38805,0.52054
1996,66 and older,Direct migration background,Not concerned at all,0.17917,41,218,0.12814,0.23019
1997,17-29 y.,No migration background,Very concerned,0.28894,586,2055,0.26934,0.30854
1997,17-29 y.,No migration background,Somewhat concerned,0.51148,1077,2055,0.48986,0.53309
1997,17-29 y.,No migration background,Not concerned at all,0.18625,392,2055,0.16942,0.20309
1997,17-29 y.,Direct migration background,Very concerned,0.34204,175,473,0.29925,0.38484
1997,17-29 y.,Direct migration background,Somewhat concerned,0.46476,228,473,0.41976,0.50975
1997,17-29 y.,Direct migration background,Not concerned at all,0.18046,70,473,0.14577,0.21516
1997,17-29 y.,Indirect migration background,Very concerned,0.34573,161,472,0.30277,0.38868
1997,17-29 y.,Indirect migration background,Somewhat concerned,0.47715,233,472,0.43204,0.52226
1997,17-29 y.,Indirect migration background,Not concerned at all,0.17265,78,472,0.13851,0.20678
1997,30-45 y.,No migration background,Very concerned,0.29163,961,3452,0.27646,0.30679
1997,30-45 y.,No migration background,Somewhat concerned,0.52380,1847,3452,0.50713,0.54046
1997,30-45 y.,No migration background,Not concerned at all,0.17549,644,3452,0.16280,0.18818
1997,30-45 y.,Direct migration background,Very concerned,0.33918,285,819,0.30674,0.37162
