year,age_gr,bula_h,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Lower Saxony,Very concerned,0.04226,31,31,-0.02973,0.11426
1992,17-29 y.,North Rhine-Westphalia,Very concerned,0.06861,118,247,0.03702,0.10020
1992,17-29 y.,North Rhine-Westphalia,Somewhat concerned,0.04773,94,247,0.02108,0.07437
1992,17-29 y.,North Rhine-Westphalia,Not concerned at all,0.01583,35,247,0.00023,0.03143
1992,17-29 y.,Hesse,Somewhat concerned,0.04357,38,38,-0.02221,0.10935
1992,17-29 y.,Baden-Wuerttemberg,Very concerned,0.06125,103,227,0.02999,0.09252
1992,17-29 y.,Baden-Wuerttemberg,Somewhat concerned,0.05741,86,227,0.02708,0.08773
1992,17-29 y.,Baden-Wuerttemberg,Not concerned at all,0.02795,38,227,0.00646,0.04944
1992,17-29 y.,Bavaria,Very concerned,0.03722,35,90,-0.00211,0.07655
1992,17-29 y.,Bavaria,Somewhat concerned,0.03430,55,90,-0.00351,0.07212
1992,30-45 y.,North Rhine-Westphalia,Very concerned,0.03508,72,133,0.00369,0.06646
1992,30-45 y.,North Rhine-Westphalia,Somewhat concerned,0.02687,61,133,-0.00072,0.05445
1992,30-45 y.,Hesse,Somewhat concerned,0.06401,56,56,-0.00068,0.12870
1992,30-45 y.,Baden-Wuerttemberg,Very concerned,0.05460,69,197,0.02279,0.08641
1992,30-45 y.,Baden-Wuerttemberg,Somewhat concerned,0.05202,85,197,0.02093,0.08311
1992,30-45 y.,Baden-Wuerttemberg,Not concerned at all,0.03115,43,197,0.00683,0.05547
1992,30-45 y.,Bavaria,Very concerned,0.02812,33,74,-0.00980,0.06605
1992,30-45 y.,Bavaria,Somewhat concerned,0.03020,41,74,-0.00906,0.06945
1992,46-65 y.,North Rhine-Westphalia,Very concerned,0.03931,82,204,0.01258,0.06604
1992,46-65 y.,North Rhine-Westphalia,Somewhat concerned,0.03403,83,204,0.00909,0.05898
1992,46-65 y.,North Rhine-Westphalia,Not concerned at all,0.01957,39,204,0.00051,0.03862
1992,46-65 y.,Hesse,Somewhat concerned,0.04306,45,83,-0.00088,0.08700
1992,46-65 y.,Hesse,Not concerned at all,0.03882,38,83,-0.00299,0.08063
1992,46-65 y.,Baden-Wuerttemberg,Very concerned,0.03958,63,188,0.01164,0.06753
1992,46-65 y.,Baden-Wuerttemberg,Somewhat concerned,0.04217,86,188,0.01336,0.07097
1992,46-65 y.,Baden-Wuerttemberg,Not concerned at all,0.02360,39,188,0.00184,0.04535
1992,46-65 y.,Bavaria,Very concerned,0.02442,33,90,-0.00765,0.05649
1992,46-65 y.,Bavaria,Somewhat concerned,0.03703,57,90,-0.00220,0.07626
1993,17-29 y.,Lower Saxony,Very concerned,0.05582,36,36,-0.02024,0.13188
1993,17-29 y.,North Rhine-Westphalia,Very concerned,0.10375,147,227,0.06399,0.14351
1993,17-29 y.,North Rhine-Westphalia,Somewhat concerned,0.05080,80,227,0.02217,0.07943
1993,17-29 y.,Hesse,Very concerned,0.06333,32,78,0.00893,0.11773
