year,migback,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Direct migration background,Very concerned,0.18679,725,1921,0.16936,0.20422
1992,Direct migration background,Somewhat concerned,0.18470,841,1921,0.16734,0.20206
1992,Direct migration background,Not concerned at all,0.08176,355,1921,0.06950,0.09402
1992,Indirect migration background,Very concerned,0.07125,132,315,0.04280,0.09971
1992,Indirect migration background,Somewhat concerned,0.05318,123,315,0.02836,0.07800
1992,Indirect migration background,Not concerned at all,0.02860,60,315,0.01016,0.04703
1993,Direct migration background,Very concerned,0.22372,866,1835,0.20465,0.24279
1993,Direct migration background,Somewhat concerned,0.18275,755,1835,0.16506,0.20043
1993,Direct migration background,Not concerned at all,0.05046,214,1835,0.04044,0.06048
1993,Indirect migration background,Very concerned,0.09080,161,348,0.06057,0.12103
1993,Indirect migration background,Somewhat concerned,0.06389,148,348,0.03816,0.08963
1993,Indirect migration background,Not concerned at all,0.01774,39,348,0.00385,0.03164
1994,Direct migration background,Very concerned,0.22206,775,1739,0.20252,0.24160
1994,Direct migration background,Somewhat concerned,0.19716,756,1739,0.17846,0.21587
1994,Direct migration background,Not concerned at all,0.04879,208,1739,0.03866,0.05892
1994,Indirect migration background,Very concerned,0.09442,182,362,0.06425,0.12458
1994,Indirect migration background,Somewhat concerned,0.07210,145,362,0.04542,0.09879
1994,Indirect migration background,Not concerned at all,0.01603,35,362,0.00308,0.02899
1995,Direct migration background,Very concerned,0.12363,651,1591,0.10745,0.13981
1995,Direct migration background,Somewhat concerned,0.11551,719,1591,0.09980,0.13122
1995,Direct migration background,Not concerned at all,0.03635,221,1591,0.02715,0.04555
1995,Indirect migration background,Very concerned,0.06184,137,355,0.03675,0.08694
1995,Indirect migration background,Somewhat concerned,0.06998,177,355,0.04340,0.09656
1995,Indirect migration background,Not concerned at all,0.01623,41,355,0.00306,0.02939
1996,No migration background,Very concerned,0.23462,2709,9763,0.22621,0.24303
1996,No migration background,Somewhat concerned,0.43732,5275,9763,0.42748,0.44716
1996,No migration background,Not concerned at all,0.14593,1779,9763,0.13892,0.15293
1996,Direct migration background,Very concerned,0.31975,931,2561,0.30168,0.33782
1996,Direct migration background,Somewhat concerned,0.46119,1295,2561,0.44188,0.48050
1996,Direct migration background,Not concerned at all,0.13809,335,2561,0.12473,0.15146
1996,Indirect migration background,Very concerned,0.13722,204,542,0.10823,0.16622
1996,Indirect migration background,Somewhat concerned,0.15893,271,542,0.12812,0.18974
1996,Indirect migration background,Not concerned at all,0.03275,67,542,0.01775,0.04774
1997,No migration background,Very concerned,0.24551,2820,9688,0.23694,0.25408
1997,No migration background,Somewhat concerned,0.42448,5061,9688,0.41464,0.43433
1997,No migration background,Not concerned at all,0.15165,1807,9688,0.14451,0.15879
1997,Direct migration background,Very concerned,0.32376,867,2449,0.30522,0.34229
1997,Direct migration background,Somewhat concerned,0.44427,1203,2449,0.42458,0.46395
1997,Direct migration background,Not concerned at all,0.16619,379,2449,0.15144,0.18094
1997,Indirect migration background,Very concerned,0.12048,185,562,0.09354,0.14742
1997,Indirect migration background,Somewhat concerned,0.18014,281,562,0.14834,0.21194
1997,Indirect migration background,Not concerned at all,0.06175,96,562,0.04183,0.08167
1998,No migration background,Very concerned,0.24427,3200,11040,0.23626,0.25229
1998,No migration background,Somewhat concerned,0.42016,5677,11040,0.41095,0.42937
1998,No migration background,Not concerned at all,0.15464,2163,11040,0.14789,0.16138
1998,Direct migration background,Very concerned,0.34126,847,2361,0.32213,0.36039
1998,Direct migration background,Somewhat concerned,0.42603,1132,2361,0.40607,0.44598
1998,Direct migration background,Not concerned at all,0.15798,382,2361,0.14326,0.17269
1998,Indirect migration background,Very concerned,0.13193,198,592,0.10465,0.15922
1998,Indirect migration background,Somewhat concerned,0.18710,312,592,0.15565,0.21854
1998,Indirect migration background,Not concerned at all,0.06374,82,592,0.04404,0.08343
1999,No migration background,Very concerned,0.24524,3126,10813,0.23713,0.25335
1999,No migration background,Somewhat concerned,0.46315,6121,10813,0.45375,0.47255
1999,No migration background,Not concerned at all,0.12819,1566,10813,0.12189,0.13449
1999,Direct migration background,Very concerned,0.30561,715,2196,0.28634,0.32489
1999,Direct migration background,Somewhat concerned,0.46387,1087,2196,0.44301,0.48473
1999,Direct migration background,Not concerned at all,0.17384,394,2196,0.15799,0.18969
1999,Indirect migration background,Very concerned,0.14826,217,601,0.11983,0.17670
1999,Indirect migration background,Somewhat concerned,0.19174,302,601,0.16024,0.22324
1999,Indirect migration background,Not concerned at all,0.05335,82,601,0.03537,0.07134
2000,No migration background,Very concerned,0.26274,6184,19774,0.25660,0.26887
2000,No migration background,Somewhat concerned,0.42540,10283,19774,0.41851,0.43230
2000,No migration background,Not concerned at all,0.14698,3307,19774,0.14204,0.15191
2000,Direct migration background,Very concerned,0.29548,1030,3260,0.27982,0.31115
2000,Direct migration background,Somewhat concerned,0.41800,1538,3260,0.40106,0.43493
2000,Direct migration background,Not concerned at all,0.19128,692,3260,0.17777,0.20478
2000,Indirect migration background,Very concerned,0.13992,283,806,0.11596,0.16388
2000,Indirect migration background,Somewhat concerned,0.17390,373,806,0.14771,0.20008
2000,Indirect migration background,Not concerned at all,0.06974,150,806,0.05214,0.08734
2001,No migration background,Very concerned,0.29332,6495,18031,0.28667,0.29997
2001,No migration background,Somewhat concerned,0.40999,8848,18031,0.40281,0.41717
2001,No migration background,Not concerned at all,0.13288,2688,18031,0.12793,0.13784
2001,Direct migration background,Very concerned,0.32472,1006,2887,0.30763,0.34180
2001,Direct migration background,Somewhat concerned,0.41990,1326,2887,0.40189,0.43790
2001,Direct migration background,Not concerned at all,0.17815,555,2887,0.16419,0.19211
2001,Indirect migration background,Very concerned,0.15902,308,756,0.13294,0.18511
2001,Indirect migration background,Somewhat concerned,0.15061,319,756,0.12510,0.17612
2001,Indirect migration background,Not concerned at all,0.05830,129,756,0.04159,0.07501
2002,No migration background,Very concerned,0.23323,5435,19321,0.22726,0.23919
2002,No migration background,Somewhat concerned,0.46064,10670,19321,0.45361,0.46766
2002,No migration background,Not concerned at all,0.14781,3216,19321,0.14281,0.15282
2002,Direct migration background,Very concerned,0.26578,744,2764,0.24930,0.28225
2002,Direct migration background,Somewhat concerned,0.46917,1438,2764,0.45056,0.48777
2002,Direct migration background,Not concerned at all,0.19575,582,2764,0.18096,0.21055
2002,Indirect migration background,Very concerned,0.11451,227,763,0.09190,0.13712
2002,Indirect migration background,Somewhat concerned,0.19868,393,763,0.17034,0.22701
2002,Indirect migration background,Not concerned at all,0.05961,143,763,0.04280,0.07642
2003,No migration background,Very concerned,0.19129,4191,18610,0.18564,0.19694
2003,No migration background,Somewhat concerned,0.47171,10595,18610,0.46454,0.47888
2003,No migration background,Not concerned at all,0.17878,3824,18610,0.17328,0.18429
2003,Direct migration background,Very concerned,0.23205,584,2583,0.21576,0.24833
2003,Direct migration background,Somewhat concerned,0.45800,1293,2583,0.43879,0.47722
2003,Direct migration background,Not concerned at all,0.24455,706,2583,0.22797,0.26113
2003,Indirect migration background,Very concerned,0.09817,185,764,0.07706,0.11929
2003,Indirect migration background,Somewhat concerned,0.19396,385,764,0.16590,0.22201
2003,Indirect migration background,Not concerned at all,0.09499,194,764,0.07418,0.11579
2004,No migration background,Very concerned,0.19674,4207,18131,0.19096,0.20253
2004,No migration background,Somewhat concerned,0.46040,10053,18131,0.45314,0.46765
2004,No migration background,Not concerned at all,0.18726,3871,18131,0.18158,0.19293
2004,Direct migration background,Very concerned,0.23959,582,2486,0.22280,0.25637
2004,Direct migration background,Somewhat concerned,0.46343,1275,2486,0.44382,0.48303
2004,Direct migration background,Not concerned at all,0.23637,629,2486,0.21966,0.25307
2004,Indirect migration background,Very concerned,0.10333,201,783,0.08200,0.12467
2004,Indirect migration background,Somewhat concerned,0.21216,394,783,0.18350,0.24081
2004,Indirect migration background,Not concerned at all,0.09527,188,783,0.07469,0.11585
2005,No migration background,Very concerned,0.25770,5220,17383,0.25120,0.26420
2005,No migration background,Somewhat concerned,0.43573,9135,17383,0.42836,0.44310
2005,No migration background,Not concerned at all,0.15465,3028,17383,0.14927,0.16002
2005,Direct migration background,Very concerned,0.30264,700,2342,0.28403,0.32125
2005,Direct migration background,Somewhat concerned,0.45703,1128,2342,0.43685,0.47721
2005,Direct migration background,Not concerned at all,0.19690,514,2342,0.18079,0.21301
2005,Indirect migration background,Very concerned,0.15582,250,812,0.13086,0.18079
2005,Indirect migration background,Somewhat concerned,0.21373,397,812,0.18551,0.24194
2005,Indirect migration background,Not concerned at all,0.08571,165,812,0.06645,0.10498
2006,No migration background,Very concerned,0.23692,5121,18611,0.23081,0.24303
2006,No migration background,Somewhat concerned,0.44651,10130,18611,0.43936,0.45365
2006,No migration background,Not concerned at all,0.15702,3360,18611,0.15179,0.16225
2006,Direct migration background,Very concerned,0.29372,691,2346,0.27529,0.31216
2006,Direct migration background,Somewhat concerned,0.44284,1136,2346,0.42273,0.46294
2006,Direct migration background,Not concerned at all,0.21006,519,2346,0.19357,0.22655
2006,Indirect migration background,Very concerned,0.13636,235,799,0.11255,0.16017
2006,Indirect migration background,Somewhat concerned,0.21692,408,799,0.18833,0.24552
2006,Indirect migration background,Not concerned at all,0.08621,156,799,0.06674,0.10568
2007,No migration background,Very concerned,0.23038,4716,17457,0.22413,0.23663
2007,No migration background,Somewhat concerned,0.44798,9454,17457,0.44060,0.45536
2007,No migration background,Not concerned at all,0.16345,3287,17457,0.15796,0.16894
2007,Direct migration background,Very concerned,0.26692,574,2087,0.24793,0.28590
2007,Direct migration background,Somewhat concerned,0.46593,1048,2087,0.44452,0.48734
2007,Direct migration background,Not concerned at all,0.21422,465,2087,0.19661,0.23182
2007,Indirect migration background,Very concerned,0.13234,225,767,0.10834,0.15634
2007,Indirect migration background,Somewhat concerned,0.22636,371,767,0.19673,0.25600
2007,Indirect migration background,Not concerned at all,0.10418,171,767,0.08255,0.12582
2008,No migration background,Very concerned,0.19966,3801,16536,0.19357,0.20576
2008,No migration background,Somewhat concerned,0.46920,9292,16536,0.46160,0.47681
2008,No migration background,Not concerned at all,0.17921,3443,16536,0.17336,0.18505
2008,Direct migration background,Very concerned,0.25287,483,1889,0.23327,0.27248
2008,Direct migration background,Somewhat concerned,0.49272,953,1889,0.47017,0.51527
2008,Direct migration background,Not concerned at all,0.22172,453,1889,0.20298,0.24045
2008,Indirect migration background,Very concerned,0.12794,198,762,0.10421,0.15167
2008,Indirect migration background,Somewhat concerned,0.24044,385,762,0.21008,0.27080
2008,Indirect migration background,Not concerned at all,0.12223,179,762,0.09896,0.14550
2009,No migration background,Very concerned,0.16683,2974,15541,0.16097,0.17269
2009,No migration background,Somewhat concerned,0.49549,9091,15541,0.48763,0.50336
2009,No migration background,Not concerned at all,0.18750,3476,15541,0.18137,0.19364
2009,Direct migration background,Very concerned,0.21686,344,1643,0.19693,0.23679
2009,Direct migration background,Somewhat concerned,0.47440,811,1643,0.45025,0.49855
2009,Direct migration background,Not concerned at all,0.27344,488,1643,0.25188,0.29499
2009,Indirect migration background,Very concerned,0.14083,171,699,0.11502,0.16664
2009,Indirect migration background,Somewhat concerned,0.26066,355,699,0.22809,0.29323
2009,Indirect migration background,Not concerned at all,0.11662,173,699,0.09281,0.14044
2010,No migration background,Very concerned,0.17436,4138,19771,0.16907,0.17965
2010,No migration background,Somewhat concerned,0.49031,11404,19771,0.48334,0.49727
2010,No migration background,Not concerned at all,0.18914,4229,19771,0.18368,0.19460
2010,Direct migration background,Very concerned,0.21427,703,2916,0.19937,0.22916
2010,Direct migration background,Somewhat concerned,0.46635,1434,2916,0.44824,0.48446
2010,Direct migration background,Not concerned at all,0.27981,779,2916,0.26351,0.29610
2010,Indirect migration background,Very concerned,0.09611,285,1100,0.07868,0.11353
2010,Indirect migration background,Somewhat concerned,0.24766,553,1100,0.22214,0.27318
2010,Indirect migration background,Not concerned at all,0.12240,262,1100,0.10302,0.14178
2011,No migration background,Very concerned,0.14890,3289,17685,0.14365,0.15415
2011,No migration background,Somewhat concerned,0.43010,9946,17685,0.42281,0.43740
2011,No migration background,Not concerned at all,0.19975,4450,17685,0.19385,0.20564
2011,Direct migration background,Very concerned,0.16223,385,1973,0.14596,0.17850
2011,Direct migration background,Somewhat concerned,0.39181,963,1973,0.37027,0.41336
2011,Direct migration background,Not concerned at all,0.25659,625,1973,0.23731,0.27587
2011,Indirect migration background,Very concerned,0.08351,163,780,0.06408,0.10294
2011,Indirect migration background,Somewhat concerned,0.19758,392,780,0.16962,0.22554
2011,Indirect migration background,Not concerned at all,0.11212,225,780,0.08996,0.13428
2012,No migration background,Very concerned,0.16417,3538,17610,0.15870,0.16964
2012,No migration background,Somewhat concerned,0.44286,10094,17610,0.43552,0.45019
2012,No migration background,Not concerned at all,0.18213,3978,17610,0.17643,0.18784
2012,Direct migration background,Very concerned,0.20025,462,1963,0.18254,0.21796
2012,Direct migration background,Somewhat concerned,0.41880,960,1963,0.39697,0.44063
2012,Direct migration background,Not concerned at all,0.20996,541,1963,0.19194,0.22798
2012,Indirect migration background,Very concerned,0.07984,171,773,0.06072,0.09896
2012,Indirect migration background,Somewhat concerned,0.21494,427,773,0.18597,0.24392
2012,Indirect migration background,Not concerned at all,0.10194,175,773,0.08060,0.12329
2013,No migration background,Very concerned,0.14960,3201,16665,0.14419,0.15502
2013,No migration background,Somewhat concerned,0.44778,9451,16665,0.44023,0.45533
2013,No migration background,Not concerned at all,0.19392,4013,16665,0.18792,0.19993
2013,Direct migration background,Very concerned,0.15226,730,5388,0.14266,0.16185
2013,Direct migration background,Somewhat concerned,0.38796,2109,5388,0.37495,0.40097
2013,Direct migration background,Not concerned at all,0.36392,2549,5388,0.35107,0.37677
2013,Indirect migration background,Very concerned,0.07362,288,1610,0.06086,0.08638
2013,Indirect migration background,Somewhat concerned,0.20220,708,1610,0.18258,0.22183
2013,Indirect migration background,Not concerned at all,0.16124,614,1610,0.14327,0.17921
2014,No migration background,Very concerned,0.17931,4288,20024,0.17400,0.18462
2014,No migration background,Somewhat concerned,0.48442,11441,20024,0.47750,0.49134
2014,No migration background,Not concerned at all,0.19200,4295,20024,0.18654,0.19745
2014,Direct migration background,Very concerned,0.20277,1113,5171,0.19181,0.21373
2014,Direct migration background,Somewhat concerned,0.46734,2547,5171,0.45374,0.48094
2014,Direct migration background,Not concerned at all,0.28408,1511,5171,0.27179,0.29637
2014,Indirect migration background,Very concerned,0.12131,474,1704,0.10580,0.13681
2014,Indirect migration background,Somewhat concerned,0.24188,813,1704,0.22154,0.26222
2014,Indirect migration background,Not concerned at all,0.12232,417,1704,0.10676,0.13788
2015,No migration background,Very concerned,0.29802,6644,19029,0.29152,0.30452
2015,No migration background,Somewhat concerned,0.43627,9777,19029,0.42922,0.44331
2015,No migration background,Not concerned at all,0.12084,2608,19029,0.11621,0.12547
2015,Direct migration background,Very concerned,0.25971,1417,5922,0.24854,0.27088
2015,Direct migration background,Somewhat concerned,0.45366,2762,5922,0.44098,0.46634
2015,Direct migration background,Not concerned at all,0.23470,1743,5922,0.22391,0.24550
2015,Indirect migration background,Very concerned,0.15856,575,1612,0.14072,0.17640
2015,Indirect migration background,Somewhat concerned,0.23525,746,1612,0.21454,0.25596
2015,Indirect migration background,Not concerned at all,0.09697,291,1612,0.08252,0.11142
2016,No migration background,Very concerned,0.41332,8698,17718,0.40606,0.42057
2016,No migration background,Somewhat concerned,0.35524,7311,17718,0.34820,0.36229
2016,No migration background,Not concerned at all,0.08683,1709,17718,0.08268,0.09097
2016,Direct migration background,Very concerned,0.36286,2104,7832,0.35221,0.37351
2016,Direct migration background,Somewhat concerned,0.41007,2810,7832,0.39918,0.42097
2016,Direct migration background,Not concerned at all,0.16997,2918,7832,0.16165,0.17829
2016,Indirect migration background,Very concerned,0.23517,745,1484,0.21358,0.25675
2016,Indirect migration background,Somewhat concerned,0.20346,561,1484,0.18297,0.22394
2016,Indirect migration background,Not concerned at all,0.06628,178,1484,0.05362,0.07894
2017,No migration background,Very concerned,0.36250,8430,20017,0.35584,0.36916
2017,No migration background,Somewhat concerned,0.39940,9575,20017,0.39261,0.40618
2017,No migration background,Not concerned at all,0.09165,2012,20017,0.08765,0.09565
2017,Direct migration background,Very concerned,0.33506,1898,8643,0.32511,0.34502
2017,Direct migration background,Somewhat concerned,0.41556,2920,8643,0.40517,0.42595
2017,Direct migration background,Not concerned at all,0.18521,3825,8643,0.17702,0.19340
2017,Indirect migration background,Very concerned,0.23008,745,1625,0.20961,0.25055
2017,Indirect migration background,Somewhat concerned,0.22014,678,1625,0.19999,0.24029
2017,Indirect migration background,Not concerned at all,0.05107,202,1625,0.04037,0.06178
2018,No migration background,Very concerned,0.29480,6662,19366,0.28838,0.30122
2018,No migration background,Somewhat concerned,0.45114,10248,19366,0.44413,0.45815
2018,No migration background,Not concerned at all,0.11394,2456,19366,0.10947,0.11842
2018,Direct migration background,Very concerned,0.26755,1650,8047,0.25788,0.27723
2018,Direct migration background,Somewhat concerned,0.48447,3120,8047,0.47355,0.49539
2018,Direct migration background,Not concerned at all,0.18533,3277,8047,0.17684,0.19382
2018,Indirect migration background,Very concerned,0.19223,594,1625,0.17307,0.21140
2018,Indirect migration background,Somewhat concerned,0.25193,788,1625,0.23082,0.27304
2018,Indirect migration background,Not concerned at all,0.07090,243,1625,0.05842,0.08339
2019,No migration background,Very concerned,0.32107,7932,20070,0.31461,0.32753
2019,No migration background,Somewhat concerned,0.43289,10011,20070,0.42603,0.43974
2019,No migration background,Not concerned at all,0.10014,2127,20070,0.09599,0.10430
2019,Direct migration background,Very concerned,0.30149,1501,7275,0.29094,0.31203
2019,Direct migration background,Somewhat concerned,0.44404,2649,7275,0.43262,0.45546
2019,Direct migration background,Not concerned at all,0.19501,3125,7275,0.18591,0.20412
2019,Indirect migration background,Very concerned,0.20831,672,1566,0.18819,0.22843
2019,Indirect migration background,Somewhat concerned,0.22984,686,1566,0.20899,0.25068
2019,Indirect migration background,Not concerned at all,0.06955,208,1566,0.05695,0.08216
2020,No migration background,Very concerned,0.31256,6878,18490,0.30588,0.31924
2020,No migration background,Somewhat concerned,0.43589,9464,18490,0.42874,0.44303
2020,No migration background,Not concerned at all,0.10290,2148,18490,0.09852,0.10728
2020,Direct migration background,Very concerned,0.29348,1583,9184,0.28417,0.30280
2020,Direct migration background,Somewhat concerned,0.42728,3505,9184,0.41717,0.43740
2020,Direct migration background,Not concerned at all,0.22089,4096,9184,0.21241,0.22938
2020,Indirect migration background,Very concerned,0.20800,605,1534,0.18768,0.22832
2020,Indirect migration background,Somewhat concerned,0.22316,717,1534,0.20231,0.24400
2020,Indirect migration background,Not concerned at all,0.06952,212,1534,0.05679,0.08226
2021,No migration background,Very concerned,0.30517,4806,13160,0.29731,0.31304
2021,No migration background,Somewhat concerned,0.44977,6955,13160,0.44127,0.45827
2021,No migration background,Not concerned at all,0.09727,1399,13160,0.09221,0.10233
2021,Direct migration background,Very concerned,0.29199,1136,5336,0.27979,0.30419
2021,Direct migration background,Somewhat concerned,0.43202,1924,5336,0.41873,0.44532
2021,Direct migration background,Not concerned at all,0.20305,2276,5336,0.19226,0.21385
2021,Indirect migration background,Very concerned,0.18513,362,935,0.16022,0.21004
2021,Indirect migration background,Somewhat concerned,0.21307,440,935,0.18681,0.23933
2021,Indirect migration background,Not concerned at all,0.07713,133,935,0.06002,0.09424
