year,bula_h,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Full Time,0.35170,173,386,0.30400,0.39940
1984,Schleswig-Holstein,Part Time,0.12593,63,386,0.09279,0.15907
1984,Schleswig-Holstein,Not Working,0.33794,150,386,0.29069,0.38519
1984,Hamburg,Full Time,0.35506,146,309,0.30162,0.40850
1984,Hamburg,Part Time,0.10906,42,309,0.07425,0.14387
1984,Hamburg,Not Working,0.43099,121,309,0.37568,0.48630
1984,Lower Saxony,Full Time,0.30279,498,1235,0.27715,0.32842
1984,Lower Saxony,Part Time,0.12786,198,1235,0.10923,0.14649
1984,Lower Saxony,Not Working,0.39627,539,1235,0.36898,0.42356
1984,Bremen,Full Time,0.19736,38,109,0.12229,0.27242
1984,Bremen,Not Working,0.58913,71,109,0.49634,0.68192
1984,North Rhine-Westphalia,Full Time,0.32359,1444,3256,0.30752,0.33967
1984,North Rhine-Westphalia,Part Time,0.12019,488,3256,0.10902,0.13137
1984,North Rhine-Westphalia,Not Working,0.37292,1324,3256,0.35631,0.38953
1984,Hesse,Full Time,0.34730,591,1247,0.32087,0.37374
1984,Hesse,Part Time,0.14353,196,1247,0.12407,0.16300
1984,Hesse,Not Working,0.35815,460,1247,0.33153,0.38477
1984,"Rhineland-Palatinate, Saarland",Full Time,0.33873,374,851,0.30691,0.37054
1984,"Rhineland-Palatinate, Saarland",Part Time,0.10667,113,851,0.08592,0.12742
1984,"Rhineland-Palatinate, Saarland",Not Working,0.40265,364,851,0.36968,0.43562
1984,Baden-Wuerttemberg,Full Time,0.36063,1156,2255,0.34080,0.38045
1984,Baden-Wuerttemberg,Part Time,0.11800,337,2255,0.10468,0.13131
1984,Baden-Wuerttemberg,Not Working,0.32480,762,2255,0.30547,0.34413
1984,Bavaria,Full Time,0.35547,1000,2092,0.33496,0.37599
1984,Bavaria,Part Time,0.13978,359,2092,0.12491,0.15464
1984,Bavaria,Not Working,0.33174,733,2092,0.31156,0.35192
1984,Berlin,Full Time,0.38691,210,408,0.33959,0.43422
1984,Berlin,Part Time,0.11592,68,408,0.08482,0.14702
1984,Berlin,Not Working,0.33252,130,408,0.28675,0.37829
1985,Schleswig-Holstein,Full Time,0.33177,152,353,0.28258,0.38096
1985,Schleswig-Holstein,Part Time,0.13792,64,353,0.10189,0.17394
1985,Schleswig-Holstein,Not Working,0.35563,137,353,0.30562,0.40564
1985,Hamburg,Full Time,0.35930,129,280,0.30300,0.41560
1985,Hamburg,Part Time,0.12851,42,280,0.08924,0.16778
1985,Hamburg,Not Working,0.42054,109,280,0.36262,0.47847
1985,Lower Saxony,Full Time,0.31341,441,1107,0.28607,0.34075
1985,Lower Saxony,Part Time,0.13112,184,1107,0.11123,0.15101
1985,Lower Saxony,Not Working,0.40073,482,1107,0.37185,0.42962
1985,Bremen,Not Working,0.60133,65,65,0.48137,0.72129
1985,North Rhine-Westphalia,Full Time,0.32554,1286,2961,0.30866,0.34242
1985,North Rhine-Westphalia,Part Time,0.12889,473,2961,0.11682,0.14096
1985,North Rhine-Westphalia,Not Working,0.37329,1202,2961,0.35587,0.39071
1985,Hesse,Full Time,0.34558,519,1134,0.31789,0.37327
1985,Hesse,Part Time,0.13759,191,1134,0.11753,0.15765
1985,Hesse,Not Working,0.37617,424,1134,0.34796,0.40438
1985,"Rhineland-Palatinate, Saarland",Full Time,0.33324,332,772,0.29997,0.36652
1985,"Rhineland-Palatinate, Saarland",Part Time,0.10986,105,772,0.08779,0.13194
1985,"Rhineland-Palatinate, Saarland",Not Working,0.41355,335,772,0.37879,0.44831
1985,Baden-Wuerttemberg,Full Time,0.35927,1021,2041,0.33845,0.38009
1985,Baden-Wuerttemberg,Part Time,0.13867,341,2041,0.12368,0.15367
1985,Baden-Wuerttemberg,Not Working,0.31922,679,2041,0.29899,0.33945
1985,Bavaria,Full Time,0.34326,877,1897,0.32189,0.36463
1985,Bavaria,Part Time,0.15247,356,1897,0.13629,0.16865
1985,Bavaria,Not Working,0.34117,664,1897,0.31983,0.36251
1985,Berlin,Full Time,0.35432,165,365,0.30519,0.40346
1985,Berlin,Part Time,0.15229,79,365,0.11537,0.18920
1985,Berlin,Not Working,0.34482,121,365,0.29599,0.39365
1986,Schleswig-Holstein,Full Time,0.33882,140,323,0.28713,0.39052
1986,Schleswig-Holstein,Part Time,0.18857,74,323,0.14585,0.23130
1986,Schleswig-Holstein,Not Working,0.30112,109,323,0.25102,0.35123
1986,Hamburg,Full Time,0.37574,115,256,0.31630,0.43519
1986,Hamburg,Part Time,0.10806,37,256,0.06995,0.14617
1986,Hamburg,Not Working,0.42768,104,256,0.36695,0.48840
1986,Lower Saxony,Full Time,0.32502,457,1108,0.29743,0.35261
1986,Lower Saxony,Part Time,0.13420,190,1108,0.11412,0.15428
1986,Lower Saxony,Not Working,0.38792,461,1108,0.35921,0.41662
1986,Bremen,Full Time,0.19519,33,92,0.11376,0.27663
1986,Bremen,Not Working,0.60919,59,92,0.50894,0.70945
1986,North Rhine-Westphalia,Full Time,0.32550,1259,2858,0.30832,0.34268
1986,North Rhine-Westphalia,Part Time,0.12458,444,2858,0.11247,0.13669
1986,North Rhine-Westphalia,Not Working,0.37538,1155,2858,0.35763,0.39314
1986,Hesse,Full Time,0.34451,477,1049,0.31574,0.37328
1986,Hesse,Part Time,0.13088,188,1049,0.11046,0.15130
