year,age_gr,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Full Time,0.20801,179,808,0.18001,0.23601
1984,17-29 y.,1st Quintile,Part Time,0.23161,167,808,0.20251,0.26072
1984,17-29 y.,1st Quintile,Not Working,0.56038,462,808,0.52613,0.59462
1984,17-29 y.,2nd Quintile,Full Time,0.37096,250,673,0.33444,0.40748
1984,17-29 y.,2nd Quintile,Part Time,0.22488,139,673,0.19331,0.25645
1984,17-29 y.,2nd Quintile,Not Working,0.40416,284,673,0.36706,0.44126
1984,17-29 y.,3rd Quintile,Full Time,0.49066,336,662,0.45255,0.52877
1984,17-29 y.,3rd Quintile,Part Time,0.22698,141,662,0.19505,0.25891
1984,17-29 y.,3rd Quintile,Not Working,0.28237,185,662,0.24805,0.31668
1984,17-29 y.,4th Quintile,Full Time,0.57462,436,732,0.53878,0.61046
1984,17-29 y.,4th Quintile,Part Time,0.20060,139,732,0.17157,0.22963
1984,17-29 y.,4th Quintile,Not Working,0.22478,157,732,0.19452,0.25504
1984,17-29 y.,5th Quintile,Full Time,0.64980,368,554,0.61004,0.68956
1984,17-29 y.,5th Quintile,Part Time,0.13632,77,554,0.10772,0.16492
1984,17-29 y.,5th Quintile,Not Working,0.21388,109,554,0.17970,0.24806
1984,30-45 y.,1st Quintile,Full Time,0.31241,285,785,0.27997,0.34486
1984,30-45 y.,1st Quintile,Part Time,0.16645,112,785,0.14037,0.19252
1984,30-45 y.,1st Quintile,Not Working,0.52114,388,785,0.48617,0.55611
1984,30-45 y.,2nd Quintile,Full Time,0.52244,411,787,0.48752,0.55736
1984,30-45 y.,2nd Quintile,Part Time,0.20280,159,787,0.17469,0.23091
1984,30-45 y.,2nd Quintile,Not Working,0.27476,217,787,0.24355,0.30597
1984,30-45 y.,3rd Quintile,Full Time,0.57467,456,751,0.53929,0.61006
1984,30-45 y.,3rd Quintile,Part Time,0.20424,146,751,0.17539,0.23309
1984,30-45 y.,3rd Quintile,Not Working,0.22108,149,751,0.19138,0.25078
1984,30-45 y.,4th Quintile,Full Time,0.65514,546,795,0.62208,0.68821
1984,30-45 y.,4th Quintile,Part Time,0.19663,144,795,0.16898,0.22427
1984,30-45 y.,4th Quintile,Not Working,0.14823,105,795,0.12351,0.17294
1984,30-45 y.,5th Quintile,Full Time,0.72135,571,786,0.68998,0.75271
1984,30-45 y.,5th Quintile,Part Time,0.18872,146,786,0.16135,0.21609
1984,30-45 y.,5th Quintile,Not Working,0.08993,69,786,0.06992,0.10994
1984,46-65 y.,1st Quintile,Full Time,0.24415,175,548,0.20815,0.28015
