year,age_gr,migback,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Full Time,0.46149,1088,2350,0.44133,0.48165
1984,17-29 y.,No migration background,Part Time,0.20502,473,2350,0.18869,0.22134
1984,17-29 y.,No migration background,Not Working,0.33350,789,2350,0.31443,0.35256
1984,17-29 y.,Direct migration background,Full Time,0.42423,444,1001,0.39360,0.45486
1984,17-29 y.,Direct migration background,Part Time,0.20296,180,1001,0.17804,0.22789
1984,17-29 y.,Direct migration background,Not Working,0.37280,377,1001,0.34283,0.40277
1984,17-29 y.,Indirect migration background,Full Time,0.45730,37,81,0.34813,0.56647
1984,17-29 y.,Indirect migration background,Not Working,0.44536,44,81,0.33645,0.55427
1984,30-45 y.,No migration background,Full Time,0.57266,1398,2498,0.55326,0.59206
1984,30-45 y.,No migration background,Part Time,0.19577,504,2498,0.18021,0.21134
1984,30-45 y.,No migration background,Not Working,0.23157,596,2498,0.21502,0.24811
1984,30-45 y.,Direct migration background,Full Time,0.56765,862,1389,0.54158,0.59371
1984,30-45 y.,Direct migration background,Part Time,0.17213,198,1389,0.15227,0.19199
1984,30-45 y.,Direct migration background,Not Working,0.26022,329,1389,0.23714,0.28330
1984,46-65 y.,No migration background,Full Time,0.44771,1189,2596,0.42858,0.46685
1984,46-65 y.,No migration background,Part Time,0.13943,364,2596,0.12611,0.15276
1984,46-65 y.,No migration background,Not Working,0.41285,1043,2596,0.39391,0.43180
1984,46-65 y.,Direct migration background,Full Time,0.50944,577,948,0.47760,0.54128
1984,46-65 y.,Direct migration background,Part Time,0.15169,108,948,0.12885,0.17454
1984,46-65 y.,Direct migration background,Not Working,0.33887,263,948,0.30872,0.36902
1984,66 and older,No migration background,Part Time,0.03239,41,1209,0.02240,0.04237
1984,66 and older,No migration background,Not Working,0.95409,1168,1209,0.94229,0.96589
1984,66 and older,Direct migration background,Not Working,0.99215,33,33,0.96156,1.02273
1985,17-29 y.,No migration background,Full Time,0.45058,977,2205,0.42981,0.47135
1985,17-29 y.,No migration background,Part Time,0.22299,491,2205,0.20561,0.24037
1985,17-29 y.,No migration background,Not Working,0.32643,737,2205,0.30685,0.34601
1985,17-29 y.,Direct migration background,Full Time,0.40301,337,825,0.36952,0.43650
1985,17-29 y.,Direct migration background,Part Time,0.23200,175,825,0.20318,0.26082
1985,17-29 y.,Direct migration background,Not Working,0.36499,313,825,0.33212,0.39787
1985,17-29 y.,Indirect migration background,Full Time,0.42084,41,96,0.32157,0.52012
1985,17-29 y.,Indirect migration background,Not Working,0.42165,55,96,0.32235,0.52095
1985,30-45 y.,No migration background,Full Time,0.56437,1255,2278,0.54400,0.58474
1985,30-45 y.,No migration background,Part Time,0.21866,506,2278,0.20169,0.23564
1985,30-45 y.,No migration background,Not Working,0.21697,517,2278,0.20004,0.23390
1985,30-45 y.,Direct migration background,Full Time,0.55572,710,1181,0.52737,0.58407
1985,30-45 y.,Direct migration background,Part Time,0.18207,175,1181,0.16005,0.20409
1985,30-45 y.,Direct migration background,Not Working,0.26221,296,1181,0.23711,0.28731
1985,46-65 y.,No migration background,Full Time,0.43951,1091,2430,0.41977,0.45925
1985,46-65 y.,No migration background,Part Time,0.14614,358,2430,0.13209,0.16019
1985,46-65 y.,No migration background,Not Working,0.41435,981,2430,0.39476,0.43394
1985,46-65 y.,Direct migration background,Full Time,0.48183,512,863,0.44847,0.51518
1985,46-65 y.,Direct migration background,Part Time,0.15637,106,863,0.13212,0.18062
1985,46-65 y.,Direct migration background,Not Working,0.36180,245,863,0.32972,0.39388
1985,66 and older,No migration background,Not Working,0.96406,1023,1023,0.95265,0.97547
1985,66 and older,Direct migration background,Not Working,0.99893,36,36,0.98812,1.00974
1986,17-29 y.,No migration background,Full Time,0.46787,977,2133,0.44669,0.48905
1986,17-29 y.,No migration background,Part Time,0.23368,483,2133,0.21572,0.25164
1986,17-29 y.,No migration background,Not Working,0.29845,673,2133,0.27903,0.31788
1986,17-29 y.,Direct migration background,Full Time,0.44911,350,801,0.41464,0.48358
1986,17-29 y.,Direct migration background,Part Time,0.21591,168,801,0.18740,0.24442
1986,17-29 y.,Direct migration background,Not Working,0.33498,283,801,0.30227,0.36769
1986,17-29 y.,Indirect migration background,Full Time,0.41503,45,94,0.31488,0.51517
1986,17-29 y.,Indirect migration background,Not Working,0.39153,49,94,0.29232,0.49073
1986,30-45 y.,No migration background,Full Time,0.57234,1196,2150,0.55143,0.59326
1986,30-45 y.,No migration background,Part Time,0.21623,478,2150,0.19882,0.23363
1986,30-45 y.,No migration background,Not Working,0.21143,476,2150,0.19416,0.22869
1986,30-45 y.,Direct migration background,Full Time,0.55202,657,1102,0.52265,0.58140
1986,30-45 y.,Direct migration background,Part Time,0.18957,171,1102,0.16642,0.21273
1986,30-45 y.,Direct migration background,Not Working,0.25840,274,1102,0.23255,0.28426
1986,46-65 y.,No migration background,Full Time,0.44811,1078,2343,0.42796,0.46825
1986,46-65 y.,No migration background,Part Time,0.14322,345,2343,0.12903,0.15741
1986,46-65 y.,No migration background,Not Working,0.40868,920,2343,0.38877,0.42859
1986,46-65 y.,Direct migration background,Full Time,0.49273,509,874,0.45957,0.52590
1986,46-65 y.,Direct migration background,Part Time,0.14665,113,874,0.12318,0.17011
1986,46-65 y.,Direct migration background,Not Working,0.36062,252,874,0.32877,0.39247
1986,66 and older,No migration background,Not Working,0.96563,939,939,0.95397,0.97729
1986,66 and older,Direct migration background,Not Working,0.99461,48,48,0.97368,1.01554
1987,17-29 y.,No migration background,Full Time,0.49827,995,2073,0.47674,0.51980
1987,17-29 y.,No migration background,Part Time,0.25571,518,2073,0.23693,0.27450
1987,17-29 y.,No migration background,Not Working,0.24601,560,2073,0.22747,0.26456
