year,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Full Time,0.14402,645,2491,0.13023,0.15781
1984,1st Quintile,Part Time,0.09989,346,2491,0.08811,0.11166
1984,1st Quintile,Not Working,0.52419,1500,2491,0.50457,0.54381
1984,2nd Quintile,Full Time,0.26829,939,2388,0.25051,0.28606
1984,2nd Quintile,Part Time,0.12100,392,2388,0.10792,0.13408
1984,2nd Quintile,Not Working,0.40502,1057,2388,0.38533,0.42471
1984,3rd Quintile,Full Time,0.34348,1150,2363,0.32433,0.36263
1984,3rd Quintile,Part Time,0.13031,378,2363,0.11673,0.14389
1984,3rd Quintile,Not Working,0.34733,835,2363,0.32813,0.36653
1984,4th Quintile,Full Time,0.41829,1395,2498,0.39894,0.43763
1984,4th Quintile,Part Time,0.13928,399,2498,0.12570,0.15286
1984,4th Quintile,Not Working,0.29432,704,2498,0.27644,0.31219
1984,5th Quintile,Full Time,0.52309,1501,2408,0.50314,0.54305
1984,5th Quintile,Part Time,0.13711,372,2408,0.12337,0.15086
1984,5th Quintile,Not Working,0.23535,535,2408,0.21840,0.25230
1985,1st Quintile,Full Time,0.14994,584,2249,0.13518,0.16470
1985,1st Quintile,Part Time,0.11872,362,2249,0.10535,0.13209
1985,1st Quintile,Not Working,0.50633,1303,2249,0.48567,0.52700
1985,2nd Quintile,Full Time,0.24728,812,2158,0.22908,0.26549
1985,2nd Quintile,Part Time,0.13285,373,2158,0.11853,0.14717
1985,2nd Quintile,Not Working,0.41776,973,2158,0.39694,0.43857
1985,3rd Quintile,Full Time,0.34231,1038,2206,0.32251,0.36212
1985,3rd Quintile,Part Time,0.13409,374,2206,0.11986,0.14831
1985,3rd Quintile,Not Working,0.36804,794,2206,0.34791,0.38817
1985,4th Quintile,Full Time,0.42238,1197,2230,0.40187,0.44288
1985,4th Quintile,Part Time,0.15088,400,2230,0.13603,0.16574
1985,4th Quintile,Not Working,0.29904,633,2230,0.28003,0.31805
1985,5th Quintile,Full Time,0.51519,1319,2175,0.49418,0.53620
1985,5th Quintile,Part Time,0.14332,349,2175,0.12859,0.15805
1985,5th Quintile,Not Working,0.24456,507,2175,0.22649,0.26263
1986,1st Quintile,Full Time,0.13693,520,2071,0.12212,0.15174
1986,1st Quintile,Part Time,0.11355,316,2071,0.09988,0.12722
1986,1st Quintile,Not Working,0.53193,1235,2071,0.51044,0.55343
1986,2nd Quintile,Full Time,0.25274,800,2082,0.23407,0.27141
1986,2nd Quintile,Part Time,0.11695,359,2082,0.10314,0.13076
1986,2nd Quintile,Not Working,0.42243,923,2082,0.40121,0.44365
1986,3rd Quintile,Full Time,0.34099,993,2110,0.32076,0.36122
1986,3rd Quintile,Part Time,0.15808,411,2110,0.14251,0.17365
1986,3rd Quintile,Not Working,0.33184,706,2110,0.31175,0.35194
1986,4th Quintile,Full Time,0.45305,1236,2214,0.43231,0.47379
1986,4th Quintile,Part Time,0.14672,392,2214,0.13198,0.16147
1986,4th Quintile,Not Working,0.27799,586,2214,0.25932,0.29665
1986,5th Quintile,Full Time,0.52730,1287,2102,0.50595,0.54865
1986,5th Quintile,Part Time,0.14655,344,2102,0.13143,0.16168
1986,5th Quintile,Not Working,0.23018,471,2102,0.21218,0.24818
1987,1st Quintile,Full Time,0.13707,494,2030,0.12211,0.15204
1987,1st Quintile,Part Time,0.11732,328,2030,0.10332,0.13132
1987,1st Quintile,Not Working,0.53135,1208,2030,0.50964,0.55306
1987,2nd Quintile,Full Time,0.26648,820,2050,0.24734,0.28563
1987,2nd Quintile,Part Time,0.13772,383,2050,0.12280,0.15264
1987,2nd Quintile,Not Working,0.38309,847,2050,0.36204,0.40414
1987,3rd Quintile,Full Time,0.34115,989,2100,0.32087,0.36144
1987,3rd Quintile,Part Time,0.14668,401,2100,0.13154,0.16181
1987,3rd Quintile,Not Working,0.33511,710,2100,0.31491,0.35530
1987,4th Quintile,Full Time,0.46078,1245,2191,0.43990,0.48166
1987,4th Quintile,Part Time,0.16062,386,2191,0.14524,0.17600
1987,4th Quintile,Not Working,0.25953,560,2191,0.24117,0.27789
1987,5th Quintile,Full Time,0.54932,1323,2081,0.52794,0.57070
1987,5th Quintile,Part Time,0.12980,311,2081,0.11536,0.14425
1987,5th Quintile,Not Working,0.22008,447,2081,0.20227,0.23788
1988,1st Quintile,Full Time,0.13672,481,1967,0.12154,0.15191
1988,1st Quintile,Part Time,0.12391,350,1967,0.10935,0.13848
1988,1st Quintile,Not Working,0.51745,1136,1967,0.49536,0.53954
1988,2nd Quintile,Full Time,0.24396,763,1985,0.22507,0.26286
1988,2nd Quintile,Part Time,0.13578,383,1985,0.12071,0.15086
1988,2nd Quintile,Not Working,0.40630,839,1985,0.38469,0.42791
1988,3rd Quintile,Full Time,0.36381,983,2008,0.34277,0.38486
1988,3rd Quintile,Part Time,0.15947,398,2008,0.14345,0.17549
1988,3rd Quintile,Not Working,0.30851,627,2008,0.28830,0.32871
1988,4th Quintile,Full Time,0.44488,1141,2073,0.42349,0.46628
1988,4th Quintile,Part Time,0.16065,390,2073,0.14484,0.17646
1988,4th Quintile,Not Working,0.26514,542,2073,0.24614,0.28415
1988,5th Quintile,Full Time,0.54940,1212,1937,0.52724,0.57157
1988,5th Quintile,Part Time,0.14904,324,1937,0.13318,0.16490
1988,5th Quintile,Not Working,0.21155,401,1937,0.19335,0.22974
1989,1st Quintile,Full Time,0.13514,488,1922,0.11985,0.15043
