year,migback,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Full Time,0.33778,3695,8673,0.32782,0.34773
1984,No migration background,Part Time,0.12617,1382,8673,0.11918,0.13316
1984,No migration background,Not Working,0.37793,3596,8673,0.36773,0.38814
1984,Direct migration background,Full Time,0.43381,1884,3373,0.41708,0.45054
1984,Direct migration background,Part Time,0.14759,487,3373,0.13562,0.15956
1984,Direct migration background,Not Working,0.30393,1002,3373,0.28841,0.31946
1984,Indirect migration background,Full Time,0.05138,51,107,0.00935,0.09341
1984,Indirect migration background,Not Working,0.04733,56,107,0.00690,0.08775
1985,No migration background,Full Time,0.33581,3341,7980,0.32544,0.34617
1985,No migration background,Part Time,0.13684,1381,7980,0.12929,0.14438
1985,No migration background,Not Working,0.38147,3258,7980,0.37082,0.39213
1985,Direct migration background,Full Time,0.42387,1559,2906,0.40590,0.44184
1985,Direct migration background,Part Time,0.16018,457,2906,0.14684,0.17352
1985,Direct migration background,Not Working,0.32664,890,2906,0.30958,0.34369
1985,Indirect migration background,Full Time,0.04739,50,120,0.00921,0.08556
1985,Indirect migration background,Not Working,0.06378,70,120,0.01987,0.10768
1986,No migration background,Full Time,0.34322,3264,7605,0.33255,0.35389
1986,No migration background,Part Time,0.13803,1333,7605,0.13028,0.14579
1986,No migration background,Not Working,0.37252,3008,7605,0.36165,0.38338
1986,Direct migration background,Full Time,0.43095,1517,2827,0.41269,0.44920
1986,Direct migration background,Part Time,0.15376,453,2827,0.14046,0.16706
1986,Direct migration background,Not Working,0.33360,857,2827,0.31622,0.35098
1986,Indirect migration background,Full Time,0.04907,55,153,0.01473,0.08341
1986,Indirect migration background,Part Time,0.03713,36,153,0.00707,0.06718
1986,Indirect migration background,Not Working,0.06047,62,153,0.02257,0.09836
1987,No migration background,Full Time,0.35311,3287,7467,0.34226,0.36395
1987,No migration background,Part Time,0.14064,1333,7467,0.13276,0.14853
1987,No migration background,Not Working,0.35829,2847,7467,0.34742,0.36917
1987,Direct migration background,Full Time,0.44158,1519,2815,0.42324,0.45993
1987,Direct migration background,Part Time,0.15110,441,2815,0.13787,0.16433
1987,Direct migration background,Not Working,0.34024,855,2815,0.32274,0.35775
1987,Indirect migration background,Full Time,0.04705,65,173,0.01540,0.07869
1987,Indirect migration background,Part Time,0.04677,35,173,0.01521,0.07832
1987,Indirect migration background,Not Working,0.05131,73,173,0.01834,0.08429
1988,No migration background,Full Time,0.35235,3118,7083,0.34122,0.36347
1988,No migration background,Part Time,0.14652,1325,7083,0.13829,0.15476
1988,No migration background,Not Working,0.35332,2640,7083,0.34219,0.36445
1988,Direct migration background,Full Time,0.41909,1389,2669,0.40036,0.43781
1988,Direct migration background,Part Time,0.17478,469,2669,0.16037,0.18919
1988,Direct migration background,Not Working,0.34158,811,2669,0.32359,0.35958
1988,Indirect migration background,Full Time,0.04767,73,220,0.01945,0.07589
1988,Indirect migration background,Part Time,0.05214,51,220,0.02270,0.08159
1988,Indirect migration background,Not Working,0.06938,96,220,0.03573,0.10304
1989,No migration background,Full Time,0.36149,3079,6819,0.35008,0.37289
1989,No migration background,Part Time,0.14042,1236,6819,0.13217,0.14866
1989,No migration background,Not Working,0.35177,2504,6819,0.34044,0.36311
1989,Direct migration background,Full Time,0.42719,1364,2588,0.40813,0.44626
1989,Direct migration background,Part Time,0.15745,418,2588,0.14342,0.17149
1989,Direct migration background,Not Working,0.36116,806,2588,0.34265,0.37967
1989,Indirect migration background,Full Time,0.06023,96,257,0.03108,0.08937
1989,Indirect migration background,Part Time,0.04531,54,257,0.01983,0.07079
1989,Indirect migration background,Not Working,0.08423,107,257,0.05021,0.11826
1990,No migration background,Full Time,0.28189,3001,6638,0.27107,0.29271
1990,No migration background,Part Time,0.11485,1241,6638,0.10717,0.12252
1990,No migration background,Not Working,0.26069,2396,6638,0.25012,0.27125
1990,Direct migration background,Full Time,0.41438,1327,2532,0.39518,0.43357
1990,Direct migration background,Part Time,0.14158,405,2532,0.12800,0.15517
1990,Direct migration background,Not Working,0.33288,800,2532,0.31452,0.35124
1990,Indirect migration background,Full Time,0.04746,96,293,0.02307,0.07185
1990,Indirect migration background,Part Time,0.05770,80,293,0.03095,0.08444
1990,Indirect migration background,Not Working,0.08317,117,293,0.05150,0.11484
1991,No migration background,Full Time,0.27641,2972,6582,0.26560,0.28721
1991,No migration background,Part Time,0.11472,1258,6582,0.10702,0.12242
1991,No migration background,Not Working,0.25885,2352,6582,0.24827,0.26943
1991,Direct migration background,Full Time,0.41748,1313,2482,0.39808,0.43689
1991,Direct migration background,Part Time,0.15645,412,2482,0.14215,0.17074
1991,Direct migration background,Not Working,0.31499,757,2482,0.29671,0.33326
1991,Indirect migration background,Full Time,0.06511,131,345,0.03904,0.09118
1991,Indirect migration background,Part Time,0.06084,82,345,0.03558,0.08610
1991,Indirect migration background,Not Working,0.07980,132,345,0.05117,0.10844
1992,No migration background,Full Time,0.36858,5080,10359,0.35929,0.37787
1992,No migration background,Part Time,0.14911,2001,10359,0.14225,0.15597
