year,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Full Time,0.33862,5630,12171,0.33022,0.34703
1984,Part Time,0.12523,1887,12171,0.11935,0.13111
1984,Not Working,0.36269,4654,12171,0.35415,0.37123
1985,Full Time,0.33514,4950,11026,0.32633,0.34395
1985,Part Time,0.13587,1858,11026,0.12948,0.14227
1985,Not Working,0.36762,4218,11026,0.35862,0.37662
1986,Full Time,0.34197,4836,10585,0.33293,0.35100
1986,Part Time,0.13630,1822,10585,0.12976,0.14284
1986,Not Working,0.35924,3927,10585,0.35010,0.36838
1987,Full Time,0.35079,4871,10455,0.34164,0.35994
1987,Part Time,0.13839,1809,10455,0.13177,0.14500
1987,Not Working,0.34606,3775,10455,0.33694,0.35518
1988,Full Time,0.34751,4580,9972,0.33816,0.35685
1988,Part Time,0.14571,1845,9972,0.13878,0.15263
1988,Not Working,0.34214,3547,9972,0.33283,0.35145
1989,Full Time,0.35611,4539,9664,0.34656,0.36565
1989,Part Time,0.13837,1708,9664,0.13148,0.14525
1989,Not Working,0.34233,3417,9664,0.33286,0.35179
1990,Full Time,0.28504,4424,9463,0.27595,0.29414
1990,Part Time,0.11514,1726,9463,0.10871,0.12157
1990,Not Working,0.26067,3313,9463,0.25183,0.26952
1991,Full Time,0.28082,4416,9409,0.27174,0.28991
1991,Part Time,0.11636,1752,9409,0.10988,0.12284
1991,Not Working,0.25693,3241,9409,0.24810,0.26576
1992,Full Time,0.36641,6579,13317,0.35822,0.37459
1992,Part Time,0.14638,2502,13317,0.14038,0.15239
1992,Not Working,0.31121,4236,13317,0.30335,0.31908
1993,Full Time,0.35638,6249,13103,0.34818,0.36458
1993,Part Time,0.14625,2450,13103,0.14020,0.15231
1993,Not Working,0.32080,4404,13103,0.31281,0.32879
1994,Full Time,0.34520,5966,12874,0.33699,0.35342
1994,Part Time,0.14390,2362,12874,0.13784,0.14996
1994,Not Working,0.33326,4546,12874,0.32512,0.34140
1995,Full Time,0.32711,5894,13286,0.31913,0.33508
1995,Part Time,0.15245,2601,13286,0.14634,0.15856
1995,Not Working,0.34201,4791,13286,0.33394,0.35007
1996,Full Time,0.32690,5733,13048,0.31885,0.33494
1996,Part Time,0.15637,2690,13048,0.15013,0.16260
1996,Not Working,0.33955,4625,13048,0.33143,0.34768
1997,Full Time,0.32387,5584,12830,0.31578,0.33197
1997,Part Time,0.15383,2543,12830,0.14759,0.16008
1997,Not Working,0.34653,4703,12830,0.33830,0.35477
1998,Full Time,0.31796,5984,14240,0.31031,0.32561
1998,Part Time,0.15448,2871,14240,0.14855,0.16042
1998,Not Working,0.35379,5385,14240,0.34594,0.36165
1999,Full Time,0.32348,5834,13674,0.31564,0.33132
1999,Part Time,0.16804,2931,13674,0.16177,0.17430
1999,Not Working,0.33646,4909,13674,0.32854,0.34438
2000,Full Time,0.33171,10072,24112,0.32576,0.33765
2000,Part Time,0.16490,5042,24112,0.16022,0.16959
2000,Not Working,0.33121,8998,24112,0.32527,0.33715
2001,Full Time,0.33022,9060,21921,0.32399,0.33645
2001,Part Time,0.17315,4795,21921,0.16814,0.17816
2001,Not Working,0.32568,8066,21921,0.31948,0.33188
2002,Full Time,0.31990,9569,23027,0.31388,0.32593
2002,Part Time,0.17798,5217,23027,0.17304,0.18292
2002,Not Working,0.33332,8241,23027,0.32723,0.33941
2003,Full Time,0.31136,8915,22166,0.30527,0.31746
2003,Part Time,0.18091,5113,22166,0.17584,0.18598
2003,Not Working,0.34060,8138,22166,0.33436,0.34683
2004,Full Time,0.30679,8459,21614,0.30064,0.31294
2004,Part Time,0.18296,5008,21614,0.17781,0.18812
2004,Not Working,0.34732,8147,21614,0.34097,0.35367
2005,Full Time,0.31342,8033,20699,0.30710,0.31974
2005,Part Time,0.18850,4811,20699,0.18317,0.19382
2005,Not Working,0.33986,7855,20699,0.33341,0.34631
2006,Full Time,0.31136,8429,22271,0.30528,0.31744
2006,Part Time,0.18337,5021,22271,0.17829,0.18845
2006,Not Working,0.34884,8821,22271,0.34258,0.35510
2007,Full Time,0.31409,7867,20850,0.30779,0.32039
2007,Part Time,0.18473,4711,20850,0.17946,0.19000
2007,Not Working,0.34903,8272,20850,0.34256,0.35550
2008,Full Time,0.32448,7488,19571,0.31792,0.33104
2008,Part Time,0.18534,4407,19571,0.17990,0.19079
2008,Not Working,0.34143,7676,19571,0.33479,0.34807
2009,Full Time,0.32636,7003,18254,0.31956,0.33316
2009,Part Time,0.19657,4215,18254,0.19080,0.20233
2009,Not Working,0.33079,7036,18254,0.32396,0.33761
2010,Full Time,0.32912,9245,24329,0.32321,0.33502
2010,Part Time,0.19425,6337,24329,0.18928,0.19922
2010,Not Working,0.32999,8747,24329,0.32408,0.33590
2011,Full Time,0.33082,10630,28901,0.32540,0.33625
2011,Part Time,0.19274,7660,28901,0.18819,0.19729
2011,Not Working,0.32552,10611,28901,0.32011,0.33092
2012,Full Time,0.33135,10426,28167,0.32585,0.33685
2012,Part Time,0.19401,7455,28167,0.18939,0.19863
2012,Not Working,0.32491,10286,28167,0.31944,0.33038
2013,Full Time,0.29815,9717,31184,0.29307,0.30322
2013,Part Time,0.17699,7157,31184,0.17276,0.18123
2013,Not Working,0.37639,14310,31184,0.37101,0.38177
2014,Full Time,0.32400,10223,27655,0.31849,0.32952
2014,Part Time,0.20265,7544,27655,0.19791,0.20739
2014,Not Working,0.32615,9888,27655,0.32062,0.33167
2015,Full Time,0.32070,9516,27343,0.31517,0.32623
2015,Part Time,0.20101,7109,27343,0.19626,0.20576
2015,Not Working,0.33217,10718,27343,0.32659,0.33775
2016,Full Time,0.32798,9170,27973,0.32248,0.33348
2016,Part Time,0.20709,6945,27973,0.20234,0.21183
2016,Not Working,0.31682,11858,27973,0.31137,0.32227
2017,Full Time,0.32938,10439,31260,0.32417,0.33459
2017,Part Time,0.20878,7772,31260,0.20427,0.21328
2017,Not Working,0.31143,13049,31260,0.30630,0.31657
2018,Full Time,0.33204,10049,29889,0.32670,0.33738
2018,Part Time,0.21758,7795,29889,0.21290,0.22226
2018,Not Working,0.30269,12045,29889,0.29748,0.30790
2019,Full Time,0.33074,10809,29829,0.32540,0.33608
2019,Part Time,0.21239,7641,29829,0.20774,0.21703
2019,Not Working,0.30527,11379,29829,0.30005,0.31050
2020,Full Time,0.32812,11039,30012,0.32281,0.33344
2020,Part Time,0.21113,7804,30012,0.20651,0.21575
2020,Not Working,0.30648,11169,30012,0.30126,0.31169
2021,Full Time,0.30393,6743,19931,0.29754,0.31031
2021,Part Time,0.19838,4921,19931,0.19284,0.20392
2021,Not Working,0.33905,8267,19931,0.33248,0.34563
