year,regtyp,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,Daily,0.19339,4562,16104,0.18729,0.19949
2013,Urban regions,At least once per week,0.08107,1874,16104,0.07685,0.08528
2013,Urban regions,At least once per month,0.02231,478,16104,0.02003,0.02459
2013,Urban regions,Seldom,0.05190,1224,16104,0.04847,0.05532
2013,Urban regions,Never,0.39276,7966,16104,0.38522,0.40030
2013,Rural regions,Daily,0.16883,2299,9251,0.16120,0.17647
2013,Rural regions,At least once per week,0.08172,1044,9251,0.07614,0.08730
2013,Rural regions,At least once per month,0.02015,245,9251,0.01728,0.02301
2013,Rural regions,Seldom,0.06580,766,9251,0.06074,0.07085
2013,Rural regions,Never,0.45177,4897,9251,0.44163,0.46192
2017,Urban regions,Daily,0.00344,1695,2755,0.00125,0.00563
2017,Urban regions,At least once per week,0.00089,449,2755,-0.00022,0.00200
2017,Urban regions,At least once per month,0.00019,65,2755,-0.00032,0.00069
2017,Urban regions,Seldom,0.00033,158,2755,-0.00035,0.00100
2017,Urban regions,Never,0.00083,388,2755,-0.00025,0.00191
2017,Rural regions,Daily,0.00357,719,1210,0.00021,0.00693
2017,Rural regions,At least once per week,0.00078,194,1210,-0.00079,0.00236
2017,Rural regions,At least once per month,0.00015,36,1210,-0.00055,0.00085
2017,Rural regions,Seldom,0.00031,75,1210,-0.00068,0.00131
2017,Rural regions,Never,0.00069,186,1210,-0.00079,0.00217
2018,Urban regions,Daily,0.00401,1542,2328,0.00144,0.00658
2018,Urban regions,At least once per week,0.00089,362,2328,-0.00032,0.00210
2018,Urban regions,At least once per month,0.00015,76,2328,-0.00035,0.00064
2018,Urban regions,Seldom,0.00029,127,2328,-0.00040,0.00098
2018,Urban regions,Never,0.00055,221,2328,-0.00040,0.00150
2018,Rural regions,Daily,0.00343,549,805,-0.00061,0.00747
2018,Rural regions,At least once per week,0.00068,150,805,-0.00112,0.00249
2018,Rural regions,Never,0.00050,106,805,-0.00105,0.00205
2019,Urban regions,Daily,0.00483,1574,2269,0.00197,0.00768
2019,Urban regions,At least once per week,0.00103,340,2269,-0.00029,0.00235
2019,Urban regions,At least once per month,0.00009,40,2269,-0.00030,0.00047
2019,Urban regions,Seldom,0.00030,121,2269,-0.00041,0.00102
2019,Urban regions,Never,0.00059,194,2269,-0.00041,0.00160
2019,Rural regions,Daily,0.00391,577,811,-0.00039,0.00821
2019,Rural regions,At least once per week,0.00090,134,811,-0.00116,0.00296
2019,Rural regions,Seldom,0.00030,41,811,-0.00089,0.00149
2019,Rural regions,Never,0.00032,59,811,-0.00091,0.00156
