year,age_gr,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Daily,0.51559,2476,3565,0.49918,0.53200
2013,17-29 y.,At least once per week,0.10032,448,3565,0.09045,0.11018
2013,17-29 y.,At least once per month,0.01747,72,3565,0.01317,0.02177
2013,17-29 y.,Seldom,0.02901,144,3565,0.02350,0.03452
2013,17-29 y.,Never,0.08929,425,3565,0.07993,0.09865
2013,30-45 y.,Daily,0.27356,2614,7989,0.26379,0.28334
2013,30-45 y.,At least once per week,0.12766,1226,7989,0.12034,0.13498
2013,30-45 y.,At least once per month,0.04088,312,7989,0.03654,0.04522
2013,30-45 y.,Seldom,0.07698,728,7989,0.07113,0.08282
2013,30-45 y.,Never,0.31455,3109,7989,0.30436,0.32473
2013,46-65 y.,Daily,0.14883,1471,8933,0.14145,0.15621
2013,46-65 y.,At least once per week,0.11097,1029,8933,0.10446,0.11749
2013,46-65 y.,At least once per month,0.03038,286,8933,0.02682,0.03393
2013,46-65 y.,Seldom,0.08894,845,8933,0.08303,0.09484
2013,46-65 y.,Never,0.55806,5302,8933,0.54776,0.56835
2013,66 and older,Daily,0.05192,300,4868,0.04569,0.05815
2013,66 and older,At least once per week,0.03681,215,4868,0.03152,0.04210
2013,66 and older,At least once per month,0.00791,53,4868,0.00542,0.01040
2013,66 and older,Seldom,0.04864,273,4868,0.04259,0.05468
2013,66 and older,Never,0.82484,4027,4868,0.81416,0.83551
2017,17-29 y.,Daily,0.01295,973,1456,0.00714,0.01876
2017,17-29 y.,At least once per week,0.00261,213,1456,-0.00001,0.00522
2017,17-29 y.,At least once per month,0.00052,35,1456,-0.00065,0.00169
2017,17-29 y.,Seldom,0.00079,60,1456,-0.00065,0.00223
2017,17-29 y.,Never,0.00233,175,1456,-0.00015,0.00481
2017,30-45 y.,Daily,0.00630,1113,1870,0.00271,0.00988
2017,30-45 y.,At least once per week,0.00187,327,1870,-0.00009,0.00383
2017,30-45 y.,At least once per month,0.00034,52,1870,-0.00050,0.00117
2017,30-45 y.,Seldom,0.00071,114,1870,-0.00050,0.00192
2017,30-45 y.,Never,0.00126,264,1870,-0.00035,0.00287
2017,46-65 y.,Daily,0.00110,318,592,-0.00157,0.00378
2017,46-65 y.,At least once per week,0.00034,103,592,-0.00115,0.00182
2017,46-65 y.,Seldom,0.00021,58,592,-0.00096,0.00139
2017,46-65 y.,Never,0.00049,113,592,-0.00130,0.00228
2018,17-29 y.,Daily,0.01414,751,1041,0.00696,0.02132
2018,17-29 y.,At least once per week,0.00274,147,1041,-0.00044,0.00592
2018,17-29 y.,At least once per month,0.00047,32,1041,-0.00085,0.00178
2018,17-29 y.,Seldom,0.00049,38,1041,-0.00085,0.00183
2018,17-29 y.,Never,0.00119,73,1041,-0.00091,0.00328
2018,30-45 y.,Daily,0.00723,1010,1576,0.00305,0.01142
2018,30-45 y.,At least once per week,0.00166,273,1576,-0.00035,0.00368
2018,30-45 y.,At least once per month,0.00034,46,1576,-0.00057,0.00126
2018,30-45 y.,Seldom,0.00052,80,1576,-0.00061,0.00164
2018,30-45 y.,Never,0.00105,167,1576,-0.00055,0.00265
2018,46-65 y.,Daily,0.00116,324,523,-0.00176,0.00408
2018,46-65 y.,At least once per week,0.00031,89,523,-0.00121,0.00183
2018,46-65 y.,Seldom,0.00019,33,523,-0.00099,0.00136
2018,46-65 y.,Never,0.00045,77,523,-0.00137,0.00226
2019,17-29 y.,Daily,0.01594,717,906,0.00778,0.02410
2019,17-29 y.,At least once per week,0.00257,109,906,-0.00073,0.00586
2019,17-29 y.,Seldom,0.00074,35,906,-0.00103,0.00251
2019,17-29 y.,Never,0.00105,45,906,-0.00106,0.00315
2019,30-45 y.,Daily,0.00854,1047,1542,0.00394,0.01313
2019,30-45 y.,At least once per week,0.00244,276,1542,-0.00002,0.00490
2019,30-45 y.,Seldom,0.00072,86,1542,-0.00062,0.00206
2019,30-45 y.,Never,0.00113,133,1542,-0.00055,0.00280
2019,46-65 y.,Daily,0.00163,381,567,-0.00169,0.00496
2019,46-65 y.,At least once per week,0.00038,86,567,-0.00122,0.00198
2019,46-65 y.,Seldom,0.00014,37,567,-0.00083,0.00110
2019,46-65 y.,Never,0.00033,63,567,-0.00116,0.00182
