year,age_gr,migback,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,No migration background,Daily,0.60875,1968,2807,0.59069,0.62680
2013,17-29 y.,No migration background,At least once per week,0.12069,341,2807,0.10864,0.13274
2013,17-29 y.,No migration background,At least once per month,0.01884,54,2807,0.01381,0.02387
2013,17-29 y.,No migration background,Seldom,0.03737,111,2807,0.03035,0.04439
2013,17-29 y.,No migration background,Never,0.10533,333,2807,0.09397,0.11668
2013,17-29 y.,Direct migration background,Daily,0.22212,170,261,0.17159,0.27264
2013,17-29 y.,Direct migration background,At least once per week,0.03696,42,261,0.01403,0.05989
2013,17-29 y.,Direct migration background,Never,0.05204,49,261,0.02504,0.07903
2013,17-29 y.,Indirect migration background,Daily,0.32118,338,446,0.27779,0.36456
2013,17-29 y.,Indirect migration background,At least once per week,0.05709,65,446,0.03554,0.07865
2013,17-29 y.,Indirect migration background,Never,0.04456,43,446,0.02539,0.06373
2013,30-45 y.,No migration background,Daily,0.32042,2029,6255,0.30885,0.33198
2013,30-45 y.,No migration background,At least once per week,0.14349,908,6255,0.13480,0.15218
2013,30-45 y.,No migration background,At least once per month,0.04687,233,6255,0.04163,0.05211
2013,30-45 y.,No migration background,Seldom,0.08787,560,6255,0.08086,0.09489
2013,30-45 y.,No migration background,Never,0.37612,2525,6255,0.36411,0.38813
2013,30-45 y.,Direct migration background,Daily,0.11823,392,1226,0.10015,0.13631
2013,30-45 y.,Direct migration background,At least once per week,0.08420,232,1226,0.06865,0.09975
2013,30-45 y.,Direct migration background,At least once per month,0.02055,59,1226,0.01261,0.02850
2013,30-45 y.,Direct migration background,Seldom,0.04823,119,1226,0.03623,0.06023
2013,30-45 y.,Direct migration background,Never,0.14786,424,1226,0.12798,0.16774
2013,30-45 y.,Indirect migration background,Daily,0.25566,193,488,0.21692,0.29441
2013,30-45 y.,Indirect migration background,At least once per week,0.09507,86,488,0.06902,0.12113
2013,30-45 y.,Indirect migration background,Seldom,0.05111,49,488,0.03155,0.07067
2013,30-45 y.,Indirect migration background,Never,0.18075,160,488,0.14658,0.21493
2013,46-65 y.,No migration background,Daily,0.15535,1281,7924,0.14737,0.16333
2013,46-65 y.,No migration background,At least once per week,0.11631,901,7924,0.10925,0.12336
2013,46-65 y.,No migration background,At least once per month,0.03165,253,7924,0.02779,0.03550
2013,46-65 y.,No migration background,Seldom,0.09440,758,7924,0.08796,0.10084
2013,46-65 y.,No migration background,Never,0.58374,4731,7924,0.57289,0.59460
2013,46-65 y.,Direct migration background,Daily,0.10282,154,842,0.08230,0.12335
2013,46-65 y.,Direct migration background,At least once per week,0.07457,107,842,0.05682,0.09233
2013,46-65 y.,Direct migration background,Seldom,0.05771,77,842,0.04195,0.07347
2013,46-65 y.,Direct migration background,Never,0.40355,504,842,0.37039,0.43670
2013,46-65 y.,Indirect migration background,Daily,0.20139,36,103,0.12356,0.27922
2013,46-65 y.,Indirect migration background,Never,0.47896,67,103,0.38201,0.57591
2013,66 and older,No migration background,Daily,0.05149,275,4491,0.04502,0.05795
2013,66 and older,No migration background,At least once per week,0.03683,196,4491,0.03132,0.04234
