year,migback,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Daily,0.20059,5553,21477,0.19523,0.20594
2013,No migration background,At least once per week,0.08818,2346,21477,0.08439,0.09197
2013,No migration background,At least once per month,0.02317,590,21477,0.02116,0.02518
2013,No migration background,Seldom,0.06309,1682,21477,0.05984,0.06634
2013,No migration background,Never,0.46360,11306,21477,0.45693,0.47027
2013,Direct migration background,Daily,0.11597,740,2750,0.10400,0.12794
2013,Direct migration background,At least once per week,0.06377,399,2750,0.05464,0.07290
2013,Direct migration background,At least once per month,0.01879,99,2750,0.01372,0.02387
2013,Direct migration background,Seldom,0.04086,227,2750,0.03346,0.04826
2013,Direct migration background,Never,0.30569,1285,2750,0.28847,0.32291
2013,Indirect migration background,Daily,0.14201,568,1128,0.12163,0.16239
2013,Indirect migration background,At least once per week,0.04026,173,1128,0.02879,0.05174
2013,Indirect migration background,At least once per month,0.01048,34,1128,0.00454,0.01643
2013,Indirect migration background,Seldom,0.01481,81,1128,0.00775,0.02186
2013,Indirect migration background,Never,0.06756,272,1128,0.05290,0.08221
2017,Direct migration background,Daily,0.02526,2414,3965,0.02037,0.03014
2017,Direct migration background,At least once per week,0.00620,643,3965,0.00376,0.00865
2017,Direct migration background,At least once per month,0.00127,101,3965,0.00016,0.00239
2017,Direct migration background,Seldom,0.00233,233,3965,0.00083,0.00383
2017,Direct migration background,Never,0.00571,574,3965,0.00336,0.00805
2018,Direct migration background,Daily,0.02704,2091,3182,0.02140,0.03268
2018,Direct migration background,At least once per week,0.00583,512,3182,0.00319,0.00848
2018,Direct migration background,At least once per month,0.00112,100,3182,-0.00004,0.00229
2018,Direct migration background,Seldom,0.00167,152,3182,0.00025,0.00309
2018,Direct migration background,Never,0.00378,327,3182,0.00165,0.00591
2019,Direct migration background,Daily,0.03165,2151,3099,0.02549,0.03781
2019,Direct migration background,At least once per week,0.00690,474,3099,0.00398,0.00981
2019,Direct migration background,At least once per month,0.00071,59,3099,-0.00023,0.00165
2019,Direct migration background,Seldom,0.00211,162,3099,0.00049,0.00373
2019,Direct migration background,Never,0.00355,253,3099,0.00145,0.00564
