year,sampreg,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,West,Daily,0.18821,5562,19685,0.18275,0.19367
2013,West,At least once per week,0.08130,2315,19685,0.07748,0.08511
2013,West,At least once per month,0.02210,575,19685,0.02005,0.02415
2013,West,Seldom,0.05496,1561,19685,0.05177,0.05814
2013,West,Never,0.39497,9672,19685,0.38814,0.40180
2013,East,Daily,0.17207,1299,5670,0.16225,0.18190
2013,East,At least once per week,0.08120,603,5670,0.07409,0.08831
2013,East,At least once per month,0.01926,148,5670,0.01568,0.02284
2013,East,Seldom,0.06337,429,5670,0.05703,0.06971
2013,East,Never,0.49228,3191,5670,0.47927,0.50529
2017,West,Daily,0.00345,2063,3385,0.00148,0.00543
2017,West,At least once per week,0.00087,541,3385,-0.00012,0.00186
2017,West,At least once per month,0.00017,84,3385,-0.00027,0.00062
2017,West,Seldom,0.00034,213,3385,-0.00028,0.00096
2017,West,Never,0.00081,484,3385,-0.00015,0.00176
2017,East,Daily,0.00362,351,543,-0.00144,0.00867
2017,East,At least once per week,0.00079,102,543,-0.00158,0.00316
2017,East,Never,0.00069,90,543,-0.00152,0.00289
2018,West,Daily,0.00393,1808,2708,0.00157,0.00628
2018,West,At least once per week,0.00083,431,2708,-0.00026,0.00191
2018,West,At least once per month,0.00016,86,2708,-0.00032,0.00064
2018,West,Seldom,0.00024,133,2708,-0.00034,0.00082
2018,West,Never,0.00050,250,2708,-0.00034,0.00134
2018,East,Daily,0.00336,283,441,-0.00205,0.00877
2018,East,At least once per week,0.00083,81,441,-0.00186,0.00351
2018,East,Never,0.00072,77,441,-0.00179,0.00323
2019,West,Daily,0.00461,1873,2669,0.00204,0.00718
2019,West,At least once per week,0.00104,408,2669,-0.00018,0.00226
2019,West,At least once per month,0.00011,53,2669,-0.00029,0.00050
2019,West,Seldom,0.00029,134,2669,-0.00036,0.00093
2019,West,Never,0.00047,201,2669,-0.00035,0.00130
2019,East,Daily,0.00382,278,396,-0.00226,0.00991
2019,East,At least once per week,0.00066,66,396,-0.00187,0.00319
2019,East,Never,0.00064,52,396,-0.00185,0.00312
