year,age_gr,bula_h,pli0165,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Schleswig-Holstein,Daily,0.52800,104,104,0.43159,0.62441
2013,17-29 y.,Hamburg,Daily,0.32598,34,34,0.16605,0.48592
2013,17-29 y.,Lower Saxony,Daily,0.51985,271,312,0.46433,0.57538
2013,17-29 y.,Lower Saxony,At least once per week,0.09615,41,312,0.06338,0.12891
2013,17-29 y.,North Rhine-Westphalia,Daily,0.53358,545,732,0.49741,0.56974
2013,17-29 y.,North Rhine-Westphalia,At least once per week,0.07747,81,732,0.05809,0.09685
2013,17-29 y.,North Rhine-Westphalia,Never,0.09906,106,732,0.07741,0.12072
2013,17-29 y.,Hesse,Daily,0.39417,144,144,0.31408,0.47427
2013,17-29 y.,"Rhineland-Palatinate, Saarland",Daily,0.50101,133,169,0.42540,0.57662
2013,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.16241,36,169,0.10664,0.21819
2013,17-29 y.,Baden-Wuerttemberg,Daily,0.51032,297,397,0.46108,0.55955
2013,17-29 y.,Baden-Wuerttemberg,At least once per week,0.09379,62,397,0.06507,0.12250
2013,17-29 y.,Baden-Wuerttemberg,Never,0.05526,38,397,0.03275,0.07776
2013,17-29 y.,Bavaria,Daily,0.53874,415,548,0.49696,0.58052
2013,17-29 y.,Bavaria,At least once per week,0.10594,77,548,0.08015,0.13174
2013,17-29 y.,Bavaria,Never,0.06149,56,548,0.04136,0.08162
2013,17-29 y.,Berlin,Daily,0.48842,94,94,0.38683,0.59002
2013,17-29 y.,Brandenburg,Daily,0.43372,63,63,0.31036,0.55708
2013,17-29 y.,Mecklenburg-Western Pomerania,Daily,0.46662,42,42,0.31391,0.61933
2013,17-29 y.,Saxony,Daily,0.65378,153,221,0.59091,0.71665
2013,17-29 y.,Saxony,At least once per week,0.13376,34,221,0.08878,0.17874
2013,17-29 y.,Saxony,Never,0.12357,34,221,0.08008,0.16706
2013,17-29 y.,Saxony-Anhalt,Daily,0.50682,77,77,0.39442,0.61923
2013,17-29 y.,Thuringa,Daily,0.54012,85,85,0.43354,0.64671
2013,30-45 y.,Schleswig-Holstein,Daily,0.33731,119,302,0.28390,0.39072
2013,30-45 y.,Schleswig-Holstein,At least once per week,0.12052,48,302,0.08374,0.15730
2013,30-45 y.,Schleswig-Holstein,Seldom,0.12182,34,302,0.08487,0.15877
2013,30-45 y.,Schleswig-Holstein,Never,0.28638,101,302,0.23531,0.33745
2013,30-45 y.,Hamburg,Daily,0.37865,55,101,0.28358,0.47372
2013,30-45 y.,Hamburg,Never,0.30458,46,101,0.21438,0.39479
2013,30-45 y.,Lower Saxony,Daily,0.28448,266,712,0.25132,0.31764
2013,30-45 y.,Lower Saxony,At least once per week,0.15045,128,712,0.12417,0.17672
2013,30-45 y.,Lower Saxony,Seldom,0.04717,43,712,0.03159,0.06276
2013,30-45 y.,Lower Saxony,Never,0.31131,275,712,0.27727,0.34534
2013,30-45 y.,North Rhine-Westphalia,Daily,0.28219,560,1620,0.26027,0.30412
2013,30-45 y.,North Rhine-Westphalia,At least once per week,0.12726,245,1620,0.11103,0.14349
2013,30-45 y.,North Rhine-Westphalia,At least once per month,0.04073,57,1620,0.03110,0.05036
2013,30-45 y.,North Rhine-Westphalia,Seldom,0.07337,168,1620,0.06067,0.08607
2013,30-45 y.,North Rhine-Westphalia,Never,0.27949,590,1620,0.25763,0.30135
2013,30-45 y.,Hesse,Daily,0.29043,203,545,0.25228,0.32858
2013,30-45 y.,Hesse,At least once per week,0.13495,98,545,0.10624,0.16366
2013,30-45 y.,Hesse,Seldom,0.07609,49,545,0.05381,0.09837
2013,30-45 y.,Hesse,Never,0.29679,195,545,0.25840,0.33518
2013,30-45 y.,"Rhineland-Palatinate, Saarland",Daily,0.30453,147,392,0.25891,0.35015
2013,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.15364,71,392,0.11790,0.18939
2013,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.07658,40,392,0.05022,0.10294
