year,quintil_oecd,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,4th Quintile,Further vocational education,0.01246,35,35,-0.02483,0.04975
1984,5th Quintile,Further vocational education,0.01461,38,38,-0.02405,0.05327
1985,5th Quintile,Further vocational education,0.01504,37,37,-0.02472,0.05479
1986,4th Quintile,Further vocational education,0.01593,35,35,-0.02616,0.05801
1986,5th Quintile,Further vocational education,0.01274,32,32,-0.02674,0.05223
1987,4th Quintile,Further vocational education,0.01364,37,37,-0.02425,0.05152
1987,5th Quintile,Further vocational education,0.01532,37,37,-0.02480,0.05544
1991,5th Quintile,Further vocational education,0.01633,31,31,-0.02903,0.06169
1992,1st Quintile,Vocational Retraining,0.00909,46,79,-0.01197,0.03014
1992,1st Quintile,Further vocational education,0.00776,33,79,-0.01171,0.02723
1992,2nd Quintile,Vocational Retraining,0.00854,42,95,-0.01006,0.02714
1992,2nd Quintile,Further vocational education,0.01022,53,95,-0.01011,0.03055
1992,3rd Quintile,Further vocational education,0.01092,53,53,-0.01733,0.03917
1992,4th Quintile,Further vocational education,0.01456,45,45,-0.02083,0.04996
1992,5th Quintile,Further vocational education,0.01103,33,33,-0.02516,0.04722
1993,1st Quintile,Vocational Retraining,0.01009,46,46,-0.01911,0.03930
1993,2nd Quintile,Further vocational education,0.01118,53,53,-0.01740,0.03975
1993,3rd Quintile,Further vocational education,0.01111,49,49,-0.01854,0.04077
1993,4th Quintile,Further vocational education,0.01081,43,43,-0.02046,0.04209
1993,5th Quintile,Further vocational education,0.01272,37,37,-0.02389,0.04933
1994,3rd Quintile,Further vocational education,0.00779,36,36,-0.02134,0.03693
1994,4th Quintile,Further vocational education,0.01432,47,47,-0.02001,0.04866
1994,5th Quintile,Further vocational education,0.01895,47,47,-0.02045,0.05836
1995,3rd Quintile,Further vocational education,0.00940,34,34,-0.02352,0.04232
1995,4th Quintile,Further vocational education,0.01073,42,42,-0.02081,0.04226
1995,5th Quintile,Further vocational education,0.01464,49,49,-0.01934,0.04862
1996,2nd Quintile,Further vocational education,0.00814,37,37,-0.02122,0.03750
1996,4th Quintile,Further vocational education,0.01025,42,42,-0.02058,0.04108
1997,2nd Quintile,Further vocational education,0.00909,35,35,-0.02281,0.04098
1997,3rd Quintile,Further vocational education,0.01055,31,31,-0.02601,0.04710
1997,4th Quintile,Further vocational education,0.00944,34,34,-0.02355,0.04243
1997,5th Quintile,Further vocational education,0.01122,39,39,-0.02227,0.04470
1998,4th Quintile,Further vocational education,0.01428,34,34,-0.02620,0.05475
1998,5th Quintile,Further vocational education,0.01107,31,31,-0.02637,0.04850
1999,3rd Quintile,Further vocational education,0.00809,32,32,-0.02344,0.03962
1999,4th Quintile,Further vocational education,0.01126,45,45,-0.01992,0.04244
1999,5th Quintile,Further vocational education,0.00992,31,31,-0.02554,0.04538
2000,4th Quintile,Further vocational education,0.01019,41,41,-0.02093,0.04130
2000,5th Quintile,Further vocational education,0.00971,32,32,-0.02481,0.04422
2001,2nd Quintile,Further vocational education,0.00540,31,31,-0.02082,0.03162
2001,3rd Quintile,Further vocational education,0.00552,36,36,-0.01902,0.03006
2001,4th Quintile,Further vocational education,0.00900,59,59,-0.01531,0.03332
2001,5th Quintile,Further vocational education,0.01260,55,55,-0.01715,0.04235
