year,bula_h,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,North Rhine-Westphalia,Further vocational education,0.00866,32,32,-0.02396,0.04128
1992,Saxony,Vocational Retraining,0.02381,38,78,-0.01024,0.05786
1992,Saxony,Further vocational education,0.02323,40,78,-0.01042,0.05687
1993,Saxony,Vocational Retraining,0.02335,39,72,-0.01178,0.05847
1993,Saxony,Further vocational education,0.02110,33,72,-0.01233,0.05453
2000,Saxony,Further vocational education,0.01250,35,35,-0.02484,0.04984
2001,North Rhine-Westphalia,Further vocational education,0.00700,35,35,-0.02103,0.03503
2002,North Rhine-Westphalia,Further vocational education,0.00575,36,36,-0.01930,0.03079
2003,North Rhine-Westphalia,Further vocational education,0.00781,41,41,-0.01947,0.03508
2004,North Rhine-Westphalia,Further vocational education,0.00631,34,34,-0.02071,0.03334
2011,North Rhine-Westphalia,Further vocational education,0.00502,39,39,-0.01745,0.02748
2013,Bavaria,Further vocational education,0.00685,33,33,-0.02172,0.03542
2014,North Rhine-Westphalia,Further vocational education,0.00427,31,31,-0.01906,0.02760
2014,Bavaria,Further vocational education,0.00794,34,34,-0.02234,0.03823
2015,North Rhine-Westphalia,Further vocational education,0.00599,32,32,-0.02118,0.03316
2017,North Rhine-Westphalia,Further vocational education,0.00505,37,37,-0.01810,0.02820
2017,Bavaria,Further vocational education,0.00578,37,37,-0.01898,0.03055
2018,North Rhine-Westphalia,Further vocational education,0.00446,31,31,-0.01938,0.02830
2020,North Rhine-Westphalia,Further vocational education,0.00388,31,31,-0.01837,0.02614
