year,pgisced97,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Upper Secondary Level,Further vocational education,0.01119,63,63,-0.01499,0.03738
1985,Upper Secondary Level,Further vocational education,0.01171,61,61,-0.01551,0.03893
1986,Upper Secondary Level,Further vocational education,0.01194,63,63,-0.01510,0.03898
1987,Upper Secondary Level,Further vocational education,0.00821,46,46,-0.01816,0.03458
1988,Upper Secondary Level,Further vocational education,0.01201,66,66,-0.01447,0.03850
1989,Upper Secondary Level,Further vocational education,0.01059,47,47,-0.01899,0.04017
1990,Upper Secondary Level,Further vocational education,0.01089,79,79,-0.01214,0.03393
1990,Second Stage of Tertiary Education,Further vocational education,0.02770,51,51,-0.01779,0.07320
1991,Upper Secondary Level,Further vocational education,0.00899,51,51,-0.01717,0.03514
1992,Upper Secondary Level,Vocational Retraining,0.00850,81,183,-0.00484,0.02185
1992,Upper Secondary Level,Further vocational education,0.01307,102,183,-0.00343,0.02956
1992,Second Stage of Tertiary Education,Further vocational education,0.03117,80,80,-0.00715,0.06950
1993,Upper Secondary Level,Vocational Retraining,0.00847,77,188,-0.00466,0.02161
1993,Upper Secondary Level,Further vocational education,0.01338,111,188,-0.00309,0.02984
1993,Second Stage of Tertiary Education,Further vocational education,0.02707,62,62,-0.01366,0.06780
1994,Upper Secondary Level,Vocational Retraining,0.00659,53,131,-0.00732,0.02051
1994,Upper Secondary Level,Further vocational education,0.01136,78,131,-0.00686,0.02957
1994,Second Stage of Tertiary Education,Further vocational education,0.03035,60,60,-0.01342,0.07412
1995,Upper Secondary Level,Vocational Retraining,0.00688,54,136,-0.00706,0.02083
1995,Upper Secondary Level,Further vocational education,0.01088,82,136,-0.00662,0.02838
1995,Second Stage of Tertiary Education,Further vocational education,0.02484,55,55,-0.01667,0.06635
1996,Upper Secondary Level,Vocational Retraining,0.00560,49,135,-0.00704,0.01824
1996,Upper Secondary Level,Further vocational education,0.01042,86,135,-0.00677,0.02761
1997,Upper Secondary Level,Vocational Retraining,0.00460,42,115,-0.00782,0.01703
1997,Upper Secondary Level,Further vocational education,0.00851,73,115,-0.00835,0.02538
1997,Second Stage of Tertiary Education,Further vocational education,0.02523,48,48,-0.01961,0.07006
1998,Upper Secondary Level,Vocational Retraining,0.00410,41,96,-0.00875,0.01695
1998,Upper Secondary Level,Further vocational education,0.00838,55,96,-0.00995,0.02672
1998,Second Stage of Tertiary Education,Further vocational education,0.01421,33,33,-0.02680,0.05521
1999,Upper Secondary Level,Vocational Retraining,0.00427,36,89,-0.00935,0.01790
1999,Upper Secondary Level,Further vocational education,0.00760,53,89,-0.01055,0.02575
1999,Second Stage of Tertiary Education,Further vocational education,0.02171,51,51,-0.01869,0.06211
2000,Upper Secondary Level,Vocational Retraining,0.00328,43,190,-0.00487,0.01144
2000,Upper Secondary Level,Further vocational education,0.00649,101,190,-0.00496,0.01794
2000,Upper Secondary Level,Others,0.00368,46,190,-0.00495,0.01231
2000,First Stage of Tertiary Education,Further vocational education,0.01354,31,31,-0.02782,0.05490
2000,Second Stage of Tertiary Education,Further vocational education,0.01159,54,85,-0.01130,0.03449
2000,Second Stage of Tertiary Education,Others,0.00767,31,85,-0.01099,0.02632
2001,Upper Secondary Level,Vocational Retraining,0.00297,45,170,-0.00523,0.01116
2001,Upper Secondary Level,Further vocational education,0.00685,91,170,-0.00559,0.01928
2001,Upper Secondary Level,Others,0.00255,34,170,-0.00506,0.01017
2001,Second Stage of Tertiary Education,Further vocational education,0.01623,62,62,-0.01548,0.04794
2002,Upper Secondary Level,Vocational Retraining,0.00334,41,164,-0.00552,0.01220
2002,Upper Secondary Level,Further vocational education,0.00680,76,164,-0.00582,0.01942
2002,Upper Secondary Level,Others,0.00337,47,164,-0.00553,0.01226
2002,Second Stage of Tertiary Education,Further vocational education,0.00988,46,87,-0.01102,0.03078
2002,Second Stage of Tertiary Education,Others,0.00975,41,87,-0.01102,0.03052
2003,Upper Secondary Level,Vocational Retraining,0.00331,41,138,-0.00631,0.01294
2003,Upper Secondary Level,Further vocational education,0.00602,62,138,-0.00693,0.01898
2003,Upper Secondary Level,Others,0.00279,35,138,-0.00604,0.01163
2003,Second Stage of Tertiary Education,Further vocational education,0.01397,56,56,-0.01705,0.04498
2004,Upper Secondary Level,Vocational Retraining,0.00309,35,100,-0.00785,0.01404
2004,Upper Secondary Level,Further vocational education,0.00557,65,100,-0.00909,0.02024
2004,Second Stage of Tertiary Education,Further vocational education,0.01148,47,47,-0.01930,0.04226
2005,Upper Secondary Level,Further vocational education,0.00431,42,42,-0.01574,0.02437
2005,Second Stage of Tertiary Education,Further vocational education,0.01249,41,72,-0.01334,0.03832
2005,Second Stage of Tertiary Education,Others,0.00922,31,72,-0.01301,0.03145
2006,Second Stage of Tertiary Education,Further vocational education,0.00635,31,31,-0.02207,0.03478
2007,Upper Secondary Level,Further vocational education,0.00462,45,45,-0.01542,0.02466
2007,Second Stage of Tertiary Education,Further vocational education,0.00627,33,33,-0.02108,0.03362
2008,Upper Secondary Level,Further vocational education,0.00326,37,37,-0.01536,0.02188
2009,Upper Secondary Level,Further vocational education,0.00345,34,34,-0.01655,0.02345
2010,Upper Secondary Level,Vocational Retraining,0.00156,36,98,-0.00629,0.00940
2010,Upper Secondary Level,Further vocational education,0.00515,62,98,-0.00910,0.01940
2010,Second Stage of Tertiary Education,Further vocational education,0.00818,42,42,-0.01939,0.03575
2011,Upper Secondary Level,Vocational Retraining,0.00189,52,131,-0.00558,0.00935
2011,Upper Secondary Level,Further vocational education,0.00516,79,131,-0.00716,0.01747
2011,Second Stage of Tertiary Education,Further vocational education,0.01079,52,52,-0.01757,0.03916
2012,Upper Secondary Level,Vocational Retraining,0.00249,48,114,-0.00670,0.01168
2012,Upper Secondary Level,Further vocational education,0.00470,66,114,-0.00791,0.01730
2012,Second Stage of Tertiary Education,Further vocational education,0.00720,49,49,-0.01672,0.03113
2013,Upper Secondary Level,Vocational Retraining,0.00279,48,129,-0.00635,0.01192
2013,Upper Secondary Level,Further vocational education,0.00555,81,129,-0.00732,0.01843
2013,Second Stage of Tertiary Education,Further vocational education,0.00724,59,59,-0.01458,0.02905
2014,Upper Secondary Level,Vocational Retraining,0.00181,35,101,-0.00651,0.01013
2014,Upper Secondary Level,Further vocational education,0.00588,66,101,-0.00910,0.02086
2014,Second Stage of Tertiary Education,Further vocational education,0.00763,58,58,-0.01496,0.03021
