year,age_gr,quintil_oecd,plg0292_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,30-45 y.,2nd Quintile,Further vocational education,0.02918,33,33,-0.02914,0.08749
2001,30-45 y.,4th Quintile,Further vocational education,0.02250,40,40,-0.02405,0.06904
