year,migback,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Yes,0.17061,3663,17940,0.16510,0.17611
2011,No migration background,No,0.62120,14277,17940,0.61411,0.62830
2011,Direct migration background,Yes,0.16169,386,2015,0.14561,0.17777
2011,Direct migration background,No,0.66763,1629,2015,0.64706,0.68820
2011,Indirect migration background,Yes,0.02361,45,790,0.01302,0.03421
2011,Indirect migration background,No,0.37602,745,790,0.34222,0.40982
2013,No migration background,Yes,0.17721,3499,16436,0.17138,0.18305
2013,No migration background,No,0.61430,12937,16436,0.60686,0.62174
2013,Direct migration background,Yes,0.12653,363,1730,0.11086,0.14220
2013,Direct migration background,No,0.37681,1367,1730,0.35397,0.39965
2013,Indirect migration background,Yes,0.01490,42,700,0.00592,0.02388
2013,Indirect migration background,No,0.22720,658,700,0.19614,0.25827
2015,No migration background,Yes,0.18838,3731,19063,0.18283,0.19393
2015,No migration background,No,0.67188,15332,19063,0.66521,0.67854
2015,Direct migration background,Yes,0.14456,604,4415,0.13419,0.15493
2015,Direct migration background,No,0.69167,3811,4415,0.67804,0.70529
2015,Indirect migration background,Yes,0.02669,73,1562,0.01870,0.03469
2015,Indirect migration background,No,0.45530,1489,1562,0.43060,0.48001
2017,No migration background,Yes,0.19498,4038,20158,0.18952,0.20045
2017,No migration background,No,0.66513,16120,20158,0.65862,0.67165
2017,Direct migration background,Yes,0.17588,658,4754,0.16506,0.18670
2017,Direct migration background,No,0.72836,4096,4754,0.71571,0.74100
2017,Indirect migration background,Yes,0.03007,106,1637,0.02179,0.03835
2017,Indirect migration background,No,0.47729,1531,1637,0.45309,0.50150
2019,No migration background,Yes,0.19841,4247,20183,0.19291,0.20391
2019,No migration background,No,0.66032,15936,20183,0.65378,0.66685
2019,Direct migration background,Yes,0.17700,630,3963,0.16512,0.18889
2019,Direct migration background,No,0.72291,3333,3963,0.70897,0.73685
2019,Indirect migration background,Yes,0.03316,123,1579,0.02432,0.04199
2019,Indirect migration background,No,0.48009,1456,1579,0.45544,0.50474
2021,No migration background,Yes,0.20875,2969,13110,0.20180,0.21571
2021,No migration background,No,0.63916,10141,13110,0.63094,0.64738
2021,Direct migration background,Yes,0.19235,693,5120,0.18155,0.20315
2021,Direct migration background,No,0.72972,4427,5120,0.71755,0.74189
2021,Indirect migration background,Yes,0.04086,90,935,0.02816,0.05355
2021,Indirect migration background,No,0.43525,845,935,0.40345,0.46704
