year,age_gr,migback,ple0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,No migration background,Yes,0.02401,61,2395,0.01788,0.03014
2011,17-29 y.,No migration background,No,0.82539,2334,2395,0.81019,0.84060
2011,17-29 y.,Direct migration background,No,0.74677,214,214,0.68837,0.80517
2011,17-29 y.,Indirect migration background,No,0.80239,375,375,0.76203,0.84275
2011,30-45 y.,No migration background,Yes,0.06242,287,3956,0.05488,0.06996
2011,30-45 y.,No migration background,No,0.74408,3669,3956,0.73048,0.75768
2011,30-45 y.,Direct migration background,Yes,0.02865,36,588,0.01515,0.04214
2011,30-45 y.,Direct migration background,No,0.66273,552,588,0.62448,0.70097
2011,30-45 y.,Indirect migration background,No,0.73778,297,297,0.68767,0.78788
2011,46-65 y.,No migration background,Yes,0.21477,1497,6893,0.20508,0.22447
2011,46-65 y.,No migration background,No,0.74434,5396,6893,0.73404,0.75464
2011,46-65 y.,Direct migration background,Yes,0.24288,195,793,0.21301,0.27274
2011,46-65 y.,Direct migration background,No,0.71107,598,793,0.67950,0.74263
2011,46-65 y.,Indirect migration background,No,0.70032,68,68,0.59063,0.81002
2011,66 and older,No migration background,Yes,0.40424,1818,4696,0.39020,0.41828
2011,66 and older,No migration background,No,0.59491,2878,4696,0.58087,0.60896
2011,66 and older,Direct migration background,Yes,0.37125,154,419,0.32494,0.41757
2011,66 and older,Direct migration background,No,0.62831,265,419,0.58198,0.67464
2013,17-29 y.,No migration background,Yes,0.02144,48,2048,0.01516,0.02771
2013,17-29 y.,No migration background,No,0.79911,2000,2048,0.78176,0.81647
2013,17-29 y.,Direct migration background,No,0.32237,167,167,0.25127,0.39348
2013,17-29 y.,Indirect migration background,No,0.39985,311,311,0.34532,0.45438
2013,30-45 y.,No migration background,Yes,0.05926,254,3304,0.05121,0.06732
2013,30-45 y.,No migration background,No,0.74250,3050,3304,0.72759,0.75741
2013,30-45 y.,Direct migration background,No,0.30595,462,462,0.26388,0.34801
2013,30-45 y.,Indirect migration background,No,0.48606,264,264,0.42565,0.54646
2013,46-65 y.,No migration background,Yes,0.21802,1439,6533,0.20801,0.22804
2013,46-65 y.,No migration background,No,0.72870,5094,6533,0.71792,0.73948
2013,46-65 y.,Direct migration background,Yes,0.20291,188,685,0.17277,0.23305
2013,46-65 y.,Direct migration background,No,0.42981,497,685,0.39271,0.46691
2013,46-65 y.,Indirect migration background,No,0.64287,79,79,0.53653,0.74920
2013,66 and older,No migration background,Yes,0.40164,1758,4551,0.38740,0.41589
