year,quintil_oecd,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,5th Quintile,Eastern Europe,0.01282,35,2278,0.00820,0.01744
1994,1st Quintile,Germany,0.64756,1848,2408,0.62848,0.66665
1994,1st Quintile,Southern Europe,0.02823,217,2408,0.02162,0.03485
1994,1st Quintile,Western Asia,0.04593,303,2408,0.03756,0.05429
1994,1st Quintile,Eastern Europe,0.01592,40,2408,0.01092,0.02092
1994,2nd Quintile,Germany,0.67478,2151,2622,0.65685,0.69272
1994,2nd Quintile,Southern Europe,0.02559,213,2622,0.01954,0.03164
1994,2nd Quintile,Western Asia,0.02802,207,2622,0.02170,0.03434
1994,2nd Quintile,Eastern Europe,0.01793,51,2622,0.01285,0.02301
1994,3rd Quintile,Germany,0.71962,2215,2594,0.70233,0.73691
1994,3rd Quintile,Southern Europe,0.02443,215,2594,0.01849,0.03037
1994,3rd Quintile,Western Asia,0.01808,129,2594,0.01295,0.02321
1994,3rd Quintile,Eastern Europe,0.01434,35,2594,0.00976,0.01892
1994,4th Quintile,Germany,0.76395,2163,2427,0.74705,0.78084
1994,4th Quintile,Southern Europe,0.02767,206,2427,0.02115,0.03420
1994,4th Quintile,Western Asia,0.00941,58,2427,0.00557,0.01326
1994,5th Quintile,Germany,0.81457,2134,2286,0.79864,0.83051
1994,5th Quintile,Southern Europe,0.01490,111,2286,0.00993,0.01987
1994,5th Quintile,Eastern Europe,0.01519,41,2286,0.01018,0.02021
1995,1st Quintile,Germany,0.58222,1715,2432,0.56261,0.60183
1995,1st Quintile,Southern Europe,0.02850,204,2432,0.02188,0.03511
1995,1st Quintile,Central Asia,0.00664,38,2432,0.00341,0.00987
1995,1st Quintile,Western Asia,0.04541,318,2432,0.03713,0.05369
1995,1st Quintile,Eastern Europe,0.04009,157,2432,0.03229,0.04788
1995,2nd Quintile,Germany,0.66008,2126,2744,0.64235,0.67780
1995,2nd Quintile,Southern Europe,0.02741,244,2744,0.02130,0.03352
1995,2nd Quintile,Western Asia,0.02445,224,2744,0.01867,0.03023
1995,2nd Quintile,Eastern Europe,0.04009,150,2744,0.03275,0.04743
1995,3rd Quintile,Germany,0.70150,2198,2584,0.68385,0.71915
1995,3rd Quintile,Southern Europe,0.02582,207,2584,0.01970,0.03194
1995,3rd Quintile,Western Asia,0.01256,89,2584,0.00827,0.01686
1995,3rd Quintile,Eastern Europe,0.02543,90,2584,0.01936,0.03150
1995,4th Quintile,Germany,0.76824,2268,2567,0.75192,0.78457
1995,4th Quintile,Southern Europe,0.02152,178,2567,0.01591,0.02714
1995,4th Quintile,Western Asia,0.00866,60,2567,0.00508,0.01225
1995,4th Quintile,Eastern Europe,0.02106,61,2567,0.01550,0.02661
1995,5th Quintile,Germany,0.81657,2195,2371,0.80099,0.83215
1995,5th Quintile,Southern Europe,0.01099,118,2371,0.00679,0.01518
1995,5th Quintile,Eastern Europe,0.01797,58,2371,0.01262,0.02332
1996,1st Quintile,Germany,0.59665,1731,2419,0.57710,0.61620
1996,1st Quintile,Southern Europe,0.03639,229,2419,0.02893,0.04385
1996,1st Quintile,Western Asia,0.04532,318,2419,0.03703,0.05361
1996,1st Quintile,Eastern Europe,0.03675,141,2419,0.02925,0.04425
1996,2nd Quintile,Germany,0.64914,2058,2641,0.63093,0.66734
1996,2nd Quintile,Southern Europe,0.02268,217,2641,0.01700,0.02835
1996,2nd Quintile,Central Asia,0.00615,35,2641,0.00317,0.00913
1996,2nd Quintile,Western Asia,0.02611,197,2641,0.02002,0.03219
1996,2nd Quintile,Eastern Europe,0.03528,134,2641,0.02824,0.04231
1996,3rd Quintile,Germany,0.72188,2192,2558,0.70451,0.73924
1996,3rd Quintile,Southern Europe,0.02579,197,2558,0.01965,0.03193
1996,3rd Quintile,Western Asia,0.01239,72,2558,0.00810,0.01668
1996,3rd Quintile,Eastern Europe,0.03135,97,2558,0.02459,0.03810
1996,4th Quintile,Germany,0.75947,2321,2599,0.74304,0.77591
1996,4th Quintile,Southern Europe,0.02356,168,2599,0.01772,0.02939
1996,4th Quintile,Western Asia,0.00708,59,2599,0.00386,0.01031
1996,4th Quintile,Eastern Europe,0.01610,51,2599,0.01126,0.02094
1996,5th Quintile,Germany,0.81105,2143,2293,0.79502,0.82707
1996,5th Quintile,Southern Europe,0.01131,84,2293,0.00698,0.01564
1996,5th Quintile,Eastern Europe,0.02224,66,2293,0.01621,0.02828
1997,1st Quintile,Germany,0.59212,1615,2309,0.57207,0.61217
1997,1st Quintile,Southern Europe,0.03491,209,2309,0.02742,0.04240
