year,sampreg,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Germany,0.74887,8798,11605,0.74098,0.75676
1984,West,Southern Europe,0.01815,1583,11605,0.01572,0.02058
1984,West,Western Asia,0.01819,1035,11605,0.01576,0.02063
1984,West,Eastern Europe,0.00967,121,11605,0.00789,0.01145
1984,West,Western Europe,0.00518,68,11605,0.00387,0.00648
1985,West,Germany,0.75993,8120,10530,0.75177,0.76809
1985,West,Southern Europe,0.01874,1357,10530,0.01615,0.02133
1985,West,Western Asia,0.01638,868,10530,0.01395,0.01880
1985,West,Eastern Europe,0.01037,120,10530,0.00843,0.01230
1985,West,Western Europe,0.00555,65,10530,0.00413,0.00697
1986,West,Germany,0.75444,7758,10097,0.74604,0.76283
1986,West,Southern Europe,0.01924,1295,10097,0.01656,0.02192
1986,West,Western Asia,0.01711,862,10097,0.01458,0.01964
1986,West,Eastern Europe,0.01155,121,10097,0.00947,0.01363
1986,West,Western Europe,0.00541,61,10097,0.00398,0.00684
1987,West,Germany,0.74866,7640,9970,0.74014,0.75717
1987,West,Southern Europe,0.02043,1276,9970,0.01765,0.02321
1987,West,Western Asia,0.01854,875,9970,0.01589,0.02119
1987,West,Eastern Europe,0.01219,126,9970,0.01004,0.01434
1987,West,Western Europe,0.00490,53,9970,0.00353,0.00627
1988,West,Germany,0.75097,7303,9526,0.74228,0.75965
1988,West,Southern Europe,0.01883,1194,9526,0.01610,0.02156
1988,West,Western Asia,0.01766,853,9526,0.01502,0.02031
1988,West,Eastern Europe,0.01294,125,9526,0.01067,0.01521
1988,West,Western Europe,0.00479,51,9526,0.00341,0.00618
1989,West,Germany,0.74655,7076,9249,0.73768,0.75541
1989,West,Southern Europe,0.02064,1141,9249,0.01775,0.02354
1989,West,Western Asia,0.01950,855,9249,0.01668,0.02231
1989,West,Eastern Europe,0.01380,129,9249,0.01142,0.01617
1989,West,Western Europe,0.00499,48,9249,0.00355,0.00642
1990,West,Germany,0.73799,6931,9040,0.72892,0.74705
1990,West,Southern Europe,0.02219,1107,9040,0.01915,0.02522
1990,West,Western Asia,0.02091,824,9040,0.01796,0.02386
1990,West,Eastern Europe,0.01400,128,9040,0.01158,0.01642
1990,West,Western Europe,0.00546,50,9040,0.00394,0.00698
1990,East,Germany,0.75431,4285,4347,0.74151,0.76711
1990,East,Eastern Europe,0.01153,62,4347,0.00835,0.01470
1991,West,Germany,0.72790,6965,9034,0.71872,0.73708
1991,West,Southern Europe,0.02333,1064,9034,0.02022,0.02645
1991,West,Western Asia,0.02288,820,9034,0.01980,0.02596
1991,West,Eastern Europe,0.01450,135,9034,0.01204,0.01697
1991,West,Western Europe,0.00570,50,9034,0.00415,0.00725
1991,East,Germany,0.77481,3999,4062,0.76196,0.78766
1991,East,Eastern Europe,0.01460,63,4062,0.01091,0.01829
1992,West,Germany,0.72195,6934,8955,0.71267,0.73123
1992,West,Southern Europe,0.02612,1025,8955,0.02282,0.02942
1992,West,Western Asia,0.02442,808,8955,0.02123,0.02762
1992,West,Eastern Europe,0.01442,136,8955,0.01195,0.01689
1992,West,Western Europe,0.00701,52,8955,0.00528,0.00873
1992,East,Germany,0.77807,3831,3896,0.76502,0.79112
1992,East,Eastern Europe,0.01598,65,3896,0.01204,0.01992
1993,West,Germany,0.71574,6932,8903,0.70637,0.72511
1993,West,Southern Europe,0.02850,1008,8903,0.02504,0.03196
1993,West,Western Asia,0.02562,775,8903,0.02234,0.02890
1993,West,Eastern Europe,0.01479,137,8903,0.01228,0.01730
1993,West,Western Europe,0.00771,51,8903,0.00589,0.00952
1993,East,Germany,0.77790,3694,3755,0.76461,0.79120
1993,East,Eastern Europe,0.01536,61,3755,0.01143,0.01930
1994,West,Germany,0.71074,6883,8750,0.70124,0.72024
1994,West,Southern Europe,0.03019,963,8750,0.02660,0.03377
1994,West,Western Asia,0.02589,718,8750,0.02256,0.02922
1994,West,Eastern Europe,0.01460,134,8750,0.01208,0.01711
1994,West,Western Europe,0.00815,52,8750,0.00626,0.01003
1994,East,Germany,0.77787,3633,3696,0.76446,0.79127
1994,East,Eastern Europe,0.01743,63,3696,0.01321,0.02164
1995,West,Germany,0.68726,6955,9213,0.67779,0.69673
1995,West,Southern Europe,0.02834,952,9213,0.02495,0.03172
1995,West,Central Asia,0.00357,82,9213,0.00235,0.00478
1995,West,Western Asia,0.02324,709,9213,0.02016,0.02632
1995,West,Eastern Europe,0.03165,454,9213,0.02808,0.03523
1995,West,Western Europe,0.00824,61,9213,0.00639,0.01009
1995,East,Germany,0.78343,3550,3612,0.76999,0.79686
1995,East,Eastern Europe,0.01746,62,3612,0.01319,0.02174
1996,West,Germany,0.68924,6906,9043,0.67970,0.69878
1996,West,Southern Europe,0.02953,895,9043,0.02604,0.03302
1996,West,Central Asia,0.00393,88,9043,0.00264,0.00522
1996,West,Western Asia,0.02306,665,9043,0.01996,0.02615
1996,West,Eastern Europe,0.03095,429,9043,0.02738,0.03451
1996,West,Western Europe,0.00843,60,9043,0.00655,0.01032
1996,East,Germany,0.78730,3544,3604,0.77393,0.80066
1996,East,Eastern Europe,0.01703,60,3604,0.01281,0.02126
1997,West,Germany,0.68963,6853,8918,0.68003,0.69923
1997,West,Southern Europe,0.03074,854,8918,0.02715,0.03432
1997,West,Central Asia,0.00451,95,8918,0.00312,0.00590
1997,West,Western Asia,0.02319,626,8918,0.02007,0.02632
1997,West,Eastern Europe,0.03331,430,8918,0.02958,0.03703
1997,West,Western Europe,0.00829,60,8918,0.00641,0.01017
1997,East,Germany,0.79597,3505,3566,0.78274,0.80920
1997,East,Eastern Europe,0.01826,61,3566,0.01386,0.02265
1998,West,Germany,0.69491,8094,10093,0.68593,0.70389
1998,West,Southern Europe,0.03097,790,10093,0.02759,0.03435
1998,West,Central Asia,0.00604,110,10093,0.00453,0.00755
1998,West,Western Asia,0.02374,583,10093,0.02077,0.02671
1998,West,Eastern Europe,0.03205,457,10093,0.02861,0.03549
1998,West,Western Europe,0.00736,59,10093,0.00570,0.00903
1998,East,Germany,0.80266,3747,3808,0.79002,0.81530
1998,East,Eastern Europe,0.01739,61,3808,0.01324,0.02154
1999,West,Germany,0.69722,7796,9674,0.68806,0.70638
1999,West,Southern Europe,0.02998,708,9674,0.02658,0.03337
1999,West,Central Asia,0.00613,103,9674,0.00457,0.00768
1999,West,Western Asia,0.02459,563,9674,0.02150,0.02767
1999,West,Eastern Europe,0.03459,448,9674,0.03095,0.03823
1999,West,Western Europe,0.00848,56,9674,0.00665,0.01031
1999,East,Germany,0.81291,3674,3733,0.80040,0.82542
1999,East,Eastern Europe,0.01691,59,3733,0.01278,0.02105
2000,West,Germany,0.69797,15104,18029,0.69127,0.70467
2000,West,Northern America,0.00167,33,18029,0.00107,0.00227
2000,West,Southern Asia,0.00129,33,18029,0.00077,0.00181
2000,West,Southern Europe,0.02629,831,18029,0.02395,0.02863
2000,West,Central Asia,0.00879,221,18029,0.00743,0.01015
2000,West,Western Asia,0.02377,724,18029,0.02154,0.02599
2000,West,Eastern Europe,0.03848,875,18029,0.03567,0.04129
2000,West,Northern Europe,0.00275,44,18029,0.00199,0.00352
2000,West,Western Europe,0.00868,133,18029,0.00733,0.01003
2000,West,Latin America and the Caribbean,0.00166,31,18029,0.00107,0.00226
2000,East,Germany,0.82283,5703,5784,0.81299,0.83267
2000,East,Eastern Europe,0.01387,81,5784,0.01085,0.01688
2001,West,Germany,0.70005,13692,16277,0.69301,0.70709
2001,West,Northern America,0.00172,31,16277,0.00108,0.00236
2001,West,Southern Asia,0.00150,31,16277,0.00091,0.00210
2001,West,Southern Europe,0.02505,740,16277,0.02265,0.02745
2001,West,Central Asia,0.01023,214,16277,0.00868,0.01178
2001,West,Western Asia,0.02439,661,16277,0.02202,0.02676
2001,West,Eastern Europe,0.03637,757,16277,0.03350,0.03925
2001,West,Northern Europe,0.00267,38,16277,0.00187,0.00346
2001,West,Western Europe,0.00834,113,16277,0.00695,0.00974
2001,East,Germany,0.83314,5313,5384,0.82318,0.84310
2001,East,Eastern Europe,0.01359,71,5384,0.01050,0.01668
2002,West,Germany,0.69858,14916,17365,0.69176,0.70541
2002,West,Northern America,0.00133,33,17365,0.00079,0.00187
2002,West,Southern Europe,0.02569,677,17365,0.02334,0.02805
2002,West,Central Asia,0.01115,198,17365,0.00959,0.01272
2002,West,Western Asia,0.02529,617,17365,0.02295,0.02762
2002,West,Eastern Europe,0.03719,737,17365,0.03438,0.04001
2002,West,Northern Europe,0.00255,46,17365,0.00180,0.00330
2002,West,Western Europe,0.00843,141,17365,0.00707,0.00979
2002,East,Germany,0.83972,5314,5381,0.82992,0.84953
2002,East,Eastern Europe,0.01317,67,5381,0.01012,0.01621
2003,West,Germany,0.69889,14307,16618,0.69191,0.70586
2003,West,Northern America,0.00136,31,16618,0.00080,0.00192
2003,West,Southern Asia,0.00196,31,16618,0.00129,0.00263
2003,West,Southern Europe,0.02457,615,16618,0.02221,0.02692
2003,West,Central Asia,0.01036,186,16618,0.00882,0.01190
2003,West,Western Asia,0.02506,564,16618,0.02268,0.02743
2003,West,Eastern Europe,0.03794,707,16618,0.03504,0.04085
2003,West,Northern Europe,0.00303,47,16618,0.00220,0.00387
2003,West,Western Europe,0.00854,130,16618,0.00714,0.00994
2003,East,Germany,0.84625,5240,5299,0.83653,0.85596
2003,East,Eastern Europe,0.01130,59,5299,0.00846,0.01415
2004,West,Germany,0.70041,13954,16174,0.69335,0.70747
2004,West,Northern America,0.00145,33,16174,0.00087,0.00204
2004,West,Southern Europe,0.02651,595,16174,0.02403,0.02898
2004,West,Central Asia,0.01151,189,16174,0.00986,0.01315
2004,West,Western Asia,0.02566,544,16174,0.02323,0.02810
2004,West,Eastern Europe,0.03733,690,16174,0.03441,0.04025
2004,West,Northern Europe,0.00284,43,16174,0.00202,0.00366
2004,West,Western Europe,0.00890,126,16174,0.00745,0.01035
2004,East,Germany,0.85231,5122,5179,0.84265,0.86197
2004,East,Eastern Europe,0.01107,57,5179,0.00822,0.01392
2005,West,Germany,0.70558,13393,15462,0.69840,0.71277
2005,West,Northern America,0.00154,31,15462,0.00092,0.00216
2005,West,Southern Europe,0.02758,549,15462,0.02500,0.03017
2005,West,Central Asia,0.01162,177,15462,0.00993,0.01331
2005,West,Western Asia,0.02587,515,15462,0.02337,0.02838
2005,West,Eastern Europe,0.03629,638,15462,0.03334,0.03924
2005,West,Northern Europe,0.00313,42,15462,0.00225,0.00401
2005,West,Western Europe,0.00896,117,15462,0.00747,0.01044
2005,East,Germany,0.85012,4938,4992,0.84022,0.86003
2005,East,Eastern Europe,0.01095,54,4992,0.00806,0.01384
2006,West,Germany,0.70657,14630,16687,0.69966,0.71348
2006,West,Northern America,0.00191,37,16687,0.00124,0.00257
2006,West,Southern Europe,0.02696,501,16687,0.02450,0.02941
2006,West,Central Asia,0.01175,189,16687,0.01011,0.01338
2006,West,Western Asia,0.02603,482,16687,0.02362,0.02845
2006,West,Eastern Europe,0.03617,680,16687,0.03334,0.03900
2006,West,Northern Europe,0.00270,41,16687,0.00191,0.00349
2006,West,Western Europe,0.00930,127,16687,0.00785,0.01076
2006,East,Germany,0.85687,5256,5316,0.84746,0.86629
2006,East,Eastern Europe,0.01057,60,5316,0.00782,0.01332
2007,West,Germany,0.71142,13718,15589,0.70431,0.71853
2007,West,Northern America,0.00171,35,15589,0.00106,0.00235
2007,West,Southern Europe,0.02923,455,15589,0.02659,0.03188
2007,West,Central Asia,0.01119,175,15589,0.00954,0.01284
2007,West,Western Asia,0.02467,422,15589,0.02223,0.02710
2007,West,Eastern Europe,0.03598,622,15589,0.03305,0.03890
2007,West,Northern Europe,0.00284,40,15589,0.00200,0.00367
2007,West,Western Europe,0.00973,122,15589,0.00819,0.01127
2007,East,Germany,0.86684,4999,5054,0.85747,0.87621
2007,East,Eastern Europe,0.01040,55,5054,0.00760,0.01320
2008,West,Germany,0.71758,12932,14607,0.71028,0.72488
2008,West,Northern America,0.00177,32,14607,0.00109,0.00245
2008,West,Southern Europe,0.03043,423,14607,0.02765,0.03322
2008,West,Central Asia,0.01147,159,14607,0.00974,0.01320
2008,West,Western Asia,0.02331,362,14607,0.02087,0.02576
2008,West,Eastern Europe,0.03427,548,14607,0.03132,0.03722
2008,West,Northern Europe,0.00322,40,14607,0.00230,0.00414
2008,West,Western Europe,0.00970,111,14607,0.00811,0.01129
2008,East,Germany,0.86504,4729,4781,0.85536,0.87473
2008,East,Eastern Europe,0.01036,52,4781,0.00749,0.01323
2009,West,Germany,0.72633,12092,13539,0.71882,0.73384
2009,West,Southern Europe,0.03017,375,13539,0.02729,0.03306
2009,West,Central Asia,0.01097,142,13539,0.00922,0.01273
2009,West,Western Asia,0.02222,304,13539,0.01974,0.02471
2009,West,Eastern Europe,0.03313,489,13539,0.03012,0.03615
2009,West,Northern Europe,0.00275,35,13539,0.00187,0.00363
2009,West,Western Europe,0.00961,102,13539,0.00797,0.01125
2009,East,Germany,0.85716,4495,4546,0.84699,0.86733
2009,East,Eastern Europe,0.00989,51,4546,0.00702,0.01277
2010,West,Germany,0.71184,15980,18770,0.70536,0.71832
2010,West,Northern Africa,0.00112,35,18770,0.00065,0.00160
2010,West,Northern America,0.00225,37,18770,0.00157,0.00293
2010,West,Southern Asia,0.00349,81,18770,0.00265,0.00434
2010,West,South-Eastern Asia,0.00162,38,18770,0.00104,0.00219
2010,West,Southern Europe,0.03345,573,18770,0.03088,0.03603
2010,West,Central Asia,0.01268,325,18770,0.01108,0.01428
2010,West,Western Asia,0.02215,524,18770,0.02004,0.02426
2010,West,Eastern Europe,0.03646,831,18770,0.03378,0.03915
2010,West,Northern Europe,0.00283,66,18770,0.00207,0.00359
2010,West,Western Europe,0.01183,155,18770,0.01028,0.01337
2010,West,Sub-Saharan Africa,0.00201,69,18770,0.00137,0.00264
2010,West,Latin America and the Caribbean,0.00310,56,18770,0.00231,0.00390
2010,East,Germany,0.86308,5388,5463,0.85396,0.87219
2010,East,Eastern Europe,0.01090,75,5463,0.00814,0.01365
2011,West,Germany,0.71404,19353,22483,0.70814,0.71995
2011,West,Northern Africa,0.00158,43,22483,0.00106,0.00210
2011,West,Northern America,0.00183,43,22483,0.00128,0.00239
2011,West,Southern Asia,0.00271,80,22483,0.00203,0.00339
2011,West,South-Eastern Asia,0.00223,50,22483,0.00161,0.00284
2011,West,Southern Europe,0.02731,590,22483,0.02518,0.02944
2011,West,Central Asia,0.01416,406,22483,0.01262,0.01571
2011,West,Western Asia,0.01884,493,22483,0.01706,0.02062
2011,West,Eastern Europe,0.04033,1021,22483,0.03775,0.04290
2011,West,Northern Europe,0.00318,78,22483,0.00245,0.00392
2011,West,Western Europe,0.01124,190,22483,0.00986,0.01262
2011,West,Sub-Saharan Africa,0.00208,72,22483,0.00149,0.00268
2011,West,Latin America and the Caribbean,0.00286,64,22483,0.00216,0.00356
2011,East,Germany,0.85325,6222,6322,0.84452,0.86197
2011,East,Eastern Europe,0.01252,100,6322,0.00978,0.01526
2012,West,Germany,0.71002,18935,21890,0.70400,0.71603
2012,West,Northern Africa,0.00112,39,21890,0.00068,0.00156
2012,West,Northern America,0.00175,41,21890,0.00120,0.00231
2012,West,Southern Asia,0.00270,69,21890,0.00201,0.00339
2012,West,South-Eastern Asia,0.00229,46,21890,0.00166,0.00292
2012,West,Southern Europe,0.02804,545,21890,0.02585,0.03023
2012,West,Central Asia,0.01538,401,21890,0.01375,0.01702
2012,West,Western Asia,0.01808,426,21890,0.01631,0.01984
2012,West,Eastern Europe,0.04384,1000,21890,0.04113,0.04656
2012,West,Northern Europe,0.00345,73,21890,0.00267,0.00423
2012,West,Western Europe,0.01278,196,21890,0.01129,0.01427
2012,West,Sub-Saharan Africa,0.00251,62,21890,0.00184,0.00317
2012,West,Latin America and the Caribbean,0.00246,57,21890,0.00181,0.00312
2012,East,Germany,0.84840,6079,6178,0.83945,0.85734
2012,East,Eastern Europe,0.01327,99,6178,0.01042,0.01613
2013,West,Germany,0.70855,18912,24929,0.70291,0.71419
2013,West,Northern Africa,0.00197,90,24929,0.00142,0.00252
2013,West,Northern America,0.00124,47,24929,0.00080,0.00168
2013,West,Southern Asia,0.00446,157,24929,0.00363,0.00529
2013,West,South-Eastern Asia,0.00277,73,24929,0.00212,0.00342
2013,West,Southern Europe,0.02551,1208,24929,0.02356,0.02747
2013,West,Central Asia,0.01586,811,24929,0.01431,0.01741
2013,West,Western Asia,0.02177,928,24929,0.01996,0.02358
2013,West,Eastern Europe,0.04326,2178,24929,0.04074,0.04579
2013,West,Northern Europe,0.00294,99,24929,0.00227,0.00361
2013,West,Western Europe,0.01002,220,24929,0.00878,0.01126
2013,West,Sub-Saharan Africa,0.00400,120,24929,0.00322,0.00479
2013,West,Latin America and the Caribbean,0.00232,86,24929,0.00172,0.00292
2013,East,Germany,0.84159,5754,6123,0.83244,0.85073
2013,East,Southern Europe,0.00219,50,6123,0.00102,0.00337
2013,East,Central Asia,0.00307,73,6123,0.00168,0.00445
2013,East,Eastern Europe,0.01819,246,6123,0.01484,0.02154
2014,West,Germany,0.71107,17076,21948,0.70508,0.71707
2014,West,Northern Africa,0.00184,63,21948,0.00127,0.00240
2014,West,Northern America,0.00161,42,21948,0.00108,0.00214
2014,West,Southern Asia,0.00509,123,21948,0.00415,0.00603
2014,West,South-Eastern Asia,0.00322,55,21948,0.00247,0.00397
2014,West,Southern Europe,0.02564,979,21948,0.02355,0.02773
2014,West,Central Asia,0.01509,649,21948,0.01347,0.01670
2014,West,Western Asia,0.02348,751,21948,0.02148,0.02549
2014,West,Eastern Europe,0.04014,1764,21948,0.03754,0.04274
2014,West,Northern Europe,0.00289,77,21948,0.00218,0.00360
2014,West,Western Europe,0.01047,194,21948,0.00912,0.01182
2014,West,Sub-Saharan Africa,0.00459,99,21948,0.00370,0.00548
