year,bula_h,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Germany,0.78757,346,346,0.74441,0.83073
1984,Hamburg,Germany,0.81304,221,258,0.76538,0.86071
1984,Hamburg,Western Asia,0.02925,37,258,0.00865,0.04985
1984,Lower Saxony,Germany,0.77946,1035,1184,0.75583,0.80309
1984,Lower Saxony,Southern Europe,0.00734,86,1184,0.00248,0.01220
1984,Lower Saxony,Western Asia,0.01023,63,1184,0.00450,0.01597
1984,Bremen,Germany,0.81907,98,98,0.74246,0.89568
1984,North Rhine-Westphalia,Germany,0.73254,2306,3085,0.71692,0.74816
1984,North Rhine-Westphalia,Southern Europe,0.01945,430,3085,0.01458,0.02432
1984,North Rhine-Westphalia,Western Asia,0.02447,349,3085,0.01902,0.02992
1984,Hesse,Germany,0.73987,777,1162,0.71464,0.76511
1984,Hesse,Southern Europe,0.02990,232,1162,0.02010,0.03970
1984,Hesse,Western Asia,0.02630,153,1162,0.01709,0.03550
1984,"Rhineland-Palatinate, Saarland",Germany,0.79488,701,796,0.76681,0.82295
1984,"Rhineland-Palatinate, Saarland",Southern Europe,0.02144,95,796,0.01137,0.03150
1984,Baden-Wuerttemberg,Germany,0.69743,1376,2045,0.67752,0.71735
1984,Baden-Wuerttemberg,Southern Europe,0.02707,458,2045,0.02003,0.03410
1984,Baden-Wuerttemberg,Western Asia,0.01960,211,2045,0.01359,0.02561
1984,Bavaria,Germany,0.76046,1646,2008,0.74179,0.77913
1984,Bavaria,Southern Europe,0.01544,219,2008,0.01004,0.02083
1984,Bavaria,Western Asia,0.01115,109,2008,0.00655,0.01574
1984,Bavaria,Eastern Europe,0.01538,34,2008,0.01000,0.02076
1984,Berlin,Germany,0.75041,292,364,0.70589,0.79493
1984,Berlin,Western Asia,0.03479,72,364,0.01594,0.05364
1985,Schleswig-Holstein,Germany,0.79553,314,314,0.75085,0.84022
1985,Hamburg,Germany,0.83682,211,211,0.78684,0.88680
1985,Lower Saxony,Germany,0.79807,953,1061,0.77391,0.82224
1985,Lower Saxony,Southern Europe,0.00670,58,1061,0.00179,0.01162
1985,Lower Saxony,Western Asia,0.00929,50,1061,0.00351,0.01506
1985,Bremen,Germany,0.84049,90,90,0.76441,0.91656
1985,North Rhine-Westphalia,Germany,0.74514,2161,2808,0.72902,0.76126
1985,North Rhine-Westphalia,Southern Europe,0.01892,360,2808,0.01388,0.02396
1985,North Rhine-Westphalia,Western Asia,0.02149,287,2808,0.01613,0.02686
1985,Hesse,Germany,0.74601,714,1054,0.71972,0.77231
1985,Hesse,Southern Europe,0.02986,201,1054,0.01958,0.04014
1985,Hesse,Western Asia,0.02689,139,1054,0.01712,0.03666
1985,"Rhineland-Palatinate, Saarland",Germany,0.80375,643,732,0.77496,0.83254
1985,"Rhineland-Palatinate, Saarland",Southern Europe,0.02276,89,732,0.01195,0.03357
1985,Baden-Wuerttemberg,Germany,0.70388,1256,1849,0.68306,0.72469
1985,Baden-Wuerttemberg,Southern Europe,0.03015,405,1849,0.02235,0.03795
1985,Baden-Wuerttemberg,Western Asia,0.01808,188,1849,0.01200,0.02415
1985,Bavaria,Germany,0.76919,1515,1819,0.74982,0.78856
1985,Bavaria,Southern Europe,0.01574,185,1819,0.01002,0.02146
1985,Bavaria,Western Asia,0.00967,85,1819,0.00517,0.01417
1985,Bavaria,Eastern Europe,0.01635,34,1819,0.01052,0.02217
1985,Berlin,Germany,0.76234,263,323,0.71585,0.80883
1985,Berlin,Western Asia,0.03237,60,323,0.01304,0.05170
1986,Schleswig-Holstein,Germany,0.79717,285,285,0.75040,0.84393
1986,Hamburg,Germany,0.83637,186,186,0.78306,0.88968
1986,Lower Saxony,Germany,0.79329,936,1052,0.76881,0.81777
1986,Lower Saxony,Southern Europe,0.00682,66,1052,0.00184,0.01179
1986,Lower Saxony,Western Asia,0.00936,50,1052,0.00354,0.01518
1986,Bremen,Germany,0.85238,85,85,0.77652,0.92824
1986,North Rhine-Westphalia,Germany,0.74004,2084,2713,0.72353,0.75654
1986,North Rhine-Westphalia,Southern Europe,0.01881,340,2713,0.01369,0.02392
1986,North Rhine-Westphalia,Western Asia,0.02253,289,2713,0.01695,0.02812
1986,Hesse,Germany,0.73485,671,969,0.70705,0.76266
1986,Hesse,Southern Europe,0.02997,181,969,0.01923,0.04071
1986,Hesse,Western Asia,0.02454,117,969,0.01479,0.03428
1986,"Rhineland-Palatinate, Saarland",Germany,0.80268,643,728,0.77375,0.83161
1986,"Rhineland-Palatinate, Saarland",Southern Europe,0.02216,85,728,0.01146,0.03286
1986,Baden-Wuerttemberg,Germany,0.70070,1222,1804,0.67957,0.72184
