"year","bildungsniveau","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","(Fach-)Abitur","Laendlicher Raum","7.33","7.5","109","6.91","7.75"
"1985","(Fach-)Abitur","Staedtischer Raum","7.3","7.5","671","7.13","7.47"
"1985","(noch) kein Abschluss","Laendlicher Raum","6.93","6.5","144","6.46","7.4"
"1985","(noch) kein Abschluss","Staedtischer Raum","7.16","7.5","934","6.99","7.33"
"1985","AkademikerIn","Laendlicher Raum","7.23","7.5","122","6.84","7.62"
"1985","AkademikerIn","Staedtischer Raum","7.39","7.5","632","7.24","7.54"
"1985","Hauptschule","Laendlicher Raum","6.47","6.5","1560","6.34","6.6"
"1985","Hauptschule","Staedtischer Raum","6.45","6.5","4846","6.38","6.52"
"1985","Realschule","Laendlicher Raum","7.33","7.5","408","7.11","7.55"
"1985","Realschule","Staedtischer Raum","7.23","7.5","1405","7.11","7.35"
"1986","(Fach-)Abitur","Laendlicher Raum","7.44","7.5","122","7.06","7.82"
"1986","(Fach-)Abitur","Staedtischer Raum","7.27","7.5","686","7.1","7.44"
"1986","(noch) kein Abschluss","Laendlicher Raum","6.77","7.5","128","6.26","7.28"
"1986","(noch) kein Abschluss","Staedtischer Raum","6.99","7.5","897","6.82","7.16"
"1986","AkademikerIn","Laendlicher Raum","6.94","7.5","125","6.55","7.33"
"1986","AkademikerIn","Staedtischer Raum","7.26","7.5","623","7.1","7.42"
"1986","Hauptschule","Laendlicher Raum","6.53","6.5","1469","6.4","6.66"
"1986","Hauptschule","Staedtischer Raum","6.39","6.5","4603","6.32","6.46"
"1986","Realschule","Laendlicher Raum","7.2","7.5","391","6.98","7.42"
"1986","Realschule","Staedtischer Raum","7.13","7.5","1376","7.01","7.25"
"1987","(Fach-)Abitur","Laendlicher Raum","7.43","7.5","108","7","7.86"
"1987","(Fach-)Abitur","Staedtischer Raum","7.16","7.5","670","6.99","7.33"
"1987","(noch) kein Abschluss","Laendlicher Raum","6.69","6.5","124","6.2","7.18"
"1987","(noch) kein Abschluss","Staedtischer Raum","6.79","6.5","874","6.62","6.96"
"1987","AkademikerIn","Laendlicher Raum","7.08","7.5","124","6.69","7.47"
"1987","AkademikerIn","Staedtischer Raum","7.17","7.5","617","7","7.34"
"1987","Hauptschule","Laendlicher Raum","6.39","6.5","1444","6.26","6.52"
"1987","Hauptschule","Staedtischer Raum","6.39","6.5","4563","6.32","6.46"
"1987","Realschule","Laendlicher Raum","7.22","7.5","400","7.01","7.43"
"1987","Realschule","Staedtischer Raum","7.03","7.5","1358","6.92","7.14"
"1988","(Fach-)Abitur","Laendlicher Raum","7.32","7.5","97","6.88","7.76"
"1988","(Fach-)Abitur","Staedtischer Raum","7.1","7.5","640","6.94","7.26"
"1988","(noch) kein Abschluss","Laendlicher Raum","7.13","7.5","121","6.64","7.62"
"1988","(noch) kein Abschluss","Staedtischer Raum","6.87","6.5","781","6.69","7.05"
"1988","AkademikerIn","Laendlicher Raum","7.02","7.5","115","6.63","7.41"
"1988","AkademikerIn","Staedtischer Raum","7.06","7.5","586","6.89","7.23"
"1988","Hauptschule","Laendlicher Raum","6.26","6.5","1353","6.13","6.39"
"1988","Hauptschule","Staedtischer Raum","6.29","6.5","4383","6.22","6.36"
"1988","Realschule","Laendlicher Raum","6.91","6.5","375","6.69","7.13"
"1988","Realschule","Staedtischer Raum","6.94","6.5","1321","6.83","7.05"
"1989","(Fach-)Abitur","Laendlicher Raum","7.36","7.5","97","6.94","7.78"
"1989","(Fach-)Abitur","Staedtischer Raum","7.1","7.5","655","6.94","7.26"
"1989","(noch) kein Abschluss","Laendlicher Raum","6.58","6.5","113","6.02","7.14"
"1989","(noch) kein Abschluss","Staedtischer Raum","6.92","7.5","767","6.73","7.11"
"1989","AkademikerIn","Laendlicher Raum","6.63","6.5","114","6.22","7.04"
"1989","AkademikerIn","Staedtischer Raum","7.03","7.5","584","6.85","7.21"
"1989","Hauptschule","Laendlicher Raum","6.11","5.5","1268","5.97","6.25"
"1989","Hauptschule","Staedtischer Raum","6.26","6.5","4212","6.19","6.33"
"1989","Realschule","Laendlicher Raum","7.05","7.5","356","6.82","7.28"
"1989","Realschule","Staedtischer Raum","6.97","7.5","1292","6.85","7.09"
"1990","(Fach-)Abitur","Laendlicher Raum","7.47","7.5","177","7.16","7.78"
"1990","(Fach-)Abitur","Staedtischer Raum","7.06","6.5","697","6.9","7.22"
"1990","(noch) kein Abschluss","Laendlicher Raum","7.25","7.5","148","6.85","7.65"
"1990","(noch) kein Abschluss","Staedtischer Raum","6.8","6.5","739","6.62","6.98"
"1990","AkademikerIn","Laendlicher Raum","6.99","7.5","691","6.81","7.17"
"1990","AkademikerIn","Staedtischer Raum","6.91","7.5","979","6.77","7.05"
"1990","Hauptschule","Laendlicher Raum","6.14","5.5","2400","6.03","6.25"
"1990","Hauptschule","Staedtischer Raum","6.26","6.5","4576","6.19","6.33"
"1990","Realschule","Laendlicher Raum","7.26","7.5","1392","7.14","7.38"
"1990","Realschule","Staedtischer Raum","7","6.5","1760","6.9","7.1"
"1991","(Fach-)Abitur","Laendlicher Raum","7.22","7.5","183","6.93","7.51"
"1991","(Fach-)Abitur","Staedtischer Raum","7.08","7.5","703","6.92","7.24"
"1991","(noch) kein Abschluss","Laendlicher Raum","7.31","7.5","156","6.92","7.7"
"1991","(noch) kein Abschluss","Staedtischer Raum","6.87","6.5","720","6.69","7.05"
"1991","AkademikerIn","Laendlicher Raum","6.88","6.5","684","6.71","7.05"
"1991","AkademikerIn","Staedtischer Raum","6.91","7.5","973","6.77","7.05"
"1991","Hauptschule","Laendlicher Raum","6.15","5.5","2299","6.05","6.25"
"1991","Hauptschule","Staedtischer Raum","6.2","6.5","4417","6.13","6.27"
"1991","Realschule","Laendlicher Raum","7.14","7.5","1362","7.03","7.25"
"1991","Realschule","Staedtischer Raum","6.99","7.5","1739","6.89","7.09"
"1992","(Fach-)Abitur","Laendlicher Raum","7.29","7.5","184","6.99","7.59"
"1992","(Fach-)Abitur","Staedtischer Raum","7.24","7.5","710","7.08","7.4"
"1992","(noch) kein Abschluss","Laendlicher Raum","7.24","7.5","167","6.85","7.63"
"1992","(noch) kein Abschluss","Staedtischer Raum","6.81","7.5","695","6.62","7"
"1992","AkademikerIn","Laendlicher Raum","6.94","6.5","635","6.78","7.1"
"1992","AkademikerIn","Staedtischer Raum","7.01","7.5","985","6.88","7.14"
"1992","Hauptschule","Laendlicher Raum","6.17","6.5","2175","6.07","6.27"
"1992","Hauptschule","Staedtischer Raum","6.31","6.5","4313","6.24","6.38"
"1992","Realschule","Laendlicher Raum","7.2","7.5","1320","7.09","7.31"
"1992","Realschule","Staedtischer Raum","7.02","7.5","1721","6.92","7.12"
"1993","(Fach-)Abitur","Laendlicher Raum","7.04","7.5","201","6.74","7.34"
"1993","(Fach-)Abitur","Staedtischer Raum","7.14","7.5","707","6.98","7.3"
"1993","(noch) kein Abschluss","Laendlicher Raum","7.06","7.5","169","6.67","7.45"
"1993","(noch) kein Abschluss","Staedtischer Raum","6.83","6.5","673","6.64","7.02"
