"year","bildungsniveau","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","männlich","7.49","7.5","516","4","6","9","10","10","7.29","7.69","0","10","8","8"
"1984","(Fach-)Abitur","weiblich","7.35","7.5","349","4","6","9","10","10","7.1","7.6","0","10","8","8"
"1984","(noch) kein Abschluss","männlich","7.41","7.5","573","3","6","10","10","10","7.18","7.64","0","10","8","8"
"1984","(noch) kein Abschluss","weiblich","7.12","7.5","708","3","5","10","10","10","6.91","7.33","0","10","7","8"
"1984","AkademikerIn","männlich","7.51","7.5","534","4","7","9","10","10","7.32","7.7","0","10","8","8"
"1984","AkademikerIn","weiblich","7.29","7.5","255","3","6","9","10","10","7","7.58","0","10","8","8"
"1984","Hauptschule","männlich","6.69","6.5","3492","3","5","9","10","10","6.6","6.78","0","10","7","8"
"1984","Hauptschule","weiblich","6.3","6.5","3745","2","5","8","10","10","6.21","6.39","0","10","7","7"
"1984","Realschule","männlich","7.6","7.5","784","5","6","9","10","10","7.45","7.75","0","10","8","8"
"1984","Realschule","weiblich","7.31","7.5","1098","4","5","10","10","10","7.16","7.46","0","10","8","8"
"1985","(Fach-)Abitur","männlich","7.31","7.5","460","4","6","9","10","10","7.1","7.52","0","10","8","8"
"1985","(Fach-)Abitur","weiblich","7.29","7.5","320","4","6","9","10","10","7.04","7.54","0","10","7","8"
"1985","(noch) kein Abschluss","männlich","7.25","7.5","494","4","6","9","10","10","7.02","7.48","0","10","7","8"
"1985","(noch) kein Abschluss","weiblich","6.96","7.5","584","3","5","9","10","10","6.75","7.17","0","10","7","7"
"1985","AkademikerIn","männlich","7.34","7.5","508","5","6","9","10","10","7.17","7.51","0","10","8","8"
"1985","AkademikerIn","weiblich","7.41","7.5","246","5","6","9","10","10","7.15","7.67","0","10","8","8"
"1985","Hauptschule","männlich","6.64","6.5","3110","3","5","8","10","10","6.55","6.73","0","10","7","7"
"1985","Hauptschule","weiblich","6.3","6.5","3296","3","5","8","10","10","6.21","6.39","0","10","7","7"
"1985","Realschule","männlich","7.38","7.5","754","4","6","9","10","10","7.22","7.54","0","10","8","8"
"1985","Realschule","weiblich","7.17","7.5","1059","4","5","9","10","10","7.03","7.31","0","10","8","8"
"1986","(Fach-)Abitur","männlich","7.46","7.5","470","5","6","9","10","10","7.25","7.67","0","10","8","8"
"1986","(Fach-)Abitur","weiblich","7.09","7.5","338","4","5","9","10","10","6.85","7.33","0","10","7","8"
"1986","(noch) kein Abschluss","männlich","7.18","7.5","478","3","6","9","10","10","6.94","7.42","0","10","7","8"
"1986","(noch) kein Abschluss","weiblich","6.7","6.5","547","2","5","9","10","10","6.47","6.93","0","10","6","7"
"1986","AkademikerIn","männlich","7.22","7.5","505","4","6","9","10","10","7.04","7.4","0","10","8","8"
"1986","AkademikerIn","weiblich","7.19","7.5","243","4","6","9","10","10","6.92","7.46","0","10","8","8"
"1986","Hauptschule","männlich","6.69","6.5","2971","3","5","8","10","10","6.6","6.78","0","10","7","7"
"1986","Hauptschule","weiblich","6.21","5.5","3101","3","5","8","10","10","6.12","6.3","0","10","7","7"
"1986","Realschule","männlich","7.28","7.5","736","4","6","9","10","10","7.13","7.43","0","10","8","8"
"1986","Realschule","weiblich","7.06","7.5","1031","4","5","9","10","10","6.92","7.2","0","10","8","8"
"1987","(Fach-)Abitur","männlich","7.41","7.5","453","5","6","9","10","10","7.21","7.61","0","10","8","8"
"1987","(Fach-)Abitur","weiblich","6.93","7.5","325","3","5","9","9","10","6.67","7.19","0","10","8","8"
"1987","(noch) kein Abschluss","männlich","6.96","7.5","453","3","5","9","10","10","6.71","7.21","0","10","7","8"
"1987","(noch) kein Abschluss","weiblich","6.6","6.5","545","3","5","8","10","10","6.39","6.81","0","10","7","7"
"1987","AkademikerIn","männlich","7.1","7.5","493","4","6","9","10","10","6.91","7.29","0","10","8","8"
"1987","AkademikerIn","weiblich","7.26","7.5","248","4","6","9","10","10","6.99","7.53","0","10","8","8"
"1987","Hauptschule","männlich","6.63","6.5","2946","3","5","8","10","10","6.54","6.72","0","10","7","7"
"1987","Hauptschule","weiblich","6.19","5.5","3061","3","5","8","10","10","6.1","6.28","0","10","7","7"
"1987","Realschule","männlich","7.11","7.5","744","4","6","9","9","10","6.96","7.26","0","10","8","8"
"1987","Realschule","weiblich","7.05","7.5","1014","4","5","9","10","10","6.91","7.19","0","10","8","8"
"1988","(Fach-)Abitur","männlich","7.07","7.5","436","4","6","9","10","10","6.87","7.27","0","10","7","8"
"1988","(Fach-)Abitur","weiblich","7.22","7.5","301","4","6","9","10","10","6.98","7.46","0","10","8","8"
"1988","(noch) kein Abschluss","männlich","7.05","7.5","396","3","5","9","10","10","6.79","7.31","0","10","7","8"
"1988","(noch) kein Abschluss","weiblich","6.8","6.5","506","3","5","9","10","10","6.58","7.02","0","10","7","7"
"1988","AkademikerIn","männlich","7.04","7.5","471","4","6","9","9","10","6.85","7.23","0","10","7","8"
"1988","AkademikerIn","weiblich","7.09","7.5","230","4","6","9","9","10","6.82","7.36","0","10","7","8"
