"year","bildungsniveau","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Fach-)Abitur","1 Einkommensschwächstes Quintil","7.11","7.5","384","4","6","9","9","10","6.88","7.34","0","10","7","8"
"1995","(Fach-)Abitur","2","7","7.5","281","4","5","9","9","10","6.77","7.23","0","10","7","8"
"1995","(Fach-)Abitur","3","7.38","7.5","182","5","7","9","10","10","7.1","7.66","2","10","8","8"
"1995","(Fach-)Abitur","4","7.4","7.5","133","5","7","8","9","10","7.09","7.71","0","10","8","8"
"1995","(Fach-)Abitur","5 Einkommensstärkstes Quintil","7.02","6.5","79","4","7","8","9","10","6.59","7.45","2","10","7","8"
"1995","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","6.76","7.5","481","3","5","9","10","10","6.53","6.99","0","10","6","7"
"1995","(noch) kein Abschluss","2","6.93","6.5","222","4","5","9","10","10","6.61","7.25","0","10","7","8"
"1995","(noch) kein Abschluss","3","7.87","7.5","96","5","7","9","10","10","7.48","8.26","0","10","7","8"
"1995","(noch) kein Abschluss","4","7.42","7.5","57","4","7","9","10","10","6.82","8.02","1","10","7","8"
"1995","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1995","AkademikerIn","1 Einkommensschwächstes Quintil","6.5","6.5","360","3","5","8","9","10","6.26","6.74","0","10","7","8"
"1995","AkademikerIn","2","6.75","6.5","455","4","5","8","9","10","6.56","6.94","0","10","7","7"
"1995","AkademikerIn","3","6.71","6.5","374","3","5","8","9","10","6.5","6.92","0","10","7","8"
"1995","AkademikerIn","4","7.03","6.5","310","4","6","8","9","10","6.8","7.26","0","10","7","8"
"1995","AkademikerIn","5 Einkommensstärkstes Quintil","6.7","6.5","252","4","5","8","9","10","6.45","6.95","0","10","7","8"
"1995","Hauptschule","1 Einkommensschwächstes Quintil","5.9","5.5","2519","3","5","8","9","10","5.8","6","0","10","6","7"
"1995","Hauptschule","2","6.03","5.5","1887","3","5","8","9","10","5.93","6.13","0","10","6","7"
"1995","Hauptschule","3","6.37","6.5","953","3","5","8","9","10","6.23","6.51","0","10","7","7"
"1995","Hauptschule","4","6.41","6.5","562","3","5","8","9","10","6.22","6.6","0","10","6","7"
"1995","Hauptschule","5 Einkommensstärkstes Quintil","6.68","6.5","181","4","5","8","9","10","6.36","7","0","10","7","7"
"1995","Realschule","1 Einkommensschwächstes Quintil","6.72","6.5","1079","4","5","8","9","10","6.59","6.85","0","10","7","7"
"1995","Realschule","2","6.68","6.5","914","4","5","8","9","10","6.55","6.81","0","10","7","7"
