"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","7.43","7.5","865","7.27","7.59"
"1984","(noch) kein Abschluss","7.26","7.5","1281","7.1","7.42"
"1984","AkademikerIn","7.44","7.5","789","7.28","7.6"
"1984","Hauptschule","6.48","6.5","7237","6.42","6.54"
"1984","Realschule","7.43","7.5","1882","7.32","7.54"
"1985","(Fach-)Abitur","7.3","7.5","780","7.14","7.46"
"1985","(noch) kein Abschluss","7.11","7.5","1078","6.95","7.27"
"1985","AkademikerIn","7.36","7.5","754","7.22","7.5"
"1985","Hauptschule","6.46","6.5","6406","6.4","6.52"
"1985","Realschule","7.25","7.5","1813","7.15","7.35"
"1986","(Fach-)Abitur","7.3","7.5","808","7.14","7.46"
"1986","(noch) kein Abschluss","6.95","7.5","1025","6.78","7.12"
"1986","AkademikerIn","7.21","7.5","748","7.06","7.36"
"1986","Hauptschule","6.43","6.5","6072","6.37","6.49"
"1986","Realschule","7.15","7.5","1767","7.05","7.25"
"1987","(Fach-)Abitur","7.2","7.5","778","7.04","7.36"
"1987","(noch) kein Abschluss","6.77","6.5","998","6.61","6.93"
"1987","AkademikerIn","7.16","7.5","741","7.01","7.31"
"1987","Hauptschule","6.39","6.5","6007","6.33","6.45"
"1987","Realschule","7.07","7.5","1758","6.97","7.17"
"1988","(Fach-)Abitur","7.14","7.5","737","6.99","7.29"
"1988","(noch) kein Abschluss","6.92","7.5","902","6.75","7.09"
"1988","AkademikerIn","7.05","7.5","701","6.89","7.21"
"1988","Hauptschule","6.28","6.5","5736","6.22","6.34"
"1988","Realschule","6.93","6.5","1696","6.83","7.03"
"1989","(Fach-)Abitur","7.14","7.5","752","6.99","7.29"
"1989","(noch) kein Abschluss","6.86","7.5","880","6.68","7.04"
"1989","AkademikerIn","6.96","7.5","698","6.8","7.12"
"1989","Hauptschule","6.22","6.5","5480","6.15","6.29"
"1989","Realschule","6.99","7.5","1648","6.88","7.1"
"1990","(Fach-)Abitur","7.13","7.5","875","6.99","7.27"
"1990","(noch) kein Abschluss","6.91","6.5","887","6.74","7.08"
"1990","AkademikerIn","6.94","7.5","1689","6.83","7.05"
"1990","Hauptschule","6.22","6.5","7005","6.16","6.28"
"1990","Realschule","7.09","7.5","3190","7.01","7.17"
"1991","(Fach-)Abitur","7.11","7.5","888","6.97","7.25"
"1991","(noch) kein Abschluss","6.98","7.5","877","6.82","7.14"
"1991","AkademikerIn","6.91","7.5","1677","6.81","7.01"
"1991","Hauptschule","6.18","5.5","6742","6.12","6.24"
"1991","Realschule","7.04","7.5","3142","6.96","7.12"
"1992","(Fach-)Abitur","7.25","7.5","897","7.11","7.39"
"1992","(noch) kein Abschluss","6.92","7.5","863","6.75","7.09"
"1992","AkademikerIn","7","7.5","1650","6.9","7.1"
"1992","Hauptschule","6.26","6.5","6520","6.2","6.32"
"1992","Realschule","7.09","7.5","3093","7.02","7.16"
"1993","(Fach-)Abitur","7.12","7.5","908","6.98","7.26"
"1993","(noch) kein Abschluss","6.89","6.5","842","6.72","7.06"
"1993","AkademikerIn","6.76","6.5","1631","6.66","6.86"
