year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1997,5th Quintile,2406,0.50387,0.44253,0.56520,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1998,1st Quintile,2332,0.57480,0.49923,0.65037,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1998,2nd Quintile,2493,0.49013,0.42183,0.55843,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1998,3rd Quintile,2570,0.40009,0.34130,0.45888,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1998,4th Quintile,2592,0.46126,0.40019,0.52233,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1998,5th Quintile,2290,0.47046,0.40984,0.53109,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1999,1st Quintile,2582,0.71066,0.63154,0.78978,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1999,2nd Quintile,2858,0.47887,0.41658,0.54116,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1999,3rd Quintile,2814,0.46432,0.40567,0.52297,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1999,4th Quintile,2750,0.47208,0.41274,0.53143,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1999,5th Quintile,2597,0.54551,0.48234,0.60868,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2000,1st Quintile,2553,0.72003,0.63697,0.80310,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2000,2nd Quintile,2728,0.54937,0.48040,0.61835,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2000,3rd Quintile,2724,0.45215,0.39426,0.51004,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2000,4th Quintile,2686,0.44964,0.39290,0.50637,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2000,5th Quintile,2532,0.63034,0.56207,0.69862,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2001,1st Quintile,3858,0.79967,0.72717,0.87218,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2001,2nd Quintile,4336,0.50394,0.45230,0.55557,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2001,3rd Quintile,4524,0.46121,0.41338,0.50904,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2001,4th Quintile,4604,0.46284,0.41811,0.50757,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2001,5th Quintile,4527,0.47746,0.43548,0.51945,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2002,1st Quintile,3447,0.80065,0.72605,0.87524,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2002,2nd Quintile,3908,0.47587,0.42318,0.52857,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2002,3rd Quintile,4022,0.48469,0.43287,0.53652,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2002,4th Quintile,4359,0.43455,0.39164,0.47747,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2002,5th Quintile,4989,0.43887,0.40011,0.47762,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2003,1st Quintile,3383,0.81682,0.74170,0.89194,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2003,2nd Quintile,3847,0.51132,0.45479,0.56785,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2003,3rd Quintile,4055,0.46004,0.41012,0.50997,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2003,4th Quintile,4451,0.50343,0.45534,0.55153,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2003,5th Quintile,6345,0.50324,0.46516,0.54133,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2004,1st Quintile,3250,0.83065,0.75161,0.90969,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2004,2nd Quintile,3774,0.56562,0.50600,0.62525,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2004,3rd Quintile,4005,0.50916,0.45615,0.56218,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2004,4th Quintile,4331,0.47374,0.42632,0.52116,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2004,5th Quintile,6182,0.50401,0.46545,0.54257,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2005,1st Quintile,3135,0.84204,0.76273,0.92135,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2005,2nd Quintile,3614,0.64188,0.57533,0.70844,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2005,3rd Quintile,3748,0.49983,0.44514,0.55452,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2005,4th Quintile,4293,0.50297,0.45264,0.55330,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2005,5th Quintile,5838,0.52921,0.48788,0.57055,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2006,1st Quintile,2940,0.77324,0.69343,0.85306,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2006,2nd Quintile,3308,0.48228,0.42159,0.54297,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2006,3rd Quintile,3579,0.41582,0.36379,0.46785,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2006,4th Quintile,3964,0.44944,0.40043,0.49846,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2006,5th Quintile,5500,0.44807,0.40910,0.48704,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2007,1st Quintile,3177,0.78785,0.70895,0.86674,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2007,2nd Quintile,3495,0.50213,0.44338,0.56088,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2007,3rd Quintile,3860,0.45116,0.40025,0.50208,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2007,4th Quintile,4300,0.41411,0.36918,0.45904,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2007,5th Quintile,5589,0.44696,0.40968,0.48423,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2008,1st Quintile,2961,0.78802,0.70882,0.86722,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2008,2nd Quintile,3372,0.50549,0.44514,0.56583,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2008,3rd Quintile,3808,0.46642,0.41255,0.52030,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2008,4th Quintile,3870,0.43590,0.38860,0.48320,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2008,5th Quintile,5256,0.46710,0.42814,0.50606,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2009,1st Quintile,2849,0.79993,0.71765,0.88221,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2009,2nd Quintile,3146,0.51897,0.45552,0.58242,0.00000,0.00000,0.00000,0.00000,0.00000,,,
