year,bula_h,sampreg,plb0218_v1,proportion,n,lower_confidence,upper_confidence
2011,Nordrhein-Westfalen,Westdeutschland,"Nein, nie",0.08026056295942151,41903,0.07765910376502441,0.0828620221538186
2011,Bayern,Westdeutschland,"Nein, nie",0.06292954042909221,41903,0.06060441215875985,0.06525466869942458
2011,Baden-Württemberg,Westdeutschland,"Nein, nie",0.054383553457240184,41903,0.052212228560687,0.056554878353793366
2011,Nordrhein-Westfalen,Westdeutschland,Seltener,0.042729934859260146,41903,0.040793437685870515,0.04466643203264978
2011,Bayern,Westdeutschland,Seltener,0.03591705014044105,41903,0.03413532361947847,0.03769877666140362
2011,Niedersachsen,Westdeutschland,"Nein, nie",0.03430347218072073,41903,0.03256077114817905,0.036046173213262415
2011,Nordrhein-Westfalen,Westdeutschland,"Ja, alle 2 Wochen",0.03035917050140441,41903,0.02871637346499837,0.03200196753781045
2011,Baden-Württemberg,Westdeutschland,Seltener,0.029163927568278254,41903,0.02755280170025363,0.030775053436302876
2011,Nordrhein-Westfalen,Westdeutschland,"Ja, jede Woche",0.029104165421621944,41903,0.027494641607084563,0.030713689236159324
2011,Hessen,Westdeutschland,"Nein, nie",0.025757485208868704,41903,0.02424071852290013,0.027274251894837277
2011,Bayern,Westdeutschland,"Ja, jede Woche",0.025697723062212394,41903,0.02418267052203151,0.027212775602393276
2011,Bayern,Westdeutschland,"Ja, alle 2 Wochen",0.024084145102492082,41903,0.0226162152003184,0.025552075004665765
2011,Niedersachsen,Westdeutschland,Seltener,0.023366999342616386,41903,0.021920558475680578,0.024813440209552194
2011,"Rheinland-Pfalz,Saarland",Westdeutschland,"Nein, nie",0.020976513476364072,41903,0.019604378860095403,0.02234864809263274
2011,Sachsen,Ostdeutschland,"Nein, nie",0.020677702743082532,41903,0.01931516833573472,0.022040237150430346
2011,Baden-Württemberg,Westdeutschland,"Ja, jede Woche",0.01810793043686129,41903,0.016831198277711137,0.019384662596011445
