year,bula_h,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Owner,No,0.94257,94,94,0.89529,0.98986
1984,Schleswig-Holstein,Tenant,No,0.96513,95,95,0.92804,1.00222
1984,Hamburg,Tenant,No,0.97253,138,138,0.94516,0.99990
1984,Lower Saxony,Owner,No,0.95797,245,245,0.93279,0.98314
1984,Lower Saxony,Tenant,No,0.94797,316,316,0.92344,0.97250
1984,Bremen,Tenant,No,0.91830,54,54,0.84455,0.99204
1984,North Rhine-Westphalia,Owner,No,0.97095,427,427,0.95500,0.98690
1984,North Rhine-Westphalia,Tenant,Yes,0.04075,41,1145,0.02929,0.05220
1984,North Rhine-Westphalia,Tenant,No,0.95925,1104,1145,0.94780,0.97071
1984,Hesse,Owner,No,0.97549,165,165,0.95183,0.99916
1984,Hesse,Tenant,No,0.97622,402,402,0.96130,0.99113
1984,"Rhineland-Palatinate, Saarland",Owner,No,0.97639,194,194,0.95497,0.99781
1984,"Rhineland-Palatinate, Saarland",Tenant,No,0.96515,192,192,0.93914,0.99116
1984,Baden-Wuerttemberg,Owner,No,0.94440,361,361,0.92073,0.96807
1984,Baden-Wuerttemberg,Tenant,No,0.97702,655,655,0.96554,0.98850
1984,Bavaria,Owner,No,0.95332,384,384,0.93219,0.97445
1984,Bavaria,Tenant,No,0.95825,559,559,0.94165,0.97484
1984,Berlin,Tenant,No,0.94889,194,194,0.91782,0.97996
1985,Schleswig-Holstein,Owner,No,0.95708,84,84,0.91347,1.00068
1985,Schleswig-Holstein,Tenant,No,0.98531,91,91,0.96046,1.01017
1985,Hamburg,Tenant,No,0.95422,134,134,0.91870,0.98974
1985,Lower Saxony,Owner,No,0.94947,221,221,0.92053,0.97841
1985,Lower Saxony,Tenant,No,0.94762,274,274,0.92119,0.97405
1985,Bremen,Tenant,No,0.92582,45,45,0.84838,1.00325
1985,North Rhine-Westphalia,Owner,No,0.96311,397,397,0.94454,0.98167
1985,North Rhine-Westphalia,Tenant,Yes,0.03664,34,1012,0.02506,0.04822
1985,North Rhine-Westphalia,Tenant,No,0.96336,978,1012,0.95178,0.97494
1985,Hesse,Owner,No,0.96436,158,158,0.93536,0.99336
1985,Hesse,Tenant,No,0.98147,360,360,0.96752,0.99542
1985,"Rhineland-Palatinate, Saarland",Owner,No,0.95057,171,171,0.91799,0.98316
1985,"Rhineland-Palatinate, Saarland",Tenant,No,0.99259,169,169,0.97962,1.00556
1985,Baden-Wuerttemberg,Owner,No,0.93381,331,331,0.90698,0.96063
