year,regtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Yes,0.03985,198,5827,0.03483,0.04488
1984,No answer / don't know,No,0.96015,5629,5827,0.95512,0.96517
1985,Urban regions,Yes,0.03736,133,4194,0.03162,0.04310
1985,Urban regions,No,0.96264,4061,4194,0.95690,0.96838
1985,Rural regions,Yes,0.04853,48,1065,0.03562,0.06144
1985,Rural regions,No,0.95147,1017,1065,0.93856,0.96438
1986,Urban regions,Yes,0.03654,125,4016,0.03074,0.04235
1986,Urban regions,No,0.96346,3891,4016,0.95765,0.96926
1986,Rural regions,Yes,0.05344,47,1011,0.03957,0.06731
1986,Rural regions,No,0.94656,964,1011,0.93269,0.96043
1987,Urban regions,Yes,0.03732,120,3961,0.03142,0.04322
1987,Urban regions,No,0.96268,3841,3961,0.95678,0.96858
1987,Rural regions,Yes,0.05097,41,998,0.03732,0.06462
1987,Rural regions,No,0.94903,957,998,0.93538,0.96268
1988,Urban regions,Yes,0.03476,111,3803,0.02894,0.04058
1988,Urban regions,No,0.96524,3692,3803,0.95942,0.97106
1988,Rural regions,Yes,0.04728,38,943,0.03372,0.06083
1988,Rural regions,No,0.95272,905,943,0.93917,0.96628
1989,Urban regions,Yes,0.03000,97,3731,0.02452,0.03547
1989,Urban regions,No,0.97000,3634,3731,0.96453,0.97548
1989,Rural regions,Yes,0.04019,32,905,0.02739,0.05299
1989,Rural regions,No,0.95981,873,905,0.94701,0.97261
1990,Urban regions,Yes,0.03206,104,3657,0.02635,0.03777
1990,Urban regions,No,0.96794,3553,3657,0.96223,0.97365
1990,Rural regions,Yes,0.04196,37,921,0.02900,0.05492
1990,Rural regions,No,0.95804,884,921,0.94508,0.97100
1991,No answer / don't know,No,0.84205,41,41,0.72903,0.95507
1991,Urban regions,Yes,0.03634,140,4350,0.03078,0.04190
1991,Urban regions,No,0.96366,4210,4350,0.95810,0.96922
1991,Rural regions,Yes,0.05989,108,2211,0.05000,0.06979
1991,Rural regions,No,0.94011,2103,2211,0.93021,0.95000
1992,Urban regions,Yes,0.04385,151,4362,0.03777,0.04993
1992,Urban regions,No,0.95615,4211,4362,0.95007,0.96223
1992,Rural regions,Yes,0.06214,105,2146,0.05192,0.07236
1992,Rural regions,No,0.93786,2041,2146,0.92764,0.94808
1993,Urban regions,Yes,0.04028,140,4357,0.03444,0.04612
1993,Urban regions,No,0.95972,4217,4357,0.95388,0.96556
1993,Rural regions,Yes,0.06708,111,2167,0.05655,0.07762
1993,Rural regions,No,0.93292,2056,2167,0.92238,0.94345
1994,Urban regions,Yes,0.04066,149,4315,0.03477,0.04656
1994,Urban regions,No,0.95934,4166,4315,0.95344,0.96523
1994,Rural regions,Yes,0.06261,105,2159,0.05239,0.07283
1994,Rural regions,No,0.93739,2054,2159,0.92717,0.94761
1995,Urban regions,Yes,0.04726,163,4441,0.04102,0.05350
1995,Urban regions,No,0.95274,4278,4441,0.94650,0.95898
1995,Rural regions,Yes,0.05511,101,2221,0.04562,0.06460
1995,Rural regions,No,0.94489,2120,2221,0.93540,0.95438
1996,Urban regions,Yes,0.04195,157,4389,0.03602,0.04789
1996,Urban regions,No,0.95805,4232,4389,0.95211,0.96398
1996,Rural regions,Yes,0.04794,90,2212,0.03903,0.05684
1996,Rural regions,No,0.95206,2122,2212,0.94316,0.96097
1997,Urban regions,Yes,0.03797,143,4333,0.03228,0.04367
1997,Urban regions,No,0.96203,4190,4333,0.95633,0.96772
1997,Rural regions,Yes,0.05474,94,2196,0.04522,0.06425
