year,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Yes,0.03985,198,5827,0.03483,0.04488
1984,No,0.96015,5629,5827,0.95512,0.96517
1985,Yes,0.03991,181,5259,0.03462,0.04520
1985,No,0.96009,5078,5259,0.95480,0.96538
1986,Yes,0.04033,172,5027,0.03489,0.04577
1986,No,0.95967,4855,5027,0.95423,0.96511
1987,Yes,0.04034,161,4959,0.03487,0.04582
1987,No,0.95966,4798,4959,0.95418,0.96513
1988,Yes,0.03749,149,4746,0.03209,0.04290
1988,No,0.96251,4597,4746,0.95710,0.96791
1989,Yes,0.03217,129,4636,0.02709,0.03726
1989,No,0.96783,4507,4636,0.96274,0.97291
1990,Yes,0.03421,141,4578,0.02894,0.03948
1990,No,0.96579,4437,4578,0.96052,0.97106
1991,Yes,0.04385,253,6607,0.03891,0.04878
1991,No,0.95615,6354,6607,0.95122,0.96109
1992,Yes,0.04894,256,6566,0.04372,0.05416
1992,No,0.95106,6310,6566,0.94584,0.95628
1993,Yes,0.04827,251,6524,0.04307,0.05347
1993,No,0.95173,6273,6524,0.94653,0.95693
1994,Yes,0.04727,254,6474,0.04210,0.05244
1994,No,0.95273,6220,6474,0.94756,0.95790
1995,Yes,0.04963,264,6662,0.04441,0.05484
1995,No,0.95037,6398,6662,0.94516,0.95559
1996,Yes,0.04374,247,6601,0.03880,0.04867
1996,No,0.95626,6354,6601,0.95133,0.96120
1997,Yes,0.04297,237,6530,0.03805,0.04788
1997,No,0.95703,6293,6530,0.95212,0.96195
1998,Yes,0.04134,265,7413,0.03681,0.04588
1998,No,0.95866,7148,7413,0.95412,0.96319
1999,Yes,0.04592,262,7142,0.04106,0.05077
1999,No,0.95408,6880,7142,0.94923,0.95894
2000,Yes,0.03972,488,12950,0.03635,0.04308
2000,No,0.96028,12462,12950,0.95692,0.96365
2001,Yes,0.04038,453,11677,0.03681,0.04395
2001,No,0.95962,11224,11677,0.95605,0.96319
2002,Yes,0.04212,451,12212,0.03856,0.04568
2002,No,0.95788,11761,12212,0.95432,0.96144
2003,Yes,0.04343,455,11803,0.03976,0.04711
2003,No,0.95657,11348,11803,0.95289,0.96024
2004,Yes,0.04541,470,11543,0.04161,0.04921
2004,No,0.95459,11073,11543,0.95079,0.95839
2005,Yes,0.04133,423,11199,0.03764,0.04501
2005,No,0.95867,10776,11199,0.95499,0.96236
2006,Yes,0.04392,497,12265,0.04030,0.04755
2006,No,0.95608,11768,12265,0.95245,0.95970
2007,Yes,0.04285,457,11452,0.03914,0.04656
2007,No,0.95715,10995,11452,0.95344,0.96086
2008,Yes,0.04190,409,10820,0.03813,0.04568
2008,No,0.95810,10411,10820,0.95432,0.96187
2009,Yes,0.04344,411,10177,0.03948,0.04740
2009,No,0.95656,9766,10177,0.95260,0.96052
2010,Yes,0.04136,467,13799,0.03804,0.04469
2010,No,0.95864,13332,13799,0.95531,0.96196
2011,Yes,0.03732,557,16602,0.03443,0.04020
2011,No,0.96268,16045,16602,0.95980,0.96557
2012,Yes,0.04036,566,16303,0.03734,0.04339
2012,No,0.95964,15737,16303,0.95661,0.96266
2013,Yes,0.04035,649,17870,0.03747,0.04324
2013,No,0.95965,17221,17870,0.95676,0.96253
2014,Yes,0.04213,632,15826,0.03900,0.04526
2014,No,0.95787,15194,15826,0.95474,0.96100
2015,Yes,0.04051,579,15764,0.03743,0.04358
2015,No,0.95949,15185,15764,0.95642,0.96257
2016,Yes,0.04501,755,16400,0.04183,0.04818
2016,No,0.95499,15645,16400,0.95182,0.95817
2017,Yes,0.04546,782,18271,0.04244,0.04848
2017,No,0.95454,17489,18271,0.95152,0.95756
2018,Yes,0.04736,863,17875,0.04424,0.05047
2018,No,0.95264,17012,17875,0.94953,0.95576
2019,Yes,0.04815,832,18427,0.04506,0.05124
2019,No,0.95185,17595,18427,0.94876,0.95494
2020,Yes,0.05037,828,19290,0.04728,0.05345
2020,No,0.94963,18462,19290,0.94655,0.95272
2021,Yes,0.05715,684,12552,0.05309,0.06121
2021,No,0.94285,11868,12552,0.93879,0.94691
2022,Yes,0.05552,911,20388,0.05237,0.05866
2022,No,0.94448,19477,20388,0.94134,0.94763
