year,bula_h,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,No,0.95358,189,189,0.92350,0.98365
1984,Hamburg,West,No,0.97606,159,159,0.95222,0.99989
1984,Lower Saxony,West,No,0.95272,561,561,0.93514,0.97030
1984,Bremen,West,No,0.88797,68,68,0.81245,0.96349
1984,North Rhine-Westphalia,West,Yes,0.03696,53,1584,0.02767,0.04626
1984,North Rhine-Westphalia,West,No,0.96304,1531,1584,0.95374,0.97233
1984,Hesse,West,No,0.97593,567,567,0.96331,0.98856
1984,"Rhineland-Palatinate, Saarland",West,No,0.97138,386,386,0.95472,0.98803
1984,Baden-Wuerttemberg,West,No,0.96118,1016,1016,0.94930,0.97307
1984,Bavaria,West,Yes,0.04402,35,978,0.03116,0.05689
1984,Bavaria,West,No,0.95598,943,978,0.94311,0.96884
1984,Berlin,West,No,0.94086,209,209,0.90880,0.97292
1985,Schleswig-Holstein,West,No,0.97182,175,175,0.94723,0.99641
1985,Hamburg,West,No,0.95977,154,154,0.92863,0.99090
1985,Lower Saxony,West,No,0.94847,495,495,0.92897,0.96796
1985,Bremen,West,No,0.94475,61,61,0.88694,1.00256
1985,North Rhine-Westphalia,West,Yes,0.03672,48,1423,0.02694,0.04649
1985,North Rhine-Westphalia,West,No,0.96328,1375,1423,0.95351,0.97306
1985,Hesse,West,No,0.97437,518,518,0.96075,0.98800
1985,"Rhineland-Palatinate, Saarland",West,No,0.96965,340,340,0.95139,0.98791
1985,Baden-Wuerttemberg,West,No,0.95722,913,913,0.94408,0.97035
1985,Bavaria,West,Yes,0.04263,32,887,0.02933,0.05593
1985,Bavaria,West,No,0.95737,855,887,0.94407,0.97067
1985,Berlin,West,No,0.93855,192,192,0.90449,0.97261
1986,Schleswig-Holstein,West,No,0.96491,156,156,0.93594,0.99388
1986,Hamburg,West,No,0.97334,140,140,0.94655,1.00012
1986,Lower Saxony,West,No,0.94184,490,490,0.92109,0.96258
1986,Bremen,West,No,0.92672,56,56,0.85785,0.99559
1986,North Rhine-Westphalia,West,Yes,0.03727,45,1362,0.02721,0.04734
1986,North Rhine-Westphalia,West,No,0.96273,1317,1362,0.95266,0.97279
1986,Hesse,West,No,0.97576,488,488,0.96210,0.98942
1986,"Rhineland-Palatinate, Saarland",West,No,0.94555,338,338,0.92132,0.96977
1986,Baden-Wuerttemberg,West,No,0.96333,871,871,0.95084,0.97582
1986,Bavaria,West,No,0.96028,808,808,0.94680,0.97375
1986,Berlin,West,No,0.95801,191,191,0.92949,0.98653
1987,Schleswig-Holstein,West,No,0.94693,155,155,0.91153,0.98234
1987,Hamburg,West,No,0.97067,125,125,0.94098,1.00037
1987,Lower Saxony,West,No,0.95586,490,490,0.93765,0.97406
1987,Bremen,West,No,0.91684,55,55,0.84319,0.99049
1987,North Rhine-Westphalia,West,Yes,0.03671,43,1347,0.02666,0.04676
1987,North Rhine-Westphalia,West,No,0.96329,1304,1347,0.95324,0.97334
1987,Hesse,West,No,0.98293,482,482,0.97135,0.99450
1987,"Rhineland-Palatinate, Saarland",West,No,0.94921,336,336,0.92569,0.97272
1987,Baden-Wuerttemberg,West,No,0.96510,865,865,0.95287,0.97734
1987,Bavaria,West,No,0.94953,795,795,0.93430,0.96476
1987,Berlin,West,No,0.95968,191,191,0.93171,0.98765
1988,Schleswig-Holstein,West,No,0.94807,152,152,0.91268,0.98346
1988,Hamburg,West,No,0.95273,111,111,0.91307,0.99239
1988,Lower Saxony,West,No,0.94973,466,466,0.92987,0.96959
1988,Bremen,West,No,0.93083,56,56,0.86376,0.99789
1988,North Rhine-Westphalia,West,Yes,0.03658,42,1282,0.02630,0.04686
1988,North Rhine-Westphalia,West,No,0.96342,1240,1282,0.95314,0.97370
1988,Hesse,West,No,0.97153,456,456,0.95625,0.98681
1988,"Rhineland-Palatinate, Saarland",West,No,0.97484,323,323,0.95774,0.99195
1988,Baden-Wuerttemberg,West,No,0.96435,842,842,0.95181,0.97688
1988,Bavaria,West,No,0.96202,768,768,0.94850,0.97555
1988,Berlin,West,No,0.97999,183,183,0.95964,1.00033
