year,rentown,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,Yes,0.04188,77,1997,0.03309,0.05066
1984,Owner,West,No,0.95812,1920,1997,0.94934,0.96691
1984,Tenant,West,Yes,0.03849,121,3830,0.03240,0.04459
1984,Tenant,West,No,0.96151,3709,3830,0.95541,0.96760
1985,Owner,West,Yes,0.04985,88,1861,0.03996,0.05974
1985,Owner,West,No,0.95015,1773,1861,0.94026,0.96004
1985,Tenant,West,Yes,0.03330,93,3398,0.02726,0.03933
1985,Tenant,West,No,0.96670,3305,3398,0.96067,0.97274
1986,Owner,West,Yes,0.04991,81,1829,0.03993,0.05989
1986,Owner,West,No,0.95009,1748,1829,0.94011,0.96007
1986,Tenant,West,Yes,0.03407,91,3194,0.02778,0.04036
1986,Tenant,West,No,0.96593,3103,3194,0.95964,0.97222
1987,Owner,West,Yes,0.04839,79,1828,0.03855,0.05823
1987,Owner,West,No,0.95161,1749,1828,0.94177,0.96145
1987,Tenant,West,Yes,0.03511,82,3129,0.02866,0.04156
1987,Tenant,West,No,0.96489,3047,3129,0.95844,0.97134
1988,Owner,West,Yes,0.03917,60,1738,0.03005,0.04829
1988,Owner,West,No,0.96083,1678,1738,0.95171,0.96995
1988,Tenant,West,Yes,0.03641,89,3007,0.02972,0.04311
1988,Tenant,West,No,0.96359,2918,3007,0.95689,0.97028
1989,Owner,West,Yes,0.04165,66,1708,0.03217,0.05112
1989,Owner,West,No,0.95835,1642,1708,0.94888,0.96783
1989,Tenant,West,Yes,0.02588,63,2925,0.02013,0.03164
1989,Tenant,West,No,0.97412,2862,2925,0.96836,0.97987
1990,Owner,West,Yes,0.04207,71,1734,0.03262,0.05152
1990,Owner,West,No,0.95793,1663,1734,0.94848,0.96738
1990,Tenant,West,Yes,0.02888,70,2843,0.02272,0.03504
1990,Tenant,West,No,0.97112,2773,2843,0.96496,0.97728
1991,Owner,West,Yes,0.04780,78,1744,0.03778,0.05781
1991,Owner,West,No,0.95220,1666,1744,0.94219,0.96222
1991,Owner,East,Yes,0.05581,31,587,0.03722,0.07440
1991,Owner,East,No,0.94419,556,587,0.92560,0.96278
1991,Tenant,West,Yes,0.03664,87,2877,0.02977,0.04350
1991,Tenant,West,No,0.96336,2790,2877,0.95650,0.97023
1991,Tenant,East,Yes,0.05517,57,1398,0.04320,0.06715
1991,Tenant,East,No,0.94483,1341,1398,0.93285,0.95680
1992,Owner,West,Yes,0.05466,87,1763,0.04405,0.06528
1992,Owner,West,No,0.94534,1676,1763,0.93472,0.95595
1992,Owner,East,No,0.93766,534,534,0.91713,0.95818
1992,Tenant,West,Yes,0.04265,87,2863,0.03524,0.05005
1992,Tenant,West,No,0.95735,2776,2863,0.94995,0.96476
1992,Tenant,East,Yes,0.05187,53,1377,0.04015,0.06358
1992,Tenant,East,No,0.94813,1324,1377,0.93642,0.95985
1993,Owner,West,Yes,0.06116,90,1759,0.04996,0.07236
1993,Owner,West,No,0.93884,1669,1759,0.92764,0.95004
1993,Owner,East,No,0.94329,525,525,0.92348,0.96309
1993,Tenant,West,Yes,0.03742,85,2890,0.03050,0.04434
1993,Tenant,West,No,0.96258,2805,2890,0.95566,0.96950
1993,Tenant,East,Yes,0.05083,52,1325,0.03900,0.06266
