year,quintil_oecd_hh,regtyp,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Yes,0.06166,64,1200,0.04804,0.07527
1984,1st Quintile,No answer / don't know,No,0.93834,1136,1200,0.92473,0.95196
1984,2nd Quintile,No answer / don't know,Yes,0.02788,34,1191,0.01853,0.03723
1984,2nd Quintile,No answer / don't know,No,0.97212,1157,1191,0.96277,0.98147
1984,3rd Quintile,No answer / don't know,Yes,0.04848,43,1168,0.03616,0.06080
1984,3rd Quintile,No answer / don't know,No,0.95152,1125,1168,0.93920,0.96384
1984,4th Quintile,No answer / don't know,Yes,0.04155,37,1176,0.03014,0.05296
1984,4th Quintile,No answer / don't know,No,0.95845,1139,1176,0.94704,0.96986
1984,5th Quintile,No answer / don't know,No,0.97941,1052,1052,0.97082,0.98799
1985,1st Quintile,Urban regions,Yes,0.05321,37,836,0.03799,0.06844
1985,1st Quintile,Urban regions,No,0.94679,799,836,0.93156,0.96201
1985,1st Quintile,Rural regions,No,0.94962,226,226,0.92104,0.97820
1985,2nd Quintile,Urban regions,No,0.96981,817,817,0.95807,0.98155
1985,2nd Quintile,Rural regions,No,0.92438,218,218,0.88921,0.95956
1985,3rd Quintile,Urban regions,Yes,0.04405,31,855,0.03028,0.05781
1985,3rd Quintile,Urban regions,No,0.95595,824,855,0.94219,0.96972
1985,3rd Quintile,Rural regions,No,0.97249,220,220,0.95083,0.99415
1985,4th Quintile,Urban regions,No,0.96674,844,844,0.95464,0.97885
1985,4th Quintile,Rural regions,No,0.95412,172,172,0.92276,0.98548
1985,5th Quintile,Urban regions,No,0.97217,771,771,0.96055,0.98378
1985,5th Quintile,Rural regions,No,0.95867,181,181,0.92959,0.98775
1986,1st Quintile,Urban regions,Yes,0.05797,37,786,0.04162,0.07432
1986,1st Quintile,Urban regions,No,0.94203,749,786,0.92568,0.95838
1986,1st Quintile,Rural regions,No,0.95111,197,197,0.92093,0.98130
1986,2nd Quintile,Urban regions,No,0.95979,772,772,0.94592,0.97365
1986,2nd Quintile,Rural regions,No,0.89584,214,214,0.85482,0.93686
1986,3rd Quintile,Urban regions,No,0.96505,801,801,0.95233,0.97778
1986,3rd Quintile,Rural regions,No,0.97160,198,198,0.94840,0.99480
1986,4th Quintile,Urban regions,No,0.97287,804,804,0.96164,0.98411
1986,4th Quintile,Rural regions,No,0.96098,187,187,0.93315,0.98881
1986,5th Quintile,Urban regions,No,0.97580,760,760,0.96486,0.98673
1986,5th Quintile,Rural regions,No,0.96427,168,168,0.93612,0.99242
1987,1st Quintile,Urban regions,Yes,0.06818,42,735,0.04994,0.08641
1987,1st Quintile,Urban regions,No,0.93182,693,735,0.91359,0.95006
1987,1st Quintile,Rural regions,No,0.94105,203,203,0.90857,0.97353
1987,2nd Quintile,Urban regions,No,0.96623,767,767,0.95344,0.97902
1987,2nd Quintile,Rural regions,No,0.93426,212,212,0.90081,0.96770
1987,3rd Quintile,Urban regions,No,0.96438,797,797,0.95151,0.97726
1987,3rd Quintile,Rural regions,No,0.94000,201,201,0.90709,0.97292
1987,4th Quintile,Urban regions,No,0.97240,802,802,0.96105,0.98374
1987,4th Quintile,Rural regions,No,0.98457,194,194,0.96718,1.00196
1987,5th Quintile,Urban regions,No,0.97591,779,779,0.96514,0.98669
1987,5th Quintile,Rural regions,No,0.95294,147,147,0.91858,0.98729
1988,1st Quintile,Urban regions,Yes,0.04977,34,734,0.03403,0.06552
1988,1st Quintile,Urban regions,No,0.95023,700,734,0.93448,0.96597
1988,1st Quintile,Rural regions,No,0.92946,192,192,0.89315,0.96577
1988,2nd Quintile,Urban regions,No,0.96211,736,736,0.94831,0.97592
1988,2nd Quintile,Rural regions,No,0.93620,187,187,0.90107,0.97132
1988,3rd Quintile,Urban regions,No,0.95975,764,764,0.94581,0.97370
1988,3rd Quintile,Rural regions,No,0.96635,192,192,0.94078,0.99193
1988,4th Quintile,Urban regions,No,0.97330,759,759,0.96182,0.98478
1988,4th Quintile,Rural regions,No,0.97650,193,193,0.95507,0.99793
1988,5th Quintile,Urban regions,No,0.97890,731,731,0.96848,0.98933
1988,5th Quintile,Rural regions,No,0.96327,141,141,0.93211,0.99443
