year,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,Yes,0.04188,77,1997,0.03309,0.05066
1984,Owner,No,0.95812,1920,1997,0.94934,0.96691
1984,Tenant,Yes,0.03849,121,3830,0.03240,0.04459
1984,Tenant,No,0.96151,3709,3830,0.95541,0.96760
1985,Owner,Yes,0.04985,88,1861,0.03996,0.05974
1985,Owner,No,0.95015,1773,1861,0.94026,0.96004
1985,Tenant,Yes,0.03330,93,3398,0.02726,0.03933
1985,Tenant,No,0.96670,3305,3398,0.96067,0.97274
1986,Owner,Yes,0.04991,81,1829,0.03993,0.05989
1986,Owner,No,0.95009,1748,1829,0.94011,0.96007
1986,Tenant,Yes,0.03407,91,3194,0.02778,0.04036
1986,Tenant,No,0.96593,3103,3194,0.95964,0.97222
1987,Owner,Yes,0.04839,79,1828,0.03855,0.05823
1987,Owner,No,0.95161,1749,1828,0.94177,0.96145
1987,Tenant,Yes,0.03511,82,3129,0.02866,0.04156
1987,Tenant,No,0.96489,3047,3129,0.95844,0.97134
1988,Owner,Yes,0.03917,60,1738,0.03005,0.04829
1988,Owner,No,0.96083,1678,1738,0.95171,0.96995
1988,Tenant,Yes,0.03641,89,3007,0.02972,0.04311
1988,Tenant,No,0.96359,2918,3007,0.95689,0.97028
1989,Owner,Yes,0.04165,66,1708,0.03217,0.05112
1989,Owner,No,0.95835,1642,1708,0.94888,0.96783
1989,Tenant,Yes,0.02588,63,2925,0.02013,0.03164
1989,Tenant,No,0.97412,2862,2925,0.96836,0.97987
1990,Owner,Yes,0.04207,71,1734,0.03262,0.05152
1990,Owner,No,0.95793,1663,1734,0.94848,0.96738
1990,Tenant,Yes,0.02888,70,2843,0.02272,0.03504
1990,Tenant,No,0.97112,2773,2843,0.96496,0.97728
1991,Owner,Yes,0.04886,109,2331,0.04011,0.05761
1991,Owner,No,0.95114,2222,2331,0.94239,0.95989
1991,Tenant,Yes,0.04080,144,4275,0.03487,0.04673
1991,Tenant,No,0.95920,4131,4275,0.95327,0.96513
1992,Owner,Yes,0.05564,116,2326,0.04632,0.06496
1992,Owner,No,0.94436,2210,2326,0.93504,0.95368
1992,Tenant,Yes,0.04475,140,4240,0.03853,0.05097
1992,Tenant,No,0.95525,4100,4240,0.94903,0.96147
1993,Owner,Yes,0.06058,114,2308,0.05085,0.07031
1993,Owner,No,0.93942,2194,2308,0.92969,0.94915
1993,Tenant,Yes,0.04043,137,4215,0.03448,0.04638
1993,Tenant,No,0.95957,4078,4215,0.95362,0.96552
1994,Owner,Yes,0.05540,117,2319,0.04609,0.06471
1994,Owner,No,0.94460,2202,2319,0.93529,0.95391
1994,Tenant,Yes,0.04211,137,4152,0.03600,0.04822
1994,Tenant,No,0.95789,4015,4152,0.95178,0.96400
1995,Owner,Yes,0.05566,111,2348,0.04638,0.06493
1995,Owner,No,0.94434,2237,2348,0.93507,0.95362
1995,Tenant,Yes,0.04566,153,4314,0.03943,0.05189
1995,Tenant,No,0.95434,4161,4314,0.94811,0.96057
1996,Owner,Yes,0.04766,103,2387,0.03911,0.05621
1996,Owner,No,0.95234,2284,2387,0.94379,0.96089
1996,Tenant,Yes,0.04110,144,4214,0.03510,0.04709
1996,Tenant,No,0.95890,4070,4214,0.95291,0.96490
1997,Owner,Yes,0.04163,99,2436,0.03370,0.04957
1997,Owner,No,0.95837,2337,2436,0.95043,0.96630
1997,Tenant,Yes,0.04387,138,4094,0.03760,0.05015
1997,Tenant,No,0.95613,3956,4094,0.94985,0.96240
1998,Owner,Yes,0.04652,120,2900,0.03885,0.05419
1998,Owner,No,0.95348,2780,2900,0.94581,0.96115
1998,Tenant,Yes,0.03776,145,4513,0.03220,0.04332
1998,Tenant,No,0.96224,4368,4513,0.95668,0.96780
1999,Owner,Yes,0.04902,117,2859,0.04111,0.05694
1999,Owner,No,0.95098,2742,2859,0.94306,0.95889
1999,Tenant,Yes,0.04373,145,4283,0.03760,0.04985
1999,Tenant,No,0.95627,4138,4283,0.95015,0.96240
2000,Owner,Yes,0.04487,259,5825,0.03955,0.05019
2000,Owner,No,0.95513,5566,5825,0.94981,0.96045
2000,Tenant,Yes,0.03602,229,7125,0.03170,0.04035
2000,Tenant,No,0.96398,6896,7125,0.95965,0.96830
2001,Owner,Yes,0.04602,238,5265,0.04036,0.05168
2001,Owner,No,0.95398,5027,5265,0.94832,0.95964
2001,Tenant,Yes,0.03627,215,6412,0.03169,0.04084
2001,Tenant,No,0.96373,6197,6412,0.95916,0.96831
2002,Owner,Yes,0.04660,234,5844,0.04120,0.05201
2002,Owner,No,0.95340,5610,5844,0.94799,0.95880
2002,Tenant,Yes,0.03879,217,6368,0.03405,0.04353
2002,Tenant,No,0.96121,6151,6368,0.95647,0.96595
2003,Owner,Yes,0.04431,226,5659,0.03894,0.04967
2003,Owner,No,0.95569,5433,5659,0.95033,0.96106
2003,Tenant,Yes,0.04279,229,6144,0.03773,0.04785
2003,Tenant,No,0.95721,5915,6144,0.95215,0.96227
2004,Owner,Yes,0.04820,241,5561,0.04257,0.05383
2004,Owner,No,0.95180,5320,5561,0.94617,0.95743
2004,Tenant,Yes,0.04339,229,5982,0.03822,0.04855
2004,Tenant,No,0.95661,5753,5982,0.95145,0.96178
2005,Owner,Yes,0.04212,209,5385,0.03675,0.04748
2005,Owner,No,0.95788,5176,5385,0.95252,0.96325
2005,Tenant,Yes,0.04077,214,5813,0.03569,0.04585
2005,Tenant,No,0.95923,5599,5813,0.95415,0.96431
2006,Owner,Yes,0.04694,264,6003,0.04159,0.05229
2006,Owner,No,0.95306,5739,6003,0.94771,0.95841
2006,Tenant,Yes,0.04180,233,6260,0.03685,0.04676
2006,Tenant,No,0.95820,6027,6260,0.95324,0.96315
2007,Owner,Yes,0.04458,241,5620,0.03918,0.04997
2007,Owner,No,0.95542,5379,5620,0.95003,0.96082
2007,Tenant,Yes,0.04158,216,5832,0.03645,0.04670
2007,Tenant,No,0.95842,5616,5832,0.95330,0.96355
2008,Owner,Yes,0.04470,220,5378,0.03917,0.05022
2008,Owner,No,0.95530,5158,5378,0.94978,0.96083
2008,Tenant,Yes,0.03975,189,5442,0.03455,0.04494
2008,Tenant,No,0.96025,5253,5442,0.95506,0.96545
2009,Owner,Yes,0.04370,208,5063,0.03807,0.04933
2009,Owner,No,0.95630,4855,5063,0.95067,0.96193
2009,Tenant,Yes,0.04323,203,5114,0.03766,0.04880
2009,Tenant,No,0.95677,4911,5114,0.95120,0.96234
2010,Owner,Yes,0.04399,225,6331,0.03894,0.04904
2010,Owner,No,0.95601,6106,6331,0.95096,0.96106
2010,Tenant,Yes,0.03916,242,7468,0.03476,0.04356
2010,Tenant,No,0.96084,7226,7468,0.95644,0.96524
2011,Owner,Yes,0.03879,274,7721,0.03448,0.04310
2011,Owner,No,0.96121,7447,7721,0.95690,0.96552
2011,Tenant,Yes,0.03608,283,8881,0.03220,0.03996
2011,Tenant,No,0.96392,8598,8881,0.96004,0.96780
2012,Owner,Yes,0.04190,261,7596,0.03739,0.04641
2012,Owner,No,0.95810,7335,7596,0.95359,0.96261
2012,Tenant,Yes,0.03908,305,8707,0.03501,0.04315
2012,Tenant,No,0.96092,8402,8707,0.95685,0.96499
2013,Owner,Yes,0.04446,288,7708,0.03986,0.04906
2013,Owner,No,0.95554,7420,7708,0.95094,0.96014
2013,Tenant,Yes,0.03693,361,10162,0.03326,0.04059
2013,Tenant,No,0.96307,9801,10162,0.95941,0.96674
2014,Owner,Yes,0.04500,284,7051,0.04016,0.04984
2014,Owner,No,0.95500,6767,7051,0.95016,0.95984
2014,Tenant,Yes,0.03974,348,8775,0.03565,0.04382
2014,Tenant,No,0.96026,8427,8775,0.95618,0.96435
2015,Owner,Yes,0.04376,261,6739,0.03887,0.04864
2015,Owner,No,0.95624,6478,6739,0.95136,0.96113
2015,Tenant,Yes,0.03778,318,9025,0.03384,0.04171
2015,Tenant,No,0.96222,8707,9025,0.95829,0.96616
2016,Not included in this version of the questionnaire,Yes,0.05610,176,2099,0.04626,0.06595
2016,Not included in this version of the questionnaire,No,0.94390,1923,2099,0.93405,0.95374
2016,Owner,Yes,0.04889,265,6302,0.04357,0.05422
2016,Owner,No,0.95111,6037,6302,0.94578,0.95643
2016,Tenant,Yes,0.04156,314,7998,0.03718,0.04593
2016,Tenant,No,0.95844,7684,7998,0.95407,0.96282
2017,Not included in this version of the questionnaire,Yes,0.04890,51,797,0.03392,0.06389
2017,Not included in this version of the questionnaire,No,0.95110,746,797,0.93611,0.96608
2017,Owner,Yes,0.04942,294,7063,0.04437,0.05448
2017,Owner,No,0.95058,6769,7063,0.94552,0.95563
2017,Tenant,Yes,0.04202,437,10411,0.03817,0.04588
2017,Tenant,No,0.95798,9974,10411,0.95412,0.96183
2018,Owner,Yes,0.04739,279,6757,0.04232,0.05245
2018,Owner,No,0.95261,6478,6757,0.94755,0.95768
2018,Tenant,Yes,0.04733,584,11118,0.04338,0.05128
2018,Tenant,No,0.95267,10534,11118,0.94872,0.95662
2019,Owner,Yes,0.04529,312,7883,0.04070,0.04988
2019,Owner,No,0.95471,7571,7883,0.95012,0.95930
2019,Tenant,Yes,0.05063,520,10543,0.04645,0.05482
2019,Tenant,No,0.94937,10023,10543,0.94518,0.95355
2020,Owner,Yes,0.05367,294,6977,0.04839,0.05896
2020,Owner,No,0.94633,6683,6977,0.94104,0.95161
2020,Tenant,Yes,0.04750,534,12313,0.04374,0.05126
2020,Tenant,No,0.95250,11779,12313,0.94874,0.95626
2021,Owner,Yes,0.06093,243,5096,0.05436,0.06750
2021,Owner,No,0.93907,4853,5096,0.93250,0.94564
2021,Tenant,Yes,0.05393,441,7451,0.04880,0.05906
2021,Tenant,No,0.94607,7010,7451,0.94094,0.95120
2022,Owner,Yes,0.05621,349,7847,0.05111,0.06130
2022,Owner,No,0.94379,7498,7847,0.93870,0.94889
2022,Tenant,Yes,0.05469,560,12527,0.05070,0.05867
2022,Tenant,No,0.94531,11967,12527,0.94133,0.94930
