year,regtyp,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Yes,0.03985,198,5827,0.03483,0.04488
1984,No answer / don't know,West,No,0.96015,5629,5827,0.95512,0.96517
1985,Urban regions,West,Yes,0.03736,133,4194,0.03162,0.04310
1985,Urban regions,West,No,0.96264,4061,4194,0.95690,0.96838
1985,Rural regions,West,Yes,0.04853,48,1065,0.03562,0.06144
1985,Rural regions,West,No,0.95147,1017,1065,0.93856,0.96438
1986,Urban regions,West,Yes,0.03654,125,4016,0.03074,0.04235
1986,Urban regions,West,No,0.96346,3891,4016,0.95765,0.96926
1986,Rural regions,West,Yes,0.05344,47,1011,0.03957,0.06731
1986,Rural regions,West,No,0.94656,964,1011,0.93269,0.96043
1987,Urban regions,West,Yes,0.03732,120,3961,0.03142,0.04322
1987,Urban regions,West,No,0.96268,3841,3961,0.95678,0.96858
1987,Rural regions,West,Yes,0.05097,41,998,0.03732,0.06462
1987,Rural regions,West,No,0.94903,957,998,0.93538,0.96268
1988,Urban regions,West,Yes,0.03476,111,3803,0.02894,0.04058
1988,Urban regions,West,No,0.96524,3692,3803,0.95942,0.97106
1988,Rural regions,West,Yes,0.04728,38,943,0.03372,0.06083
1988,Rural regions,West,No,0.95272,905,943,0.93917,0.96628
1989,Urban regions,West,Yes,0.03000,97,3731,0.02452,0.03547
1989,Urban regions,West,No,0.97000,3634,3731,0.96453,0.97548
1989,Rural regions,West,Yes,0.04019,32,905,0.02739,0.05299
1989,Rural regions,West,No,0.95981,873,905,0.94701,0.97261
1990,Urban regions,West,Yes,0.03206,104,3657,0.02635,0.03777
1990,Urban regions,West,No,0.96794,3553,3657,0.96223,0.97365
1990,Rural regions,West,Yes,0.04196,37,921,0.02900,0.05492
1990,Rural regions,West,No,0.95804,884,921,0.94508,0.97100
1991,No answer / don't know,East,No,0.83206,39,39,0.71320,0.95091
1991,Urban regions,West,Yes,0.03547,117,3686,0.02949,0.04144
1991,Urban regions,West,No,0.96453,3569,3686,0.95856,0.97051
1991,Urban regions,East,No,0.95538,641,641,0.93939,0.97138
1991,Rural regions,West,Yes,0.06136,48,934,0.04596,0.07676
1991,Rural regions,West,No,0.93864,886,934,0.92324,0.95404
1991,Rural regions,East,Yes,0.05770,60,1277,0.04490,0.07049
1991,Rural regions,East,No,0.94230,1217,1277,0.92951,0.95510
1992,Urban regions,West,Yes,0.04261,124,3685,0.03609,0.04914
1992,Urban regions,West,No,0.95739,3561,3685,0.95086,0.96391
1992,Urban regions,East,No,0.94502,650,650,0.92749,0.96256
1992,Rural regions,West,Yes,0.06568,50,934,0.04979,0.08158
1992,Rural regions,West,No,0.93432,884,934,0.91842,0.95021
1992,Rural regions,East,Yes,0.05662,55,1212,0.04360,0.06964
1992,Rural regions,East,No,0.94338,1157,1212,0.93036,0.95640
1993,Urban regions,West,Yes,0.04047,121,3698,0.03412,0.04682
1993,Urban regions,West,No,0.95953,3577,3698,0.95318,0.96588
1993,Urban regions,East,No,0.96146,640,640,0.94653,0.97638
1993,Rural regions,West,Yes,0.07147,54,952,0.05509,0.08784
1993,Rural regions,West,No,0.92853,898,952,0.91216,0.94491
1993,Rural regions,East,Yes,0.06046,57,1215,0.04706,0.07387
1993,Rural regions,East,No,0.93954,1158,1215,0.92613,0.95294
1994,Urban regions,West,Yes,0.03958,125,3655,0.03326,0.04591
1994,Urban regions,West,No,0.96042,3530,3655,0.95409,0.96674
1994,Urban regions,East,No,0.94938,636,636,0.93233,0.96643
1994,Rural regions,West,Yes,0.06568,52,963,0.05003,0.08134
1994,Rural regions,West,No,0.93432,911,963,0.91866,0.94997
1994,Rural regions,East,Yes,0.05788,53,1196,0.04464,0.07112
1994,Rural regions,East,No,0.94212,1143,1196,0.92888,0.95536
1995,Urban regions,West,Yes,0.04569,138,3821,0.03907,0.05231
1995,Urban regions,West,No,0.95431,3683,3821,0.94769,0.96093
1995,Urban regions,East,No,0.93730,595,595,0.91781,0.95680
1995,Rural regions,West,Yes,0.05607,48,1024,0.04198,0.07017
1995,Rural regions,West,No,0.94393,976,1024,0.92983,0.95802
1995,Rural regions,East,Yes,0.05363,53,1197,0.04087,0.06640
1995,Rural regions,East,No,0.94637,1144,1197,0.93360,0.95913
1996,Urban regions,West,Yes,0.04124,137,3754,0.03487,0.04760
1996,Urban regions,West,No,0.95876,3617,3754,0.95240,0.96513
1996,Urban regions,East,No,0.95111,615,615,0.93406,0.96817
1996,Rural regions,West,Yes,0.04722,39,1017,0.03418,0.06027
1996,Rural regions,West,No,0.95278,978,1017,0.93973,0.96582
1996,Rural regions,East,Yes,0.04905,51,1195,0.03680,0.06131
1996,Rural regions,East,No,0.95095,1144,1195,0.93869,0.96320
1997,Urban regions,West,Yes,0.03756,123,3704,0.03143,0.04368
1997,Urban regions,West,No,0.96244,3581,3704,0.95632,0.96857
1997,Urban regions,East,No,0.95796,609,609,0.94201,0.97391
1997,Rural regions,West,Yes,0.05147,39,1006,0.03781,0.06513
1997,Rural regions,West,No,0.94853,967,1006,0.93487,0.96219
1997,Rural regions,East,Yes,0.05976,55,1190,0.04629,0.07324
1997,Rural regions,East,No,0.94024,1135,1190,0.92676,0.95371
1998,Urban regions,West,Yes,0.03769,147,4270,0.03197,0.04340
1998,Urban regions,West,No,0.96231,4123,4270,0.95660,0.96803
1998,Urban regions,East,No,0.95854,629,629,0.94295,0.97413
1998,Rural regions,West,Yes,0.04822,45,1183,0.03601,0.06044
1998,Rural regions,West,No,0.95178,1138,1183,0.93956,0.96399
1998,Rural regions,East,Yes,0.05045,52,1310,0.03859,0.06231
1998,Rural regions,East,No,0.94955,1258,1310,0.93769,0.96141
1999,Urban regions,West,Yes,0.04435,148,4074,0.03803,0.05067
1999,Urban regions,West,No,0.95565,3926,4074,0.94933,0.96197
1999,Urban regions,East,No,0.96272,624,624,0.94784,0.97760
1999,Rural regions,West,Yes,0.05282,45,1138,0.03982,0.06582
1999,Rural regions,West,No,0.94718,1093,1138,0.93418,0.96018
1999,Rural regions,East,Yes,0.04831,50,1287,0.03659,0.06003
1999,Rural regions,East,No,0.95169,1237,1287,0.93997,0.96341
2000,Urban regions,West,Yes,0.03798,271,7592,0.03368,0.04228
2000,Urban regions,West,No,0.96202,7321,7592,0.95772,0.96632
2000,Urban regions,East,Yes,0.03983,38,1007,0.02774,0.05191
2000,Urban regions,East,No,0.96017,969,1007,0.94809,0.97226
2000,Rural regions,West,Yes,0.04134,92,2284,0.03318,0.04951
2000,Rural regions,West,No,0.95866,2192,2284,0.95049,0.96682
2000,Rural regions,East,Yes,0.04614,87,2067,0.03709,0.05519
2000,Rural regions,East,No,0.95386,1980,2067,0.94481,0.96291
2001,Urban regions,West,Yes,0.03702,247,6825,0.03254,0.04150
2001,Urban regions,West,No,0.96298,6578,6825,0.95850,0.96746
2001,Urban regions,East,Yes,0.04609,40,955,0.03278,0.05939
2001,Urban regions,East,No,0.95391,915,955,0.94061,0.96722
2001,Rural regions,West,Yes,0.04483,89,2009,0.03578,0.05388
2001,Rural regions,West,No,0.95517,1920,2009,0.94612,0.96422
2001,Rural regions,East,Yes,0.04818,77,1888,0.03852,0.05785
2001,Rural regions,East,No,0.95182,1811,1888,0.94215,0.96148
2002,Urban regions,West,Yes,0.03821,244,7291,0.03381,0.04261
2002,Urban regions,West,No,0.96179,7047,7291,0.95739,0.96619
2002,Urban regions,East,Yes,0.04880,41,961,0.03517,0.06243
2002,Urban regions,East,No,0.95120,920,961,0.93757,0.96483
2002,Rural regions,West,Yes,0.04559,85,2079,0.03662,0.05455
2002,Rural regions,West,No,0.95441,1994,2079,0.94545,0.96338
2002,Rural regions,East,Yes,0.05370,81,1881,0.04351,0.06388
2002,Rural regions,East,No,0.94630,1800,1881,0.93612,0.95649
2003,Urban regions,West,Yes,0.03878,241,7024,0.03427,0.04330
2003,Urban regions,West,No,0.96122,6783,7024,0.95670,0.96573
2003,Urban regions,East,Yes,0.04034,36,958,0.02787,0.05280
2003,Urban regions,East,No,0.95966,922,958,0.94720,0.97213
2003,Rural regions,West,Yes,0.04955,88,1974,0.03998,0.05913
2003,Rural regions,West,No,0.95045,1886,1974,0.94087,0.96002
2003,Rural regions,East,Yes,0.05999,90,1847,0.04916,0.07083
2003,Rural regions,East,No,0.94001,1757,1847,0.92917,0.95084
2004,Urban regions,West,Yes,0.04032,246,6830,0.03566,0.04499
2004,Urban regions,West,No,0.95968,6584,6830,0.95501,0.96434
2004,Urban regions,East,Yes,0.05428,44,955,0.03990,0.06866
2004,Urban regions,East,No,0.94572,911,955,0.93134,0.96010
2004,Rural regions,West,Yes,0.05042,91,1952,0.04071,0.06013
2004,Rural regions,West,No,0.94958,1861,1952,0.93987,0.95929
2004,Rural regions,East,Yes,0.05958,89,1806,0.04866,0.07050
2004,Rural regions,East,No,0.94042,1717,1806,0.92950,0.95134
2005,Urban regions,West,Yes,0.03821,230,6613,0.03359,0.04283
2005,Urban regions,West,No,0.96179,6383,6613,0.95717,0.96641
2005,Urban regions,East,Yes,0.05349,44,940,0.03910,0.06788
2005,Urban regions,East,No,0.94651,896,940,0.93212,0.96090
2005,Rural regions,West,Yes,0.04365,78,1894,0.03445,0.05286
2005,Rural regions,West,No,0.95635,1816,1894,0.94714,0.96555
2005,Rural regions,East,Yes,0.04727,71,1752,0.03733,0.05721
2005,Rural regions,East,No,0.95273,1681,1752,0.94279,0.96267
2006,Urban regions,West,Yes,0.04006,257,7176,0.03553,0.04460
2006,Urban regions,West,No,0.95994,6919,7176,0.95540,0.96447
2006,Urban regions,East,Yes,0.04782,48,992,0.03453,0.06111
2006,Urban regions,East,No,0.95218,944,992,0.93889,0.96547
2006,Rural regions,West,Yes,0.04824,100,2161,0.03920,0.05727
2006,Rural regions,West,No,0.95176,2061,2161,0.94273,0.96080
2006,Rural regions,East,Yes,0.05483,92,1936,0.04469,0.06498
2006,Rural regions,East,No,0.94517,1844,1936,0.93502,0.95531
2007,Urban regions,West,Yes,0.04052,242,6665,0.03579,0.04526
2007,Urban regions,West,No,0.95948,6423,6665,0.95474,0.96421
2007,Urban regions,East,Yes,0.05930,45,943,0.04422,0.07439
2007,Urban regions,East,No,0.94070,898,943,0.92561,0.95578
2007,Rural regions,West,Yes,0.04279,87,2027,0.03398,0.05160
2007,Rural regions,West,No,0.95721,1940,2027,0.94840,0.96602
2007,Rural regions,East,Yes,0.04605,83,1817,0.03641,0.05569
2007,Rural regions,East,No,0.95395,1734,1817,0.94431,0.96359
2008,Urban regions,West,Yes,0.04105,224,6261,0.03613,0.04596
2008,Urban regions,West,No,0.95895,6037,6261,0.95404,0.96387
2008,Urban regions,East,Yes,0.04885,40,928,0.03497,0.06272
2008,Urban regions,East,No,0.95115,888,928,0.93728,0.96503
2008,Rural regions,West,Yes,0.04053,75,1909,0.03168,0.04938
2008,Rural regions,West,No,0.95947,1834,1909,0.95062,0.96832
2008,Rural regions,East,Yes,0.04469,70,1722,0.03493,0.05446
2008,Rural regions,East,No,0.95531,1652,1722,0.94554,0.96507
2009,Urban regions,West,Yes,0.04198,220,5801,0.03681,0.04714
2009,Urban regions,West,No,0.95802,5581,5801,0.95286,0.96319
2009,Urban regions,East,Yes,0.05518,40,898,0.04024,0.07013
2009,Urban regions,East,No,0.94482,858,898,0.92987,0.95976
2009,Rural regions,West,Yes,0.04223,78,1821,0.03299,0.05147
2009,Rural regions,West,No,0.95777,1743,1821,0.94853,0.96701
2009,Rural regions,East,Yes,0.04629,73,1657,0.03617,0.05641
2009,Rural regions,East,No,0.95371,1584,1657,0.94359,0.96383
2010,Urban regions,West,Yes,0.04098,244,7966,0.03662,0.04533
2010,Urban regions,West,No,0.95902,7722,7966,0.95467,0.96338
2010,Urban regions,East,Yes,0.03431,32,1121,0.02365,0.04497
2010,Urban regions,East,No,0.96569,1089,1121,0.95503,0.97635
2010,Rural regions,West,Yes,0.04460,109,2673,0.03678,0.05243
2010,Rural regions,West,No,0.95540,2564,2673,0.94757,0.96322
2010,Rural regions,East,Yes,0.04211,82,2039,0.03339,0.05083
2010,Rural regions,East,No,0.95789,1957,2039,0.94917,0.96661
2011,Urban regions,West,Yes,0.03541,280,9420,0.03168,0.03914
2011,Urban regions,West,No,0.96459,9140,9420,0.96086,0.96832
2011,Urban regions,East,Yes,0.04004,48,1336,0.02952,0.05055
2011,Urban regions,East,No,0.95996,1288,1336,0.94945,0.97048
2011,Rural regions,West,Yes,0.03907,130,3438,0.03259,0.04554
2011,Rural regions,West,No,0.96093,3308,3438,0.95446,0.96741
2011,Rural regions,East,Yes,0.04284,99,2408,0.03475,0.05093
2011,Rural regions,East,No,0.95716,2309,2408,0.94907,0.96525
