year,regtyp,sampreg,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Urban regions,West,Yes,0.07197,426,6879,0.06586,0.07808
2006,Urban regions,West,No,0.92803,6453,6879,0.92192,0.93414
2006,Urban regions,East,Yes,0.16313,142,949,0.13961,0.18665
2006,Urban regions,East,No,0.83687,807,949,0.81335,0.86039
2006,Rural regions,West,Yes,0.07095,133,2081,0.05991,0.08198
2006,Rural regions,West,No,0.92905,1948,2081,0.91802,0.94009
2006,Rural regions,East,Yes,0.15776,284,1821,0.14102,0.17451
2006,Rural regions,East,No,0.84224,1537,1821,0.82549,0.85898
2007,Urban regions,West,Yes,0.08467,466,6396,0.07785,0.09150
2007,Urban regions,West,No,0.91533,5930,6396,0.90850,0.92215
2007,Urban regions,East,Yes,0.17215,151,903,0.14751,0.19678
2007,Urban regions,East,No,0.82785,752,903,0.80322,0.85249
2007,Rural regions,West,Yes,0.08706,154,1937,0.07450,0.09961
2007,Rural regions,West,No,0.91294,1783,1937,0.90039,0.92550
2007,Rural regions,East,Yes,0.18062,307,1734,0.16251,0.19873
2007,Rural regions,East,No,0.81938,1427,1734,0.80127,0.83749
2008,Urban regions,West,Yes,0.07641,385,5982,0.06968,0.08315
2008,Urban regions,West,No,0.92359,5597,5982,0.91685,0.93032
2008,Urban regions,East,Yes,0.16596,131,882,0.14140,0.19053
2008,Urban regions,East,No,0.83404,751,882,0.80947,0.85860
2008,Rural regions,West,Yes,0.07871,124,1797,0.06625,0.09116
2008,Rural regions,West,No,0.92129,1673,1797,0.90884,0.93375
2008,Rural regions,East,Yes,0.18292,280,1650,0.16426,0.20158
2008,Rural regions,East,No,0.81708,1370,1650,0.79842,0.83574
2009,Urban regions,West,Yes,0.06947,345,5798,0.06293,0.07602
2009,Urban regions,West,No,0.93053,5453,5798,0.92398,0.93707
2009,Urban regions,East,Yes,0.15420,120,898,0.13056,0.17783
2009,Urban regions,East,No,0.84580,778,898,0.82217,0.86944
2009,Rural regions,West,Yes,0.05810,107,1819,0.04735,0.06886
2009,Rural regions,West,No,0.94190,1712,1819,0.93114,0.95265
2009,Rural regions,East,Yes,0.16122,238,1657,0.14350,0.17893
2009,Rural regions,East,No,0.83878,1419,1657,0.82107,0.85650
2010,Urban regions,West,Yes,0.07160,836,7966,0.06594,0.07727
2010,Urban regions,West,No,0.92840,7130,7966,0.92273,0.93406
2010,Urban regions,East,Yes,0.12638,192,1119,0.10690,0.14585
2010,Urban regions,East,No,0.87362,927,1119,0.85415,0.89310
2010,Rural regions,West,Yes,0.05909,280,2672,0.05015,0.06803
2010,Rural regions,West,No,0.94091,2392,2672,0.93197,0.94985
2010,Rural regions,East,Yes,0.15164,397,2039,0.13607,0.16721
2010,Rural regions,East,No,0.84836,1642,2039,0.83279,0.86393
2011,Urban regions,West,Yes,0.07197,953,9278,0.06671,0.07723
2011,Urban regions,West,No,0.92803,8325,9278,0.92277,0.93329
2011,Urban regions,East,Yes,0.13667,236,1309,0.11806,0.15529
2011,Urban regions,East,No,0.86333,1073,1309,0.84471,0.88194
2011,Rural regions,West,Yes,0.06381,343,3386,0.05558,0.07204
2011,Rural regions,West,No,0.93619,3043,3386,0.92796,0.94442
2011,Rural regions,East,Yes,0.15546,469,2361,0.14084,0.17008
2011,Rural regions,East,No,0.84454,1892,2361,0.82992,0.85916
2012,Urban regions,West,Yes,0.06984,878,8993,0.06457,0.07511
2012,Urban regions,West,No,0.93016,8115,8993,0.92489,0.93543
2012,Urban regions,East,Yes,0.13522,223,1274,0.11643,0.15400
2012,Urban regions,East,No,0.86478,1051,1274,0.84600,0.88357
2012,Rural regions,West,Yes,0.05798,298,3396,0.05012,0.06584
2012,Rural regions,West,No,0.94202,3098,3396,0.93416,0.94988
2012,Rural regions,East,Yes,0.15989,467,2356,0.14508,0.17469
2012,Rural regions,East,No,0.84011,1889,2356,0.82531,0.85492
2013,Urban regions,West,Yes,0.07598,1183,10369,0.07088,0.08108
2013,Urban regions,West,No,0.92402,9186,10369,0.91892,0.92912
2013,Urban regions,East,Yes,0.12696,225,1288,0.10877,0.14515
2013,Urban regions,East,No,0.87304,1063,1288,0.85485,0.89123
2013,Rural regions,West,Yes,0.06768,354,3610,0.05948,0.07587
2013,Rural regions,West,No,0.93232,3256,3610,0.92413,0.94052
2013,Rural regions,East,Yes,0.14773,431,2284,0.13317,0.16228
2013,Rural regions,East,No,0.85227,1853,2284,0.83772,0.86683
2014,Urban regions,West,Yes,0.07639,1007,9099,0.07094,0.08185
2014,Urban regions,West,No,0.92361,8092,9099,0.91815,0.92906
2014,Urban regions,East,Yes,0.12110,186,1212,0.10272,0.13947
2014,Urban regions,East,No,0.87890,1026,1212,0.86053,0.89728
2014,Rural regions,West,Yes,0.07377,312,3228,0.06475,0.08278
2014,Rural regions,West,No,0.92623,2916,3228,0.91722,0.93525
2014,Rural regions,East,Yes,0.14032,357,2140,0.12560,0.15504
2014,Rural regions,East,No,0.85968,1783,2140,0.84496,0.87440
2015,Urban regions,West,Yes,0.08015,1011,8999,0.07454,0.08576
2015,Urban regions,West,No,0.91985,7988,8999,0.91424,0.92546
2015,Urban regions,East,Yes,0.13049,191,1182,0.11128,0.14971
2015,Urban regions,East,No,0.86951,991,1182,0.85029,0.88872
2015,Rural regions,West,Yes,0.06238,314,3221,0.05403,0.07074
2015,Rural regions,West,No,0.93762,2907,3221,0.92926,0.94597
2015,Rural regions,East,Yes,0.14807,337,2018,0.13257,0.16357
2015,Rural regions,East,No,0.85193,1681,2018,0.83643,0.86743
2016,Urban regions,West,Yes,0.07745,869,8165,0.07165,0.08325
2016,Urban regions,West,No,0.92255,7296,8165,0.91675,0.92835
2016,Urban regions,East,Yes,0.12744,167,1108,0.10780,0.14709
2016,Urban regions,East,No,0.87256,941,1108,0.85291,0.89220
2016,Rural regions,West,Yes,0.06130,270,2918,0.05259,0.07000
2016,Rural regions,West,No,0.93870,2648,2918,0.93000,0.94741
2016,Rural regions,East,Yes,0.13477,294,1917,0.11948,0.15006
2016,Rural regions,East,No,0.86523,1623,1917,0.84994,0.88052
2017,Urban regions,West,Yes,0.07486,1266,9917,0.06968,0.08004
2017,Urban regions,West,No,0.92514,8651,9917,0.91996,0.93032
2017,Urban regions,East,Yes,0.10607,204,1334,0.08954,0.12260
2017,Urban regions,East,No,0.89393,1130,1334,0.87740,0.91046
2017,Rural regions,West,Yes,0.05775,380,3522,0.05004,0.06546
2017,Rural regions,West,No,0.94225,3142,3522,0.93454,0.94996
2017,Rural regions,East,Yes,0.12214,338,2307,0.10878,0.13551
2017,Rural regions,East,No,0.87786,1969,2307,0.86449,0.89122
2018,Urban regions,West,Yes,0.07094,1758,10430,0.06601,0.07587
2018,Urban regions,West,No,0.92906,8672,10430,0.92413,0.93399
2018,Urban regions,East,Yes,0.09951,251,1402,0.08383,0.11518
2018,Urban regions,East,No,0.90049,1151,1402,0.88482,0.91617
2018,Rural regions,West,Yes,0.06703,507,3546,0.05879,0.07526
2018,Rural regions,West,No,0.93297,3039,3546,0.92474,0.94121
2018,Rural regions,East,Yes,0.11186,433,2334,0.09907,0.12465
2018,Rural regions,East,No,0.88814,1901,2334,0.87535,0.90093
2019,No answer / don't know,Does not apply,No,0.86185,56,56,0.77065,0.95304
2019,No answer / don't know,West,No,0.93986,319,319,0.91373,0.96599
2019,No answer / don't know,East,No,0.92938,59,59,0.86344,0.99531
2019,Urban regions,West,Yes,0.06618,1681,10489,0.06142,0.07094
2019,Urban regions,West,No,0.93382,8808,10489,0.92906,0.93858
2019,Urban regions,East,Yes,0.09082,234,1413,0.07583,0.10580
2019,Urban regions,East,No,0.90918,1179,1413,0.89420,0.92417
2019,Rural regions,West,Yes,0.06133,520,3531,0.05342,0.06925
2019,Rural regions,West,No,0.93867,3011,3531,0.93075,0.94658
2019,Rural regions,East,Yes,0.10640,358,2390,0.09404,0.11877
2019,Rural regions,East,No,0.89360,2032,2390,0.88123,0.90596
2020,Urban regions,West,Yes,0.06346,2042,11686,0.05904,0.06788
2020,Urban regions,West,No,0.93654,9644,11686,0.93212,0.94096
