year,quintil_oecd_hh,rentown,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,Owner,Yes,0.12261,49,332,0.08727,0.15794
2006,1st Quintile,Owner,No,0.87739,283,332,0.84206,0.91273
2006,1st Quintile,Tenant,Yes,0.33079,588,1659,0.30814,0.35344
2006,1st Quintile,Tenant,No,0.66921,1071,1659,0.64656,0.69186
2006,2nd Quintile,Owner,Yes,0.03426,37,772,0.02142,0.04710
2006,2nd Quintile,Owner,No,0.96574,735,772,0.95290,0.97858
2006,2nd Quintile,Tenant,Yes,0.09500,138,1353,0.07937,0.11063
2006,2nd Quintile,Tenant,No,0.90500,1215,1353,0.88937,0.92063
2006,3rd Quintile,Owner,Yes,0.02165,34,1134,0.01317,0.03012
2006,3rd Quintile,Owner,No,0.97835,1100,1134,0.96988,0.98683
2006,3rd Quintile,Tenant,Yes,0.04736,56,1145,0.03505,0.05967
2006,3rd Quintile,Tenant,No,0.95264,1089,1145,0.94033,0.96495
2006,4th Quintile,Owner,No,0.98345,1372,1372,0.97670,0.99021
2006,4th Quintile,Tenant,No,0.96901,944,944,0.95795,0.98007
2006,5th Quintile,Owner,No,0.99055,2069,2069,0.98638,0.99472
2006,5th Quintile,Tenant,No,0.98924,861,861,0.98234,0.99613
2007,1st Quintile,Owner,Yes,0.11055,48,319,0.07609,0.14502
2007,1st Quintile,Owner,No,0.88945,271,319,0.85498,0.92391
2007,1st Quintile,Tenant,Yes,0.36310,591,1552,0.33917,0.38704
2007,1st Quintile,Tenant,No,0.63690,961,1552,0.61296,0.66083
2007,2nd Quintile,Owner,Yes,0.03818,46,700,0.02397,0.05238
2007,2nd Quintile,Owner,No,0.96182,654,700,0.94762,0.97603
2007,2nd Quintile,Tenant,Yes,0.12614,167,1304,0.10811,0.14417
2007,2nd Quintile,Tenant,No,0.87386,1137,1304,0.85583,0.89189
2007,3rd Quintile,Owner,Yes,0.02075,34,1067,0.01219,0.02931
2007,3rd Quintile,Owner,No,0.97925,1033,1067,0.97069,0.98781
2007,3rd Quintile,Tenant,Yes,0.07457,78,1050,0.05867,0.09047
2007,3rd Quintile,Tenant,No,0.92543,972,1050,0.90953,0.94133
2007,4th Quintile,Owner,No,0.98172,1305,1305,0.97445,0.98899
2007,4th Quintile,Tenant,Yes,0.03987,38,908,0.02713,0.05260
