year,bula_h,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Schleswig-Holstein,Yes,0.09823,37,373,0.06799,0.12848
2006,Schleswig-Holstein,No,0.90177,336,373,0.87152,0.93201
2006,Hamburg,No,0.93741,174,174,0.90132,0.97351
2006,Lower Saxony,Yes,0.06970,70,1033,0.05417,0.08524
2006,Lower Saxony,No,0.93030,963,1033,0.91476,0.94583
2006,Bremen,No,0.96212,82,82,0.92054,1.00369
2006,North Rhine-Westphalia,Yes,0.08902,177,2457,0.07776,0.10028
2006,North Rhine-Westphalia,No,0.91098,2280,2457,0.89972,0.92224
2006,Hesse,Yes,0.04278,32,803,0.02878,0.05679
2006,Hesse,No,0.95722,771,803,0.94321,0.97122
2006,"Rhineland-Palatinate, Saarland",Yes,0.08503,55,693,0.06425,0.10581
2006,"Rhineland-Palatinate, Saarland",No,0.91497,638,693,0.89419,0.93575
2006,Baden-Wuerttemberg,Yes,0.04527,57,1403,0.03439,0.05615
2006,Baden-Wuerttemberg,No,0.95473,1346,1403,0.94385,0.96561
2006,Bavaria,Yes,0.05895,77,1665,0.04763,0.07027
2006,Bavaria,No,0.94105,1588,1665,0.92973,0.95237
2006,Berlin,Yes,0.15548,70,456,0.12218,0.18878
2006,Berlin,No,0.84452,386,456,0.81122,0.87782
2006,Brandenburg,Yes,0.16700,81,497,0.13417,0.19982
2006,Brandenburg,No,0.83300,416,497,0.80018,0.86583
2006,Mecklenburg-Western Pomerania,Yes,0.16433,45,291,0.12168,0.20698
2006,Mecklenburg-Western Pomerania,No,0.83567,246,291,0.79302,0.87832
2006,Saxony,Yes,0.15581,114,827,0.13108,0.18055
2006,Saxony,No,0.84419,713,827,0.81945,0.86892
2006,Saxony-Anhalt,Yes,0.17567,78,472,0.14131,0.21004
2006,Saxony-Anhalt,No,0.82433,394,472,0.78996,0.85869
2006,Thuringa,Yes,0.14338,75,487,0.11222,0.17454
2006,Thuringa,No,0.85662,412,487,0.82546,0.88778
2007,Schleswig-Holstein,Yes,0.10126,36,347,0.06948,0.13305
2007,Schleswig-Holstein,No,0.89874,311,347,0.86695,0.93052
2007,Hamburg,No,0.92032,169,169,0.87937,0.96127
2007,Lower Saxony,Yes,0.09394,89,973,0.07560,0.11228
2007,Lower Saxony,No,0.90606,884,973,0.88772,0.92440
2007,Bremen,No,0.92634,77,77,0.86761,0.98507
2007,North Rhine-Westphalia,Yes,0.09673,193,2259,0.08454,0.10893
2007,North Rhine-Westphalia,No,0.90327,2066,2259,0.89107,0.91546
2007,Hesse,Yes,0.07101,42,738,0.05247,0.08956
2007,Hesse,No,0.92899,696,738,0.91044,0.94753
2007,"Rhineland-Palatinate, Saarland",Yes,0.10675,55,640,0.08281,0.13069
2007,"Rhineland-Palatinate, Saarland",No,0.89325,585,640,0.86931,0.91719
2007,Baden-Wuerttemberg,Yes,0.05205,66,1306,0.04000,0.06410
