year,quintil_oecd_hh,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,1st Quintile,Yes,0.29991,637,1991,0.27978,0.32005
2006,1st Quintile,No,0.70009,1354,1991,0.67995,0.72022
2006,2nd Quintile,Yes,0.07575,175,2125,0.06450,0.08700
2006,2nd Quintile,No,0.92425,1950,2125,0.91300,0.93550
2006,3rd Quintile,Yes,0.03575,90,2280,0.02813,0.04337
2006,3rd Quintile,No,0.96425,2190,2280,0.95663,0.97187
2006,4th Quintile,Yes,0.02340,52,2368,0.01731,0.02948
2006,4th Quintile,No,0.97660,2316,2368,0.97052,0.98269
2006,5th Quintile,Yes,0.00994,31,2962,0.00637,0.01351
2006,5th Quintile,No,0.99006,2931,2962,0.98649,0.99363
2007,1st Quintile,Yes,0.32196,639,1871,0.30078,0.34313
2007,1st Quintile,No,0.67804,1232,1871,0.65687,0.69922
2007,2nd Quintile,Yes,0.09819,213,2004,0.08516,0.11122
2007,2nd Quintile,No,0.90181,1791,2004,0.88878,0.91484
2007,3rd Quintile,Yes,0.04963,112,2117,0.04038,0.05889
2007,3rd Quintile,No,0.95037,2005,2117,0.94111,0.95962
2007,4th Quintile,Yes,0.02839,64,2239,0.02151,0.03527
2007,4th Quintile,No,0.97161,2175,2239,0.96473,0.97849
2007,5th Quintile,Yes,0.01781,50,2736,0.01285,0.02277
2007,5th Quintile,No,0.98219,2686,2736,0.97723,0.98715
2008,1st Quintile,Yes,0.30662,569,1787,0.28523,0.32800
2008,1st Quintile,No,0.69338,1218,1787,0.67200,0.71477
2008,2nd Quintile,Yes,0.08601,167,1874,0.07331,0.09871
2008,2nd Quintile,No,0.91399,1707,1874,0.90129,0.92669
2008,3rd Quintile,Yes,0.04243,86,2048,0.03370,0.05116
2008,3rd Quintile,No,0.95757,1962,2048,0.94884,0.96630
2008,4th Quintile,Yes,0.03210,68,2016,0.02440,0.03979
2008,4th Quintile,No,0.96790,1948,2016,0.96021,0.97560
2008,5th Quintile,No,0.98774,2554,2554,0.98347,0.99201
2009,1st Quintile,Yes,0.27328,515,1792,0.25264,0.29392
2009,1st Quintile,No,0.72672,1277,1792,0.70608,0.74736
2009,2nd Quintile,Yes,0.08248,159,1885,0.07006,0.09490
2009,2nd Quintile,No,0.91752,1726,1885,0.90510,0.92994
2009,3rd Quintile,Yes,0.02968,65,1949,0.02215,0.03722
2009,3rd Quintile,No,0.97032,1884,1949,0.96278,0.97785
2009,4th Quintile,Yes,0.02258,44,2061,0.01617,0.02900
2009,4th Quintile,No,0.97742,2017,2061,0.97100,0.98383
2009,5th Quintile,No,0.98752,2455,2455,0.98313,0.99191
2010,1st Quintile,Yes,0.27914,1242,3146,0.26346,0.29482
2010,1st Quintile,No,0.72086,1904,3146,0.70518,0.73654
2010,2nd Quintile,Yes,0.08089,315,2919,0.07100,0.09078
2010,2nd Quintile,No,0.91911,2604,2919,0.90922,0.92900
2010,3rd Quintile,Yes,0.02562,87,2557,0.01950,0.03175
2010,3rd Quintile,No,0.97438,2470,2557,0.96825,0.98050
2010,4th Quintile,Yes,0.01551,40,2457,0.01062,0.02040
2010,4th Quintile,No,0.98449,2417,2457,0.97960,0.98938
2010,5th Quintile,No,0.99042,2692,2692,0.98675,0.99410
2011,1st Quintile,Yes,0.29331,1434,3673,0.27858,0.30804
2011,1st Quintile,No,0.70669,2239,3673,0.69196,0.72142
2011,2nd Quintile,Yes,0.06709,350,3366,0.05864,0.07554
2011,2nd Quintile,No,0.93291,3016,3366,0.92446,0.94136
2011,3rd Quintile,Yes,0.03348,128,3164,0.02721,0.03975
2011,3rd Quintile,No,0.96652,3036,3164,0.96025,0.97279
2011,4th Quintile,Yes,0.01688,53,3004,0.01227,0.02149
2011,4th Quintile,No,0.98312,2951,3004,0.97851,0.98773
2011,5th Quintile,Yes,0.00977,36,3124,0.00632,0.01322
2011,5th Quintile,No,0.99023,3088,3124,0.98678,0.99368
2012,1st Quintile,Yes,0.28302,1324,3552,0.26821,0.29784
2012,1st Quintile,No,0.71698,2228,3552,0.70216,0.73179
2012,2nd Quintile,Yes,0.07253,325,3261,0.06363,0.08143
2012,2nd Quintile,No,0.92747,2936,3261,0.91857,0.93637
2012,3rd Quintile,Yes,0.03324,129,3138,0.02696,0.03951
2012,3rd Quintile,No,0.96676,3009,3138,0.96049,0.97304
2012,4th Quintile,Yes,0.01536,60,2961,0.01093,0.01979
2012,4th Quintile,No,0.98464,2901,2961,0.98021,0.98907
2012,5th Quintile,No,0.99316,3073,3073,0.99024,0.99607
2013,1st Quintile,Yes,0.30200,1576,4190,0.28810,0.31590
2013,1st Quintile,No,0.69800,2614,4190,0.68410,0.71190
2013,2nd Quintile,Yes,0.07143,399,3793,0.06323,0.07962
2013,2nd Quintile,No,0.92857,3394,3793,0.92038,0.93677
2013,3rd Quintile,Yes,0.03137,139,3319,0.02544,0.03730
2013,3rd Quintile,No,0.96863,3180,3319,0.96270,0.97456
2013,4th Quintile,Yes,0.01343,52,3052,0.00935,0.01752
2013,4th Quintile,No,0.98657,3000,3052,0.98248,0.99065
2013,5th Quintile,No,0.98732,3162,3162,0.98342,0.99122
2014,1st Quintile,Yes,0.29829,1324,3426,0.28297,0.31361
2014,1st Quintile,No,0.70171,2102,3426,0.68639,0.71703
2014,2nd Quintile,Yes,0.08256,354,3287,0.07315,0.09197
2014,2nd Quintile,No,0.91744,2933,3287,0.90803,0.92685
2014,3rd Quintile,Yes,0.02544,109,3084,0.01989,0.03100
2014,3rd Quintile,No,0.97456,2975,3084,0.96900,0.98011
2014,4th Quintile,Yes,0.01869,51,2890,0.01375,0.02363
2014,4th Quintile,No,0.98131,2839,2890,0.97637,0.98625
2014,5th Quintile,No,0.99241,2964,2964,0.98929,0.99554
2015,1st Quintile,Yes,0.30527,1343,3505,0.29002,0.32052
2015,1st Quintile,No,0.69473,2162,3505,0.67948,0.70998
2015,2nd Quintile,Yes,0.07344,320,3300,0.06453,0.08234
2015,2nd Quintile,No,0.92656,2980,3300,0.91766,0.93547
2015,3rd Quintile,Yes,0.02661,106,2945,0.02080,0.03243
2015,3rd Quintile,No,0.97339,2839,2945,0.96757,0.97920
2015,4th Quintile,Yes,0.02124,54,2753,0.01585,0.02663
2015,4th Quintile,No,0.97876,2699,2753,0.97337,0.98415
2015,5th Quintile,No,0.98998,2881,2881,0.98634,0.99362
2016,1st Quintile,Yes,0.31087,1182,3075,0.29451,0.32724
2016,1st Quintile,No,0.68913,1893,3075,0.67276,0.70549
2016,2nd Quintile,Yes,0.06756,275,3003,0.05859,0.07654
2016,2nd Quintile,No,0.93244,2728,3003,0.92346,0.94141
2016,3rd Quintile,Yes,0.02644,81,2698,0.02038,0.03249
2016,3rd Quintile,No,0.97356,2617,2698,0.96751,0.97962
2016,4th Quintile,Yes,0.01419,47,2619,0.00966,0.01873
2016,4th Quintile,No,0.98581,2572,2619,0.98127,0.99034
