year,migback,ple0012,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.06466,1171,15653,0.06080,0.06851
2009,No migration background,No,0.79231,14482,15653,0.78596,0.79867
2009,Direct migration background,Yes,0.06716,120,1659,0.05511,0.07921
2009,Direct migration background,No,0.90882,1539,1659,0.89496,0.92267
2009,Indirect migration background,No,0.52136,699,699,0.48430,0.55842
2011,No migration background,Yes,0.06669,1484,17940,0.06303,0.07034
2011,No migration background,No,0.72513,16456,17940,0.71859,0.73166
2011,Direct migration background,Yes,0.07215,160,2015,0.06085,0.08345
2011,Direct migration background,No,0.75717,1855,2015,0.73844,0.77589
2011,Indirect migration background,No,0.38979,778,778,0.35550,0.42408
2013,No migration background,Yes,0.07218,1517,16436,0.06822,0.07614
2013,No migration background,No,0.71933,14919,16436,0.71246,0.72620
2013,Direct migration background,Yes,0.05363,153,1730,0.04301,0.06425
2013,Direct migration background,No,0.44971,1577,1730,0.42626,0.47316
2013,Indirect migration background,No,0.23588,683,683,0.20401,0.26774
2015,No migration background,Yes,0.07639,1527,19063,0.07262,0.08016
2015,No migration background,No,0.78387,17536,19063,0.77803,0.78971
2015,Direct migration background,Yes,0.06083,260,4415,0.05377,0.06788
2015,Direct migration background,No,0.77540,4155,4415,0.76309,0.78771
2015,Indirect migration background,Yes,0.01237,42,1562,0.00688,0.01785
2015,Indirect migration background,No,0.46963,1520,1562,0.44487,0.49439
2017,No migration background,Yes,0.07696,1600,20158,0.07328,0.08064
2017,No migration background,No,0.78315,18558,20158,0.77746,0.78884
2017,Direct migration background,Yes,0.07175,296,4754,0.06442,0.07909
2017,Direct migration background,No,0.83248,4458,4754,0.82187,0.84310
2017,Indirect migration background,Yes,0.01092,44,1637,0.00588,0.01596
2017,Indirect migration background,No,0.49644,1593,1637,0.47222,0.52067
2019,No migration background,Yes,0.07527,1599,20183,0.07163,0.07891
2019,No migration background,No,0.78346,18584,20183,0.77777,0.78914
2019,Direct migration background,Yes,0.08238,275,3963,0.07382,0.09095
2019,Direct migration background,No,0.81753,3688,3963,0.80550,0.82956
2019,Indirect migration background,Yes,0.01887,59,1579,0.01216,0.02558
2019,Indirect migration background,No,0.49437,1520,1579,0.46970,0.51904
2021,No migration background,Yes,0.07205,1105,13108,0.06763,0.07648
2021,No migration background,No,0.77585,12003,13108,0.76871,0.78299
2021,Direct migration background,Yes,0.07096,320,5120,0.06393,0.07800
2021,Direct migration background,No,0.85111,4800,5120,0.84136,0.86086
2021,Indirect migration background,Yes,0.02848,43,935,0.01781,0.03915
2021,Indirect migration background,No,0.44762,892,935,0.41573,0.47951
